,Date,Reviews,Ratings
0,"June 22, 2020","We came to pick up a car that was serviced and we communicated the last name of the person who had dropped off the car, car type, color, etc. However, this dealership had erroneously put the first name as the last name. Then, the person who catered to us, Joe Sims, asked us who spoke to the person on the phone but we weren’t told we had to provide that specific information considering the database should find customers based on last name and vehicle type and more. Then Joe Sims’ tone to us was very mean because he was blaming us for giving the wrong name which is wrong. We gave both the first name and last name. Then, we gave the phone number and then we were referred to another very nice guy. While the second guy was very nice, Joe Sims was very mean to us. ",1.0
1,"November 25, 2019","TOOK MY SON IN TO BUY HIS FIRST CAR.  I HAVE THE CAR RESERVED FOR 2 DAYS FOR US TO COME IN AND SEE.  WE RECEIVED 3 EMAILS LETTING US KNOW THEY WERE PREPARING THE CAR AND IT WOULD BE PULLED UP AS SOON AS WE GET THERE.  HA!!  WE WENT IN, AND WAITED FOR 15 MIN AND ISHMAEL FINALLY PULLED THE CAR UP...BUT IT WASN'T OUR CAR.  THEY MADE IT APPEAR AS A MISTAKE.....THEN THEY SAID THEY'D GO GET IT.  ANOTHER 15MIN AND THE MANAGER Wolf Quintero CAME UP AND SAID ""OH, THEY ARE BRINGING THE HOOD BACK TO PLACE ON THE CAR BECAUSE IT HAD HAIL DAMAGE. SO IF YOU COULD GO EAT AND COME BACK....""   I ASKED HIM WHY IT WASN'T DISCLOSED AT FIRST.  ""WELL WE WERE GOING TO FIX IT, NOT JUST SEND YOU OUT WITH HAIL DAMAGE.""  I THEN ASKED HIM WAS THAT THE ONLY PLACE?  HE THEN HE SAID, ""WELL, NO, THERE'S ALSO SOME ON THE ROOF OF THE CAR.""  I WONDER WHY HE DIDN'T DISCLOSE THAT AS WELL WITHOUT ME HAVING TO DIG DEEPER.  I TOLD HIM IT WASN'T SHOWING ON CARFAX...HE SAID ""WELL THAT'S CARFAX'S FAULT.""  I SAID NO, IT'S YOUR FAULT BECAUSE YOU OWN THE VEHICLE AND COULD HAVE TOLD THIS TO ME 2 DAYS AGO BEFORE I TOOK OFF WORK AND BROUGHT MY CHILDREN 45MILES HERE TO SEE THE CAR.  HE JUST SHRUGGED HIS SHOULDERS.  WHAT I THOUGHT WAS FUNNY THOUGH WAS THEY WERE TRAINING A NEW SALESMAN BUT IMMEDIATELY PULLED HIM BACK AWAY TO ANOTHER AREA WHEN THEY SAW THIS GOING SOUTH, AND MAYBE DIDN'T WANT HIM TO SEE THE BAIT AND SWITCH THEY WERE PLAYING.  I TOLD WOLF, THE MANAGER, IF I COULDN'T TRUST THEM WITH THIS, THEN I COULDN'T TRUST THEM WITH THE REST!!!  MY TWO KIDS SAW THIS WHOLE EXPERIENCE AND SAW WHY A LOT OF PEOPLE, INCLUDING MYSELF, HATE WITH A PASSION BUYING CARS BECAUSE PEOPLE LIKE THIS, AND DEALERSHIPS LIKE THIS TRYING TO SCREW YOU OVER.  MY 15YO SON WAS HEARTBROKEN TO SEE SUCH AN ATTEMPT TO SCREW  HIM OVER ON HIS FIRST CAR!!!!  THEY TRIED TO SEE IF ANOTHER CAR WOULD WORK....HA!, WE LEFT IMMEDIATELY.   THEN JUST GOT A CALL THIS MORNING FROM THE SALES MANAGER WANTING ""TO APOLOGIZE FOR THE MISCOMMUNICATION.""  MISSCOMMUNICATION???  NO!!, YA'LL GOT CAUGHT BY YOUR OWN GAME AND BY SOMEONE WHO WASN'T GOING TO FALL INTO YOUR TRAP.  EVERYONE BE WEARY!!!!!  IT WAS A 2018 CHEV MALIBU, SILVER THAT HAD APPROX 79K MILES ON IT.",1.0
2,"November 02, 2019","I REALLY ENJOYED MY CAR  SHOPPING EXPERIENCE AT AUTONATION HONDA IN LEWISVILLE, TX. MY SALESMAN AHMED WAS VERY KNOWLEDGEABLE OF THE NEW CARS I WAS CONSIDERING...HE EVEN SPECIAL ORDERED ME A 2020 INSIGHT FOR ME TO CONSIDER WHEN THEY GET IT IN STOCK.",5.0
3,"July 07, 2019","The Honda CRV EX is Honda’s best-selling model. Due to its’ popularity, I was expecting a difficult sales negotiation process. After making contact with Nart Abzakh of AutoNation Honda Lewisville, it became clear I was wrong. Nart is a genuinely happy, transparent, honest, and direct person. My car purchase could not have gone any smoother and the out-the-door price was very competitive. Nart is the fifth star in my rating.
",5.0
4,"June 08, 2019"," I began searching for my dream car the Honda Civic Type R, contacting dealerships through USAA. The salesman from Autonation Honda Lewisville Taylor was kind and invited me in to talk about the vehicle. I arrived to Autonation Honda Lewisville for preliminary talks. Negotiations started off fine. The facility itself was decently taken care of other than the bathroom having urine all over the floor. We got a decent deal on the car then we began filling out credit apps and having our credits pulled. My wife, also my anonymous would be co-signer and myself all applied because they needed all of us to see which one would get approved. We found this odd. Following I put a security deposit on the car after we got approved. Afterwards we waited for the vehicle to arrive as a brand new Sonic gray pearl Type R was in transit, the exact color I wanted. In the meantime they asked for a few things and I provided. Where things turned is when my would be co signer and wife got their credit pulled three separate times by Autonation Honda. My wife didn’t even sign on the car, yet they pulled her credit multiple times. We were outraged but we had already pulled the trigger on the deal. They stated that different lenders need to pull it, however my would be co-signer has purchased a lot of cars and this has never happened to him. Also the name on the lender who pulled his credit was Honda financing .Ultimately my anonymous co signer and I signed for the car. When the car arrived we sat down to sign papers, my family sat down with the finance guy Dan. Dan was fine at the beginning however then when speaking about the warranties he started making unprofessional remarks whilst my wife and I were discussing which warranties to add. Dan made remarks about how my wife and I were “a young family and just moved to texas.” His opinion was uncalled for, my family thought these remarks were very unprofessional, rude and no way to speak to your customers. In continuation, in regards to the warranties,  he states if i were to place an aftermarket turbo for example into my car and something went wrong he would fix the things around it with one of the several warranties I added to my purchase. Dan also told me that I was the primary owner on the car but had me put my signature under the co-owner and the loan was therefore not in my name. Dan was very shady and my family question his credibility. fterwards when picking up the car, I was absolutely enraged seeing that this dealership drilled the two holes for the front license plate into the front bumper of my 40,000+ car. I spoke to the Sales Manager Austin a few days later as I was trying to get over it however, he states that this is the law and that Honda requires this. Austin states that the car cannot leave the lot without it. I asserted to Austin , they should’ve relayed to me they were going to drill holes prior to buying the car as I am new to a state that requires front plates. Austin then states they wouldn’t have thought of doing that. The dealership doesn’t understand that there are other ways to mount a front plate than drilling holes into someone’s vehicle. Let alone their most expensive vehicle. Once again I question the credibility of this shady dealership. The whole purchase was a nightmare and I am scared to return to the dealership period let alone to have my vehicle serviced in the future. I DO NOT recommend ANYONE to buy a car from this dealership. Very shady and unprofessional. ",1.0
5,"June 05, 2019","Foreword to the novel: The L in EX-L stands for “leather.”

The wife and I saw a very reasonably priced Honda Fit for sale and decided that we would drive two hours to see and hopefully buy the car. This vehicle was advertised as EX-L and having leather seats. Since we noticed that there were not any pictures of the back seat, and the pictures availed seemed to show a cloth interior (pictures can be deceiving) we made sure to call ahead and ensure that the seats were leather and we also specifically asked if there were any tears or stains in the back seat, informing them we were driving two hours to view it. They assured us that, being an EX-L, the seats were leather and there were no stains and there was no damage to the car.

I can get over the multitude of scratches, paint chips, and the various exterior stains that could be cleaned as these are minor issues.

What I could not get over was that there was hail damage to the roof as well as...

cloth seats... that featured...

a stain in the back seat...

that we specifically called ahead and asked about (before driving two hours there and back). The salesman gave a “hmm..” and continued to try to sell us the car as well others, but I saw all of this as a sign not to trust and do business with them.",1.0
6,"January 02, 2019","Drove 50 miles one way to take a look at a reasonably priced suv for my daughter. No indication of hail damage listed on the description, nor could it be seen in the photos and no mention from Omar before we made the trip. 

This wasn’t some slight damage here and there. The car would be a total loss if turned into the insurance company. I’ve seen cars at auctions with less hail damage being sold for pennies on the dollar and this big name dealership is actually trying to see this a clean pre owned vehicle. 

I was absolutely disgusted and will never do business with any AutoNation ever!",1.0
7,"December 21, 2018",Even after I said no they continued to email and call me. I blocked phone number so they swiched numbers 5 times. They also switched emails after I blocked emails. One time I just went on the internet site to look around. A few minutes later I received an email letting me know they were tracking my IP address!!,1.0
8,"November 30, 2018",Never visit this place. Customer service is way poor. I had simple question about audio code: and I call services and talk to Joe. Joe make me feel like it's too much for me to ask for help and rude as xxxx. He even made the comment as I answer my own question without let me finished talking. I ask for manager and she is same as joe poor customer service. Instead of listening my question she just ask me what type of car I have.. I guess this is the type of customer service are being trained and accepted only at this location. Very disappointed.  Never visit this location again.. ,1.0
9,"August 16, 2018","Went there on a Saturday to look at a car which was on their website while I was there. The rep I met with was Ahmed - be wary of this person, deceitful and cheating. I would have been ok if the deal wouldn't have worked out. What bothered me was having to spend 2 hours and him making all kinds of excuses why he couldn't show me the course, and trying to sell me something I didn't want.",2.0
