,Date,Reviews,Ratings
0,"June 23, 2020",Wonderful service and very attentive. Liked being able to have a scheduled appointment. And the wait was not longer than expected. Would recommend service department to anyone. Thanks,5.0
1,"June 23, 2020","Coach Q was a great sales person, friendly, attentive, honest.  This experience would have been perfect if wasn’t for the finance lady. I think her name might be Leah. She was sarcastic, rude, and was trying to shame me into buying additional warranties, even after I had already declined twice.  I left the dealership feeling very low because of her tone, and demeanor. My parents paid for the car using two checks and some cash. She was declining the money she anting only one check. My parents in their 80s had already written the checks I had to ask her as politely as I could if she could please accept our money.  It’s almost as if she did not want the car sold. If it wasn’t for her, I would give 5 stars.",4.0
2,"June 22, 2020","Fast, professional, exceptional service.  I was 10 minutes early for my appointment and was still done in about 30 minutes. My car was even given a complimentary car wash which I really appreciated!",5.0
3,"June 20, 2020",Dana in Service was very attentive. Service was fast and friendly! They called and texted me when my car was ready and wiped it down with sanitizer.,5.0
4,"June 20, 2020","First time since I got the car. 4 years.  Very helpful 
Service person great.  The service staff excelled in explaining and informing of price of tires. Staff service. Great. Go see Ms. V",5.0
5,"June 10, 2020","Awesome experience at Clark-Knapp Honda Pharr
Customer service excellent by all staff
Big big THANK YOU TO COACH Q for his help... In and out quick...
💯 % satisfied 
honda family from now on
Thank you ...",5.0
6,"June 06, 2020",My appointment was at 8:00 and they took my car and I would say about half hour my service was complete very professional work,5.0
7,"June 06, 2020","Walked in on my first day it felt like home . Helpful  people in all parts of the department ,l will decently go back again to service my vehicle 🚗.",5.0
8,"June 06, 2020",I receive excellent service on my last visit.  It was completed on time .  Dana and other staff members are always able to answer my questions . I  was able to schedule the service I needed at a convenient time.,5.0
9,"June 02, 2020",We got exactly what we asked for with out hassle. It was quick and easy service throughout.  The sales representative was very knowledgeable with the vehicle we were interested in.,5.0
10,"May 29, 2020","Everyone was very helpful and super nice! Omar, Chris and Juan all assisted us and we're all great! Thank you to all of you! ",5.0
11,"May 27, 2020",Good job checked out everything very pleased got done in good time always happy with the work will tell others about you service great job,5.0
12,"May 25, 2020","I have been a loyal customer. Appointment was scheduled, 45 minutes or hour for lube & filter would be acceptable, however it took 2 Hours. Had a coupon sent by the dealership and it was refused. Not a pleasant experience. Will go else where next time. Very disappointed. ",1.0
13,"May 23, 2020","He was very helpful and he answered my questions very good. Could be better if you have discount coupons or promotions. With that, I’ll definitely will back.",5.0
