,Date,Reviews,Ratings
0,"May 10, 2020","Beware of Hidden fees!!! BAIT & SWITCH!
The price they listed on their website is not what they will quote you in person! I also used the USAA TrueCar app which gives Military discount price but they don’t follow it. What is the point of having those apps as a tool for car buying guide if dealership doesn’t follow it. The salesman and manager will always find a way to make an excuse and blame something like inaccurate prices on USAA TrueCar app that promises accuracy and instant price breakdown on vehicles from dealership that they partnered with. I mean c’mon it’s 2020, stop living like it’s 1985! People can find the answer over the internet nowadays and compare. It’s disappointing and that they treat people like veteran customers with a whopping extra $2100 on the top of a used car valued under $15k!!! By the law, consumers only pay for Tax, Title, and License (registration). Document fees should be at the maximum of $150. I was told that the $2100 is to recoup the cost for the reconditioning of the vehicle and when I checked the battery the sticker was dated 06/18 which is 2 years old!!! Make sure y’all check the battery stickers for date (warranty) and tires are stamped with dates because that’s how manufacturers keep track of the warranty! Don’t let dealership ripoff honest people and don’t let Honda Burleson take your hard earned money. Only pay for what is listed on the website and the Actual Vehicle Value. Any extras like tint, wheel locks, and etc are not required to pay by the law! Dealership installed items are gimmicks! I understand the work that is done but if they are going to charge me extra $2100 for reconditioning then why they didn’t even fix the bumper damage of the car. The only thing that is relevant to the repairs are the new tires and that’s it! When I talked to the manager I told him that I don’t want to pay for dealership fee $2100 because it’s not listed on their website. They will try to argue and show you the generic message (footnotes*) thinking they can somehow make you believe that you are required to pay extra because you are stupid enough not to understand the internet price and basic math! Stop making excuses, be fair and honest to customers. Don’t even mention transparency if you can’t itemized the items for charging extra $2100. It’s a xxxx used car! Not an antique. Car buying experience should be fun but my salesman asks me questions like I’m a dollar sign! Be knowledgeable on the product and explain the functionality of the vehicle before proceeding with the price and then don’t go to your manager when you can’t decide about the final price because you don’t make the finance decisions! You’re a salesman for a reason so earn your title, managers manages employees and not customers! I can’t even imagine how they make sales in new car department...

",1.6
1,"April 11, 2020",My salesman was Marcus Jamison.  This man is very honest and truly wants to help you get your car with the best deal.  Awesome guy!!! I love Honda of Burleson.  ,5.0
2,"March 12, 2020","The price they advertise online is not what they quote you in person.  We found one of their used cars online and went in to look at it.  I knew there would be extra fees for TTL, but after test driving it we were told the actual price was about $5,000 higher than what it was listed for.  The salesman explained that the additional cost was for the reconditioning fee for work they did on the car to get it ready to sell.  I can understand there being work that needs to be done on the cars and the dealership wanting to recoup that cost.  My issue is why not include that in the advertised price. When we asked our salesman about this he said that no dealership includes that extra cost in their advertised price and if Burleson Honda did no one would come look at their cars because they would be advertised for higher than other dealerships around. I don't know how accurate that statement is.  We felt very deceived.  The added amount took the price out of our budget.   After the back and forth drama that occurs in buying cars they did come down on their price some but we still paid about $2,000 over the advertised price.  Looking back I wish we had got up and walked out but we were in a real crunch with needing a new car.  It just leaves me wondering what else they were deceptive about.  Did they really do the work they claim they did?   As we are starting to look for another used car for my husband we'll look elsewhere since this dealship was deceptive with us. 

",1.0
3,"February 12, 2020",Me and my family are repeat customers of Marcus. He has always helped us when we need a car. Hes a great guy and will work really hard to get you the car you want. ,5.0
4,"September 16, 2019",Marcus has helped me with my last 2 purchases always makes it quick and easy! Buy from a friend not a salesman! Thank you Marcus.,5.0
5,"September 15, 2019","Marcus Jamison is the guy for all your car needs. New or used, he will help find the car for you.  I love my Honda CRV!",5.0
6,"September 14, 2019",Marcus Jamison helped me out tremendously. He helped me get the exact car that I wanted and it was just a great experience overall. I would definitely recommend/refer him to all of my friends and family.! ,5.0
7,"September 14, 2019",You will not be disappointed when you visit Burleson Honda. Make sure you ask for Marcus Jamison though. He’s not just a salesman but definitely a friend. He will go above and beyond to make sure you or whoever purchasing gets the car they want but at a great price.,5.0
8,"September 14, 2019",I highly recommend Marcus Jamison as your go to sale man he will definitely get you into something that fits you great overall customer service ,5.0
9,"September 13, 2019","Marcus Jamison took the time to answer all my questions, found the best car for my family, and got me in and out of the dealership! Go see Marcus! ",5.0
10,"September 03, 2019","My car buying experience was amazing, Marcus has a great smile and great customer service. He took care of me and made sure I had everything I need led with my car

Thank you Marcus ",5.0
11,"August 29, 2019","Great and Friendly people to be around! Nice and helpful to your needs, I would definitely Recommend any and everyone interested in new or used cars to visit Burleson Honda!",5.0
12,"August 22, 2019","Man if you want a no hassle experience with great customer service. Then Marcus Jamieson is the man when i tell you this dude is tge best hands down. I even want to go back and get a second truck from this brother.  

Thank you bruh keep up the great work.",5.0
13,"August 17, 2019","We would like to thank Mr Marcus Jamison, with the purchase of our new vehicle, very nice person Go see him! Thank you Dabs&Tawayna Elliott",5.0
14,"August 07, 2019",My visit to this dealership was an excellent experience! The staff was kind and courteous. The salesman Marcus Jamison was very knowledgeable and helpful!Awesome!!,4.8
15,"August 03, 2019","Marcus Jamison, salesman at Burleson Honda is who you MUST go to for your Honda purchase if you want a great experience. You will receive the great customer service you deserve. ",5.0
16,"July 30, 2019","I came into Burleson Honda April 22nd . Angel Was my salesman. He was very polite and knowledge about the car I was interested in , a Honda HRV I test drove it and absolutely loved it . Angel went through the buying process and explained all the features and how they worked . I drove away in my Honda HRV?? Thank you very much Angel Garcia!!!",4.6
17,"July 29, 2019","We were there to look at a Pilot and the people were VERY helpful.  Felix and Marcus were great, but 2 folks who are not on the list, Kevin Boren and Janett Navarez were fantastic.  We were insistent about getting a red Pilot and even though they did not have one on site, they found one and gave us a loaner and got our price down also.  They went above and beyond.",5.0
18,"July 25, 2019","My name is Stan Waldrip and my wife is Gayle. We decided to stop by Burleson Honda to test drive a new Honda Pilot. We met salesman, Chris Brown. Chris bent over backwards to sell us on the Honda product. He went that extra mile to make sure that we had a pleasant experience.  My wife and I were so excited that we traded our 2015 Acura RDX on a brand new 2019 Honda Pilot!  Thank you Chris Brown for a Great Experience!!",5.0
19,"July 22, 2019","We were shopping for a new car for our 19 year old college student, and wanted to help her start building credit. Diego Barona met us, showed us the new Civics, took time to let her test drive a couple different ones, and answered all our questions and concerns.
We bought a new red civic sport ( Honda’s red is stunning by the way) and the whole process was smooth. Diego made her first time buying a car, a good experience, and made us feel our decision was the best one going with a Honda
Financing was quick and easy with Mike and Dillon 
And the Dealership itself was so nice and comfortable which means a lot because we have our cars serviced at the dealer we get them from
I cannot day enough good things about these guys and Burleson Honda
Christie Miller
Annalee Hauge",5.0
20,"July 22, 2019","So technically, I've owned a Honda before. My mom passed down Honda Civic to me when I was 17 and it was the first car I ever drove. She bought that car when I was six and I drove it all the way into college. I might still be running for all I know. So my love for Honda runs deep even though this is the first time I ever bought my own. The experience at Burleson was great. I started off online doing my research and was connected with Chris Witherspoon. Being able to email and text message made everything much easier and more convenient during my work hours. Burleson Honda was the least harassing dealership I dealt with during the process and came down lower to beat another quote I had been given. They had the color I wanted, a good price, patient salesman dealing with my schedule, and tasty Muffins with Starbucks coffee in the waiting room. When we got to the finance department I worked with Dylan and he was great as well. Informative of all the warranties but never pushy. When there were mistakes on the paperwork he was never bothered to start over and made sure that everything was perfect and the exact deal I had agreed to. I decided to purchase the mechanical warranty and maintenance plan. I definitely look forward to coming here for all my needs to take care of my new car.",4.6
21,"July 15, 2019","I initially went through the website to ask a few questions. I was quickly connected to my awesome salesman Felix Santos via text, per my request. After answering my questions he asked me to bring my trade in to the dealership for a quote on a trade in. From there is history! I finally got the Honda I have always wanted!! Everyone I came in contact with was super friendly and very helpful they worked so hard to help me in my situation. Thanks y’all 😊",5.0
22,"July 14, 2019",When I visited Burleson Honda not only did I like what I was observing but really appreciated the customer service.  Everyone was very pleasant. Great!👍🏻,4.8
23,"June 29, 2019","They are very efficient they try to get you in and out, very friendly people and are willing to work with you! El mejor Honda.",5.0
24,"June 23, 2019","On June 15, 2019, my wife and I drove all the way to Burleson Honda from Lewisville, Texas to look at a 2018 Toyota RAV4.  That day, I contacted Burleson Honda and had the pleasure of talking to Jerry Leverett.  Jerry advised the RAV4 was available and he would run it through the car wash if I was planing on visiting.  After arriving at the dealership we were immediately met by Jerry who showed us the RAV4 and a Honda CRV to compare.  At the end of the day we bought the RAV4 and drove it home that evening after agreeing to a reasonable price with Benjamin Bazi.  Both Jerry and Ben were professional and did not use pressure tactics.  The entire transaction took approximately 3 hours it was fast and efficient.  Thank you Honda of Burleson!",5.0
25,"June 22, 2019","We love our New Odyssey! Diego Barona was great to work with! Burleson Honda made the impossible, Possible!!! We are beyond thankful for all those who helped us yesterday June 21, 2019! ",5.0
26,"June 20, 2019","Great service, friendly people, great atmosphere. Would go again to buy in the future when my car is paid off. When you arrive ask for Carlos he will surely take care of you",5.0
27,"June 17, 2019","i just recently purchased a honda civic 2019 and the experience was very good.
i love the car.  it rides so smooth 

the salesman i had was very nice. his name was jerry leverett .   he was very helpful and stayed with me through the whole process.

thanks jerry and burleson honda for my new vehicle.

rhonda mantooth ",5.0
28,"June 16, 2019","Antoinette gave us an amazing experience as well as Marcus and Kevin, they never gave up and we were able to leave the dealership with the car that we wanted!! I highly recommend it!!!",5.0
29,"June 13, 2019",Antoinette was my salesperson. She was helpful and quick I was in and out in a few hours with exactly what I wanted! Great experience!,5.0
30,"June 12, 2019","Angel, my salesperson gets a 10/10 for assisting me in looking at several used cars while I waited for my oil change... He, identified my future car and with the additional assistance from Michael his manager, I was educated and helped throught the initial paper work, trading in my 2003 Honda CRV, and getting my check book... Marcus did a great job setting up the loan for the balance and... The next day Andrew spent time with me answering my questions, locating the car's owners manual and getting me set up with a bumper to bumper warrantee and 3 others that will protect my 2016 CRV EX for years to come!!!
Burleson Honda:  What a great team you provided to make my car buying experience amazing!!  Thanks a million everyone!!",4.6
31,"May 31, 2019",I recently had the pleasure of buying a car for my son through Robert at Burleson Honda... He was prompt and helpful and got me exactly what I was looking for! I highly recommend them and will be using them for my future car purchases!!,5.0
32,"May 03, 2019","Chris Brown is one of the most professional, kind, and hard working salesmen ive ever met. He worked with my situation which wasnt the best, but he got me approved, and into my 2019 HRV. I highly recommend him if your looking for your next New or Pre-Owned vehicl.",5.0
33,"April 30, 2019",My salesman Diego Barona was super professional and knowledgeable of everything about my new Accord 2.0t 2019. Definitely of of the best experiences i’ve had in a dealership in years. ,5.0
34,"April 26, 2019",It’s always so easy to bring my car in for service at Honda of Burleson. The employees are always so courteous and helpful. Thank you for assistance every single time!,5.0
35,"April 24, 2019",Todo fue muy perfecto me a ayudaron en todo lo que nese secitaba con el precio  y los extras que le puse ami coche y como conectar  el teléfono  en el coche tuve una excelente experiencia  ,5.0
36,"April 20, 2019","Allonzo Cheeks was professional, informative and trustworthy.  I never felt pressured or uncomfortable at any time.  Best salesman I’ve ever dealt with while buying a car.  100% I’d let him sell me my next vehicle.  He went over and above my expectations!!!  Thanks Mr. Cheeks! 
",5.0
37,"April 12, 2019",Kris Stierwalt did an outstanding job. He was very helpful throughout the car buying experience. We will definitely return to Burleson Honda if we need to purchase another car. I would also like to thank Carlos for his professional assistance. Carlos and Kris are both outstanding employees.,5.0
38,"March 31, 2019",Great customer service. Great deal! They make it super easy!!  I highly recommend Charlie. Ask for him for the best deal on new or pre owned. ,5.0
39,"March 28, 2019",Had a good experience no stress from Diego or marc in financing Diego was knowledgeable and very helpful yes i recommend Burleson dealership i’m Very satisfied.             Thank you very much.        Albert Martinez ,5.0
40,"March 20, 2019","This was my first car buying experience, and Diego Barona helped make it easy and stress free.  He was extremely knowledgable and personable when I went in to test drive a couple of vehicles, and I was in and out in a reasonable amount of time the day I made my purchase. Would reccomend this dealership.",5.0
41,"March 18, 2019","Had the same salesman and finance manager as I did with my last transaction, got me into my new car which ran very smoothly. They were both very efficient and knowledgeable and courteous. I am a very satisfied customer and will recommend my friends to this dealership.",5.0
42,"March 15, 2019",I worked with Franco who really made the extra effort to get me in the car I wanted. I could not be more pleased with how he helped me through the process. ,5.0
43,"March 12, 2019","Got me into the car I wanted for the right price, quick and easy transaction. Clark Bartlett was friendly and put effort into getting me what I needed.",5.0
44,"March 11, 2019","Dante Barona was our sales person, he’s very pleasant and easy to talk with. He helped us purchase our new car stress free. We were there for a reasonable amount of time and was very productive. Honda Burleson is highly recommended! ",4.8
45,"March 10, 2019",Helped me get in a brand new car with out credit that was mayor to me and very thankful for that! Come see them and get the best deal ,4.4
46,"March 08, 2019",My husband and I bought our Honda Pilot back in January. We were happy to have Mildred as our sales lady! I am happy to be back in the Honda Family!,5.0
47,"March 08, 2019",They made my car purchasing experience beyond amazing! It wasnt long and drawn out we got straight to the point. They were even able to accommodate me by all means.  Would definitely purchase another car through them. CARLOS CHOU IS THE BOMB.COM,4.8
48,"March 04, 2019","Fern Salas is the person to go to for the most relaxed purchase experience. It started last year when I was just perusing through the dealership lot and he was the one that greeted me. We kept in contact and respected my preferred method of being contacted and the timelines that I set for him on when to contact me. This past weekend I went to purchase a Red Tag Accord Sport 2.0, he let me test drive it like it was my first-time test driving the vehicle. I went the following day to make the purchase but I found out about the disappearance of the Lifetime Warranty.  It was a shock, and I hesitated to continue with the purchase. Fern didn't pressure me to close the deal that day because he didn't want me to have buyer's remorse. I came back and purchased the vehicle today. No Buyer's remorse here. ",5.0
49,"March 03, 2019","I purchased a 2019 fro Burleson Honda on 2/28/19. I looked at several vehicles at this dealership as well as several others.  This dealership was given a high recommendation by one of my neighbors and from what I experienced, I agree with the high rating. 

My salesman at Burleson Honda was Diego Barona and I thoroughly enjoyed working with him.  He was low key, knowledgeable of the Honda line, and answered many questions concerning the vehicles I was interested in.  When I changed my mind and switched vehicles to the Pilot, he quickly showed me options to meet my needs I discussed. 

All in all he was very knowledgeable, very courteous, and enjoyable to deal with. I highly recommend choosing him as your salesman if you need one.  Additionally, I found all other employees at this dealership, including Kevin Baker (New Car Sales Manager) and Jeremy Hann (Service Manager) equally knowledgeable and friendly. 

Overall a great place to buy your next new vehicle. ",5.0
50,"March 03, 2019",My car shopping experience was excellent.  Clark made the process worry free and worked to provide me with the kind of deal I was comfortable with.  He thoroughly explained all the car features.  I will recommend this dealership and Clark to my friends and family members.,5.0
51,"February 28, 2019","BUYERS PLEASE BEWARE OF THIS DEALERSHIP!!!! PLEASE DO NOT LOOK AT THEIR GOOD RATING, WHICH IS SURPRISING!!!! PLEASE DO NOT DO ANY BUSINESS WITH THESE CROOKS!!!! THIS IS NOT THE FIRST TIME I'M BUYING CAR. I WILL PAY MORE MONEY TO SOME OTHER DEALERSHIP, BUT NOT TO BURLESON HONDA!!!!  ( I KNOW THIS REVIEW IS LONG BUT IT WILL SAVE YOU TIME AND RESPECT) PLEASE READ THE REVIEW!!
In my dealings with multiple dealerships, this was the far most worst experience ever. My family has owned Honda for years and that's all my family drives. 
I went to buy a car from them and test drove couple of them. Finally made a choice and told them to bring the numbers. They offered the vehicle for $17995 and these guys bring me the numbers for $24,600. What is kind of deal is this. They hide hidden numbers, without asking me they added $3000 as a warranty on A CERTIFIED USED HONDA!!!! I walked out of the dealership, but Jose Fuentes, the sales manager, came running after us in the parking lot asking for our business. We agreed on the negotiated price. Now came time for finance. They would not agree on the finance rate. We told them we would do cash out buy and they agreed. During all this time they were taking soooooo long to do things, it was time for me to go to work. We agreed that we pay the down payment and come on Monday and finish the final document signing. 
Come Monday, the sales man came and asked me if I still wanted to finance? I thought they are my neighborhood dealership they should get business as well so I agreed to finance. Over the weekend they offered an interest rate, which was within our range. So I told them give me the same  interest rate, I will finance. Marcus McRae, the finance director, who should really apologize the way he behaved approached me and said flat out NO they will not offer the interest rate. This really upset me. I told them what happened to paper on which took my sign and they offered the deal on Saturday. He thought that i would not ask for it. I asked them to call Jose and he  comes and tells me, ""Oh that was just estimate deal"". Folks we are business operating family, when the deal is on the table its a solid when agreed upon. Because Jose Fuentes, on Saturday told me if I increase the down payment he would get me the interest rate, which I did and agreed to pay more down payment. My uncle was with me and he said we would pay the down payment through the company business card. On Saturday, they agreed to charge the credit card. But fast-forward Monday, we were made to sit around for an hour, THE SALES MAN, Allanzo, says he will assist to sign MY finance papers because all the other ""Finance Managers are busy on calls"". A sales man, where is the respect to the customer. After all the paper work is finished Allonzo tell me they cannot charge the card provided. They cannot charge $4000 on a company card because they got new GM and he changed the rules. What kind of business are these guys running. I told them I would give them my company check. I had to drive to 45 mins each way to and fro to get my company check because I did not have access to my personal check with me. I come back and give them the check, they tell me no we cant take the check after 45 mins. This really angered me. They are playing jokes with the customers. Folks, now this had become a very painstaking process. I told them will they charge my personal American Express which they did. Now when I asked Marcus McRae, why wasn’t there a finance manager signing my papers his excuse was that Allonzo is a finance manager in training, which for no reason he could answer any of my questions. I'm an educated person who knows how a person becomes finance manager, being in the business world for so long. Marcus went on to even say why I was starting something, when there is nothing, stating that a salesperson signing my finance document who is not a certified finance manager. Now why would anyone make any business deals with this place, which shows such disrespect and contempt to their customers? Please make a wise choice and avoid this dealership",1.0
52,"February 28, 2019",Bought a car and was a great experience. The process was worry free and I was happy with the service that I was provided. Very friendly.,5.0
53,"February 21, 2019","I purchased a new car from Burleson Honda this week. I would recommend them if you are thinking of purchasing. The sales staff were attentive and helpful but not pushy.  Kind of what you want. They bent over backward to get me exactly what I wanted. Even the price negotiations were as pleasant as that kind of thing can be.  This is a large, clean, professional place to buy a car.

I ended up feeling like I got a good deal. I'm not an expert on car pricing, though, and I had very specific requests so I can't say whether that was just good salesmanship or I really did get a good price.",5.0
54,"February 16, 2019","I just leased my third vehicle from Honda of Burleson and will continue to go there for all my car needs.  My salesman, Diego Barona, was very professional, knowledgeable, and courteous, always with a smile.  He showed me several options in the Accord that I wanted, and went out of his way get the exact car for me.  I am very grateful for his assistance, and would recommend him to anyone wanting to purchase a new or used car.",5.0
55,"February 16, 2019","My wife and I leased a new Accord for her from Danny Oestreicher. He was very professional, took the time to work out a good deal for us, explained how everything in the vehicle operates, and at the same time very down to earth. We kept them after closing about 30 mins or so and they were still very gracious. Thank you for the great experience!",5.0
56,"February 10, 2019",Burleson Honda is a high pressure free zone when it comes to a car dealership. It is a friendly and inviting place where you feel welcome and comfortable. All of my questions and concerns were answered and addressed. Mr Barona took the time to explain some of the cars features and to sync my phone. I recommend him as your sales consultant. He is friendly and personable. No pressure from him.,5.0
57,"February 06, 2019","Easy buying experience, Carlos Chou was wonderful to work with.  Straightforward business dealings and all around great customer service.  We agreed on a price and I was out the door within 45 minutes with no last minute price changes or other scams I've experienced before.  Carlos even drove to my house to pick up my wife so we could get the car home.  The car was freshly washed and detailed with a full tank of gas. Will definitely buy from Carlos and the Burleson Honda team again.",5.0
58,"February 01, 2019","I originally was planned to buy a Civic from a local Honda dealership in North Richland Hills, which is a lot closer to the house, but a coworker directed me to Burleson Honda because of their lifetime warranty options. And let me say I haven't seen or heard of any warranties that come close. 
So I got online and found a similar Civic I was looking at NRH Honda and contacted Mike Pham. After a very brief description of what I was looking for, Mike was off and running. We set up a time to look and possibly buy the car on the spot. Mike was GREAT. Had the car ready and paper work in order, along with any questions I had. One problem...I had a rental car I had been driving around in for two weeks and wasn't able to take the car. Mike went way beyond what I'm sure he needed to and offered to drop it off for me in the morning. I drove the car home that night.

I also have to give xxxxxxto the finance manager, Mr. Craine for being a cool, down to earth guy. VERY PERSONABLE, and not your typical smug finance guy that just wants to sell a warranty package. Plus they already offer LifeTime on your PowerTrains.
With that being said......the enhanced warranty package sells itself. 

YOU WILL NOT FIND ANOTHER DEALERSHIP WITH BETTER LIFETIME WARRANTY OPTIONS

Love this place.....lets hope their service dept. is as impressive. (we'll see soon enough)

Brett Nelson",5.0
59,"February 01, 2019","  This was the easiest new car experience I have ever had! Mildred Dominguez was a awesome sales person, she knows her Honda's! Very professional and very pleasant and  genuine person. Marc McWhorter was our finance guy and he was great ! He made the finance process fast and easy. If you need a Honda this is he place to go! ",5.0
60,"January 30, 2019","Mildred from Honda Burleson was absolutely amazing! She helped us get an amazing deal, and made the process so easy! she was super nice and very personable! she even took a picture of us with the new car and sent it to us! would definitely recommend her to anyone in this area looking for a honda!",5.0
61,"January 24, 2019","Bought a used 2018 Civic Type R. Car was on the showroom floor. I was greeted as soon as I entered the dealership. Cade went over complete car with me prior to test drive. Candi followed up with test drive experience. Deal was done within the hour. Couldn't have been happier. Would definitely buy, service, and recommend dealer to family and friends. ",5.0
62,"January 16, 2019","Purchased a Honda Pilot in early December. Salesman was nice. However after sale, service is awful. Never received license plates for vehicle from dealer. Called and emailed several dealer personnel numerous times for status of plates. Dealer did not return calls or emails. Finally, personally went to tax office to purchase my plates on last day of temporary tags. After approving financing through Honda at dealership, several weeks later I received a letter from Burleson Honda that they could not honor financing because my credit score was too low. I have an excellent credit score that is in the mid 800's. Emailed the finance manager, salesman, and general sales manager to find out what was going on since I had already made a monthly payment, down payment, and trade in. They never responded to my emails. Due to my business, I purchase numerous cars and trucks from dealers annually. In 49 years of purchasing vehicles from many dealers, this is the worst experience and dealer I have ever encountered.",1.6
63,"January 16, 2019","We spent quite a few hours with Allonzo test driving cars and taking home the one we ultimately decided on. The time just flew by, Allonzo is so nice and laid back it felt like we were hanging out with an old friend. My wife and I couldn't have had a more pleasant time and we were both more than happy to leave with the car we wanted thanks to him. Everyone one else we spoke to at Honda Burelson were also super friendly, T.J for example helped finalize our sale and again he was friendly and awesome to talk to. 

Overall just a great experience. We live about 30 minutes away in Fort Worth and became tried of the pushy salesmen near us. We decided to drive down to Burelson and try our luck there and we left with a new car the same day. Thank you!",5.0
