,Date,Reviews,Ratings
0,"December 23, 2017","Excellent customer service, they knew what I was looking for and they did their best to find something for me. Definitely will purchase from them again in the future.",5.0
1,"December 15, 2017",HAD AN AWESOME EXPERIENCE! THIS IS MY SECOND VEHICLE I BOUGHT FROM ANGELICA AND ONCE AGAIN SHE WENT ABOVE AND BEYOND TAKING CARE OF THE WHOLE PROCESS OF GETTING MY SECOND VEHICLE. THE SALES MANAGER JOHNNY AND GREG THE FINANCIAL MANAGER ALSO HELPED ME MAKING THE RIGHT CHOICE I WAS COMFORTABLE WITH. VERY HAPPY WITH BOTH OF MY HYUNDAI VEHICLES,5.0
2,"December 12, 2017",It was an excellent experience even with the small hiccup.  Excellent price and service.  I will be looking at Hyundai again in a few years when it’s time to buy a car for my son.,5.0
3,"December 05, 2017","Great service and friendly atmosphere the variety of merchandise excellent . Thank for the opportunity to drive a new car , I will stronger recommending this dealer ship in the futere",5.0
4,"November 29, 2017",Excellent service from top to bottom. Rossy Santos is a great asset for your company and a great help to future customers. Will comeback for another car purchase here.,5.0
5,"November 24, 2017",Brown Hyundai of Laredo went above and beyond to lead me in purchasing my vehicle.  The sales man brought the vehicle to my place of work so I could see what if the vehicle was what I wanted!,5.0
6,"November 24, 2017","Would have loved to get more trade in value for my car, I don't feel that I got enough being that it was 3 years old and with 32,000 miles on it.",4.6
7,"November 22, 2017",Excellent customer service but hiding amounts to make a sale and not providing what was said and promised. I felt that dealership was lacking a knowledgeable employee to program my vehicle. Had to go out of town and was using my phone with the integrated speaker bcus the car feature was not programmed correctly,4.0
8,"November 10, 2017",Excellent service and saleswoman. Made car delivery to my location. I received price I was comfortable with. I bought the car that I had been looking for and wantef.,5.0
9,"November 09, 2017",It was good in a lot of ways I will recommend some people to go there very good service and good prices in all cars,5.0
10,"November 05, 2017",As always everyone at the Brown Hyundai dealership greets me and stops to ask how I am doing .  They always lead me to the correct department when I visit the dealership,5.0
11,"October 31, 2017","Great customer service valued my time, willing to work with me, and delivered to me a clean and fueled car!! Will definitely return for service and all my Hyundai needs!!",5.0
12,"October 27, 2017",I strongly recommend this dealership I'll definitely will come back in couple of years from now to purchase another vehicle. Completely satisfied and very Happ customer!,5.0
13,"October 27, 2017",The overall quality and service at the Hyundai dealership was excellent. I was amazed at how friendly and quick the salesperson was able to assist me with my car needs.,5.0
14,"October 26, 2017",Rossy is a very polite and professional employee. She helped me find the perfect price for the perfect car. She welcomed me with a smile on her face and was extremely helpful and answered all of my questions.,5.0
15,"October 25, 2017",My car buying experience at Brown Hyundai of Laredo was excellent! I had a great salesman who thoroughly explained the features of my Santa Fe. He was friendly and knowledgeable. The finance part of my buy was just as pleasant. Mr Padilla and Mr Puente made my purchase experience a great one!,5.0
16,"October 24, 2017",my first hyundia was 2007 tuson. great suv i have over 150000 mi. the santa fe is great roomy good power  sound system better than most. the rear seat is better than my 2016.,4.8
17,"October 17, 2017",Overall my experience at Brown hyundai was excellent. The staff was friendly and understanding of my needs. They were very professional and answered all of my questions.,5.0
18,"October 12, 2017",Great job on service and attention I got at this dealer ship. Angelica Longoria was very helpful and willing to help me with my purchase. Great job!!!,5.0
19,"October 01, 2017",The employees at Brown Hyundai of Laredo are very professional and friendly. They helped me completely understand my new vehicle. I really like my new Santa Fe and I'm very happy with my purchase.,5.0
20,"September 29, 2017",Great experience will recommend with friends and family. Really happy with the Service and my new car. Eddie was so helpful and did an awsome job.,5.0
21,"September 24, 2017",The whole staff helped us purchase our new family car Mr Puente was our sales person and he was awesome he helped us answered all of our questions and to this day he still does he will be our go to sales person for future purchases,5.0
22,"September 22, 2017","Great service. Very attentive, direct, and honest. Staff was all around helpful and informative of specifics of vehicle. Getting title and license just very delayed.",4.0
23,"September 21, 2017",It's good to buy with out pressure and I will recommend this dealership to all my family and friend. They made it happened on the car my wife really wanted.,5.0
24,"September 21, 2017",When i walked in good professional and nice employee with good manners they expained everything by detail so did a good job.I defenetly recommend Brown hyndai.,5.0
25,"September 07, 2017",Angelica was professional and very helpful. I feel I received a good deal on the car and trade in. The car I wanted was in stock and didn't take long to have papers ready to sign. I'm very happy with the buying experience.,5.0
26,"August 18, 2017",The salesperson was excellent .I was very satisfied with  the price and the warranties of the vehicle that I purchased. The  overall atmosphere at this dealership is outstanding.,5.0
27,"August 08, 2017","Aside from my salesman, Victor, employees were not a friendly bunch. When I bought my previous car at Jordan Ford, the ENTIRE staff was friendly towards anyone they encountered and were constantly asking if I had been helped.",2.8
28,"July 27, 2017","My experience was like, that they were my friends they understand what I need and the price I can pay every person there,  but specially my dealer was very kind with me treat me very well like friends or family.",5.0
29,"July 23, 2017","Fully satisfied with the service and purchase. Will definately recommend, i didnt think inwas gonna be able to leave with a car right away, and i was really happy that i did",5.0
30,"July 13, 2017",Excellent sales person extremely happy with my vehicle. I'm definitely referring more friends and family to buy there. I will be back for more purchases from this dealership and definitely from my salesperson.,5.0
31,"July 07, 2017","Overall satisfied with your service, sales people very friendly and very professional.  All my needs and expectations were met.  I will definitely recommend other potential buyers to your dealership.  Excellent service!",5.0
32,"July 07, 2017","this is the 2nd car i get from this dealership and same sales person.  I am happy with my 2017 Santa Fe and look forward to having this car for a long time.   I will and have recommended this dealership, Angelica is very good at helping clients.",5.0
33,"June 22, 2017",Angelica did a great job was disappointed in how my car was treated no promises the job that was gonna get done. To come back dirty from outside,4.4
34,"June 13, 2017",Excellent service and total respect.  The service department knows us already since this is our fourth car.  We're really looking forward to see what Hyundai comes out with in the near future.,4.8
35,"June 10, 2017",Awesome customer service including sales & financial staff. Everyone were very courteous & were very attentive to what we wanted to buy. We made two greats deals.,5.0
