,Date,Reviews,Ratings
0,"May 12, 2020","EXTREMELY BAD CUSTOMER SERVICE SKILLS. 
NOT HELPFUL AT ALL! WASNT ABLE TO GET IN TOUCH WITH ANYONE ABOUT THE VEHICLE I WAS TRYING TO PURCHASE.",1.0
1,"July 18, 2019","This review is to commend Sean Salem, Service Advisor. Sean is professional, courteous, knowledgeable, and  patient in answering questions. He even surprised me by having my car washed. Hyundai of El Paso is fortunate to have such an outstanding Service Advisor!

Bob P.",5.0
2,"July 15, 2019","After being told I was approved, being congratulated, signing a whole bunch of paper work and driving home. Salesman calls me and tells me I was never approved and need to return my new car to the dealer. After explaining this entire situation (more details being retained) I still wound up with no car, help, or compensation. 2 times Hyundai of El Paso has wasted my time and effort (any money). Please be cautions and don’t get your hopes up. I will never return.",1.8
3,"July 09, 2019","I drove 4 hours to buy a car here.  And I am SO happy I did.  Jonathan and everyone at Hyundai of El Paso were very friendly even during a busy sale that they had going on.  I honestly did not think I would be going home in a brand new car.  Jonathan was an awesome salesman!  He was very knowledgeable, respectful, friendly, and I could tell he really wanted to help me out.  I'm very happy with my purchase at Hyundai of El Paso and will be coming here for all of my future purchases and highly recommend them.",5.0
4,"May 01, 2019",Marco was very friendly and professional. He was attentive to detail and gave good recommendations on how to keep my car running well so that I do not have problems in the future. Very satisfied with the service and how efficient they were with time. Whenever you need any type of service on your vehicle and want it done with good quality and efficiency then ask for Marco.,5.0
5,"April 04, 2019",I WANT TO  THANK HYUNDAI OF EL PASO FOR THE EXCELLENT CUSTOMER SERVICE.  ALL THE STAFF WAS AMAZING ESPECIALLY BEN LESSER VERY PROFESSIONAL. GOT US A GREAT DEAL.  DONT WASTE YOUR TIME GO STRAIGHT HERE AND ASK FOR BEN HE IS AMAZING ,5.0
6,"January 04, 2019","Email I sent to Hyundai of El Paso: 
I just wanted to advise you that you all lost a valuable customer and I will never take my vehicles to you all again.  My wife took her 2018 Hyundai Elantra Sport for a new tire and was initially quoted $150.00.  I thought that was high due to the fact that Discount Tire has the exact tire for $105.00.  The convenience of your location to my home and being a regular customer I decided to give you all my business.  HUGE mistake, the total jumped to $189.00 the day we decided to get the repair done.  I should've just said NO and taken it elsewhere, but being loyal or stupid I had the work done at that price.  When my wife picked up the car it miraculously jumped to $214.61.  I hope you all are happy with the extra cash you all swindled from me because this will be the last cent you ever get from us.  I purchased two vehicles (2018 Elantra/2015 Tucson) from you all and WAS planning on purchasing one this year for my 16 year old daughter.  Also, I plan on leaving poor reviews on every website that I can find about your shady business practice.  

Response: 
 Hi Eric,
I recently received your online request and I was hoping you could answer a few questions designed to help me to better assist you. Serving our customers' needs is my highest priority, and I want to be sure that I have addressed your request appropriately.
1. Have you purchased from us before?
2. Will you be taking advantage of our finance options or paying cash?
3. Will you be trading in a vehicle?
Please reply back at your earliest convenience.

This pretty much sums it up why I will never do business with these people again!!!!!!!!!!!!",1.0
7,"October 14, 2018",The service has been the worst experience I’ve ever had with any dealership! I have been waiting on my car to be ready for almost 2 months now. I took my car in again over a week ago and have had no contact as to what the status is. Last time I’ll be purchasing from this dealership!,1.0
8,"October 13, 2018","Kudos to Virgil, service manager and Shawn, customer specialist for their preserveran e in getting the issue with the road vibration on my G90 resolved.  ",5.0
9,"September 29, 2018","Don’t ever think of buying a Hyundai or going to this place.With this price you can even buy a lot better Japanese or American cars.
My car engine that was under warranty got replaced  after 5 months! 
Yes 5 months! The car was unattended under sun exposure for 5 months.
And interestingly the company representative said that it is quite normal to take 5 months to replace an engine on a Hyundai car.Even if they had sent the engine from South Korea with a boat it would have not taken this long.
They also ripped me off as of about 400$ for some very minor paint  that was scratched off the rear bumper as big as of 3 chickpea sizes which was already present on the bumper when i got the loaner car and I disregarded it because I never thought these people will ripp off customers out of even their loaner cars.They had threatened me indirectly through the case manager of Hyundai USA corporation that if I don’t pay that money and don’t return the other loaner car when the engine was replaced after 5 months , they would charge me other fees.
Don’t buy Hyundai snd avoid tbese people!!!",1.0
10,"September 25, 2018","I had question and Fernie M answered them and was so very polite and professional, I would recommend this dealership to everyone. They are wonderful!",4.8
11,"June 01, 2018"," We had just moved here and we’re looking for a new car. Right when we were going to give our hopes up, we got contacts from Robert Lopez. He was so helpful with us and a great guy and knew just how to help us. I was really happy because he worked with my husband and I where we could meet in the middle. He was super helpful answered all our questions and gave great recommendations. Also Thomas was super helpful and funny. He broke everything down to where we could understand and gave us our best options. When my husband and I walked in here, it felt so welcoming. We weren’t customers we were friends. And that was an awesome feeling. I recommend coming here with any type of credit. THEY WILL WORK WITH YOU. They are also very military friendly so to any soldiers. Thank you so much Hyundai of El Paso. ",5.0
12,"May 30, 2018","The moment we stopped and went into the dealership, Robert worked with us so well with us. He asked us questions and that helped us with getting our new car. I highly recommend Robert, he will help you from the start and will answer any questions you have. He will find you the answer if he doesn’t know. 
(ask him to do the Michael Jackson Impression)

Thomas also helped us a lot when it came to our pricing and payments. He is nice and very relaxed. He will crack some jokes and be serious at the same time. You will not regret working with these two men. ",5.0
