,Date,Reviews,Ratings
0,"May 30, 2020","Bobby was great! Definitely recommend getting into a car with him! Awesome, fast & friendly service! Mike in Dodge financing as well! Both give great service!",5.0
1,"May 11, 2020","I took my 2017 Honda CRV in for an oil change and decided I would just ""look"" while waiting. My salesperson Jaquavius Goins works in the Honda department and he tried to keep me in a Honda but I wanted to look at a Hyundai Palisade. I took one look at the vehicle and feel in love! Jaquavius was so understanding to my needs and budget and he didn't try to push anything. He is an amazing sales person and I would recommend him to anyone! Bobby Nunn helped me get the BlueLink setup and showed me all the amazing features in the Palisade. Everyone I spoke with was very helpful and professional. ",5.0
2,"March 22, 2020","This is my fifth Hyundai purchased from Patterson's in Wichita Falls.  I have bought a 2006 Sonata, a 2012 Sonata Limited, a 2015 Tucson Limited, a 2017 Santa Fe Sport, and now a 2020 Tucson Ultimate.

With the exception of the first one, all of the others have been purchased from Bobby Nunn as the salesperson.  I can't complement Bobby and Patterson's enough.  I have always received what I consider a great deal (ample trade in value) a great experience with Bobby and with the finance section.

This time, I told Bobby what I was looking for.  Within a day he had located two options for me to consider.  One car was in McKinney and the other in the Houston area.  He presented the options for me to decide which I wanted.

The buying experience was great.  Thank you Bobby.  The Finance person was open, friendly and seemed to care about me getting the car I wanted.",5.0
3,"February 29, 2020",Great experience. Staff was alert and attentive without being pushy and helped guide me to what I believe was the right buy for me.  This was my second new car purchase from Patterson’s and I highly recommend. ,5.0
4,"December 31, 2019",Bobby Nunn and Jabin Smythe were both excellent to work with.  Very professional and knowledgeable. Appreciated the help with setting up all my gadgets in my new vrhicle. ,5.0
5,"December 08, 2019","Even though I bought a Hyundai Kona, I have to give Michael Mason (from the Dodge facility) all the credit for finding the car that I wanted.  Dodge didn't have the type of car I was looking for, but he continued to help me with my search at Patterson's.  He showed me cars at they Hyundai facility (even though he didn't sell Hyundai), in which I did find the Kona!  They didn't have one that had all the features i wanted , so he searched the area until he found one for me.  He had it here and ready for me to pick up in 2 days.  That's customer service!!!  Zack Baker was the salesman at Patterson Hyundai that went over the many features, and helpful with any questions I had.  The overall experience was excellent, and I would recommend Patterson's for anyone looking to purchase a new vehicle!  ",5.0
6,"December 06, 2019","Bobby Nunn of Patterson Hyandai was the most professional car salesman I have ever worked with.  He did not give us the typical high-pressure sales pitch but was honest, open-minded, and ethical.  He went the extra mile and worked the purchasing department to get me the same offer CarMax gave us.  I would totally make the drive from Dallas to Wichita Falls again, just to work with Bobby! ",5.0
7,"November 20, 2019",This is my second car I buy from Pattersons and second time working with Bobby Nunn.  Bobby as always made the process super easy.  I would refer Bobby to anybody looking for a car.  ,5.0
8,"October 16, 2019","We have bought from Patterson /Hyundai before, and then bought else where and now back to Patterson/Hyundai as we love the warranty and the SUV ,s , But best of all we love our dealer has been with us for many years , Bobby Nunn always goes the extra mile to make sure we are pleased with our purchase and getting the best deal possible, He came in on his day off to   help me find a great car, Of course we purchased a 2019 Hyundai Sante Fe with 3rd row seating again as I liked having the 3rd row in my Hyundai Veracruz..  Bobby Nunn keeps us coming back for his great personality and knowledge of Hyundai . I send all my family and friends to Bobby first and yes they have bought,,,thank you for a great looking SUV and warranty program. Built to last,,,,,",5.0
9,"October 11, 2019","Chris Emery made buying a car as painless as possible.  Having been married 50 plus years my husband always did the  shopping & dealing (I did the approving).  Due to my husband having a stroke I was left to ""Tackle the Task"".  Chris was readily available by phone and text to answer my questions.  Once I had purchased the car Bobby Nunn fully explained all the ""Bells & Whistles"".

Carolyn ",5.0
