,Date,Reviews,Ratings
0,"June 27, 2020",Great service. One problem only: a little difficult to get to and from the dealership from the freeway. (We are senior citizens.)  Appreciate Sandee Jimenez and Rodney King!,5.0
1,"June 26, 2020","Ken and his team provide top notch service. This location is 25 miles from me, this is the kind of service they give. Highly recommend!",5.0
2,"June 20, 2020",Helpful and Courtesy Service. Scheduled New Car service. Plus Your TEAM went the Extra Mile in helping me with my navigation system problem. Thank You Freeman Hyundai!!,5.0
3,"June 19, 2020","Everyone I spoke with was very courteous, informative, helpful and knowledgeable. Made me feel very welcome and regularly kept me up to date. I would definitely recommend this facility. ",5.0
4,"June 19, 2020","The best price and customer service on all Dallas!!. period.
No hidden cost, the cost they told you is what you pay. 
All other Hyundai dealers sent to me same car with 1k or 2k over the price.",5.0
5,"June 17, 2020",Took my Elantra in for routine servicing - everything was taken care of promptly. Facility was practicing good COVID guidelines.  My service consultant was Herb - good to work with. I have never been disappointed in the service I have received with Freeman.,5.0
6,"June 17, 2020",Jim and Rodney were top notch and took great care of us!  We felt comfortable from the moment we walked in until the moment we left with our new car!  Thank you!,5.0
7,"June 15, 2020",Maritza Tamayo did a great job & was very helpful.  She brought the SUV to my residence for a test drive and then delivered the vehicle to me when sold.,5.0
8,"June 09, 2020",I took my Santa Fe in for its first service.  The appointment was met promptly and the wait time was minimal.  This was during the covid 19 and the car and facility were clean and disinfected.,5.0
9,"June 06, 2020",I brought my vehicle in for service and both Herb and Taz were great!  I would definitely buy my next vehicle from Freeman Hyundai!  They are what Customer Service should be everywhere!  ,5.0
10,"June 02, 2020",The purchase process was painless  and Larry didn't waste my time in telling me all the facts I needed to know to make the right decision to purchase my vehicle. ,5.0
11,"May 31, 2020",Servicing my Hyundai here is always a good experience.  Employees are professional and friendly.  Service and repairs are completed quickly and work is high quality.,5.0
12,"May 31, 2020","I have been going there for years & always deal with Ken Demerest in the Service Dpt., & he takes GOOD Care of me!! Thank YOU Ken!!  😀",5.0
13,"May 26, 2020",always a pleasure working with such friendly people at Freeman Hyundai...Good service every time thank you for all the hard work....I will recommend Freeman Hyundai to friends and family ,5.0
14,"May 23, 2020"," Best experience buying a car in my 64 years!  Sandee and Rodney were outstanding in going above and beyond to take care of all our questions and needs
Thanks again!",5.0
15,"May 21, 2020",I am a long time faithful customer.  They have always taken very good care of my car!  It is still running good and gets me everywhere I go in 10 years!,5.0
16,"May 15, 2020","I have purchased 6 cars at this dealership and including by daughter and her in-laws and one grandson, we have purchased a total of 13 cars from Freeman.  We have been treated like family and we don't shop anywhere other than Freeman Hyundai.  I like the people at Freeman but I also love driving my Sonatas.  I have no reason to shop elsewhere.",5.0
17,"May 13, 2020","Jim and Jesse were both great! This was the best car buying experience I’ve ever had, and it was during the Covid-19 chaos!",5.0
18,"May 13, 2020","Always excellent service dept, managers and staff.  Will continue to come back regularly because they are the best!  Best to everyone in this pandemic and hope your dealership and service dept stays safe and healthy.  Thank You!",5.0
19,"May 08, 2020",Awesome Hyundai family!!! Got me exactly what I wanted!! I couldn’t be happier with my purchase and no one tried to pressure me into anything. ,5.0
20,"May 07, 2020",Great quick service and Herb Asanarong is an all star.He alone would be the reason I would return to Freeman for future service and any Hyundai car purchase. ,5.0
21,"May 03, 2020",Everyone was pleasant and the service was excellent. The only thing I disliked was that some of the customers did not have masks on. This should have been noticeable.,5.0
22,"May 02, 2020","I thought I had broken my door handle a few days ago, but it continued to work...until it didn't. I couldn't get out that door, so I hustled over to the dealership without an appointment. This was an emergency. Though they were busy, they fit me in. They even had the parts I needed in stock. It took them 1 1/2 hours to get the job done and me on my way. Happy experience, and Taz is great, as usual!",4.4
23,"May 02, 2020","Overall great experience with this dealer. Was shown some awesome vehicles, and great promotional financing. Larry was a pleasure to work with. I had only one hiccup with one finance guy... but that problem was swiftly corrected when the Finance Director stepped in to take over. ",5.0
24,"April 17, 2020","Ken did a great job of taking care of my service, as he always does. It was a recall repair on the ABS system, His crew completed the work promptly, and provided a place for me to wait while maintaining ""social distancing"" requirement of ""shelter in place"" rules to stop the CoronaVirus.",5.0
25,"April 17, 2020","This was my first visit to Freeman Hyundai for my 2016 Sonata and I must say it was a pleasure dealing with Herb Asanarong. He was polite, professional and communicated with me during the entire service. I will not hesitate going back to Freeman Hyundai and hope I will receive the same great service,",5.0
26,"April 17, 2020",The battery on my car died. They towed it in and provided a nice loaner. The battery was extremely expensive to replace so Ken called Genesis and asked them to provide at no charge! Thank you all!,5.0
27,"April 16, 2020",my call was made and the operator connected me to the service dept who scheduled me an appointment on the same day .  my oil and filter were changed . my tires were rotated and my car inspected for state inspection .  everyone was courteous and considerate.,4.7
28,"April 16, 2020","Even with shelter in place orders, car service is essential and I was very pleased to get my dead battery replaced. Grocery store trips require cars to be running. My service was done quickly and efficiently!",5.0
29,"April 16, 2020",Ken Demarest has always been a very helpful professional.  I've always had excellent service here; Ken kept me well informed.  I felt well taken care of at Freeman Hyundai.,5.0
30,"April 14, 2020","We bought our Hyundai Santa Fe from Freeman, our first experience with this dealership.  From the professional sales experience to the customer care in the service department, we always feel comfortable.  I had our 2019 Santa Fe serviced on April 13th, 2020.  I was in and out in 45 minutes.  They did a complete inspection of all the systems and did an oil change.  From the service professional to the young lady that took payment, they were courteous, knowledgeable and I never felt that I was being taken advantage of throughout the entire process.  I will continue to have our Hyundai serviced at Freeman and will always come to them when we are ready for another car.

Al Cramer",5.0
31,"April 14, 2020","Our car was still under warranty, so they came and towed it since it couldn't be driven, diagnosed it, ordered the part, and had it repaired and ready to pick up in one day!  The two people I spoke to on the phone were very good with their ability to communicate professionally, and succinctly gave exactly the information I needed. Thanks to Freeman Hyudai for a job well done!",5.0
32,"April 02, 2020",Great experience.  Very accomodating considering the challenges of Covid-19.  This is my 3rd car lease with Freeman and I don't invision going anywhere else.  ,5.0
33,"March 30, 2020",Very good overall car leasing experience.  Sandee Jimenez was pleasant and knowledgeable.  She worked with the Manager to give me an incredibly good deal on a new car lease.  I would definitely recommend Freeman Hyundai for anyone looking to buy or lease a new Hyundai.  ,5.0
34,"March 30, 2020",These guys are the only people who have taken care of my car in 8 years.  They have always done a great job and take great care if my car.,5.0
35,"March 28, 2020",Did online shopping was very prompt and responsive. The financial transaction was just as easy and painless. Would recommend to anyone looking for a new vehicle. ,5.0
36,"March 25, 2020",This was my best car buying experience ever. I was greeted and treated respectfully. The staff was patient with having an active five year old to deal with too. Thanks to Everyone there.,5.0
37,"March 20, 2020",Excellent experience at the service department. Great customer service and overall knowledge regarding the service despite arriving for the last appointment of the day. Comfortable waiting area,5.0
38,"March 19, 2020","I am a returning customer to Freeman and I have to say that the service department is great and Ken is awesome, a great person to work with.",5.0
39,"March 18, 2020",Went in to get the safety features calibrated on my Genesis G80 and everything was completed in a professional and outstanding timely manner. I  always recommend their dealership  to friends and family.,5.0
40,"March 13, 2020",The service is always great and will always comeback for service when is due. The service advisor was friendly and listens to what you needed.,5.0
41,"March 12, 2020","My experience was all around great.  Brett Combs was my salesperson and he made everything nice and simple.  From the moment I arrived the conversation was pleasant and everything was explained.  He also took care of the standing malfunctions with the vehicle so I wouldn't have to worry about it once driven off the lot.

I was also kept abreast of when a loaner car would be available so I could drop off my car without delays.",5.0
42,"March 12, 2020",This was our third visit to Freeman for routine maintenance for our 2016 Elantra and have always received the best of service. Really like the way we are treated and the quality of service. Freeman Hyundai will continue to be our dealer.,5.0
43,"March 12, 2020","It is always a great experience at Freeman Service.

I will always bring my car to Freeman.

Herb was very friendly and helpful.

Everything went as planned with no surprises.",5.0
44,"March 12, 2020",I just wanted to say that Herb was excellent in taking care of my repair for my vehicle. He was able provide a loaner car as he realized the repair would take longer than normal. Freeman Hyundai has always treated me well when I bring my vehicle in for repairs. ,5.0
45,"March 11, 2020","Great Service
Extremely friendly
Always Patient and informative 
Good Deals 
Comfortable Lounge 
Convenient Transportation Options 
I will highly recommend to other friends and family.
Thanks so much. ",5.0
46,"March 10, 2020",Herb Asanarong provided excellent Customer Service.  Every Customer should be treated the way her treated me!  This is the first Hyundai I have ever owned and to this point I am very impressed!,5.0
47,"March 04, 2020",Went in for scheduled maintenance on my Genesis G80 and the service was completed in a quality and efficient manner with excellent customer support in keeping me updated on how things were going with my car. ,5.0
48,"March 04, 2020","This was a very pleasant experience and I totally would and will recommend this friendly team to friend and family for service or purchase a car.  Again Thank:
",5.0
49,"March 02, 2020","From the test drive to leaving with keys, it was maybe 2 hours. Michael Ray set us up with a car that we didnt even know we wanted and we LOVE it. This was th easiest car buying process ever. We will never go anywhere else. ",5.0
50,"March 02, 2020","It was above and beyond service from the time of dropping the car off, having the shuttle service take me to work, having communication with my service rep, having the shuttle service pick me up to get my vehicle and even the fast checkout! WONDERFUL EASY SERVICE  ",4.8
51,"March 02, 2020","Friendly sales staff, Russ was very helpful none of the usual hours of haggling over price and trying to sell me a car i dont want. I was in and out and purchased a car I love. ",5.0
52,"February 28, 2020",Ken and Jordan got me fixed up in no time! I didn’t have an appointment and they treated me like I was the only customer and they were stupid busy!,5.0
53,"February 27, 2020","Herb kept me informed and presented in a professional and friendly manner. Herb saved me the price of two tires, since diagnostics showed they were not needed! Thanks, Herb!",5.0
54,"February 26, 2020",Herb was professional and friendly. I used coupons I had saved and reduced my service cost by at least $75. Five stars for this visit!,4.8
55,"February 24, 2020","Ken Demarest kept us abreast of how things were going, no surprises, the service was completed as we were advised at the start.  Ken is definitely an asset to Freeman Hyundai.",5.0
56,"February 24, 2020",My experience with the Service department is ALWAYS positive!  I really appreciate the level of care that is extended.  I was even offered a loaner car for service that was only going to take one day.  I also really appreciate the business center cubicles made available.  That is a LIFE SAVER for those of us who work 7 days a week!,5.0
57,"February 19, 2020",Service Adviser Ken estimated 75 minutes wait time for my oil change and tire rotation and delivered in 45 minutes!  He sure knows how to talk to customers.,5.0
58,"February 17, 2020",Herb provided excellent customer service during my check-in and throughout the service process. He was able to provide explanations for all of the services being performed. Ken was efficient and friendly during my pickup and checkout.,5.0
59,"February 15, 2020","My sales person Edida was very helpful and a pleasure to work with. However, the finance person said he gave me extended power train warranty only to see that he added $2,500 to the price. That is not giving, but a terrible tactic to add to the price of the vehicle. ",4.0
60,"February 15, 2020",Very professional team! I really liked working with the Larry Chase - he is very knowledgeable and professional. The dealership is one of the best that I have worked with in buying a car. ,5.0
61,"February 09, 2020",Herb was so helpful for telling me the problems of my sonata. He showed/quoted me the services needed for my sonata without pressuring me.,4.6
62,"February 05, 2020","I am always happy with Freeman's support--Bradley, the new Genesis guy, worked with me to service my Genesis on a convenient day and was responsive to our every other need too.",5.0
63,"February 04, 2020",Excellent customer service and very friendly. Scott explained the services needed in a way that I could understand and without feeling immediately pressured. He respected and understood when I told him I would take the service estimate to my husband. ,5.0
64,"February 02, 2020","I showed up without an appointment on a Saturday, which is always busy and was able to get the service I needed. Always friendly helpful people at Freeman. ",5.0
65,"January 31, 2020","As usual, wonderful service with outstanding technicians and service managers.  Was seen in time and my car finished, washed and ready to go when promised!",5.0
66,"January 31, 2020","I have now used this service department several times for my Genesis. They usually get about 99% of the requested work done. However, I have had to review their work after several appointments only to occasionally find that one item was forgotten. ",4.8
67,"January 30, 2020","Professional, great lobby area and clean restrooms! I like having access to Pat to answer some “technical” questions I may have. Only one minor con, when you walk in someone should look up and greet you.",4.0
68,"January 30, 2020",Took less time for my first free oil change than it did for me to get to the dealership. Everyone was polite and I like that there is a quiet waiting room. Thanks!,5.0
69,"January 29, 2020",I did my due diligence prior to coming to the dealership so I knew exactly what I wanted. I worked with Lauren Hargreaves of who I would definitely work with again!,5.0
70,"January 28, 2020","I bought my 2013 here, and now my 2020. I wouldn't go anywhere else! Love Hyundai and this dealer is the best choice! I would recommend family and friends driving a long way to deal with these gems. Know your internet prices and snag up their sales deals. EASY CLOSING!",5.0
71,"January 28, 2020",When I arrived they knew who I was. Immediately took my car for the service needed. No wait. Very courteous staff. Also told me of a recall on my car and took care of while I was there.,5.0
72,"January 27, 2020",I scheduled an online Service Department appointment for a complimentary oil change and it was discovered the battery needed to be replaced; had credit and it was replaced at no charge to me.,5.0
73,"January 25, 2020",These are the only mechanics that work on my volester. I’ve been satisfied with all work done. Scott is so polite and professional as he explained what the issue was. ,5.0
74,"January 22, 2020",Always appreciate the excellent service and recommendations provided by your knowledgeable service team.  Ken is the best at answering all my questions.  Always appreciate the car service to/from work so I don't have to miss out on work.  Thank you!,5.0
75,"January 22, 2020","Am a Genesis owner, and Bradley and his team always take great care of me. They are timely, polite, and communicative. They are quick to act even in situations where a service appointment was not scheduled. ",4.8
76,"January 21, 2020","I actually spent most of my time in the customer lounge as I waited for my car maintenance to be completed.  I found it to be very clean and it had good coffee, bottled water, donuts and fruit that was fresh.  It was a very pleasant experience, I only waited for an hour and 40 minutes and I was ready to go.",5.0
77,"January 18, 2020","I've only been to Freeman twice but their accommodating area with wifi, work desks, coffee machine, etc. make it an easy place to wait on your vehicle and get work done. I've been able to be productive during long wait times. The area is also clean which I appreciate. The staff is open, friendly and honest. Hyundai policy ensures you get a car wash, too--leaving your vehicle looking better than the way you left it. ",4.6
78,"January 18, 2020",I always leave happy whenever I visit Freeman Hyundai. All the employees are so friendly and courteous. The customer waiting room is very nice and the restrooms are immaculate.,5.0
79,"January 16, 2020","They beat their estimated time and price on a spark plug system replacement after an engine check light came on. They also did routine maintenance that was about due at the same time, saving me a trip and not taking any more time!",5.0
80,"January 15, 2020","I made my appointment for an oil change and they took my car right in and were finished in about an hour, including a car wash and vacuum.  My service advisor was efficient and friendly. ",5.0
81,"January 14, 2020","I went to the dealer because my car reported an engine problem and the check engine light was flashing.  I was due for an oil change so I included that on the list of  things to do.  They were backed up on repair work and asked if I could get someone to pick me up if the engine problem was serious.  Fortunately, after a quick diagnosis the problem was a minor software update and I was on the road in less than an hour.",5.0
82,"January 14, 2020","Service was efficient, friendly and the staff went above and beyond the basic needs I had to service my Hyundai.
A clean well serviced car was returned to me.",5.0
83,"January 09, 2020","I've been going to Freeman Hyundai's Service department for many, many years. They have always been friendly and professional. Well done, Freeman Hyundai!",5.0
84,"January 07, 2020",I took my car in for service and the agent Scott not only did an amazing job but provided the best customer service as well! Definitely recommend! ,5.0
85,"January 06, 2020","There is a great atmosphere at this dealership. The employees are friendly, knowledgable and we did not feel any great pressure to buy a car.",4.8
86,"January 04, 2020","Friendly, courteous, helpful, no pressure buying experience. The second Hyundai I've purchased from Freeman Hyundai. I've also been very pleased with the service department.",5.0
87,"January 04, 2020",Lauren was very responsive and great to deal with. She made the experience of shopping for a new vehicle actually enjoyable. Would highly recommend this dealership. ,5.0
88,"January 02, 2020","In before holiday for oil change, brought vehicle home and 2 day’s later battery was dead.  They explained the new batteries give no signs or symptoms.  Problems resolved quickly with great customer service!",5.0
89,"December 30, 2019","Fast and easy transaction, no headaches, no hidden fees or unexpected add-ons. Took a little over an hour to complete the transaction. 
Would recommend.
",4.2
90,"December 27, 2019",I use my volester daily enough to call her ladybug. She helped me on drives to college as well as drives to see family 300 miles away. When the engine came on after I turned her on after work I was worried. I took out the manual as well as googled symptoms. With instructions to park it and call a tow truck appeared I felt doomed. I tried to do an online appointment but January 6 was too late for me. My husband took it in and they serviced her so quickly. I learned my parts were under warranty which was also a plus. I really like this service department. I bring her here for all the oil changes as well as interval changes. I just had my 30k mike check up so I was surprised by the light. Needless to say she’s driving great now. ,5.0
91,"December 22, 2019","Very good work, very good work, very good work, Have a Merry Christmas and Happy New Year. Good wash and detail work on my car.",5.0
92,"December 21, 2019",as usual the service department did a super bang up up.  I was in and out of the door in nothing flat and with a minimum amount of hassle,5.0
93,"December 20, 2019","Remarkably easy to deal with. Super friendly. Would recommend to all. Like my new Tucson and I am running out of things to say. Thanks.
",4.8
94,"December 19, 2019",I brought my Elantra in for routine maintenance and heater not working. Everyone I had contact with was friendly. I was kept informed of the work needed to be done to my car and as the work progressed. The work was completed in a timely manner and satisfactory. I will continue to use Freeman.,5.0
95,"December 19, 2019","Excellent, friendly service every time.  My vehicle was washed and cleaned before being returned to me. I would not hesitate to recommend this dealer or the service department. ",5.0
