,Date,Reviews,Ratings
0,"February 15, 2019",Ron Attaway got us in the car we wanted at a price that was excellent and practically read our mind about what we were looking for. I look forward to more cars!,5.0
1,"May 14, 2018","My whole experience from sales to service was exceptionally great. Would like to thank Robert Lewis for selling me my brand new Elantra couldn't be happier. I recommend to anyone looking to buy a new vehicle at mike Brown's Hyundai, easy going atmosphere no pressure buying experience. ",5.0
2,"December 26, 2017",Picked out car and did most of the paperwork from Home. Should have saved a lot of time. Financial department was 80% of my time.,4.2
3,"December 24, 2017",Great car and value. This is the 5th Hyundai that I have purchased and all of them have been great cars. I have taken all of them back to the dealer for service and have been happy with the results.,5.0
4,"December 22, 2017",My experience at Mike Brown Hyundai was exceptional.  The whole experience was a pleasure and I am really enjoying my new Tucson.  I will definitely recommend the dealership to anyone I know looking for a new or even a used car.,4.8
5,"December 12, 2017","Very professional & helpful, let me drive several cars & Suv to get a feel for what I was looking for.   No pressure tactics.  Love the car I chose.",5.0
6,"November 11, 2017","Austin was very professional, yet personable.  Austin was attentive to out needs and made the car buying experience short and without hassle.  Austin is a great asset to the dealership!",5.0
7,"November 09, 2017","Great place to do business.  If you are looking for a fair price and great service, search out salesman Ron Attaway.  Service department is also great to work with.",5.0
8,"November 06, 2017","This is my second Santa Fe and I love it. I like my new features that wasn’t on my last one. Guess in four years, I’ll get another one.",5.0
9,"October 20, 2017","Very professional! Didn't try to sell me something that I wasn't looking for. This was the 3rd Hyundai I have purchased from Mike Brown Hyundai, have always had a very pleasant experience from the staff.  I have recommended Mike Brown dealership to all that I come in contact with that are looking to purchase car.",5.0
10,"October 05, 2017",This place and Ron Attaway are just awesome to work with.  I have purchased 5 new cars from Ron and I am always very satisfied.  This was my 3rd Santa Fe Turbo.,5.0
11,"September 29, 2017",Good dealership.  I bought 2015 F 150 from Mike Brown in October 2015.  Still own the truck.  Good dealership to work with.  The salesman was very nice and helpful.,4.8
12,"September 26, 2017","Rick Coleman, new sales manager gets MANY  kudos for helping me with getting out of a lease that the theives at Hiley put me in.  It was costly but so very thankful never ever to walk thru the door at Hiley again.  All the employees at Mike Brown presented an image that was clean and decent......this is refreshing change of pace at some car Dealers. Hiley has an atmosphere of screwing their sox on and they do.",4.8
13,"July 12, 2017","Personable, direct, informative staff, that listened well and provided everything that I wanted on the car. Will definitely come back again and plan on using the service department.",5.0
14,"June 10, 2017",Had a fun experience. Pricing was easy. I had done my homework and things went quickly. Car was delivered quickly and Finance Manage took 2 1/2 minutes. We timed.,5.0
15,"June 10, 2017",Would highly recommend this Dealership. They were awesome. Look forward a lasting relationship. The friendliness and professionalism was top notch. This is going to be my wife's vehicle and was extremely pleased with the whole experience thanks everyone,5.0
