,Date,Reviews,Ratings
0,"December 23, 2017","I love here in Huntsville, it is my school town and I decided to buy car here. Just the same as I expected, the dealer here make me feel like home, they are professional and friendly. I love the experience of buying car here.",4.4
1,"December 15, 2017",I had a good experience.  Everyone was helpful.  They explained everything well and told about various options. I was pleased with the financing.  They had three companies to choose from.,5.0
2,"December 11, 2017","My experience and Hyundai of Huntsville is definitely my best car buying experience to date. The staff was friendly and knowledgeable, I was able to get the exact vehicle I wanted for a price I was incredibly happy with.",5.0
3,"December 02, 2017",Thank you so much! Love the car and the dealership. Excellent pricing  and customer service experience. I would definitely come back for my next vehicle and refer my friends,5.0
4,"November 30, 2017",The price and willingness to help us get in our new vehicle was amazing. Definitely going to recommend to others when they’re shopping for a new vehicle,5.0
5,"November 21, 2017",Overall experience was very positive.  Staff is friendly and helpful.  Sales person was excellent - came in on his day off to start the process of trading and purchasing vehicles.,4.8
6,"November 17, 2017","I saw reports on the web about the IONIQ. I went to test drive and the car was great. In a couple of months, we decided to buy. Everyone at Huntsville Hyundai was helpful and got the sale done in great time. No mess, no fuss.",5.0
7,"November 11, 2017","A very positive experience with the salesman and dealership. I will recommend this dealership to anyone that is interested in a Hyundai. I am impressed with the new Sonata that I purchased, a real nice mid level automobile.",4.8
8,"November 09, 2017",Service was great and wonderful will be coming back for sure and will recommend Hyundai Huntsville tx to all my family and friends will be coming back,5.0
9,"November 04, 2017",Honest and trustworthy.  So glad I drove the 60 miles to do business with them.  We pretty much had the details worked out before I arrived but  I was pleasantly surprised that every detail was as I had been told.  Totally confident in Hyundai of Huntsville and will refer anyone I can.,5.0
10,"November 02, 2017","This was an amazingly easy transaction, with no hassle, no unnecessary wasted time.  Best car buying experience I have had.  Would highly recommend the dealership.",5.0
11,"October 29, 2017","Everyone at this location were friendly and welcoming. Their main concern was that all of my needs were met and I left happy, whether it was with one of their cars or not. After discussing what I was looking for and my price range, they arranged me to test drive a 2018 Elantra, which I ended up purchasing. This was the easiest car buying experience I have had.",5.0
12,"October 26, 2017","Was a good overall experience with a timely, courteous, and friendly staff. Also really enjoyed the music and coffee in the lobby. Vehicle was exactly what we were looking for. That's what made the drive worth it.",4.8
13,"October 16, 2017","We had a Lincoln Town Car since 2007, the last year that model was produced.  We loved that car, but unfortunately it met its demise on a road that was filled with fresh tar and gravel which had not hardened and literally tore the insides out of our car.  We tried to purchase a new Lincoln. There were several reasons this did not come about.  We did not feel that the sales person was very interested in helping us.  There is no Lincoln dealership and no Lincoln service in the immediate area where we live.  We really liked the sales staff and Hyundai and they were very glad to show us lots of options.  They were very helpful in explaining all the features of the car and will continue to be of service if we request it.",5.0
14,"September 20, 2017",Very good customer service. Willing to work with us and make a deal. Very welcoming and friendly people in the whole dealership. Would definitely recommend this dealership to others,5.0
15,"September 20, 2017",I am so impressed with this dealership and the immaculent service that was given through every step! I will refer anyone and everyone looking for a new car to this location and am so thankful I bought from Hyundai Huntsville!,5.0
16,"September 16, 2017","Awesome, couldn't be no better, Wonderful experience, one of a kind! Very professional  & explained each little detail! Met all of my needs and more! He is terrific! Finance off was great and efficient.",5.0
17,"September 09, 2017","Honest and fair dealer! I felt like I was part of their family. They treated me like I was important and my checkbook even more important. Go buy from them. You won't be disappointed, I promise!",5.0
18,"September 06, 2017","I had good time during my encounter with the dealer, everything was explained to me well and had a very good overview of the car I preferred to buy . My seller was always guiding me and did guide me well.",5.0
19,"September 05, 2017",The staff at Hyundai of Huntsville made buying my car extremely simple.  The model I wanted was not in stock but within the day had located one and had it there that evening.  Voila.  A new car sale.,5.0
20,"August 29, 2017",I am very satisfied with my purchase. The staffs were all kind and professional. They also tried to accept my price offer and save my time. I will definitely recommend my friends to buy a car here.,5.0
