,Date,Reviews,Ratings
0,"March 15, 2018","Ben was easy to talk to, sociable & thorough on every vehicle spoken of. He was determined and never gave up on giving me exactly what i needed.",5.0
1,"February 17, 2018",It was easy fast and no bs. I told them what I wanted and they made it happen. I will recommend everyone to go  I will go back when I want something else. ,5.0
2,"December 24, 2017",We knew exactly what we wanted when we arrived at Perry Hyundai. Our sales consultant was able to meet our needs and has continued to provide excellent customer service beyond the day of sale. We appreciated the lack of “games” played during our buying experience and the friendly accommodations afterward have just been a bonus.,5.0
3,"December 17, 2017",Was greeted by a friendly staff. He worked with me on getting something affordable. I’m happy with what I got. Was recommended to go there by my sister. Thanks,5.0
4,"December 16, 2017",This is my second new Hyundai purchase and I love both my vehicles and the staff is very friendly. I am glad this dealership is in my town.,5.0
5,"December 13, 2017",Rex Perry and associates were so helpful and friendly. Me and family will continue to do business and refer others. Me and my husband are newlyweds so this was a very special moment for us.  All the staff were very nice. Mr Henry was so patient and understanding.,5.0
6,"December 13, 2017","Mackee was pleasant, he and his associate got me a car to test drive immediately, even with it being a walk in. I had my car purchased within 48 hours. Negotiations were met to my satisfactions. I am looking forward to getting an even better cash purchase on a pre-owned vehicle with just as quick purchase time.",4.0
7,"December 02, 2017",My review of the dealership is fantastic.  They worked well with my husband who can tend to be very picky.  He left extremely pleased and happy with the car.,5.0
8,"December 01, 2017",Ask for Tim Bush. I can't say enough good things about his amazing customer service abilities. Highly recommend Perry Hyundai. What a great car-buying experience.,5.0
9,"December 01, 2017","Tim Bush was very accommodating helping us with our trade in. Tim was knowledgeable about helping us select our new Hyundai Elantra. Tim was friendly, folksy and fun to deal with. Rex is a nice boy too.",5.0
10,"December 01, 2017",Great dealership Tim was great second car bought from Rex perry they were very friendly and treated us with great respect they even fed us dinner,5.0
11,"December 01, 2017","Mike did great on helping us find our perfect vehicle, he listen to what we wanted and test drove with us. He had a great attitude since we arrived to the dealership. Definitely will be coming back.",5.0
12,"November 22, 2017",always great experience at perry Hyundai. mike and sean are good to deal with. will definitely return. also julio and jimmy in service. good men.,5.0
13,"November 09, 2017",We recently bought a 2018 Hyundai Elantra for our son. The experience at Rex Perry Autoplex was great from beginning to end. The customer service and price were awesome. Sean and Mike went above and beyond to make sure that we received a great deal. We would definitely recommend this dealership to those shopping for a new vehicle and ask for Sean and Mike! They will treat you right!!!,5.0
14,"October 28, 2017",Felt like friends at first meeting. Was treated with much respect for my age. Took time to make sure I understood everything about the Lease Agrmt.,4.8
15,"October 28, 2017",I am extremely happy about my new car and how well the salesman understood what I did and didn't like about a vehicle. I have had so many friends ask where I bought it and how i like driving Hyundai.,5.0
16,"October 26, 2017",I am very pleased with how professionally and friendly the transaction was handled. Really enjoying my new 2018 Santa Fe Sport. Thank you for making this an enjoyable experience.,5.0
17,"October 24, 2017",The employees were great. Very professional and timely. I could not have asked for better service. I would recommend this dealership to others. Overall great experience.,5.0
18,"October 20, 2017","This is the 3rd vehicle I have purchased from Rex Perry Hyundai. Salesman, Cole Milford, helped me pick out the perfect vehicle. His kind, honest and straightforward attitude is one of the reasons that keeps us coming back. Sean Bush in financing is another reason. Sean goes above and beyond to get us the best interest rate and explains all of our options in terms that we can understand. I  will always return to this great team for my auto needs.",5.0
19,"October 19, 2017",Great buying experience as usual. If only their service department was as good as their sales team then they would be A+. Ben was a great salesman as usual.,4.8
20,"October 19, 2017","I would refer my salesperson, Ben Curtis to anyone that visits Rex Perry.  I was greeted promptly and testdrove several vehicle until I found the perfect match. The price was settled and financing was set up without any issues.",5.0
21,"October 12, 2017",Couldn’t be happier with the experience or the price and value of our Sonata.  Pleased with all that we got considering we were going to buy used.  We have already recommended Perry Hyundai to our friends and family.,5.0
22,"October 03, 2017",I was satisfied with the salesman. He worked with me to get my notes where I wanted them and to get the car that I wanted.,4.0
23,"September 29, 2017",Will talk to someone about bluelink when I come back. Not sure what you are wanting here. Everyone was really nice. Can't remember the young man 's name that  sold me the car.  Thanks again,4.8
24,"September 28, 2017","I had an excellent salesman, Cole Milford, who provided me with a wonderful car buying experience. I will definitely recommend him to anyone who is looking to purchase a new car.",5.0
25,"September 26, 2017",It was a great experience! All the staff I meet was super nice. Will be getting my next car from here! Thanks for everything Rex Perry Autoplex!,5.0
