,Date,Reviews,Ratings
0,"May 15, 2020","We went to Hiley Hyundai to look at new vehicles right at the COVID outbreak was becoming more well-known. But there we no official orders to stay home at the time and the dealership was accommodating test drives and such.

That day I chose a 2020 Hyundai Santa Fe but the color and model I wanted was not available aside from the one we'd driven. We pointed out that there were dings in the paint and bubbles in the chrome grill. The dealership admitted these flaws, that this NEW car was imperfect before handing off. 

They offered to either a) order another car and we could wait or b) that since the issues were cosmetic, we could come back once the virus had calmed down and they would fix the dinged paint from transport and replace the chrome that had bubbled up places and areas that were obvious manufacturing problems, NOT wear and tear.

Since we the issues were cosmetic and I'd dealt with Hiley regarding service on the Santa Fe I currently owned (at the time) and had enjoyed stellar service, I had no reason to believe they would do anything but hold to their word and make the banged up 2020 Santa Fe as good as new as they had promised.

Roughly six weeks later, we brought in the car once it was safe to do so with a pandemic in play. They provided a rental and kept my car for some time. I had no reason, given the length of time they kept the car, to imagine they'd done such slap-shod work. When I finally went to pick up the car, it was as if they'd done nothing. 

Not only did they charge me to for touch-up paint which I confusingly and grudgingly agreed to (thinking they'd done actual body paint work, not bought a touch up pen), but they touched up the chrome only on one side and with paint.

They did NOTHING to repair the grill of the car with where the chrome was bubbled and delaminating...which is a manufacturing issue not a wear and tear problem. This issue occurs when the composite is hit with an electric charge. This then is when the chrome adheres to the material. If there are any imperfections, you will get bubbles or areas where the chrome doesn't adhere properly.

They also listed on the invoice they had washed and vacuumed the car, but the car was filthy and there was still grass all over the floorboards from when I'd been transporting plants before dropping off the car.

This only fuels my suspicion they did as little as possible, if anything to the vehicle.

I was extremely angry. I told him the car hadn't even been washed, and he assured me it was pollen. The manager of the dealership came out, allowed me to take the rental car home and asked me to give him an opportunity to make it right.

Apparently, his idea of making things ""right"" was to have his salesperson, Mr. Fansler, insinuate that he'd made no such agreements with my husband and that we must have been mistaken, that he'd only agreed to touch up the nicked chrome (even though we have the fact the car was damaged in transport in writing).

Not only did the dealership essentially insinuate that no such agreement was made and that we were responsible for the damage and must, I suppose, have made up the problems, they refused to fix any of the damage they'd promised to make right if I purchased the car that day.

They've done nothing but play dumb that we never pointed out the other problems and that this must all be figments of our imagination. I am beyond vexed that there is nothing I can do. Against my better judgement, I bought a banged up new car from Hiley. 

They KNOWINGLY sold that car with a promise to fix the cosmetic damage and now have reneged on their word. Not only that, but the touch ups they did to the paint are horrific. It looks like someone cut loose a five-year-old with a bottle of OPI nail polish on my car...the areas they actually bothered touching up.

I put $10,000 cash down on a vehicle, bought a new car, did everything in good faith and now every time I look at what should have been my birthday present I feel ill. I feel extorted and duped. These were simple cosmetic issues that were there when we took hold of the car. Hiley KNEW that and they are now playing as if they didn't.

My husband went to pick up the car again today after all this. They again, didn't bother washing or vacuuming the car. It was filthy and the floorboards STILL covered in grass.

This is WRONG, and unfortunately, there is nothing I can do other than drive a banged up 2020 Santa Fe. I've launched a fraud complaint with Hyundai Corporate and filed a complaint with the State AG, the BBB and even consulted an attorney. If anyone is curious about the veracity of my complain, feel free to look to my one-star Google review that includes pictures.
",1.4
1,"February 28, 2020","**BEWARE-GO ELSEWHERE** $50 TEST DRIVE OFFER IS A SCAM TO GET YOU IN AS MINE WAS NEVER EVEN PROCESSED EVEN THO I PRESENTED & THEN PURCHASED..THEY FRAUDULENTLY OFFER INTERNET PRICES & YOU DRIVE LONG DIST TO GET THE VEHICLE & THEY WILL PRESENT YOU WRITE-UP WHERE THERE'S  $1700 & CHANGE ADDED ON, ONTOP OF THEIR (FALSELY) ADVERTISED PRICE.THEN YOU SAY YOUR'RE NOT PAYING IT-THEY THEN GIVE YOU THE DANCE THAT MGRS WILL HAVE TO APPROVE YOUR COUNTER OFFER WHICH EXCLUDES THE ADDED $1700. *POOF*-SALESMAN COMES BK W/THE WRITE UP SHOWING THE $1700 NOT INCL & MARKED OUT. SO WHEN WE REASK IF WHAT WE'RE SEEING IS ACCURATE RE; THE $1700 BEING TAKEN OFF, OUR SALESMAN ACTS LIKE HE DIDN'T KNOW EITHER THEN STARTS TO TAKE THE WRITEUP BK TO HIS SIDE OF THE DESK, SAYING, ""OH WOW"" I CAN ASSURE YOU-THEY MUST HAVE MADE A MISTAKE BK THERE. I'M SURE IT WASN'T INTENTIONAL BUT YOU CAN TAKE IT TO FINANCE & SEE IF IT PASSES BY THEM."" WE GET TO FINANCE. LOW & BEHOLD WE GO OVER ALL & WE LOOK AT BOTTOMLINE PRICE TO FINANCE & BOOM, THE $1700 IS INDEED BK IN THERE AGAIN W/O A WORD BEING SAID. WE SAY SOMETHING'S NOT RIGHT TO  OUR FINANCE PERSON-A VERY NASTY YOUNG ""LADY""NAMED STEVIE (AND THAT GIVES HER WAY TOO MUCH CREDIT - W/HER RUDE BEHAVIOR). STEVIE UTTERS NOT ONE WORD AS SHE BLATANTLY IGNORES US. IT''S NOT UNTIL WE OUTRIGHT TELL HER AGAIN IN SPECIFIC WORDS..THE FIGURE IS NOT RIGHT B/C OUR SALESMAN HAD THAT $1700 DEDUCTED ON HIS APPROVED WRITEUP SHEET & IT HAS NOW MADE ITS WAY BK INTO THIS BOTTOM LINE FIGURE.SHE GETS EVEN NASTIER SAYING ""WE DON'T DEAL WITH ANY OF THAT HERE, THAT'S ALL HANDLED BTWN YOU & THE SALESMAN OUT THERE."" BOY, HER ATTITUDE TOLD IT ALL-THIS INDEED IS A CON GAME.SHE MADE NO ATTEMPT TO GET A MGR OR OUR LOVELY LIL CON ARTIST SALESMAN.  MIGHT I ADD THAT SHE STARTS TO  GET NASTY/SNIPPY W/ YOU AS A CUSTOMER WHEN YOU DON'T TAKE ANY GAPs or GAZILLION ADD-ONs. WE LOOKED AT EACHOTHER & MADE A DECISION TO MOVE FWD/ DESPITE THE HORRIBLE, HORRIBLE EXPERIENCE. NOW, TO ADD INSULT TO INJURY- WE COME OUT OF FINANCING & SAME SALESMAN SAYS HE'S GOING TO  POST OUR REVIEW & PIC TAKEN EARLIER IN THE  PROCESS.I LOOKED STRAIGHT AT HIM & SAID ""DO NOT POST ANY REVIEW, BECAUSE I AM NOT HAPPY W/YOU NOR WHAT HAPPENED HERE, AS YOU ALREADY KNOW."" SO FOLKS PLS BEWARE THAT THIS IS WHY THEY GET YOU TO WRITE REVIEWS B4 YOU HIT FINANCING SO THAT ONCE YOU'RE DONE IN FINANCING, SHOULD YOU COME OUT UNHAPPY, THEY'RE GOOD BECAUSE THEY'VE ALREADY GOT YOUR GOOD REVIEW UPFRONT WHEN YOU WERE TOLD YOU'RE APPROVED & GOT A NEW CAR (B4 FINANCING FINALIZATION). REGARDING THE $50 TEST DRIVE OFFER - WE HAVE  COME TO FIND OUT OVER MONTH PLUS AFTER PURCHASING ON 1/4- OUR SALESMAN NEVER EVEN PROCESSED OUR OFFER CODE DESPITE IT BEING PRESENTED ON DAY OF PURCH. AS STATED ON THE OFFERS INSTRUCTIONS. STARTING 1/6 - WE BEGAN EMAILING & TEXTING HIM ABOUT IT & HE DODGED ALL OF THAT FOR ALMOST 3WKS, UNTIL WE FINALLY GOT LUCKY & CAUGHT UP WITH HIM BY PHONE.WHAT DOES HE DO...HE ASKS US TO RESEND IT TO HIM. MIND YOU, WE RESEND IT UMPTEEN TIMES WITH HIM ON THE PHONE SPENDING OVER 30MINS OUT OF OUR WORK DAY VIA TEXTS & SEV DIFF EMAILS ADDRESSES & DOMAINS. ALL AWHILE HE'S SAYING HE'S NOT GETTING ANYTHING AT ALL. COME ON NOW, REALLY??? YOU GOT OUR INSURANCE CARD EMAIL WE SENT YOU ON PURCH.  DAY WHEN WE WERE THERE IN YOUR CHAIR SO WHY IS IT NOT COMING THRU VIA MULTIPLE TEXTS & EMAILS NOW THAT YOU GOT YOUR MONEY & SOLD THE CAR! BTW - CLG BK TO DEALERSHIP TALKING W/SALES MGR - IS POINTLESS THEY ARE NOT HONORABLE EITHER DESPITE THEM SAYING THEY'LL GET IT RESOLVED & CALL YOU BK. BECAUSE OF ALL THIS, I RECENTLY DID MORE EXTENSIVE RESEARCH INTO COMPLAINTS WHICH NOW I WISH I HAD DUG DEEPER TO FIND BEFORE I GAVE THEM MY MONEY & TIME. IRONICALLY, I  SEE COMPLAINTS REGARDING THE ""OOPS THAT'S A MISTAKE-BY MY SALES MGR"" SCAM. SO IT'S NOT AN ISOLATED INCIDENT! NOTICE THEY ONLY RESPOND TO POSITIVE REVIEWS?? ** DO NOT GO TO THIS DEALERSHIP THEY ARE MORE CROOKED THAN A BENT UP ARROW.**IF YOU TRULY WANT A HYUNDAI GO ELSEWHERE WHERE THE BOTTOM LINE MATCHES THEIR WORDS AS TRANSPARENCY & HONESTY ARE KEY**",1.8
2,"January 11, 2020","I had a very nice experience buying my 2020 Palisade, Mr. Rodney Howard was very kind and knowledgeable. Friendly staff and willing to satisfy customers needs.",4.4
3,"December 29, 2019","Worked with Trey and William.  I've never had a faster car buying experience.  The process was very efficient, but I never felt rushed.  William is new to Hyundai, but I can tell he's working hard to learn all the specifics on the models to be more knowledgeable and helpful to his customers.",5.0
4,"December 03, 2019","NO STARS! This dealerships main goal is to ripoff customers! Over 11k 
for my 79 yr old Mother alone! BUYER BEWARE! See BBB complaints! You'll be glad you did!!
",1.0
5,"November 07, 2019","If you need to buy a new car, I recommend Hiley Hyundai. They made the buying process so easy. Ask for Rodney! You won’t be regret it. ",5.0
6,"July 20, 2019","On Friday 7/12/2019, I stopped by this dealership because I liked the online price for the 2019 Santa Fe XL with stock #H2521.  On the dealer's website, it showed MSRP of $36,090 minus $3,965 Hiley discount minus $3,000 factory offer that everyone gets at any Hyundai dealership for this vehicle.  Final Hiley Hyundai online price showed $29,125.  That was the best price I had seen all day after visiting 5 other Hyundai dealerships in the DFW area.  When I walked in and wanted to make the purchase for the advertised price, the salesman got with his manager and came back with something totally different than what was mentioned online.  They said their sales price was several thousand more than the online price.  When I questioned why the online price was different, they claimed they made some additions to the car.  I then asked why the online price wasn't updated to reflect the additions they made and no excuse was given.  I immediately stood up, left, and never went back.  I went to a competitor of theirs in Irving, TX later that evening to buy the exact same model they had at nearly the exact fake price Hiley Hyundai displayed.  As of 7/20/2019, the Hiley Hyundai online price continues to show the incorrect $29,125 and not include the ""add-ons"" they made.  Very shady characters at Hiley Hyundai of Burleson. Stay away from Hiley Hyundai in Burleson.  They missed out on my business for life.",1.0
7,"May 14, 2019","This place is awful and a total joke. They took my father-in-law's trade-in (he's 70+ and SUPER TRUSTING of other people) and sold him a car that had been hit and was clearly smoked in. He took the car back within three days and pointed these things out to them and they told him to essentially shove it, he can't have his other car back without giving them thousands of dollars and that they didn't care what he said, or ANYTHING about online reviews. This place is awful. My wife and I walked out of there after they tried to sell us a 24k dollar vehicle at 72 months with a payment of roughly $560 a month. We have excellent credit. This comes out to over 40k on the cost of the vehicle. They are totally dishonest and clearly try to scam people. We listened to them telling another set of people that the most they could get for their trade was $400 when the vehicle was easily worth a couple thousand bucks. I can't recommend enough for people to avoid this place like the plague!",1.0
8,"December 17, 2018","This was a excellence experience for me. My initial visit was to get my vehicle serviced but ended up purchasing a new Santa Fe. Lisa Conway, was still new but went out of her way to make sure I was satisfied with her service, because I wasn't feeling my best when I was there. I would recommend Hiley Hyundai, to anyone looking for a new or used Hyundai's. Mike, New Car Manager, Seth Finance Manager & Lisa Conway, were able to pull together and work out a deal for me. Thanks for everything.",5.0
9,"November 16, 2018","I would NEVER set foot in the establishment again due to the BAIT and SWITCH tactics and complete lack of integrity displayed. I was first issued an online price quote on the vehicle that I was after. I drove the extra distance after work to view the vehicle and get everything set up. Once I arrived, I was informed that I had to use Hyundai Motor Financing in order to get the agreed upon price and the loan type was a balloon payment as well. I was not thrilled about this because I had already let him know I had financing approved at my credit union but I agreed that I would use their financing and went forward with the transaction. I agreed to return to the dealership in a few days to purchase the vehicle and once again drove out after work to complete the transaction. More BAIT and SWITCH from there. I was sitting in Randy Leyva's office, which overlooked the showroom floor that the car was sitting on. He sent the car back to have it prepped for the sale. After a while, Randy returned to his office with bad news. The car we agreed to just had a price hike of over 2K dollars. His reasoning was that it had a leather package installed and he wasn't aware of it. We went over the car with a fine tooth comb, I took pictures and we actually discussed how nice the leather seats were. It said in big bold letters LEATHER PACKAGE on the windshield and he must have walked past this car every day he worked since it was feet from his door. For him to claim he overlooked it was simply unbelievable.  He said he could get me another similar car without the leather which I rejected without hesitation. He knew he wasn't able to sell me the car for that price and yet he continued to waste my time bringing me into the dealership. Other reviews describe bait and switch tactics used at this dealership and I can you tell you first hand this is how they conducted our business. I was told I would receive two 50.00 gas cards for my troubles and almost three months later I have received nothing. I would steer clear of this place. Other dealerships should realize tactics like these are what give car dealers a bad name. Shamefully dishonest and a complete waste of my time! I explained in follow up emails that there were plenty of similar negative reviews online and he said he didn't really care due to the fact he deals with so many people. bad experiences are bound to happen. I recommend that you find another dealership that will treat you with respect and honesty....Buyer Beware!!",1.0
