,Date,Reviews,Ratings
0,"January 23, 2019","Thanks to Kevin for making the purchase of our Hyundai Tucson Limited edition a very pleasant one. We will return for our next car purchase! 
",5.0
1,"December 01, 2018","Amazing performance, and the salesman was great and I would recommend this dealership and vehicle to anyone I know in the market for a new vehicle ",5.0
2,"December 01, 2018","I know I didn’t buy the most expensive car there, but I was treated like I did. Kevin Yarbrough is an awesome salesman, I would definitely recommend him to anyone.",5.0
3,"November 27, 2018","The staff was friendly and very professional from start to finish, I felt at ease in buying , I know I made a good purchase , will come back",5.0
4,"November 20, 2018",I was very impressed with the fast and professional service I received during my recent visit to the Service Depart at Gene Messer Hyundai.. The service representatives were patient and knowledgeable in answering my questions pertaining to my car maintenance. I received prompt and courteous  and will definitely continue coming back for future car maintenance needs.,5.0
5,"November 20, 2018","Good service,fast and friendlycalledand set appointment and took in car ,they called when ready.the car was returned clean,this I was glad about.will return when needed.",5.0
6,"November 17, 2018","Kevin helped us find our Hyundai Tucson Limited. We planned to go to Dallas to get better deals on cars, but he was able to reach us with a great deal just before we left.  Very professional.  Nice.  He brought us special coffee and filled the car up with gas for us and was so nice to our daughter.  He offered to let us take cars home a couple of times to try them out.  Always professional and nice in all correspondence and not pushy like some salesman.  Thanks Kevin!
",5.0
7,"November 08, 2018",The best dealership service center anywhere. In the door to out. I’ve had service on the east and west coasts and some in between so I have a pretty good measuring pool. ,5.0
8,"November 07, 2018",We purchased a new 2018 Tucson Value Edition from Michael after looking at a Kona and other makes and models.  Pleased with vehicle and the dealership.,4.0
9,"November 06, 2018","I had recently purchased new tires on an short schedule basis. I knew I needed to have a wheel alignment done. I normally schedule the service for my vehicle on-line ahead of time, but since we were in Lubbock for my wife's medical appointments, I thought I would stop by Gene Messer Hyundai service department and inquire about scheduling a wheel alignment and oil change and the charges for the service. Knowing that we live an hour and a half away, they told me they could take care of my needs right then. In less than an hour and a half, they had the alignment and oil change done, the car washed and we were on our way. The service staff and management at this dealership is excellent!!! I own two Kia vehicles that have never been serviced anywhere else.",5.0
10,"October 27, 2018",I have been doing business with Gene Messer Hyundai for 10 years now with no problems whatsoever. I would recommend this dealer to all my friends ,5.0
11,"October 26, 2018",Bought a used car.  Geoff was the salesman.  He went above and beyond to make sure everything was taken care of and even sat with me to show me how to sync my phone to the car.  He was really awesome.  I love my new car.,4.6
12,"October 21, 2018",Front desk personnel are excellent. The servicing of my vehicle is less than satisfactory. They put I refused a front end alignment when in fact I did have a front end alignment and my car still pulls to the right. When I immediately called back the next day and was told I might have to pay again because I could have hit something or that the service people might not be familiar with my make of car I decided not to bring back there. ,3.8
13,"October 04, 2018",Headlight assembly was ordered by Ashley (Parts Department) and she gave an arrival date for assembly to arrive.  Scheduled service for the following day after arrival of headlight assembly.  Alex gave a complete time of work.  Lewis took me to my workplace.  Service provided by all involved was excellent and every committed schedule was met.  Great service department with courteous staff with a great leader in Billy Martinez.,5.0
14,"September 28, 2018","I originally contacted the dealership about a used car but it had already sold.  I wasn't interested in a new car but, my salesman, Michael Covington, found me a new car with all the features I wanted for that same price as  the used cars I had been looking at!  He wasn't pushy and spent considerable time looking for the right car.  He found it in Oklahoma and had it brought to the dealership. I live several hours from Lubbock.  They did all of the paper work ahead and when I went to pick up the car it only took about an hour to finalize the deal.  Overall a great car buying experience!",5.0
15,"September 19, 2018",Mr. Martinez took care of a misunderstanding with the warranty on my Sonata A/C.  It is working really great now. I really appreciate them.,5.0
16,"September 17, 2018",Service writer Alex did a good job of getting me in & out & honoring appointment time! It’s great when a service department does what they say & in timely manner!,5.0
17,"September 15, 2018",I waited 1hr and 45 minutes for an oil change! When I went to pay because I had waited so long and they were unable to do the carwash as the staff had already gone home. I was given the service free and was very surprised!,5.0
18,"September 13, 2018",I will continue to take my car back to this dealership because they make you feel like family.  Very friendly and efficient.  They believe in servicing your car until you as a customer are completely satisfied.,5.0
19,"September 13, 2018","I am 78 and a widow.  I rely on the dealership to keep my car in tip-top condition.  I know that I can depend on them when I need anything related to my car.  This is very important to me at my age.  It relieves me of any car worries and helps me to enjoy being a car owner.
",5.0
20,"September 12, 2018",I was hopeful but not sure I would find a car that day. The salesman was helpful and friendly. Not pushy like some can be. He answered all of my questions and walked me through the process. This is the third  Hyundai we have bought from Gene Messer and will keep coming back if we need another car.,5.0
21,"September 06, 2018",Perfect ! Michael Covington can’t thank him enough for helping me. I wil recommend Gene messer Hyundai to everyone that ask me bout my new car. ,5.0
22,"July 25, 2018","I came in, knew what I wanted, and was willing to walk away if not satisfied.  I didn't walk away because both Jeremiah and his manager agreed to my reasonable terms.  Thank you for the best car buying experience I've ever had.",5.0
23,"July 24, 2018",The staff was very nice. I got my car back quickly. This is my secret nd car at this dealership. I hope to continue to work with the staff there   ,5.0
24,"July 12, 2018","I researched choices for a vehicle and found the Hyundai Kona was something sporty and practical I just graduated college and it was at a price that I could afford. It drives and looks like a higher priced vehicle. I wanted a particular color that was not in stock at the Lubbock dealership. Michael Covington and the Hyundai team listened to what is important to me and brought one in from out of town. It was clean and shiny inside and out, had a full tank of gas and only 13 miles on it when I drove it off the lot. I also got a really good interest rate! This dealership made my first new car purchase a great experience. ",5.0
25,"June 18, 2018",Their service has always been excellent.  I don't feel like they try to upcharge me or provide unnecessary work.  They are very convenient and good to work with.,5.0
