,Date,Reviews,Ratings
0,"December 15, 2017",This is my first experience with AutoNation I can't rate maintenance work so I gave you one for asking so after our visit in February for maintenance on the car if they'll let me I'll come back and change this rating I posted for you. In fact I think you ought to remove that from your survey maybe put in another survey for your service department but that's just me thinking,4.0
1,"December 13, 2017",Had a great experience purchasing a Genesis in Tyler. Highly recommend the staff and the car! Love the three year included valet maintenance. Car had all the bells and whistles,4.8
2,"December 07, 2017",I have bought 4 cars now at the dealership And will continue unless the car quality goes down hill. I have enjoyed all my trips out there,5.0
3,"December 07, 2017","I had a great experience, everyone was very friendly and helpful. I will recommend Auto Nation of Tyler to everyone! I have never worked with a better person in a finance department! Thanks Bill!",5.0
4,"November 24, 2017","Matt was friendly, funny and a lot of help. I love my new car and I feel like I got a great deal on it.",5.0
5,"November 11, 2017","Gilbert and his crew were fantastic!  He was very attentive to my needs.  I was not rushed into a decision.  They were not aggressive, like I experienced at other dealerships.  I would recommend Gilbert to anyone!",5.0
6,"November 10, 2017","Excellent and professional experience the team did an excellent job.  All the way from the meet and greet to the walk around, sale process, finance and delivery.",5.0
7,"November 09, 2017","This was the first time I have ever bought a new car and they made my experience excellent !!! I would recommend this dealership to anyone, the people who work there made me feel at home and let me know they care!!",5.0
8,"November 08, 2017",Seriously. Just great. Bought TWO cars....Not the high end cars but was treated like I was spending 100K. Highly recommended. 2 Veterans work there and it was an honor to work with them.,5.0
9,"November 08, 2017",Great customer service! Hyundai crew in Tyler was very knowledgeable and trust worthy. Didn't feel like I was buying a car as much as picking the right one for me.,5.0
10,"November 02, 2017",Love love love the way they helped me. Michael Coyne is amazin and deserves a huge raise.  Autonation is one stop car shopping.  It was a quick in and out process.,5.0
11,"October 26, 2017",Excellent people to deal with. Dealer found the desired car quickly at another dealership and got the car over real quickly.  Paper work lady was helpful and friendly.,5.0
12,"October 26, 2017",My wife and I purchased a new vehicle and the staff were excellent and pleasant to work with. Stop by and give them a try.,5.0
13,"October 26, 2017",I hope that anyone who buys a car from automation and have same  experience as I did with them. They were nice to me and helped me a lot make me see my options and they work with me without any pressure,5.0
14,"October 21, 2017",Anticipate a good driving experience—- warranty and price were drivers in my choice...... equipment was very acceptable:::....color and trim were very desirable and that was available,4.6
15,"October 19, 2017","This is the second Sonata I've purchased from this dealership. Both buying experiences have been hassle-free and completely satisfactory. Except for walking out with a free automobile, I don't think things could have gone better. My salesman, Joe Hernandez, was exceptional, and I also was impressed with other staff members I met or dealt with. This definitely is a dealership that wants a customer's business -- unlike the other dealership in a nearby city where I purchased my first Sonata. The folks at AutoNation are accommodating, professional, knowledgeable and fair. Couldn't ask for more.",5.0
16,"October 12, 2017","My second auto from this Dealership in a year and they did not disappoint.  I purchased a 2017 Hyundai Accent for my son and the Sales Manager (Steve) went over and above my expectations by getting me the best price for the car we wanted.  Better yet, I got additional rebates and cash off the car I wasn't even expecting, thanks to Steve.  Even though the dealership didn't have the color on the lot I wanted, they went to outside dealerships and FOUND the color I wanted at no additional expense to me and delivered the color I wanted the next day.  I never feel like I have ""overpaid"" for the vehicle(s) I have purchased from this Dealer, and I have never felt pressured into buying their car unlike other Dealerships in Tyler.  The staff here is trustworthy, honest and respectful and you will get the best deal in East Texas when you buy here.  I hope Steve is still around when I get ready to buy another vehicle - he is the only sales staff I will ever trust to purchase my autos from.  Thanks again - Job Well Done!",5.0
17,"October 12, 2017",i am thirlled with my new vehicle and was offered a great deal on my g80 would recommend autonation and genesis to anyone in the market for new luxury sedan,5.0
18,"October 07, 2017","It was a pleasant experience to deal with the staff at AutoNation Tyler.  We purchased a 2018 Genesis G80.  There was no pressure and the salesman, Dave Humphries, and manager, Steve Frennier, went out of their way to find the exact vehicle we wanted, delivered on time and at a clearly stated competitive price.  We will certainly be recommending this car and dealership to others.",5.0
19,"October 05, 2017","The service department is unresponsive - everytime I call, I can never get a hold of someone - I just keep circling around in their phone queue. I have had my vehicle there several times in the last couple of months, and this happens everytime I call. I have a car currently in the shop, and can't get a hold of anyone to get the status on it. Very frustrating.",1.8
20,"September 26, 2017",Cristina and Steve went above and beyond to deliver the car I wanted. They were helpful and friendly and really made my first car purchasing experience memorable. I highly recommend this dealership to anyone who would like excellent customer service.,5.0
21,"September 22, 2017","A  highly enjoyable experience dealing with Hyundai Auto Nation, Tyler.  I received a quote over the internet for the exact model that  I requested.  It was a no hassle experience.  I made an appointment, was welcomed to the dealership,  filled out some paperwork, wrote a check, received a comprehensive briefing on the new vehicle, and drove away.  They delivered on everything that was promised.",5.0
22,"September 21, 2017",This is the 7th Hyundai purchase in the family.   We had 2 flooded from Hurricane Harvey and would like to thank them for the additional $750 rebate for hurricane victims.   All have held up well including the ones drive by my grandkids.,5.0
23,"September 14, 2017","My dealer, Jilbert was very professional and kind. He was patient and didn't not push or try to sway Any decision I made. He made me feel like I was in charge of my purchase and was very concerned that I made the decisions I wanted to make. I'm very happy about my purchase and will continue to be happy about it in the future.",5.0
24,"September 13, 2017",Matthew and his Manager exceeded my expectaitions and helped me get in a new car in 1 day tops with what I could afford. Thank you both for the amazing service.,5.0
25,"September 08, 2017",I don't like to write reviews. This should not be mandatory. You should re-think this portion of your survey. Matthew was great. Love my car.,5.0
26,"September 06, 2017","Thank you Christina and Steve, you made car shopping and buying a breeze!!  Thanks again and I will send anyone shopping for a vehicle your way!",5.0
27,"September 06, 2017",Cristina was great and was so understanding of my needs that I needed in my new car. She was not pushy at all and I loved that. Such a good experience. Steve also helped me tremendously with trying to get my where I needed to be payment wise. I thank them both VERY much I love my car . I will definely be back when I need a new car :),5.0
28,"September 05, 2017",STEVE AND GILBERT ARE THE GENTLEMEN I DELT WITH THEY WERE BOTH FRIENDLY AND KNEW THE CARS AND KNEW WHAT I WANTED. THIS IS THE 3RD. VEHICLE I PURCHED FROM THEM THIS YEAR AND IS THE 5 HYUNDAI I HAVE PURCHAED FROM THIS DEALERSHIP.,5.0
29,"September 02, 2017","I enjoyed working with the sales, sales manager and the staff as a whole. The Deal was very easy and got in and out less than an hour",4.8
30,"September 01, 2017","Excellent experience purchasing my new Hydunai Tucson.  Christina was excellent help, she did not push me to purchase a vehicle that day. Very relaxed to work with, will definitely be back.",4.8
31,"August 31, 2017","I had my heart set on a Kia Soul.  However, I had decided to make sure it was the right purchase by shopping around.    When I went to Hyundai, Matt  was knowledgeable and personable.  He seemed to care that I get the right car for me whether it was from them or from a different dealership.  Steve  his manager was also helpful and knowledgeable.  They were not pushy.  I had the impression that they believed in the quality of their product.  I then went to Kia, unfortunately.  The staff was pushy and we caught them in an outright lie in the name of selling the car.  One of the salesman took a great deal of time bragging about his ""very expensive truck and how the purchase changed his life and it would mine.""  And that truck turned out to be a Chevy not the Kia he was selling me.   The salesman did not understand how financing worked.   They charged over $1400 for pin-stripping that did not do improve the look of the Soul.  And they employed every tactic in the stereotypical used car salesman handbook. Even stating, ""Come on back and lets put pen to paper for this deal of a lifetime"" after we got up in the middle of the conversation to leave.   We immediately went back to Hyundai to reserve our car.",5.0
32,"August 31, 2017","This was my first time going into the Auto Nation dealerships and I must say that I was pleasantly surprised. I was greeted immediately, asked what I was looking for, and was shown everything that I wanted to see. The salesman then gave me pricing details for the vehicles I was interested in. I took them home, had a discussion with my wife, and went back there a few hours later to make the purchase. I would definitely recommend them to anyone looking for a vehicle and will go back in the future.",5.0
33,"August 30, 2017",I appreciate the professional assistance in my recent purchase of a Hyundai Santa Fe.   It's Always a pleasure to do business Jilberto Cruz and Chris.,5.0
34,"August 25, 2017","I live in Florida and did most of the transaction online which made my experience excellent and outstanding.  I developed a fantastic line of communication with Steve, the Sales Manager, and after all the details was done, I drove 15 hours to Tyler, Texas and he already had everything set up for me with Christina in sales, and with the young man in Finance who had a picture of him when he was in the military with Ronald and Nancy Regan (awesome picture).  I usually don't trust dealerships, but I do trust our men and women that served in our military and that continue to serve.  This goes to Steve as well...thank you both for your service.  I was in and out and received all the information.  Christina has been following up with me even after the deal was complete.  I was completely impressed and also left a facebook post on dealership page I believe. Thanks, Kathy Lee",5.0
35,"August 18, 2017","Greatest car buying experience EVER! I'm very pleased with my new car and the buying experience at Tyler Hyundai is half of that pleasure! I left the dealership feeling I got the best deal, best car for me and was dealing with friends who had my best interest at heart! Kudos to Tyler Hyundai's staff!",5.0
36,"August 16, 2017","This dealership, from the GM to the salespeople went to great lengths to make sure that we had a positive car-buying experience for our teen-aged daughter's first vehicle.  I will definitely return in the future when the need to buy a car arises.",5.0
37,"August 11, 2017","Everyone is so nice and patient! They really do take care of their customers and wants what's best for them. They are honest and trustful, they will definitely give you the best price possible. Plus, they have a bilingual staff.",5.0
38,"August 10, 2017","Our sales person was very helpful, nice, and professional! We love our car and we love this dealership. I would  recommend this dealership to anyone! The Santa Fe sport is also a great car that I would recommend as well. Overall great experience!",5.0
39,"July 22, 2017",No hassle and worked hard to get us financed Got us everything we wanted . We showed up on July 4 th and everyone was still happy to work with us . Even let us take Tucson home the same day. Wow most dealers would go that far o a holiday . Great job.,5.0
40,"July 21, 2017",Autonation is a superior dealership. Mr. Cruz is extremely knowledgeable and an exceptional salesman. The staff was courteous and respectful. The high level of professionalism and service was outstanding.  You have made one loyal customer...,5.0
41,"July 21, 2017",The total experience was excellent.  The sales team never pressured.  They simply made sure all my questions were answered.  They were professional in every aspect of the transaction.,5.0
42,"July 20, 2017","Truly enjoyed Auto Nation of Tyler! Took a little too long in the financing, since I had already been pre-approved for my loan. Overall it was a great experience!",5.0
