,Date,Reviews,Ratings
0,"June 25, 2020","  As an older person who is vulnerable during the pandemic, I was very concerned about having to get my car repaired. The service staff cooperated in receiving my vehicle when it was towed to the dealership so that I did not have to be present. They diagnosed the problem and repaired my car in less time than expected. They also arranged for me to pay over the phone and have a contactless experience when I picked up my car. All in all, a first-rate experience.",4.8
1,"June 04, 2020",Staff was very personable and whole experience was pleasant and quick.  They were knowledgeable of the vehicle and took the time to explain everything.  They were very nice and accommodating when I was able to go and sign.  ,5.0
2,"May 22, 2020",The employees at the dealership are are the best. I am always well taken care of and I love my car. What more can I say...........................,5.0
3,"May 07, 2020",GREAT GROUP OF EMPLOYEES THERE.  THE SERVICE STAFF AND SALES STAFF ARE AWESOME.  QUICK SERVICE AND AWESOME PARTS DEPARTMENT.   I WOULD RECOMMEND TO ALL FAMILY AND FRIENDS.,5.0
4,"April 18, 2020","I’m very happy that the people from the service Dept, are courtesy, and very knowledgeable, and not pushy, but they recommend. I will continue to give a five star rating",5.0
5,"April 03, 2020",I had a vehicle that needed to be replaced.  I was able to look at what they had in inventory on line and negotiate a good deal.  They readied all the paper work delivered the vehicle and signed the paperwork at my office and picked up my trade in. ,5.0
6,"March 23, 2020","All of the vehicle purchase transaction was completed through emails, texts, and phone calls.  Everything was worked out with Luis beforehand and was ready for us to basically drive in, drop off our trade vehicle, sign the paperwork and we were out the door in our new vehicle.  Very fair and smooth transaction.  Although we do live out of town, we will recommend Tipton Hyundai to our friends and family.",5.0
7,"March 14, 2020","Considering the time I arrived the 15,000 mile service was pretty quick. Everything was explained and the manager was very friendly and informative about my car. ",5.0
8,"March 13, 2020",I was treated as a premium costumer by John Wells... his attention since first minute as also was from the others in tipton hyundai makes a difference from other dealers... very well done guys...,5.0
9,"February 20, 2020","Showed up as a walking in and i was greeted right away.  The service didn't take long.  The personnel were great.  They offered coffee as well, that was a nice touch.",5.0
10,"February 15, 2020",QUICK AND EASY GREAT SERVICE. TAKEING MY WIFES CAR TOO.  THE TECHS ARE EFFICIANT AND TRUST WORTHY ALWAYS CURTIOUS AND WILLING TO HELP AND GO THE EXTRA MILE.,5.0
11,"February 13, 2020","Very friendly people at Tipton Hyundai, we drove 625 miles and it was well worth it!! :) I love my new 2020 Hyundai palisade. 
Thanks again, 
Tina ",5.0
12,"February 08, 2020",We also love the Tiptons.   I even like the other twin.   May Nick always drive a Genesis and fly a 207.  I send all my family and friends to for purchases and service.  I won't buy a car if Jiimmy Tipton does not bless it first.  Or I could just ask Nick or Tatiana.  Ed Stapleton,5.0
13,"February 06, 2020","Joe Mejia listened to our concerns and showed us the cars we were interested in. He is very patient and knowledgeable!
The finance mgr, Sergio Freeman spent a long time with us, making us feel comfortable and clearly explaining our different choices. 
We will definitely go back to Tipton Hyundai!",4.2
14,"January 14, 2020","I am very happy with service at Tipton motors, they are happy to assist you, and are very knowledgeable, especially John, he is a gem",5.0
15,"January 03, 2020","I know this sounds silly, but the folks at Tipton treat me as family and sincerely act like I'm valuable as a customer. That means a lot to me as a senior, single female to have a team that I can trust. I'm very thankful. ",5.0
