,Date,Reviews,Ratings
0,"December 23, 2017","So far am pleased with Santa Fe, it's ride and handling, fuel mileage, features and comfort.  Do with the option of electric folding mirrors was available on Santa Fe.",5.0
1,"December 22, 2017",This is the third HYUNDAI my family has bought with Mo Ibrahim’s help. He has always been very knowledgeable and fair in the process of deciding on the right car.,5.0
2,"December 22, 2017","My experience was very good except because  I received the car with the incorrect interior color, but was a misunderstanding then they changed the car. The only uncomfortable   experience was with the GM. He talked to the sales person and to me very aggressive and unprofessional, because the confussion in the color and the process  for change the car.",4.6
3,"December 19, 2017","Thanks to Silva Jose, No words to express for his help and effort in going through entire process step by step and making each and every things smooth and clear and friendly. Probably best employee I have ever met. He stayed longer even after the closing hours to make things smoother many times, Thanks to Jose. Definitely Jose deserve all the credit.",3.8
4,"December 16, 2017",one of the most enjoyable exprience i have ever had at a dealership we   came in late joe worked with us any way he got paper work done fast we got everything we asked for sent us back to see the fiance man it took about 15 min.it usally took along time at other dealers like ford chevy  nissan and honda  i will send my friends to them                    jerry huffman,5.0
5,"December 12, 2017",Excellent customer service experience lot on vehicle good price great I’ll happy with my car I’ll recommend my friends this place is user friendly service great job by mo ibrahim,4.8
6,"December 12, 2017",Very informative and not pushy. Very timely with information requested and responses to my questions. We will be back when we are in need of another vehicle.,5.0
7,"December 07, 2017",I don't like this part and will now answer hope this. I don't feel that you should make a person write something if they don't want to the question was answer that should me enough.,5.0
8,"December 05, 2017","This dealership and everyone I encountered along the way who assisted in my purchase of the Tucson went out of their way to provide my complete satisfaction. I highly recommend them, and my salesman especially (Mo Ibrahim) who was thorough, friendly and attentive to my needs. I will be back for future needs.",5.0
9,"December 02, 2017","I'm very satisfied with my new Hyundai SUV.  It is white with tan interior which is exactly what I wanted. I totally enjoyed working with Ahmed!  I met and worked with others that are not listed below. Overall, I am more than just satisfied!",5.0
10,"November 29, 2017",TD was my original sales person helping me out. I had decided to not go with the vehicle and left for the day. The following day Mr Ahmed gave me a call and gave me a quote which brought me right back into the dealership and was able to really carry me on board with very good understanding of what could be done for me in making the purchase of a car accessible.,5.0
11,"November 25, 2017",Very good auto dealer 2nd purchase and I will go back for another car..I wish Hyundai made a small pickup truck that is it folks,5.0
12,"November 24, 2017",Thank you Auto Nation to help me get a new car. The quality and professionalism was excellent.  I definitely will recommend  my friends and family.,4.8
13,"November 23, 2017",Working with Mo is a very pleasant experience. He is helpful and professional. We are also happy with Mike in the service department. He takes care of both our cars and makes us feel like we are special.,4.8
14,"November 19, 2017","At every level of the process, Autonation Hyundai and my salesperson, Ahmed Hamza, respected me and the research that led me to consider buying a Hyundai. I felt like I was an equal partner in the process, an experience I did not enjoy at every dealer I visited. I feel I purchased a great vehicle from a great dealer and can look forward to great service, too.",5.0
15,"November 16, 2017","Great service, throughout the process. Made it a comfortable and enjoyable experience that I appreciate very much. Thanks for all the help. Appreciate all the service.",5.0
16,"November 14, 2017",I worked with Joe and Ahmed. They were great. Ahmed was very knowledgeable and helpful with explaining the car. I would highly recommend both salesman,5.0
17,"November 14, 2017",Great service from the sales team - Denise Staton was AWESOME!  What an expert! She sat in my car with me and went over everything until she was certain I understood.  She also called me back the next day to see if I had any further questions.,5.0
18,"November 10, 2017","The sales and management staff of Autonation NRH really pulled together to make the purchase of our new 2018 Santa Fe happen. Friendly, attention to detail and willingness to get us to the price and the car we needed. No drama!",4.5
19,"November 09, 2017",It was great exp. and easy car buying. Price and all other details set up over emails. The day I just went to dealership to pick up the car. The best part was there were no pressure from dealer and I was able to move in my own space.,5.0
20,"November 09, 2017",As soon as walk in auto nation  Mo Ibrahim  he knew what I wanted  amazing dealer thanks Mo for giving  me an opportunity to choose what  car I want thanks I will definitely recommend auto nation Richland Hills,5.0
21,"November 09, 2017",I was impressed by salesperson Consultant Ryan Lovin and how he went over and beyond to help me get a new car with reasonable monthly payments.,5.0
22,"November 09, 2017","Dealership professional, honest, and no pressure at all!!! Every person there was friendly and willing to help. Very low key which is wonderful so u leave with exactly what u want with very fair terms!",5.0
23,"November 03, 2017","Denise is wonderful! She was very thorough throughout the entire experience and really helped me to understand my options. She was very friendly, helped me with my car's features and even followed up with me a few days later.",4.8
24,"November 02, 2017","Your sales man,Ahmed Hamza was excellent. Usually buying a new car is painful and lengthy. Ahmed made this process fun and he ensured that all are questions were addressed thoroughly and professionally. I buy new cars every three years, and this was the best experience I've ever had.d",5.0
