,Date,Reviews,Ratings
0,"December 30, 2017",Everyone very friendly with on pressure to buy.  Excellent dealership. I would recommend any to visit and purchase a car.  Gary Schaefer knows product information and a super guy.,5.0
1,"December 23, 2017",They made it easy for me to get a new car. I thought it would be hard. And I am very very satisfied with my vehicle,5.0
2,"December 20, 2017","This was the second time we've dropped our car off for an oil change, and both times we have been treated as if we're inconveniencing them. The service workers are not friendly, and they do the bare minimum to service the car. The day after I had my oil changed, my washer fluid light came on. I have never had my oil changed at other places and NOT had them top off all fluids, but they clearly did not do so this go around. It leaves me wondering what else they didn't do. One of the key decision makers in us purchasing this car (at the Kyle location) was the convenience and proximity of the New Braunfels location for service. However, that has turned out to be more of an aggravation than it's worth--to the point that I don't think we'll by another Hyundai, because I'm not buying a car to be treated like we have been at this location.",1.0
3,"December 20, 2017",The location is close to seguin so the dealer can service lots of hyundai drivers i see around my area.  jordan did a good job getting me all set up.,4.0
4,"December 19, 2017","It was such an ease purchasing my vehicle at roger beasleys, the staff was awesome and patient with me as i was looking at the options. I would highly recommend it to anyone looking to buy with them.",5.0
5,"December 19, 2017",Love the personnel at this dealership. Grade A experience everytime. Jared and Rick are very thorough and direct. I will definitely be purchasing another car for my wife in the near future.,5.0
6,"December 16, 2017",The entire experience was excellent. The staff were friendly and professional. We were very impressed with everyone. We knew what to happen next during the process.,5.0
7,"December 15, 2017","Recently purchased my son a Hyundai Elantra, and had a great experience at Roger Beasley Hyundai. They were open, friendly, and my sales person was personable, positive, and very helpful. I would recommend them wholeheartedly.",5.0
8,"December 14, 2017","Great salesperson.Knowledgeable, considerate, and caring about my needs. The car orientation eas thorough and went over and beyond showing me features that impact my driving experience.",5.0
9,"December 12, 2017",Absolute best dealership I have ever worked with. I would definitely return and will tell my friends to go here before they go anywhere else.,5.0
10,"December 10, 2017","Wow! Brad at Roger Beasley Hyundai went above and beyond for our CPO vehicle purchase. Found our dream car on their website and 24 hours later, Brad had driven the car 5 hours to us. Brad is such a pleasant, kind, knowledgeable man to work with. Excellent service, communication, professionalism. Amazing car purchasing experience. We are beyond pleased with the entire transaction, thank you to the wonderful staff at Roger Beasley Hyundai!!",5.0
11,"December 10, 2017","Everyone at Roger Beasley was very friendly. They made us feel at home. During a brief wait, we struck up a conversation with one of the other salesmen about cars in general. He was very relaxed and attentive but politely discontinued the conversation when our salesperson returned with paperwork. We felt no pressure at all and we're very pleased with the way everything was handled.",5.0
12,"December 09, 2017","I experienced extremely friendly, knowledgeable staff throughout the whole process, couldn’t have asked for a better experience. I have already recommended this dealership to others and I anticipate doing that a number more times.",5.0
13,"December 09, 2017",Very professional and knowledgeable staff. We had a comfortable and no-pressure experience buying a new Santa Fe Sport here. They did not push us toward more options or any extras that we did not need. Best car buying experience I have ever had.,5.0
14,"November 30, 2017","My experience with Roger Beasley Hyundai New Braunfels and Gary Schrader, sales associate, was professional and enjoyable in every aspect. Mr. Schader, in particular, went out of his way on several occasions to provide the customer service I needed. I will definitely return and have already recommended them to others.",5.0
15,"November 28, 2017",I was very pleased with the service and friendliness of everyone I dealt with at Roger Beasley. Especially my salesman Gary. He was a rock star! He was very patient and focused to help me get the best deal. Thanks,5.0
16,"November 27, 2017","Ty, in the service department, was very friendly and helpful.  He explained everything and checked with us before any additional expenses were incurred. Great experience.",5.0
17,"November 26, 2017",The dealership worked really hard to get me in the car I wanted.  The whole team did a great job in helping me.  I appreciate everything they did for me.,5.0
18,"November 25, 2017",The experience I received from the dealership and especially due to Ricky's personal service left me very satisfied..  Only issue was the pricing of course could have been better but not at all disappointed,4.8
19,"November 22, 2017","I completed a motor vehicle buyer's order to purchase a 2016 Hyundai and provided the dealership with the information necessary to process my purchase and complete the financing. Since the sale occurred on a Saturday, they did not submit the purchase order to my credit union until Monday. Just as I finalized the loan documents on Monday, the salesperson called to say they decided to sell the car to someone else. This type of business practice is highly unethical and was likely a breach of contract. The dealership itself was unapologetic. The salesperson was apologetic and tried to direct me to a different vehicle, but  the price was not nearly as competitive as the original vehicle. It felt a lot like a bait and switch situation.",1.0
20,"November 22, 2017","I knew what I wanted to go in and look at. They gave me the option to look at other vehicles, but didn't push me one way or the other. I was able to test drive on the highway and through town. Everything was explained in detail and if the sales rep did not know the answer she found someone who did.",5.0
21,"November 22, 2017",Most everything as done before I got to the dealership. I basically had to sign the papers and drive away. Gary explain everything on the new car in detail. I really enjoy having all the manuals for my new car. I also appreciate the tour of the building he took us on.,4.8
22,"November 16, 2017","Great experience, Rob and Chris both worked well together to ensure that I had a great experience.  My vehicle was clean and full of gas before I left the dealership.",5.0
