,Date,Reviews,Ratings
0,"June 25, 2020",I recently bought a CPO car from Bob Stallings and was promised features on the car that it doesn't actually have! I contacted the dealership and was talking to a manager who said he would call me back and he never didm and of course I can't get a hold of him now when I call. This is very disappointing and unprofessional. It's clear that Bob Stallings only cares about making a sell and not about taking care of the customer! STAY AWAY!,1.6
1,"November 12, 2019",I complained about a questionable charge and they then refused to repair my car.  Were more concerned with Ratings than customer service.  Customer service manager is shady and more concerned with ratings than customer service.  This is a black eye on the reputation of the dealer and the brand.  Never again!!,1.0
2,"June 02, 2019","Julian Salazar was a great help to my son not only 1 time but 2 times he takes his time with his customers and make sure that you get the BEST. Customer Services means so much to me because I look at the service that is provided. And JULIAN SALAZAR provide just that I am grateful to have met him as my son salesman. I would definitely recommend Julian Salazar. He is Great, Awesome and he gets the job done... Thanks Julian Salazar..",5.0
3,"September 22, 2018","I came there to test drive an Elantra GT one night an hour before closing. I was told before I came that they did price matching as I had found the same vehicle online at another dealership for much less. When I got there I had to wait and was tossed from one salesman to another after my test drive. I was very interested in the vehicle and asked repeatedly their price. They were not up front about it at all. Once I told them the price I found elsewhere online they trash talked the other dealership and I was told there was no way they would actually sell me that car that cheap. I told them I couldn't afford their price but they still kept insisting we could work something out. The salesman said he was unable to give me a true price without pulling my credit. I am very weary of a bunch of unnecessary hard inquiries going onto my credit report. I was then argued with for even longer until I finally told them I had to go and would come back tomorrow. This was only after the finance manager told me he would call me with some numbers the next morning. That didn't happen. I still came back because they kept saying they could get the payment where I needed it to be. This was not true and they knew that all along. The salesman again argued with me and then tried to sell me another vehicle I wasn't interested in. When I asked him the price of this vehicle, he STILL was not upfront about the price. I was very unsatisfied with the customer service I received here and left immediately after. I do not recommend this place. However I did really like the finance manager Ward that talked to me. He was very nice as was the original salesman who took me on my test drive. Be weary if they aren't giving you a solid price for a vehicle and DO NOT let them pull your credit until they've negotiated a deal that will work for you! Don't be bullied by this rude sales guy. His name isn't even on this list but it's something like Mauricio?? The one I liked who took me on the test drive has blue eyes and walks with a limp. Nice guy!! Also like to give a shout-out to Ward for his impeccable fashion sense! ;)",2.8
4,"September 18, 2018",These guys do not respect their customers. When I realized they did not include a mileage discount for the 5400 miles they drove the service loaner I financed - Monday I called after getting it that Friday when my tire is flattened - the Sales assistant threatens to pick up the car after she runs out of lying and insulting me personally. They overcharged every dealer fee in the purchase and had to have me resign everything but refused to do what was right and discount the car additionally as discussed with the Sales man. ,1.0
5,"July 30, 2018","I just have to give credit where credit is due. Special thanks to the magnificent team for coming through once again. I have purchased cars from this dealership in the past for my daughters but this time it was for me and I instantly fell in love with a vehicle that was carefully hand-picked for me. I only saw pictures of the outside of the car initially and I knew it was the one for me. It was delivered to my job with care. And when I got inside I felt as if the team selected this car as if they were selecting it for themselves. It had features that I did not know it had and plus it was my favorite color. I was given clear instructions on how to operate the car and everything. No kidding this is the place to go for your next car. Trust me! Thank you again to Ward, Carrenado and the young lady who's name I didn't catch.",5.0
6,"July 24, 2018","Courtney, Gary and Ryan are so patient and efficient, they made the experience fun and stress free! I love my new car!!! Go check them out, you won't be sorry!",5.0
7,"July 11, 2018","Let me start out by saying that I have purchased 18 cars over the years but have never enjoyed the car buying experience and was not looking forward to this one. I called prior to arrival to inquire about inventory and spoke with Carrenado (Slim) Edwards to give him an idea of what I was looking for. He met my sister and I outside as we arrived and was incredibly  knowledgeable, friendly, efficient, and helpful. He was patient as we discussed the best options for our mother, for whom we were purchasing the car. Slim and the staff were an absolute pleasure to work with and I can’t recommend them highly enough. Thank you for making this purchase an easy and fun experience!",5.0
8,"July 06, 2018","We thought the lot was closed but a very nice gentleman approached us and told us he was open for business. He was extremely professional and helped us with the paperwork of the sale. 
Yessica was the person who showed and explaoall the bells and whistles the car had. She was extremely knowledgeable. I would definitely buy my next car here again. 
We received 1 key for the vehicle. I wish we could of received 2 keys which is the norm...but that is fine. The help, knowledge, and friendly servomafe up for that.",5.0
9,"June 30, 2018",The sales and finance team were a great help. This car buying experience was the quickest I’ve ever experienced they gave me a great deal without having to go back and forth and then processed everything in finance quickly. I would recommend and buy from them again. ,5.0
