,Date,Reviews,Ratings
0,"April 30, 2020","My car basically died during the quarantine at home days so I needed to get a replacement without a lot of face time and hassle. Two friends recommended Hub Hyundai of Katy so I called on the phone. I was so lucky to be connected with Leonard Moore. I told him I was looking for a used small SUV, no more than 2 model years old, low mileage and had a maximum of $20K, all in including TTL. He went out to the lot and called me back the same day saying he had 3 options for me. When I got there, he had (as promised) 3 vehicles (1 Hyundai and 2 Mitsubishi's - the Hub dealerships are side by side and share resources. Mileages ranged from 12K to 37K but The Hyundai Kona had lots of options in addition to having the lowest mileage so we moved forward with that one. The ""all in"" price was under my limit so we struck a deal. Leonard did a great job locating a vehicle I am very happy with and took the time to explain all the features, helped to pre-set warning systems, radio stations, etc. Great guy, knowledgeable about his inventory and vehicle features, and easy to work with...that is a winner in my book. ",5.0
1,"February 20, 2020",Best buying experience I've ever had in 20 years great service straight forward pricing no games or hassle. love the finance staff in & out in less then 25 min. i highly recommend this dealership.  ,5.0
2,"February 08, 2020","Chris Butcher helped me look and test drive the 2020 Elantra GT. I was pleasantly surprised with how knowledgeable he was and friendly demeanor, a big contrast to other places I visited. ",5.0
3,"January 18, 2020",I walked into the dealership not thinking much about Hyundai but I was very impressed with the value and features. Chris was happy to let me test drive several different cars including one of their used cars so I could compare. The entire transaction was easy and smooth.,5.0
4,"January 13, 2020","We were assisted by Chris Butcher. He provided us with an awesome customer service and ended up getting us a great deal! 
I will definetely recommend asking for him when going in. ;) ",5.0
5,"January 11, 2020",Chris Butcher was great! Awesome customer service and dedication but must importantly we got a great deal on our new car. Thank you very much.,5.0
6,"October 20, 2019","Great service, Ms.Nina greeted me when I walked in the door with a warm friendly smile, didn't know she would be my salesperson cause my appointment was with Mr. David's, he put me in her hands and she took care of my needs. She made me feel very comfortable and sold me a car with a good deal which I felt in love with.",5.0
7,"October 20, 2019","The staff were very friendly and helpful, got great service. The staff were very quick and efficient with getting things done. I really do recommend this dealership and it’s staff",5.0
8,"September 26, 2019","Our first Hyundai and will be customers for Life! Chris Butcher is very attentive, honest and will make every effort to work with you. We got what we wanted at the price we needed. I can so thankful that he was willing to hear us out and make our deal happen. If you are looking for a new car, go see Chris!",5.0
9,"September 25, 2019",Chris was really attentive and very down to earth. He tried in every way to accommodate my needs and keep me in the budget I requested. Thanks again,5.0
10,"September 24, 2019",Awesome salesman.  Told him what I wanted and financing was very efficient and I drove off in my new car.  Would recommend dealership to anyone looking for a good car at a good price.,5.0
