,Date,Reviews,Ratings
0,"June 20, 2020",Best service you could as for. High recommend! Every time I get my vehicle serviced she always checks everything and recommends any bring j need to be done! She’s one of the best! 10 star ranking if I could! ,5.0
1,"June 20, 2020",Good service. Friendly people. Improved the waiting area. I would recommend and appreciate a curtesy ride home though. All in all I am satisfied with this dealership.,4.0
2,"May 26, 2020","Received an oil change, service was fast and staff was friendly and knowledgeable. I will recommend this dealership to friends and family. Thanks Hyundai Hub",5.0
3,"May 04, 2020","Ashley Everett at the service department was a breath of fresh air.  I was not rushed to make any decisions; I was given all the possible options and wasn’t oversold. This is the most honest and reliable service experience I have ever had. I highly recommend the HUB Hyundais team! 
",5.0
4,"March 19, 2020",The person by the name of Luis did not have any customer service skills or maybe that’s how they are trained to deal with customers ,1.0
5,"February 06, 2020",Hub 290 has the absolute worst service I have ever dealt with. I have been waiting 2 weeks for a call on a reoccurring issue.,1.0
6,"January 09, 2020",Just wanted to say how much we appreciate Arthur for making the car buying experience such a pleasant one. We love our new Tucson! Arthur was very accommodating and got us a great deal and an oil change and car wash bonus. All the Hub staff were very friendly and knowledgeable. I will definitely be back again for our next car purchase.,5.0
7,"January 05, 2020",I have nothing but high praise for the Dealership on the recent visit for 60000 miles service on my auto.  Kudos to all in office and service department.,5.0
8,"January 01, 2020","Dealer sales staff very professional and helpful.The dealer itself clean and bit small .Locations is great , close to where we lived .salesman are willing to help to get what you want on vehicles .",5.0
9,"December 09, 2019",Did a great job and diagnosed some problems. Washed my car.  Looks like a new car. I would buy a car from them again. Thanks HUB,5.0
10,"December 09, 2019",The staff was very friendly and timely while servicing my vehicle. Would definitely recommend making an appointment and taking your car there for any type of service need you may have.,5.0
11,"November 27, 2019",Everything was done for my routine maintenance with courtesy and extra care.  Eric even gave me back a very clean car to boot!  Hub Hyundai really goes the extra mile.,5.0
12,"November 11, 2019",Went just for an oil change and came home with a great deal on a Jeep my husband Dell in love with. This people are great.,5.0
13,"November 05, 2019","Took my car in on Friday 11-01-2019. Paul was the Service Rep. who handle the service on my car. Excellent response, took care of my car and answered all my questions.",5.0
14,"May 30, 2019",Martin and Sam were very Helpful when buying 2 new 2019 Santa Fe’s for me and my mom. Michelle in finance was also great and got our payments exactly where we needed. She was also great putting my son to work helping out. He really felt like a part of the process. I would recommend this dealership to family and friends. Thanks for making dreams happen guys! We love our new rides. Keep up the great customer service. Thanks Kelli & Charlie,5.0
15,"May 10, 2019","Got a used Hyundai, it has several recalls needing action, and doesn’t have Apple CarPlay installed (although it can handle it / be updated for it). They ended up needing to order all of the parts for the recall and to do the CarPlay update. Fine. However, they said they would call back to schedule the service, but never did. We called them back to find out they had received all of the parts - and tried to schedule an appointment for a Saturday (as I work and need a car during the work week). They scheduled the appointment. We called the day before the appointment just to check in (as we have had other issues with this dealership before) - and were told the person that does that wouldn’t be available on Saturday. It has now been over a week to just schedule the update and recall fixes. Worst dealership ever....no more chances for this place.",1.0
16,"May 07, 2019","If I could give no stars I definitely would. Don't bother coming to this particular location even if an appointment is made because they will make you come all the way here for your appointment time just to tell you they will not be able to check your car for another 3 days. They purposely waste your time and are very unprofessional! They will also claim that their online appointment system is down so they can't see that you have set up an appointment on their website but apparently are still accepting online appointment requests. Just be honest and say you guys are short staffed and double booked appointments. The Katy location is so much better with customer service, honesty and they have way more business than this 290 location. Never again!",1.0
