,Date,Reviews,Ratings
0,"August 15, 2019","Car (2017 chrysler 300c with 30,000). Purcahsed Nov. 26, 2018!  Still as of (august 14, 2019) NO license Plates. No accountability. Phil Whartley sales manager rude /disrespectful. Services techs put the wrong transmission fluid in car.  Caused radiator to overheat, had to be replaced by my insurance!   Robert Spivey finance Guy- ran credit 10 times (even though I was pre approved through capital one ).. Won't answer phone.  Car still not in the DMV files as a vehicle that exist in Texas because they haven't filed paperwork!!!!..have had to purchase 5 temp tags.  Since purchase. Car was in shop for. First 4 months I had it!!!!  Found out car was in a head on collision but they sold.it to me anyway.. Front end hanging off 3 days after purchase!!! 
 DO NOT DEAL WITH THIS DEALERSHIP!!!  
 SCAM.ARTIST.. MULTIPLE LEGAL ISSUES!  RUN",1.0
1,"May 29, 2019","This dealership is under multiple county & state investigations. DO NOT DO BUSINESS WITH THEM.
Literally, HUNDREDS of customers have not been given titles or license plates for purchased vehicles. Their Texas dealer license is up for renewal on 5-31-19 and I cannot imagine it being renewed.  Capital One Bank has filed a lawsuit against them.  Hyundai refuses to shut them down, so the state is certainly going to.  RUN AWAY.  ",1.0
2,"May 17, 2019","DO NOT BUY FROM THIS DEALER! Go somewhere else, anywhere else. Abysmal customer service and follow-up after the sale. Shorted me a key and owner’s manual on brand new Santa Fe. Had to drive from Austin to get key and still have not received owner’s manual. Have had car for 5 months with no license plates or registration. DMV has over 100 complaints about this dealer. Dealer has been featured in multiple local investigative reports for not issuing license plates, titles or registration for months or paying TTL on purchases. Dealership is being sold and they do not care about customers. Also, the Santa Fe broke down before 10k miles. It’s at another dealer having the engine replaced. BE WARNED! AVOID this dealer at all costs or it will cost you time and money.",1.0
3,"May 17, 2019","I was not asked for input about the vehicle as the service tech was trying to find out information about it. When waiting, I was not told the status. Upon completion, I did not receive records. I do not know what is next in the process.",1.3
4,"May 14, 2019",I have been with the Fenton Group for five years. I alway hear that you may me closing.  I my favorite Service Manager is gone.  Makes me very SAD!!,5.0
5,"May 07, 2019","Tim did an excellent job in helping us. Even though we did not have an appointment, Tim attended to us promptly. The repairs were made at reasonable cost. We have been with this dealership for 9 years and we will continue to do so.",5.0
6,"May 02, 2019","I had an appoint to have the oil changed in my car.  When I arrived, I had to go inside and find someone to help me.  I was told to wait in the waiting area, and that someone would come get me when it was finished.  The waiting room was very warm to the point of uncomfortable.  No service person came to let me know my car was ready, but I received a voicemail on my phone two hours later.  That really isn't good service.",2.6
7,"May 02, 2019","Brought car for oil/change and inspection.  Oil change completed in about 40 minutes.  It wasn't until i was about to pay i realized inspection wasn't done. Had to wait a little bit longer to complete inspections which i have to go back as the part department didn't have blade in- stock.      

My husband remind me , when i got home. I may have needed scheduled maintenance which wasn't even mentioned by the service advisor. ",2.4
8,"April 29, 2019","Went in to have an oil change was informed that the dealer did not have the specific oil for my car, and they would have it in a week or so. I called 2 weeks later to see if they had the oil in, and the service department said yes. I took my vehicle in on 4/17/19 for  an oil change and multi point inspection. After I pulled out from the dealership, I noticed I had a auto zone sticker in my window from the oil change, they did not put one of my Genesis caps back on my tire stem, one was very loose almost lost it was not screwed on good. I called back to the dealership (service), asked for a supervisor. The supervisor was not available left 3 messages no return call from anyone. I called service again and explained to the receptionist the problem and that the supervisor never reach out to me. She told me to come in and they would take of it, ( I explained to her in advance that I have the Genesis Wings Tire Stem Covers). I went in and unfortunately they did not have them and could not order them right now because finance would not release money or check to replace things, because the dealership was in the process of being sold and they were not ordering anymore supplies,. They were only using what they have in stock. They have lost items on your car while in service and will not replace it, that's unacceptable and not good customer service. I did not receive a multi point inspection sheet, according to Tim was because everything checked out good. I went back and pulled my previous multi point sheet from the previous service and it had a few things on it. I have not had any repairs, so how did it go from needing some repairs to everything and no repairs was made...… I don't trust their work and will never return.  Then after getting home to find out they are being sued, amongst others things ",1.4
9,"April 29, 2019",I wouldn't recommend this place to somebody that I didn't like very unprofessional people here lie constantly did some work on my car they did not do the work correctly and my wheel fell off behind the work  they did...gave me the runaround like they were going to take care of it ..... they didn't do xxxx had to get me a lawyer,1.0
10,"April 29, 2019","The Man That Had to come out to begin the inspection of the car was not a friendly person at all no customer service skills, once he returns to me in the waiting room to tell me the car the inspection he only tells me about the wiper blades is why it failed, i wasnt pleased with that answer so i got a little upset but not to disrespect him just disappointment on my behalf i replaced before winter, moving forward he hands the ladies at the desk the keys and paper work walks off as i ask if that was the only thing that caused it to fail, and tell them ill be back its already late in the evening so im needing to push it so i can get the tags, i come back he sends another man out to talk to me i tell the other man no he needs to come check the windshield blades so i can get the passed inspection and leave all to find out he never hooked the car up to the machine for the inspection so he is telling me to take a seat on the inside i asked why? then he tells me the truth that he didnt do the full inspection but before i left i was charged with no paper work that showed a failed inspection only paper work that said need wiper blades.....this is not how business is conducted anywhere on inspections had i not returned to your company i would have had no papers other than his hand writing stating i need wiper blades- now i can join teams with the news media in understanding exactly why they are putting this Mesquite location in the spotlight as they are the company has changed within just the services ive usesd in the past as this so i will find me another Fenton Hyundai Dealership to do my oil changes etc. not even sure if i can trust this location anymore i rather drive a distance than to be treated less than a customer whom attempts to get car repairs through the dealership because of wanting value!!!! In Ending My Review I Don't Have a Desire to speak to any manger supervisor or no-one in charge at this location that will only justify the wrong actions of this employee, because my job is customer service with millions of people daily because of my occupation i drive for the city so i know its not easy but we still must remain positive kind and respectful despite our encounter with the public this man didnt smile and wasnt friendly at all he in the wrong area to deal with customers Nice Day!!!
",1.8
11,"April 24, 2019",I had to bring it back in for an inspection.  The first time I brought it in they did a software up date first and then couldn't do the inspection..  I always use Anibal for my service man.   I like his  personality and he knows his job.,3.6
12,"April 23, 2019",Everything was going fine until I wouldn't purchase  662.53 worth of work. I was told rotation would be free then I was almost charged 65.00 until I brought up that it came with my contract. No car wash offered... I Luv this dealership but this visit wasn't as smooth as it usually is. ,4.0
13,"April 22, 2019",Not good at all.he made me feel like I was not going to get my car look. And he didn't want to wait on me. He gave me the worst help I ever had at a car dealership.,1.0
14,"April 18, 2019","Called to make an appointment. Julie, who said she was the rental car manager, was rude and unfriendly. She argued about whether I qualified for a free rental due to 2 recalls, and finally agreed but told me I could not pick it up the night before and would have to wait until 8:00 the morning of my appointment.  When I arrived for the appointment no one knew I was coming and the friendly cashier and helpful service person had to scramble to accommodate me.  When Julie arrived she was curt and unfriendly and denied having spoken with me at all, pretending to be completely unaware.  It took 40 minutes to get me in a rental car. 

The work was done as promised and I received a phone call to let me know my car was ready. First time in 40 years of car service that my car was not washed. Check out was easy.  It was confusing to get an email the next day telling me my car was ready for pickup as I had already done so.

The grounds of the facility were overgrown, I never saw any sales people, and there were considerably fewer cars than usual.  The asphalt is cracked with grass growing through the cracks. It appears it is going out of business or else no one cares enough to take care of it.

This is my third new car purchased from this facility in the last decade and despite regular maintenance visits for all these years, only once have I had a positive experience with the service department. I live less than a mile away and that's the ONLY reason I return - but I'm done being treated like an annoyance and having to deal with people, such as Julie, who gives me an appointment but does not tell anyone else about it (two separate times now).",2.2
15,"April 15, 2019","I brought my car in for an oil change, tire rotation and repair of 2 tires with slow leaks. I told the service person that I was not able to get the tire pressure regulated in the 4 tires and it was driving me crazy. He told me they would take care of it, This took about an hour and when they were finished, I paid and left.. My receipt stated that the pressure on my tires were adjusted to the manufactures specification so I looked at the tire pressures and they stated one tire pressure was at 34, the other was at 36, the next one was at 37 and the last tire pressure was at 40! I'm not sure they even patched the two tires because nobody told me anything. I told them they had slow leaks.When I finally got to talk to somebody, he told me I could bring it back in but at the moment I was stuck in traffic on IH 635 and I didn't have time because I had taken off work to get this stuff done. I bought my car at Van Hyundai but I live in Garland so you were closer to me but the service was not good so I will have to go out of my way and look elsewhere.",1.8
16,"April 11, 2019","This is was not my first visit to the service center, however this was the first time I felt a bit underwhelmed. I am usually offered a car wash, but I wasn’t this last time. I am usually consulted about the status of my car (my tires, air filter exchange) but again this time no one took the effort to recommend any maintenance. Also, no food or water was available in the waiting room. I don’t expect a buffet, but at least have some bottled water available for your customers.",3.2
