,Date,Reviews,Ratings
0,"April 14, 2020","Just finished buying a 2020 Tucson Sport from David Harrison.  David is professional, easy going, not pushy, listens to what was important to me, and made the process quick, simple, and easy.

The numbers quoted before I got there were the same numbers when arriving at the dealership.  There was none of they typical dealership smoke and mirrors about ""gee when we gave you that price on the phone, we didn't know that the invisible zombie repellent has already been applied, so that's why the price is higher"".

When my 1st choice of colors, which had been in stock sold on Saturday, the sales director (Scott Feinstein) even upped their already generous discount because of having to settle for the 2nd choice color,  without me even asking!  When's the last time you had something like THAT happen when buying a car???

When signing papers, the finance director (Brian Smallwood,) was not pushy, answered questions factually, and there were no horror story scare tactics.  I normally don't buy things like GAP insurance and the extended warranties, because it always seems like the person I'm signing papers with had decided they are going to put a kid through medical school on what they make on what I buy.  Prices for that stuff at Huffines Hyundai McKinney were so reasonable both GAP and an extended warranty were priced reasonably enough that I thought both were a good deal.

When it comes to feeling like a dealership is treating you like you're a relative of the owner, the expensive dealerships with names that rhyme with ""jewel"" or ""zest"" are merely wannabe starter kits of what the folks at Huffines Hyundai McKinney are.  My experiences with Huffines dealerships have always been good, but with their Hyundai dealership in McKinney, it was good squared and cubed.

You have 2 choices, buy anywhere else, and have that reoccurring ""somebody safe me ""experience that perpetuates the stereotypes of car dealerships, or buy from David Harrison at Huffines Hyundai McKinney.",5.0
1,"February 29, 2020",If I could give 10 stars out of 5 I would! This dealership is phenomenal! They have a very courteous and kind sales staff! Very knowledgable! Martin Houston is the man! Nobody is better! His managers Frank White and Ben Fernandez did everything they could to get me the deal I wanted. I am so impressed and will definitely be returning!,5.0
2,"February 07, 2020","Th Huffines Kia McKinney dealership is exceptionally good. I recently purchased a new Telluride, and the entire experience was great. Michael Lang, my salesman, was awesome. Also, sales manager, Frank White, was very helpful. I highly recommend Huffines Kia McKinney!     Dan Spain",5.0
3,"January 27, 2020","Anthony Macpherson was our sales person and he was absolutely wonderful.  We'd shopped online for days and had three dealerships lined up to go test drive cars.  We went to Huffines Hyundai McKinney first, Anthony had the cars ready to drive, he was very helpful, knowledgeable and upfront about every detail.  The price was good, the cars where exactly as described and there was no pressure and NO GAMES!  We love the car and feel great about our purchase.  Anthony and Huffines Hyundai McKinney will be our first recommendation to all our friends and family.",5.0
4,"October 07, 2019","What a crap experience, first they tricked me to buy their ""care"" packages which is completely useless. I was a first time buyer and they xxxxx me good.  Now after a few months of dealing with them on warranty issues(lemon car) I will NEVER SET MY FOOT IN A DEALERSHIP WITH THE Huffines name on it ever again. In addition I will let anyone I know buying cars to stay away from Huffines. Good thing these stealerships are slowly going out of business as carvanas and similar non traditional dealerships are popping up everywhere.",1.0
5,"July 23, 2019","My daughter and I just dropped by at Huffines Kia Mckinney. Wasn't planning on buying that day but, the deals were so great I couldn't walk away. Everyone was so helpful. Not pushy. Listened to what I needed and they went to work. My sales person was Veerendra Kaja. He is awesome.  Check out Huffines Kia Mckinney! Brenda Caddell",5.0
6,"July 18, 2019","I took my Hyundai to the Service Center.  I took it on a Saturday and it is now next Thursday ( poor communication and they never expained that the part they used was defective.  They also have poor communication and use remanufactured parts!  DON'T GO THERE!  EVER!  I had to call every day and then when I called the Huffines main office and the administrative assistant said she would get Mr. Huffines to assist me - she sent me back to the Mckinney Office that I was having problems with in the first place.  I purchased my car from Mckinney Hyundai, I just had work done, now I am having more work done and they DO NOT care about repeat customers or their customers at all. It gives my NO pleasure to write a poor review but the community must be warned about businesses like this one.",1.2
7,"July 18, 2019","Was shopping for CPO Genesis.......
STRIKE 1. Made appointment to see two cars (2016 Genesis) - Got there and was told they were not in inventory and they didn't know that until I was waiting to see the cars.  
-Was told another one just came in (matching my criteria) - was at Plano Huffines and could be brought up (was not in inventory yet and had not been made ready)  no problem.  
Liked the car and bought it on Saturday (6-8-19).  I bought a protection package for interior and exterior, extended service warranty and window tinting (which was given for no cost (thank you) .  Car would be ready Thursday (time to fix minor body damage and cracked windshield, put tint on windows and apply the interior and exterior protection products)
-Picked the car up Thursday and drove home- pretty excited...these are nice cars and this had all the bells and whistles and looked sharp

STRIKE 2. Noticed the driver seat was dirty (seats are almost white) - I saw the smudges and dirtiness (not bad, but noticeable)  when I first looked at the car, but thought it odd that this wasn't cleaned up when they readied the car and applied the protection package.
I then looked under the hood (should have done this prior to buying...stupid me) - the engine compartment was VERY dirty with leaves, dust and debris .  Took pictures (which I wish I could include here) and sent to the sales person (Jerry Blow) .  Told me in email ""The engine compartments are not detailed due to the risk of water damage to components""
I then told him about the dirty seat - he then said the ""Smart Shield"" was not applied and I should bring it back at my convenience.  Glad I asked.....This package is a bit pricey for what it is.  How was this overlooked?????

STRIKE 3 - THIS IS A BIG ONE-  I bought this car at a Hyundai dealership specifically to get a Certified Pre Owned (CPO) vehicle .  I was given a brochure telling me how great the CPO program was with nearly 173 inspection points.   
Because of the dustiness / dirtiness of the engine compartment something really stuck out.  Did they even check the air filter????  This filter is a pain to inspect- there is a bar across it that had to be removed ( bolts on either end) and there was no sign in the dust that it had been touched, let alone inspected.  Surely this is on the CPO checklist
I looked into the CPO process further and discovered that before the car can be CPO approved, there is a comprehensive checklist that must be completed and signed by 4 authorized people- technician who did the checks, the service manager, the CPO program manager and finally the customer.   THIS WAS NOT DONE and, until I dug into it, I did not know this was a key document in the sales process!!!!!!!!!  
                                        How did it get CPO certified and sold without this being done
                                                            TALK ABOUT LOSING ALL TRUST

- I brought the car back for the Smart Shield application and a complete CPO inspection - they had the car for a couple of days and provided a NC loan vehicle.  Got the car back and signed the CPO document (Service Manager was very attentive and professional - (Tony Saif) 

STRIKE 4 - It's been 6 weeks since I bought the car.  Thought it was odd that I had not gotten my plates / registration.  
Called yesterday (7-17-19) to get status update.  Oh! the car should have been inspected when it up there last time- I could bring back there or go somewhere locally and they would reimburse me the cost of the inspection.  
NO PAPERWORK WAS SUBMITTED because of this - no call, email or text telling me they dropped the ball again.  What the heck......

I was actually pretty mad and was going to contact Mr. Huffines to let him know the bevy of problems and mistakes at this dealership, but my wife advised me to 1st call the sales manager to see if he was aware of the problems, etc associated with this sale.  Called and (as he would not be in till the afternoon), requested he (Ben Hagan) call me back.  NO CALL BACK.  Did he get the message ???- super nice guy , but .........

So those are the reasons for this poor review.  Would you buy a vehicle with this kind of service, response and attention to detail????   I know there are better places to go (the car is really nice) ",2.2
8,"June 30, 2019","I just purchased a used 2015 kia k900. Upon detailing and delivery I found out the floor mats had been stolen from my vehicle. The dealership refused to replace them, but wanted  $260.00 to order new floor mats from the manufacturer. Since this purchase was ""As Is"" I'm just stuck with the loss. Buyer beware..",1.0
9,"March 03, 2019",I could not be happier with my experience with Huffines McKinney. Michael Lang was my sales guy and went out of his way to make sure I was blown away with the vehicle and service of everyone at the dealership. I would never hesitate to recommend Huffines Hyundai McKinney to anyone. ,4.8
