,Date,Reviews,Ratings
0,"June 26, 2020","Our car sales agent, Ramon Aguilar, was so knowledgeable about the vehicle I was interested in buying.  He took his time to explain all the features.  The best part is that this sale was a NO PRESSURE type of sale.  I highly recommend Hyundai of Pharr and having Mr. Aguilar as your sales agent.  I give him a five star rating.",5.0
1,"June 24, 2020","1. ABS Light and 2 others Lights came out on my Dashboard for Service Check Needed. 
2. I also had Tire losing air pressure every week. 
Job 1 needed Sensor to be ordered and Broken Sensor Replaced.
Job 2 Tire was Damaged and needed replacement. 
I have Appt. In the near future to replace broken sensor. ",5.0
2,"June 15, 2020","During the process of looking for a perfect vehicle and to my final decision making, I felt at ease. I never felt pressured, rushed, or uncomfortable. I’m thankful for all of Marcos help. I will definitely recommend family members, friends, and co-workers to check out Hyundai at Pharr. ",5.0
3,"June 07, 2020",Best experience at a dealership I have ever had. Ramon was a high drive salesman that caters to his customers...well done..very well done!!!,5.0
4,"June 04, 2020",The people that work there are outstanding and knew exactly in what I was looking for in a vehicle. Luis is outstanding. Made awesome experience. ,5.0
5,"June 04, 2020",It was a wonderful experience.  Adolfo and Alex did a superb job. Answered all questions. Explained everything carefully. They made us feel like family and important. ,5.0
6,"May 28, 2020",Friendly polite working people who display much sincerity to customer service.  It appears to be a safe working environment for both customers and employees.  Thank y’all ,5.0
7,"May 21, 2020","Awesome experience, smooth and easy transaction. Thank you very much to the entire team! I would recommend for anyone looking to purchase a new vehicle in these troublesome times. ",5.0
8,"May 15, 2020",I'm very satisfied with the service provided. The salesman was very friendly and curtiois to me and my husband and I would gladly recommend him to anyone.,5.0
9,"May 13, 2020","Very polite and professional people! I highly recommend Hyundai Of Pharr! Service/Maintenance personnel always go beyond! They tell me what my vehicles need, and show me what is going to be done. NOTHING HIDDEN, and that’s what I love about it. ",5.0
10,"May 06, 2020","Awesome experience fast process, they do make the process it super easy, my family have bought vehicles from here, we will be coming back to purchase our next hyundai.",5.0
11,"May 05, 2020","The Pharr Hyundai dealer ship is the best .they are friendly ,place is clean ,very happy with the service I always get when I take my car in .",5.0
12,"May 01, 2020",This is my 3rd car from this place and with the same salesman.  He is always attentive to your needs and gets you exactly what you are looking for.  All the employees are very nice!!! ,5.0
13,"April 30, 2020",I waited outside and looked at cars while my car was being serviced. A salesperson approached me and was helpful in answering my questions. When I came inside I received a text to tell me my car was ready. The cashier was not particularly friendly as I was paying. ,4.0
14,"April 14, 2020","Excellent service, they took care of my problem very quick. Mathew was friendly and explained the prices very well. I would definitely recommend them to anyone.",5.0
15,"March 10, 2019","At one time I was very impresssed w service department not anymore. Too many customers for too few service reps. Needed a setting on my car changed. I left dealership only to find out setting was not done correctly. Called back 8 times, was placed on hold and forgotten, promise to call back-yea right! Called service manager, no return call. Called Dealership Manager-there is none.",1.0
16,"October 01, 2018","The salesman called me several times, wasting my special time. I made an appointment to see him a week after. We talked through the phone and had an agreement on a vehicle. He promised he would work with me but did not come through. My recommendation is that they are just a waste of time and Harlingen Hyundai gives way better deals. If you want to waste time then go to Hyundai of Pharr",1.0
17,"April 26, 2018",Excellent service. Been buying cars with Hyundai for 3 years now with great customer service. Eddie Figueroa was provided exceptional service to find what I want. Thank you Hyundai of Pharr! In love with my cars. ,5.0
18,"April 23, 2018",Luis Galvan and Michael Garza treated us like family. The employees are all very nice and helpful. I love my new car. Thank you for everything. ,5.0
19,"December 22, 2017",We went in with a problem in our truck and left the dealership very happy with our decision and service provided. They went beyond their power to help us and fix our issue. We are really thankful for everything Huyndai had done for us.,5.0
20,"December 21, 2017",As always.. I’ve had a great experience.. from the sales to the finance.. all my questions were answered. I felt I sold myself and wasn’t pushed into anything. Everything was explained clearly with professionalism.,5.0
21,"December 21, 2017",So far had a good experience in the purchase of my new vehicle. Ivan and Eli were very helpful. So far I haven't had any issues. Both employees were great.,5.0
22,"December 21, 2017","Couldn’t have been happier, It was exactly how I would have wanted my visit to go. Luis Galvan especially made my experience memorable. I will definitely be returning",5.0
23,"December 20, 2017",It was our first time purchasing a vehicle with Hyundai of Pharr. Mr. Virgilio was a great salesman.. Treated us like Family and Had Great Customer Service as well..,5.0
24,"December 19, 2017",Great experience! Staff was very friendly and knowledgeable and helped me get exactly what I wanted. The staff also explained very well and exactly what functions the truck had.,5.0
25,"December 15, 2017","Friendly, no pushy salesman.plenty of vehicles to choose from very good service. Will definitely make referrals and recommend the salesman who tended to us. Thank you",4.8
26,"December 15, 2017","Excellent service, trades in and price. We were attended on time, employees spend time with us till late to complete our buy and they look for the better finance options.",5.0
27,"December 13, 2017",Marcos is great always has helped me this is my 4th car with hyundai. I really like my new truck. Marcos is more likr family than just a sells rep. Always understands my needs. Monthly payment was a little high but i understand why. Cant wait to see what vehivle i will get next in a few years to come thank you,4.8
28,"December 12, 2017",When I arrived there was a good amount of people shopping for a car which means good service. They had some goodies for costumers and drinks.,4.0
