,Date,Reviews,Ratings
0,"June 21, 2020",Another great experience at SW Infiniti. Our vehicle was in and out as promised. They do a terrific job on keeping you updated on status of your vehicle. We’ll definitely bring our vehicle back here even though it’s almost an hour away from where we live.  Thank you SW INFINITI!,5.0
1,"June 01, 2020",Always get top notch service when I get my car serviced and when I come in for a trade in on a newer model vehicle. ,4.8
2,"May 18, 2020",INFINITI are best cars I ever on and I tell everyone if you want a car INFINITI is the way to go they treat you like family and the service is great ,5.0
3,"April 29, 2020","SWI gets the job done right the first time. They provide continuous updates on vehicle status, video inspection report, complimentary car wash. I’ve been taking my vehicles there for over 3 years and have never been disappointed. 





",5.0
4,"April 22, 2020","Found dealership to be very clean and associates very nice , was surprised to see just how fast people were in and out of dealership. Even nicer not being there long enough to see but a few",5.0
5,"April 08, 2020",I like Southwest Infiniti Very nice stuff very nice people I will highly recommend anyone wants to buy Infiniti to go to Southwest Infiniti and talk to Robin or Catherine very nice sales woman very helpful very nice very good,5.0
6,"March 27, 2020","Very good overall experience! Like the videos from tech showing areas of concern and love the fact that the service advisor, Daniel Clark is very experienced and makes good recommendations. ",5.0
7,"August 31, 2019","READ THIS BEFORE WALKING IN THERE!
BE CAREFUL WITH THIS PLACE! Everybody is dishonest & total scam!!! Decline all their offers such as service plans, maintenance, kahu and such DO NOT ADD thinking you can cancel later. It will take you couple of months to do so, such a headache! kahu is not MANDATORY, despite they say cannot be removed. DO NOT BELIEVE THESE PEOPLE!!! 
Don’t deal with Nico Noor, he is such a scam as well as finance department guy Felipe Rodregoes will give you crazy interest rate to get you sign in for their extra stuff $$$$. 
Even their general manager didn’t understand and agreed with cheating and scamming to increase the sales. From the salesman to all they way to the top all are SCAMS!!! DO NOT WALK TO THIS DEALERSHIP...",1.8
8,"July 26, 2019","1. Promised remote start to be installed after buying the car, came back at appointment time. Services said Sales did not make an appointment. Waited 1 and half hour, we were told they only received 1 remote key and come back later. 
2. Complaint emailed sent to Chad and James, no response. 
3. No calls, emails, from services or sales 
4. Called to check the parts, we were told the keys are ready.
5. Sent my wife for installation, they said technician did not come, the keys were inside his tool box. 
6. scheduled an appointment again, see how it goes. 
7. Called service director cause it's getting ridicules. Really nice guy and offered to have someone pick up my wife's car and get us a loaner car. 
8. Declined the offer, just want them to stick to appointment this time and provide a reason for ignoring a customer. This is very tiring. They sold you a car and that's it, it's worst than a resale dealership. Infiniti... 
 
Will update google and yelp on progress...  ",2.8
9,"March 13, 2019",I had an appointment to discuss the possibility of purchasing a car and Derrick Moss gave me several options where I was able to leave in a brand new car! Excellent service!,5.0
10,"March 13, 2019","It’s was a good experience, all workers are professionals and they provide an excelent services since the beginning to the ending, I would like to say thank to Christian for being to me an exelent service.",4.8
11,"March 13, 2019",The service is always great when I bring my vehicle in. They are very kind and always finish any work they do in a short amount of time. I feel like they go beyond what is needed to make sure the customers are taken care of. Keep up the good work.,5.0
12,"March 13, 2019",Eric Walsh was outstanding. I was at the dealership for less than 2 hours and left with my new infijiti q50. Best car dealership I’ve ever done business with ,5.0
13,"March 12, 2019","Your employees are very friendly, courteous, and easy to communicate with. Lovely waiting area and restroom facility. Very happy that my first oil change and tire rotation was free. ",5.0
14,"March 12, 2019","I was treated with such respect as soon as i pulled into the service area.  I didn't even have an appointment and Madelynne is always so kind and remembers me by name!! Very impressed!
",5.0
15,"March 12, 2019","Kentrell was the best, he made the entire buying experience a smooth one. We love our QX80 and wouldn’t want anything else. Highly recommended!",5.0
16,"March 12, 2019","Very poor communication. Issue still not resolved. I believe they took advantage because I’m a woman. My service light which had not been on during my entire drive there, while I was there or ever before, mysteriously came on as soon as they got in the truck. And I needed $1,600 to rectify. Now I am unable to pass inspection because this light is on. And my registration expires this month. Left several messages for GM but no response. Received one text from Madelynne Kendall. Explained my dissatisfaction. Said I should hear back shortly. That was last week Wednesday. No one has contacted me yet. ",1.0
17,"March 09, 2019","I was promptly greeted on arrival for my first-year service. Daniel noted my requests and the service was completed in just over an hour with everything taken care of. My car was sparkling clean and looking like new  when finished,  Has been purring along since the service five days ago. Great experience!",5.0
18,"March 08, 2019",Good customer service. The manager saw me waiting and quickly assisted me. Got me in and out. Oil change was done quickly. Great work. Thanks,4.8
19,"March 08, 2019",Overall it was a good service experience. They staff was friendly and helpful and I will be coming back soon for another auto service appointment. ,3.8
20,"March 07, 2019","We are from Kansas City and visited SW Infiniti in Houston because of an odd engine noise in our 2015 QX60. The issue was promptly diagnosed while we waited. While the repair was being made to fix the problem, we elected to take care of other routine maintenance. We were provided a new QX60 loaner while the repairs were made overnight. Everyone, especially our service advisor, what very helpful and courteous. Our car was washed and vacuumed. My only disappointment was they did not wash our factory floor mats to remove the dirt. Overall, a great experience.",4.6
21,"March 07, 2019",Technician helped me with replacing a AWD rear sensor. Process took 2 days and I was given a loaner for the time my car would be worked on. Service was free as I was still within warranty ,5.0
22,"March 05, 2019","Omar has been my service advisor for 9 years. He always does a fantastic job of scheduling my service, providing a loaner car, giving me upfront pricing and making sure the service is completed on time. It is a pleasure to know that I will enjoy my service experience as much as I enjoy driving my Infiniti. Thanks Omar and Southwest Infiniti!",5.0
23,"March 05, 2019",I brought my vehicle in to  have a tire replaced since we purchased the tire protection plan with you but the tire I needed was out of stock.. The service technician that assisted me was super helpful in getting my policy information sent over to another dealership that had the tire I needed in stock so I could get my repair taken care of. ,5.0
24,"March 05, 2019","I’ve been going to this service center for about a year now, and the service has been consistently great. They seem to have cohesive teamwork, and very time I’m there, there’s at least 2 people (often including the manager) making sure that I have been helped. ",5.0
25,"March 05, 2019","The best of the best. top of the line customer service, the cleanest is crazy clean. 
look better than a museum. the drink are awesome good.",5.0
26,"March 05, 2019",From the very first phone call to Omar asking about a few things that I wanted done and needed to get done to my car I had nothing but 5 star customer service. Omar immediately got me a loaner car set up and an appointment made for the next morning. Being able to text your service rep is a fantastic tool to keep the customer informed of all things going on while the car is being serviced. All the work was done in a very timely manner and with great professionalism and care for the client. Omar is the best!!! and Southwest Infiniti certainly takes good care of their clients guaranteeing a repeat when time to order my new car.,5.0
27,"March 05, 2019",Daniel was very thorough and got my car back in good shape and looked out for my on warranty. I bring my car in every 6 months and always great service.,5.0
28,"March 04, 2019","I was very pleased with the department of customer service.  I was greeted as a valued customer. Then the work on my vehicle began immediately and completed on time.My waiting period was pleasant and friendly, as always.
",5.0
29,"March 04, 2019",I was able to schedule an appointment  and the service department got me in and out in my allotted and estimated time. I was kept informed throughout the progress. ,5.0
30,"March 04, 2019",I was looking for a used car for my son who is in college. I had been up and down 59 south in and out of dealerships! This was going to be my last stop! I was tired and had not found anything. When we stopped there was already a salesperson outside. I explained what I was looking for and he said go ahead and park and come right in. The perfect car!! Excellent service!! Alberto Salazar is the very nice young man that helped us!! He may be young but he knew what he was doing!!,5.0
31,"March 04, 2019","I had wiper blade inserts replaced. I did not need appointment. Service was prompt. Friendly staff. Very comfortable waiting area, amenities. I have 2019 Infiniti QX50. ",4.8
32,"March 04, 2019","The service was professional, timely and friendly. The attention to detail was impressive. I have already scheduled my next service appointment for my other Infiniti. ",5.0
33,"March 04, 2019",This was probably the best new car buying experience ever! Loved it! Excellent customer service. Randy was so attentive to us and made the buying experience enjoyable. ,5.0
34,"January 17, 2019","This is one Fraud dealership. They showed me a different car(Brand new) online in a different city and when the car came it was completely different with a totally different VIN, they playwd it smart very smart. The car online had 17 miles and the car came to me had good number of miles (didnt realize till i got home) that it cannot be called brand new with lots of issues. Upon realizing all the issues when i came home called the salesperson - Eric, no answer, called the executive manager - Fred Gallucci, no response even though I called him a few times and left voicemail in regards to issues i m having. Finally got a call from Chad one of their managers and said he was gonna unwind the deal. As i mentioned they are frauds, he than calls me after a few days saying that my trade in has already been auctioned. of coarse they had to waste time and make an excuse and also he said that i m stuck with this new vehicle. This dealership is very fraud and plays with ur time. makes false promises and than play around you with their lies and ignorance. They played it real smart with me all the fraud they did with me with the paper work and their words. Please don't trust this dealership. I made a mistake going to Southwest Infiniti. 
It is my fault somewhere but the way they make u wait and wait and I just got tired and wanted my car. its one of their tactics to waste your time and finally give you something close to what u wanted but by the time u find the issues and problems they will keep ignoring u and call u so late that by that time u cannot even unwind the deal. 
They are not even scared of doing fraud with people.
Very unprofessional and bad business. Its a regret.",1.0
35,"November 06, 2018", I bought my new Q 60 from Berj and have had years of exceptional service from the service manager Mark. Could not recommend them any more highly ,5.0
36,"August 23, 2018","I came in with a strange problem, and the technicians diagnosed the electrical problem and had me out and back on the road in 90 minutes.  That is fast and efficient.",5.0
37,"March 30, 2018","Berj was very thoughtful, thorough, and most of all extremely professional. There were no hidden fees.
We also had a great experience with the financial advisor. We would recommend them to anyone! ",4.8
38,"March 21, 2018","Southwest Infiniti Finance Department operates with a ""slamming"" mentality and will place several unwanted, unsigned third-party options on your finance contract. They will insist that it's part of your sales price and there is nothing you can do about taking the items off. However, keep in mind, these are ""options"" and if it's part of your sales price, you shouldn't see an additional cost on the contract you are signing. If you confront them about their practices, their Director Mark Wedgeworth will respond with hostility.
I reached out to the third party (Data Dots) they fraudulently signed me up for, and a falsified document was on file at their office. I'll advise anyone to shop elsewhere, but if you have no other choice, be smart and review everything!

",1.2
39,"July 14, 2017","The sales manager told me "" what is with in tolerance, I don't even know what that means "" he is an incompetent kid with an attitude.
I bought my car, great experience. 
Then the nightmare started they got me.

First they scratched my car all over detailing it.
   Buffed it out 3 times, still looks bad. I was told they can't buff it much more the paint is getting thin they don't know what else they can do.... O yeah and if you by a black car you are supposed to expect a bad paint job because it's black....

Second my steering is off, the sales manager told me it is with in tolerance and that's it..

Third my auto off feature where the car saves co2 at a stop does not work 98% of the time. 

I will trade this car in asap and never go back to southwest Infiniti again, I suggest you never go there to start with.",1.8
40,"April 04, 2017","I have been driving over 30 miles, one way to get my vehicle serviced there for 5 years.I would never buy a vehicle nor have one serviced anywhere else.Fred Galluci, Mark Nicholas , Monica in service and Larry in sales are like my family.They will never disappoint you! Believe me, I've always had premium vehicles, but I love my Infinity the most.",5.0
41,"February 22, 2017",I recently purchased a pre owned QX80  however have had more problems with it then I would like. I have had the car 2 months and have already had to replace a tire and the battery. I have had Lexus's previously and never have I ever had so much trouble with a car right after purchasing it. I will be buying Lexus's again in my future as I am very disappointed in how the Infiniti was sold to me.,2.0
42,"December 19, 2016",Outstanding customer service. I couldn't be happier with the service and my new car. Mark was a great financing manager. Definitely recommend seeing him. Extremely helpful and very nice. Keara was a great help when I was searching for my car. ,5.0
43,"November 21, 2016"," My wife and I needed a full sized SUV for our growing family. After months of searching online, I located a Durango at this dealership that was within my budget. I secured financing through my bank (just in case) and purchased a plane ticket Friday morning. The plan was to fly in that Monday, and if everything checked out, hopefully I'd be driving it back to NOLA that day. Unfortunately things did not go as planned, at first. Upon landing I gave Nick a call at Southwest Infiniti, only to find out the Durango in question was sold hours after he left Saturday evening for the weekend. I was disappointed, and upset naturally thinking that I had spent money for nothing. Nick told me he had some good news however, he received a newer Dodge Durango over the weekend. I decided to check it out just in case. I'm glad I did.  Long story short, Nick worked with me, and got me into a newer Durango with more features than the original Durango I was coming to see for nearly 5k less than their original asking price, and within my budget. The best part is my wife is happy. Thanks again Nick. God Bless. ",5.0
