,Date,Reviews,Ratings
0,"May 26, 2020","This dealership was a nightmare! I went there to look at cars and was pushed into buying one I didn't want.  The worst part about it was that it has scratches on the hood that you can barely see.  They have a cat that lives in the car lot. I believe they moved my car out of the lot because of the scratches and put it on the showroom floor to try to get rid of it.  They discouraged me from calling my insurance, and I found out that it more than doubled after my purchase.  No one cared about my concerns, and even hung up on me!  Stay Away!  I was told that my car had all of these awesome features, like a Bose Sound system.. and it doesn't have it!  Check the sticker and bring support with you.  Do not fall into their trap, they are desperate to make a sale. ",1.0
1,"May 13, 2020","After having an absolute horrendous experience at Service King for repairs.  I made an appointment with Ryan at Clear Lake Infiniti and have had incredible experience!  I haven’t seen service like this honestly ever, and this truly means the world to someone who has had horrible experiences in the past.  I will not forget how Ryan treated me, he is the best service advisor I’ve ever dealt with. A true professional, very smart, meticulous, precise, decent and kind.  I highly recommend asking for him.  Especially if you want excellent customer service and someone that is trustworthy.  He truly exemplified excellence in service integrity.   ",5.0
2,"May 08, 2020",I have purchased two Infiniti's from this dealership and I was in the market to buy another car for my wife. We saw a Q50 Sport that my wife like and after shopping around I found another car just like it with less miles and was also a newer model for less money. I call the next day and talked to Frank Arriola and told him I had purchased two cars there and my wife liked the car they had but I had found another car just like it with less miles and was also a newer model for less money and wanted to negotiate the price. Frank told me he had to talk to his manager and would call me back. He called me back and said his manager would not do anything on the price. I took my business to someone who actually wanted it and purchased the other car. After having been a loyal customer and then not even being given the courtesy to discuss the car and price with me I will never do business with them again. ,1.0
3,"April 28, 2020",I have worked with all the guys in the service department and all have been amazing!!  I really appreciate their knowledge and patience when I need help with something!  Thank you for having excellent employees!! ,5.0
4,"March 18, 2020","
I had an appointment to discuss the possibility of purchasing a car and Lester gave me several options where I was able to leave in a brand new car! Excellent service!

Alice and Mr Kevin Tran  in finance, and Sales manager all were extremely helpful and beneficial in my purchase! This dealership is 1st class all the way! I highly recommend coming here to buy! I'm very pleased.",5.0
5,"March 17, 2020","They were so easy to work with, it took me less than 30 mins to complete the paper work. I know what I wanted before I came in, price was very fair, managers were super nice. Johnathan was amazing in finance. overall, It was the BEST car buying experience I ever had. I will for sure be recommending this dealership to all my friends. ",5.0
6,"December 24, 2019","I spent 8 hours trying get them to write up papers with  Corrected  price they promised .
At all r8mes I said I will pay deposit today.
Internet sales guy Frank promised pull car and put hold on it for me.
He lied.  And When I sent on Monday the paper he said he didn’t need til Monday : 
He called and told me car sold , because he had not put hold on it as promised !
Wasted 3 days of my time.  I wanted pay cash but car was gone. 
Dan ",1.0
7,"August 21, 2019","The following message is based on my opinion and a very bad experience with this dealer; but the reader should do their own due diligence before buying here. First off, I believe that this business is affiliated with John Eagle Auto Group in Dallas, which also owns the body shop that literally ""glued"" the car back together where the couple driving that car later nearly ""burned to death."" Read the story Dallas-Area Couple awarded $42 Million for Shoddy Repairs and Traps Them in Fiery Crash,"" which is horrible. 
But we did not know this before buying there. And so we traded in our car and they still owe us the money from that trade and now they are trying to keep that money by charging us storage fees. But even worse is that we have been fighting with this company for over a year.based on the fraud involving the 2 vehicles we purchased in August of 2018. We traded in our lease and this dealer returned that vehicle as a lease return to Infiniti so the factory came after us for thousands of dollars in ware and tare charges on a lease turn back even though our purchase agreement clearly shows it as a trade in. The other vehicle we purchased was returned for faulty wiring 2 days later, ""lemon,"" but as mentioned they kept our trade in. Anyway, they use the Shackleford Law Firm in Dallas to bully people out of their money and then hide behind arbitration verbiage so you will have trouble suing them. And most honest good lawyers will tell you do not sign anything with an arbitration agreement. People simply trying to buy transportation should not have to deal with lawyers and crooks. ",1.0
8,"April 04, 2019","Shawn L Service Manager is the worst. Please avoid Shawn at all cost and make sure you get a second opinion on his recommendations. Can't be trusted......



Taunya P
Houston Texas",1.0
9,"November 20, 2018","Service department is terrible. Scheduled an appointment for service and was assured that there would be a vehicle available for me. Get there and my appointment was made for the wrong day and was told no cars were available. Spoke with the Service Manager Brandon and he said he would check to see what he had available. Brandon comes back and lets me know he has a car available but asks me if I could have it back the next day by 7pm. I've owned my Infiniti for the past two years and I have never had the service department give me a specific time frame in which to bring the car back, when no one has even looked at my car to see what all needs to be done in order to fix it. I agree to go ahead and take the rental car, whilst I'm checking out with the rental car receptionist, I express to her my concern over the customer service at Clear Lake Infiniti compared to other Infiniti dealerships. As I am doing so, Brandon ( the service manager) rudely blurts out ""well you can take it to another dealership then"". I was floored that he would speak to a customer in such a manner because of their mishap. He acted as if he was doing me a favor and was very rude and inconsiderate considering the fact that his employees made the mistake and that I purchased a service plan in order to be able to get a rental when my car is having issues (in addition tot the fact that I waited over an hour to check my car in). Go elsewhere to purchase and get service
on your Infiniti if you want to be treated like a customer should be at the time of purchase and there after.",1.0
10,"March 14, 2018",The best car buying experience I have had in over 70 years.   Treated with the other most respected and the salesman were totally honest. They gain my trust almost immediately. ,5.0
