,Date,Reviews,Ratings
0,"December 29, 2018","AMAZING experience!! James Sirbek is by far the best. He and Scott Parker went above & beyond, even after the sale, to ensure we were satisfied. ",5.0
1,"December 22, 2018","James at Infiniti of Boerne made our process smooth and as painless as possible.  We were able to handle pretty much everything over the phone which was huge for us. 

Continue doing great things James and we will be sending people your way. Thanks again for making the process seamless.",5.0
2,"December 16, 2018",I am so impressed with the customer service I received from the beginning to the end of the buying process! I’ve always dreaded the car buying process but James and J. Michael made it happen for me and my little family! Definitely exceeded my expectations! Thank you! ,5.0
3,"November 25, 2018",Jeremy understood our budget. He didn’t pressure us to purchase. He was very understanding. We got what we wanted & in line with our budget. Thank you Jeremy!,5.0
4,"November 04, 2018","This was my first vehicle to purchase on my own and Rob made it so easy! I did not have to go to any other dealership. He truly cares about his customers! I would definitely buy from here again! 
When I went to finance, J. Michael Crittenden was very friendly and made that process as painless as possible! 
Overall my experience with Infiniti of Boerne was very enjoyable! ",5.0
5,"November 04, 2018",The entire dealership works together to insure the buying experience is as little stressful as possible. From the moment you enter this dealership you feel that you are their center and they go out of their way to make you feel comfortable. At no time is there pressure to buy or to add something you did not need or want. Truly an unique buying experience ,5.0
6,"September 04, 2018",Very friendly! Wonderful people! Great atmosphere overall! Best car buying experience so far! Would absolutely go back as well as recommend to friends and family!,5.0
7,"July 28, 2018","Upon entering Infiniti of Boerne a couple of weeks ago; I felt like an honoree at an event. My husband and I were greeted warmly and professionally by Tim Hejl, a salesman with whom we had a scheduled appointment prior to visiting the dealership.   Tim immediately commenced to make us very comfortable by offering coffee and other refreshments.  Without further to do he took us out to the vehicle that, in fact, we had admired upon entering the dealership, not knowing that the 2017 Qx30 infiniti vehicle would be ours within thirty minutes after we entered the dealership. Yes thirty minutes..The personnel at this dealership are so well connected that we were able to complete finance paperwork with J. Michael Crittenden, a true professional .within twenty five minutes. 

Afterwards we were introduced to other personnel aligned with the sale, to include the Manager. All of the individuals mentioned were friendly, professional, adding to a welcoming atmosphere.

We were then shown the service area, vehicle maintenance.  We were greeted by a super nice service manager, Jose Rodriquez, who pointed out the key functions of the vehicle that we had purchased, along with showing us the service maintenance area. Before we left this spotless facility, we were given a complete tour of the beautiful dealership, a spacious and fully equipped waiting room, to include the beautiful and impeccable state of the art bathroom facilities..

Lastly, visiting this dealership was a real pleasure, so relaxing, no stress or fuss, and most of all my husband and I appreciated that there was a place for everything and everything in its place. Not outside sales personnel waiting to pounce on the first customer to drive up, unlike a lot of other dealership that I have visited in the past, where salesmen are all in clusters in front of the dealership..

I highly recommend this dealership to anyone looking to find personnel who subscribe to excellent Public Relations...Infiniti of Boerne is a top notch dealership. The personnel are there to serve you by rolling out the Red Carpet during each juncture of your car buying experience . Your every request is tailored to meet your needs, and let me tell you, the personnel at Infiniti will meet and exceed your expectations for the duration of your vehicle ownership.  It is a pleasure to write this review!

Doris Baldwin....  


 




.  ",5.0
8,"July 07, 2018", Thank you for all of your help and you’re timeless efforts finding the car that I really wanted. I would highly recommend Infiniti of Boerne. Customer service and the service department are more than you can ask for. Thank you James for working so hard and finding my new car ,5.0
9,"July 03, 2018","I love my new QX80 and my experience doing business with Infiniti Boerne, Tim Hejl and everyone else I dealt with was professional and sincere! I’m afraid I would have bought a car even if I didn’t find one I liked, just for the quality of customer service! ;) ",5.0
10,"June 30, 2018","James in sales was wonderful to work with. The dealership offered great customer service! The process was a bit longer than we hoped, but the overall service was amazing. ",5.0
11,"June 21, 2018","An overall wonderful experience . Well informed and very professional. James was very knowledgeable, patient and thorough; he ensured all details  were complete and provided a complete review of the car.",4.5
12,"June 19, 2018",For being a first time car buyer the experience was amazing! Salesman wasn’t pushy and very helpful when purchasing my vehicle. Would definitely recommend buying a car from them. ,5.0
13,"June 17, 2018",Really appreciate the help in getting our first Infiniti! Great experience and worth the drive down from north of Austin. Tim literally went the extra miles for us! Thanks much.,5.0
14,"June 12, 2018","We had amazing customer service, were not pushed into something we didn't want to do and felt very comfortable from the minute we walked in. We would recommend Infiniti of Boerne to anyone looking to purchase an Infiniti!!",5.0
15,"June 05, 2018","Tim was great to work with and provided an over the top experience!  Love love 💕 my new car.  Can’t say enough about the professionalism.  In summary, everything was perfect.  Thank you  again!",5.0
16,"June 04, 2018","Best service we have ever received at a car dealership! From the moment we inquired about a used vehicle, James never made us feel like we were at a car dealership. He spoke with my husband, told us what we could expect for our trade in, and we were able to make a deal before we even drove over an hour to see the car in person! From the moment we arrived, we were given free range to check out the Yukon without anyone breathing over us...oh, and paperwork was already in progress so we didn’t have to wait as long as it can take. The waiting area is very nice and clean and includes complementary snacks and drinks while you wait (maybe 20mins) to sign paperwork. Easiest experience ever buying a car!! Very friendly unlike anything we’ve ever experienced. Would definitely make the drive to see them again in the future. Thank you James! ",5.0
17,"June 04, 2018",Very personable salesman.  Knows their product. Not pushy; informative.  Beautiful car!  Made the process much easier than past experiences.  Got the car on the show room floor-wish I could have drive. It out “that” door!,5.0
18,"June 01, 2018",I’m happy with the way I was updated on the vehicle and the purchase itself was painless. James was helpful and willing to make the deal work well for me.,5.0
19,"May 26, 2018",Without hesitation the best car  buying experience from the moment I walked in.  It didn't stop when the sale was complete it continued over to the service department. ,5.0
20,"May 23, 2018",I had visited several car dealerships over the last two weeks and was never treated more professional then Bourne Infinity. Thank you Tim and team for a great experience. ,5.0
21,"May 22, 2018",They've covered the cost of the repairs and my wife and I are absolutely satisfied! Thank you for your honesty and help when we needed it most! ???,5.0
22,"May 19, 2018",I really had no expectations going in I simply wanted to test drive the car.  I loved the test drive on the G25 Tim (sales consultant) drove for a bit before I got the courage to drive the car.   He was very attentive and very helpful throughout the whole process.  I loved the experience that I received at INFINITI of Boerne!!!  They are the Best of the Best!!!!,5.0
23,"May 07, 2018","This dealership really deserves a 5 Star ??
My salesman Tim Hejl was extremely helpful and his willingness to help me with all my questions even after the sale of my car was great. He was very professional, went above and beyond. He had everything set up and ready to go for me when I got to the dealership. He stayed late to accommodate my work hours that make sure I got my new car. He never rushed me and husband, took the time to go over all of the exciting features of my car with us. The finance manager was also extremely helpful, he worked with us on the numbers we were looking for. He was also very professional and stayed late to ensure our financial decisions with our car was just right. We will definitely go back to service and purchase more cars in the future. I will recommend this dealerships to all my friends and family. ",5.0
24,"April 23, 2018","New to the area, I wasn’t sure what to expect from Infiniti of Boerne, but I was pleasantly surprised!! My dealer, Tim Hejl is the best!!! He made sure to take the time to understand my needs in a new vehicle and to help me get the best deal!! He is upfront, communicative and great with follow-up!! Infiniti of Boerne is the only place I will go for my next vehicle!! I love my new ride and have gotten so many compliments! My All-Star team is Tim in Sales, Jose in Service, J. Michael in Finance and Greg in Management!! ",5.0
25,"April 21, 2018","I had the most pleasant experience at Infiniti Boerne. I went in asking for what I wanted and
what I expected and they delivered. Tim took care of everything along with his manager Vic. Also, Jose in services made me fell so welcomed and was helpful with all that they offered at the shop. I am so thankful that I came here to buy my new QX50!",5.0
26,"April 17, 2018","I've purchased many vehicles over the years and absolutely none of my previous experiences stacked up to the level of customer service, professionalism and and ease of purchase as it was at Infiniti of Boerne! Thanks guys! 

Soon to be repeat customer!

",5.0
