,Date,Reviews,Ratings
0,"June 05, 2020","The Service experience at AutoBahn Fort Worth was AWESOME!

The annual service was performed as expected and all of my concerns were addressed one by one. No complaints whatsoever, just praise for providing me with absolute Professional service. 

Thanks Autobahn for making my experience pleasurable.",5.0
1,"June 03, 2020",Outstanding.  Was so happy with everything that he did.   He makes it easy to get anything done and in a hurry as well.   Bravo to all,5.0
2,"April 18, 2020","I’m always impressed at the efficiency of Kory and the team in service.

I kept abreast of the status which is the best ever!",5.0
3,"March 25, 2020","The service advisor, waiting area and service is as luxurious as the cars! I will definitely recommend the dealership to my friends. I’ll keep coming back because I trust you! I know luxury cost even that was handled courteously by my service advisor to help me be financially prepared.",5.0
4,"March 17, 2020","Consistent over the years of doing business with them, we have purchased multiple jaguars with satisfaction. Our next purchase will be a jaguar from autobahn ",5.0
5,"February 02, 2020","Just purchased my second Jaguar. Great team for both sales and support.
Travis was not the typical car salesman. I was very comfortable with both deals he put together for me. 
Cody and his group resolved the service needs and few warranty items.",5.0
6,"February 01, 2020",I love the Jaquar service department in Ft. Worth! I live in Dallas; however I’ve had a few very bad experiences with their service department as they do not fix the problem and usually create a new problem. The Jaquar dealership in ft. Worth is so much better. They drive to Dallas to pick up my car and give me a Jaquar loaner car. Corey is my service advisor and he has always provided excellent service. Corey keeps me updated about my car and the progress. Corey is very to get in contact with...I highly recommend them for service!,5.0
7,"January 29, 2020","I worked with Chris Howard on buying my new car.  He was very professional and got back to me quickly.  I really enjoyed working with him and the whole dealership.  I look forward to buying more cars from Autobahn.  It was by far my best experience yet.  From the test drive to the finance paperwork.  I am tired of the days that you are stuck at the dealership for hours during the sales process.  It was so easy!  I was in and out, made my decision and the the finance paperwork was done.  I came into sign and left with my car.  Great experience!  Thank you autobahn for selling me my dream car for a great deal and painless sales process.  It was really fun and not stressful at all!  ",5.0
8,"January 28, 2020",Very professional and strong customer service ethics. I trust their evaluation of my automobile needs. Great dealer! All the issues were fixed on my F-Pace.,5.0
9,"January 18, 2020","This service was probably the quickest and easiest service experience I have ever had from any brand or dealership.  Dropping the car off, I was in my loaner vehicle within 10 minutes and every point of service was discussed and confirmed.  Picking the car up was even quicker with every item sorted.  No hassles, no worries, just top notch service.  Autobahn is by far the best Jaguar dealership in DFW.",5.0
