,Date,Reviews,Ratings
0,"June 26, 2020",They have the WORST customer service at this dealership. I wouldn’t even give them one star! They are always rushed and misinformed. It is always terrible. My next car will definitely not be bought at this dealership ,1.0
1,"June 13, 2020","I was helped by Efrain Ameca a reliable Sales associate, overall Excellent service & professional environment followed with dedicated staff who want to help you find the best deal for your business, customer service is everything for me so as long as they continue their excellent service Ill stay loyal to range rover 👍🏼👍🏼",5.0
2,"May 29, 2020",My last service was excellent. I requested new tires last minute and was accommodated. The car ready when promised and was spotless. It has never been that clean since I have owned it. Thanks ,5.0
3,"May 11, 2020",Dealership is awesome.  Humberto found the perfect new car for my wife and I.  We have always received great service on our first Landrover at San Juan: Annabelle is really professional.,5.0
4,"March 24, 2020",Thanks to Walter i had a great experience  with him. He is very helpful and professional. I am very happy  with my new Range Rover. ,5.0
5,"March 05, 2020","I have nerve had an issue with getting in and out of there quickly!  I went in for my key replacement which was covered under my extended warranty and I was able to get it the same day!   
Annabelle is always quick to respond and is on top of her job!  

",5.0
6,"February 15, 2020",We had a great experience salesman Beto Orezza 100% with service is our first LR I been driving European cars last one Audi ❤️Land R,5.0
7,"February 02, 2020",Great service and very prompt on parts ordered staff and Annabelle was great she kept us updated on progress our loaner was ready for us ,5.0
8,"January 31, 2020","I had not been to service my vehicle before, but they did a great job. Especially my service rep Annabelle who was very attentive. Thanks to all.",5.0
9,"January 30, 2020","My battery went dead and Anabelle at the Service Dept informed me it was still under warranty , plus they detected something wrong with the antennae and had that replaced as well.  Anabelle was very friendly and kept me in touch throughout the day as to the progress.  Everything was taken care of on same day plus a car wash too.  I was very satisfied, great staff at the service dept, thanks Anabelle!!",5.0
10,"December 31, 2019","I am very satisfied with my experience shopping at Land Rover in San Juan, the member of the Staff are very friendly, Specially the salesman Ricky Garza, knowledgeable and very professional, He gave me different options and detailed information for the best deals and  explained to me every single question and doubts that I had. When I drove away I was happy and very peaceful with my new Luxury SUV.
The manager Rigo Heredia personally Welcomed me to the Land Rover Family and He made sure I was having the best customer service possible.
I also have to mention that my family and I enjoyed the whole experience waiting for transaction at the elegant and comfortable waiting area while enjoying a delicious cup of brew coffee and other delicious gourmet goodies. I Definitely recommend every single aspect of this dealership.
",5.0
11,"December 24, 2019",Tremendous service staff. Annabelle is extremely professional. Service was quick and complete. I came without an appointment. Annabelle got my Land Rover serviced serviced promptly. ,5.0
12,"December 14, 2019","Great service. Prompt response. Friendly, always in communication. Readily available. The service was expensive because a lot of things needed to be done. I had switched from another dealer because I heard about the great service and these guys did not disappoint. ",4.6
13,"November 28, 2019","Thanks to Carolina we had a great experience , she went above expectations to keep track and ease the negotiation , she listen , not overpower the sale pitch , thanks for that. ",5.0
14,"November 12, 2019","As always, the best service in town!
Flexible hours
Available loaner.
Highly recommended  
I have leased 4 cars, 3 land rovers and 1 jaguar. Next lease on 2020  
 

",5.0
15,"November 03, 2019","Great service, and the staff is super friendly! The wait line was about an hr and 30 minutes, but it's a first come first serve service. I waited in the lobby area mean while and watched TV or other cars they had inside the dealer. They have a small kitchen area where they have snacks and drinks while you wiat for your vehicle I thought that was nice because you would get hungry or thirsty while waiting. They have a big window in this are too and I liked that because you could see all the vehicles they were working on and you could see if they are working on your vehicle or not. ",4.8
16,"October 11, 2019","The purchase of our vehicle didn't take too long and we were out of there in a few hours. 
Loved the snacks while we waited!",5.0
17,"October 07, 2019","Leased my first Discovery and the service given by staff, Mr Palacios in particular was second to none.  He and his team of experts were very professional, thorough and friendly.  I would recommend this dealership to anyone looking to buy/lease a LandRover",5.0
18,"September 20, 2019",Had an oil and filter change found a plastic bag by the engine and no wiper fluid they could have brought it to my attention. Not happy.,3.8
19,"June 14, 2019","Richard is a gold medal winner in customer service.  I waited for my vehicle and when lunchtime arrived, he offered mt a vehicle to go have lunch.  Instead I enjoyed a fresh baked cookie or two and a cold bottle of water.at their snack bar.  He gave me updates as the service proceeded on my Range Rover.",5.0
20,"May 21, 2019","As always when we bring in one of our Range Rovers, Annabelle Garcia, makes sure that we are taken care of with an expeditious, efficient and complete service.",4.8
21,"May 19, 2019","Great Service, Great Customer skills. Traded in 2010 Landrover LR4 for a 2016 Landrover LR4. Armando Palacios handled the sale and trade in very well. Will keep purchasing Landrovers from San Juan Landrover. ",5.0
22,"May 11, 2019","My husband and I recently purchased a vehicle from Jaguar Land Rover San Juan, where we were very pleased by the service we received from salesman, Manuel Ruiz, and everyone else we encountered at the dealership . He went above and beyond to make sure we were 100% pleased with our purchase and we are. His service didn't stop there, but he has continued to be very attentive to us even after the purchase. We highly recommend Jaguar Land Rover San Juan and Manuel Ruiz. ",5.0
23,"April 09, 2019",I always bring my car back here to make sure I get the best service and certified parts to keep my Range Rover running like new. The staff is hospitable and always ready to give you the best service available.,5.0
24,"March 31, 2019",Great service as always. Good communication and friendly. Rich goes the extra mile. Nancy always delivers my car on time. They make servicing my car easy. ,5.0
25,"February 18, 2019","Annabelle garcia took care of us extremely well, efficient, polite, she expedite on the service the best she could to get at us out as soon as possible ",4.6
