,Date,Reviews,Ratings
0,"June 26, 2020",Amado was my sales person who drove the Jeep to my home for a test drive. He is a valuable employee  and I appreciate his help. The GM Pedro did a great job as well and I appreciate how hard he worked to make the deal! The customer service of the sales team is amazing. I also want to acknowledge Alex in service and his crew who helped out to install my tow hitch and wiring and make sure everything was perfect as well. You should be so proud of all of the employees at Dallas Chrysler Dodge jeep. I will be referring friends and family to this dealership. It was worth the drive for the Customer service! Thank you everyone for making my Jeep purchase fantastic and memorable. The team here deserves acknowledgement for sure! It is not often you run across a whole group of people working together like they do keeping their smiles on and making sure everyone is well taken care of and during Covid keeping themselves and the customers safe. Thanks again! Lori ,5.0
1,"June 18, 2020","I would like to start by saying that, I have experienced excellent and fabulous customer service from the Service Dept. of this dealership. Service Advisor Hector Alicea and Alex Padilla (Manager) went out of their way and displayed pure professionalism and helped me resolve my Jeep repair situation. At the same time, I truly appreciate them arranging and providing me a dealer loaner car, which seemed to be impossible considering it was a busy closing time and just hrs before a busy national long weekend.

Hector is extremely knowledgeable in his profession, attentive, energetic and friendly. I would definitely recommend this location as an excellent service providing company. 

Thanks a lot Hector and Alex!!    ",5.0
2,"June 10, 2020","Worst service experience I have ever had. I have been doing business ( buying cars and having them serviced here for 15 years ). This will end my relationship with them!!!!!
I brought my 2015 Durango in for service (Oil change, radiator flush and transmission fluid and filter change ) I was quoted $240 to $300.00 for the flush and trans. work. After a 5 hour wait I left the dealership and my wife remain. She called my when the car was ready and said they are trying to charge her $690.00 for the work. Naturally I was UPSET. I spoke to the Service manager and he NEVER explained what I was being charged for, he only said he will try to get the bill back to what I was quote!!!! When my wife got home she showed me the bill and it had been amended to $363.85. To my amazement they charged to $110.00 for an Oil change. They said they did Synthetic oil. I NEVER requested this service and had never requested synthetic oil in all the years I have been getting my vehicle serviced here. This smack to me as a Total padding of the bill.
I will now be taking my business to another Dealer.",1.0
3,"April 30, 2020","Sales portion was a good experience. I traded in a vehicle against the purchase of a new vehicle. 60-days later, the vehicle I traded in still has not been paid off with the finance company. Dallas Dodge has ruined my credit because they haven't paid off the loan on the vehicle I traded in. The vehicle I traded in was sold 5-days later.  I do not recommend doing business with this dealership.  I know I will never do business with them again.  My next move is to file a complaint for fraudulent business practices with the Texas State Attorney General's Office.",1.0
4,"January 30, 2020",Worst dealership I have ever dealt with! Truck was damaged prior to purchase they said they would fix (they have yet to fix) I schedule to have it fixed after dropping off and leaving they called and said couldn't fix it right now.. They lost a set of keys and the owners manual (still not replaced). Not one person has contacted me about the issues it has been about 6 weeks since I purchased the truck. I highly recommend using a different dealership!,1.0
5,"January 09, 2020",add $1500 warranty to the Fiat 500 I bought without my acknowledgement. It's been a painful experience to ask for a refund. Had to go there multiple times and they just wouldn't do it until I left google review and threaten with my attorney.,1.0
6,"December 14, 2019","Drove down to the dealership to look at a specific Ram truck that was listed on their site. It turns out the actual price is $3,000 more than what they advertised.  The explanation was these were dealer add-ons. The dealer add-ons are clearly shown in the pictures and listed in the description below the fake advertised price.  They include a vague disclaimer at the bottom of the ad which technically makes this bait and switch legal yet in no other industry considered ethical. When I asked the General Manager about his shady business practices, his justification was everyone else does it. Which is not true. If you are in the market for a Chrysler product go to Frisco CDJR. There advertised prices are higher but are legit. If I had listened to their warning about Dallas Dodge i could have saved 3 hours of my life.",1.0
7,"December 03, 2019",Great place to do business with. Professional and friendly staff eager to help with your needs. I bought my car from here and have all repairs done.  Always had great service!! ,5.0
8,"September 13, 2019","I found the truck I wanted on the Dallas Dodge website. Went in on Aug. 31st and worked with Valentine Daniels while purchasing the vehicle. After the test drive, I noticed a small spot where the paint was worn on the door. I asked if that could be fixed if I purchased the vehicle and was told by Valentine that it wouldn't be a problem. The truck also only had one key so he told me they would make an extra key. He originally told me to come back the following Monday to get everything done. Monday was Labor Day so of course they were closed. Ended up having to wait for them to order the key so took it in on Tuesday with the expectation that i was going to get a loaner to drive while they were working on it. After setting everything in motion, was told that there would be no loaner. So i dropped the truck off Tuesday morning at 8 am. Called several times that day, left voicemails with Anthony Biddle and never received a return phone call or update on my truck at all. Was told by Valentine on Wednesday that they were working on the steps and the door would be next. I told him I was having to find rides to and from work and needed my truck back no later than Thursday. Called at 12 pm Thursday and was told that nothing was done to my truck but the key and the reason was that I wanted it back the next day. By this time they had had the truck in their possession for 3 days and not once gave an update as to the status nor did the service department answer or return my calls. They has PLENTY of time in those 3 days to fix it and simply didn't. I honestly feel like after making the sale, my satisfaction was no longer a priority. I feel like they have zero professionalism and horrible customer service. I will not take my truck back there for any kind of service and do not recommend them to anyone.",1.2
9,"August 28, 2019","Lost all trust in this location and the service department is ruining Dallas Dodge’s reputation. I will never go back.  I would recommend looking at reviews and see the pattern regarding service, including the same response as far as using your experience as training, which is a joke. Also the three different “service advisors” that are also called “managers” gave me 3 different diagnoses. 
Been a loyal customer taking my ram for maintenance since purchase.  Have done ALL required maintenance faithfully.   Have complained on NUMEROUS visits starting at the beginning if not all about brakes squeaking. Was told normal.  Kept complaining, told normal.  Finally at recent visit as I complained AGAIN, they checked and said one side was worn down to 1-2 mm while the other side is still 75%.  As I explained ALL of my NUMEROUS complaints I’m informed that it is not documented.   Also was told that during services, they only check one side.   Be aware of that if you complain about your breaks, make them document that A. you complained and B. make them document they checked all sides.  ",1.0
