,Date,Reviews,Ratings
0,"March 09, 2020",My husband and I decided we wanted to switch to the Ram brand because of all the great rebates and the new 2020 body style. We traded in our 2017 Ford F 1-50 that we bought in their used car department 7 months ago and are pleased already with our new Ram. Russ took great care of us for the second time in a row! ,5.0
1,"March 06, 2020",Russ was absolutely amazing and was able to get my husband Ronald and I into a brand new vehicle with very little down and a good price for our monthly rate.,5.0
2,"March 06, 2020",Me and my husband went to Gulfgate Dodge to try and trade our 2017 Silverado in that we were really upside down in. We now own a new 2020 Dodge Ram 1500! Russ was our salesman and he did an outstanding job. ASK FOR HIM! -Adriana P.,5.0
3,"February 22, 2020",Armando was amazing ! All the staff was super helpful and kind . They really made my experience easy and fun . I appreciate them all so much for helping me . ,5.0
4,"February 02, 2020","The service was awesome, they fixed one of the issues I brought my car in for, and they did it in a timely manner! I just didn't like the white film they left in my car, what ever they wiped it out with, and the windows were smeared. ",4.6
5,"February 01, 2020","Ms Patsy was very knowledgeable , answered my questions in great detail and  with patience. She possesses outstanding  people skills l felt special upon leaving the dealership.",5.0
6,"January 29, 2020",This dealership was very clean and organized. Each dealer had a very positive attitude and work ethic. They showed us the best of the best experience while we were there. ,5.0
7,"January 28, 2020",Jonathan Williams was very polite and attentive with all I needed to be done with both of my cars.Also service didnt take to long,5.0
8,"January 28, 2020",Great Staff I went to get my oil change and to make sure everything was ok with my car I dealt with Marco I believe that’s his name he was excellent ,5.0
9,"January 27, 2020",The service dept was awesome! My oil change and tire rotation took only about an hour. Everyone was very courteous and helpful! Unfortunately I do not have the names of who helped me.,5.0
10,"January 27, 2020","Craig Roberts was outstanding in helping me select my new 2019 Dodge Charger! He was extremely knowledgeable of the features and benefits driving a Chrysler Product. I am very pleased!

",5.0
11,"January 26, 2020",Jeff took great care of us. He was very friendly and knowledgeable. Would recommend him to anyone looking to buy a vehicle. He stayed past close to make sure we were taken care of.,4.0
12,"January 26, 2020","I was pleased with the service they provided , the way they work with me was wonderful I will be eager to recommend them to my friends and family ",5.0
13,"January 24, 2020",Service provided without any issues or hassle. Didn't try to add additional items which is always great. Time waiting was ok due to others getting service ,5.0
14,"January 23, 2020","Y’all are awesome... I have been putting off replacing my key and fob.. due to cost and time it will cost me.  Y’all made it so painless I am over joyed
I walked into the wrong area to parts where I was directed to service ... but before I was directed I was asked what was needed ...I explained and the kind gentleman ( I forgot his name).  Quoted me the cost and had a key in stock 
Marco helped me write my service ticket and come to my surprise they had 2 keys in stock and will have it done in30 min 
So my whole day was salvaged and the cost well it was not a shock 
Will I come back of course when I get ready for a new Jeep 
Thank y’all 
Stephanie ",4.8
15,"January 22, 2020","I had to keep calling to get an update on my vehicle.  Was left on hold for 20 minutes, I had to call on another line to let them know I was still on hold on the first line. They never got a rental car for me the whole week my car was there.",3.0
16,"January 22, 2020",Great customer service! Very efficient and the hours are convenient.  Steven Hernandez the Service Advisor notified me of a recall on my vehicle.  He set up an appointment so it can be fixed. I appreciate that he went above and beyond. ,5.0
17,"January 21, 2020",They treat you like you’re family. Great service and reasonable prices I would recommend family and friends to shop at Gulfgate Dodge. I love it when it’s time to get my truck it will be from Gulfgate Dodge.,5.0
18,"January 21, 2020",Patsy made the process so easy she took the frustration out of the equation.  She assisted me with a loaner vehicle as well.  Upon my return all of my paperwork was ready to go.,5.0
19,"January 21, 2020","Everything went well, a couple of specs of oil on top of engine cover but good......................
Overall good service, def coming back to get oil changed",4.0
20,"January 19, 2020",Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good  Good Job,5.0
21,"January 19, 2020",Came first thing in the morning and the vehicle was ready before 10am. Pretty fast for a diesel. Mr. Williams was excellent! I appreciate the coffee and clean space to sit and wait. ,5.0
22,"January 18, 2020","Excelente atención del vendedor Armando Correa,  amable,  buen trato y  quedamos muy satisfechos. Con la compra.  Nos mostró varias opciones haber cual era la más conveniente Gracias ¡¡ ",5.0
23,"January 17, 2020",John Williams met me at the door and within the hour I had a loaner for the day. He noticed I was a large guy and requested for me to have a truck which I appreciated. John Williams confirmed that the recalls were all complete and recommended repairs. Even though I did not get al recommended repairs completed I will be back for the necessary maintenance. ,5.0
24,"January 17, 2020",Yes my salesman and company we’re extremely Professional and attentive. They made sure that the best help was was provided for my situation and they got the job done ✅ . I wanna thank them and the dodge dealership...,5.0
25,"January 17, 2020","I’ve been taking my vehicle here for service and routine maintenance since I’ve purchased it here and for over seven years I’ve been getting excellent customer service. Patsy has got to be the best service advisor hands down. I called and scheduled my appointment, she gave me a time to bring it and had a rental waiting for me I was in and out in no time. She made calls informing me of the status and told me exactly what was wrong and fixed the problem. I have a Chrysler 300 Motown Editon and even though it’s paid for I still bring it here for any services.",5.0
26,"January 17, 2020","They are knowledgeable , friendly very courteous. They also interact with their customers. They also explained things about the vehicles. You have a very clean showroom",5.0
27,"January 16, 2020",The staff was very helpful and quick with the service that was provided. Offered water or coffee. Showed good hospitality as I waited on my vehicle. And kept me updated on the status of it. ,5.0
28,"January 16, 2020",Steve was rude and wanted to see other options but every answers was no no no my girl bought car I went somewhere else and bought a brand new car from another dodge dealership I asked him if I could get another key he was no no no I was going to buy 2 cars from that lot but that was my only girls option but I went somewhere else and I got no on buying a car I wanted so I moved to another dealership and at least said let me check on that for you and tried Steve just wanted to sale his car fast ,1.0
29,"January 16, 2020",Appreciate the help and time I got from Marc and the mechanic. They both solve the problem I had and did the work that I needed. Very happy with end result. Thank you.,5.0
30,"January 16, 2020","I took the right decision going to this dealer for my vehicle reparation, definitely I will come back for more services. Highly recommend it. Excellent Service.",5.0
31,"January 15, 2020",Brought my vehicle in for recalls. Everyone was super helpful especially Luis! Fast and efficient service. I had a great experience. Thank you very much! ,5.0
32,"January 15, 2020",I am so happy with everything till it made me cry I so in love with my new suv I always want  this and by the grace of God and my sale person I thank him from the bottom of my heart ,5.0
33,"January 14, 2020",I have enjoyed waiting for my car getting its oil change they had TV tea or coffee of your choice popcorn and the people were very friendly and concern I like gulf gate Dodge dealership I will continue as long as all goes right everything will be alright thank,5.0
34,"January 14, 2020","This was a quick and out oil change, Marc Memiaghe and the service techs were able to have it done in no time. Always great service at Gulfgate Dodge!!",5.0
35,"January 14, 2020",One word simply. WOW!! Mr Shontrel Bright and De' Sean Jefferson provided me with excellent service and support.  The professionalism & attention to detail great job. ,5.0
36,"January 13, 2020","I brought my vehicle in twice, and conversed on the phone twice before the issue was resolved.  As of now, the warning still appears on the screen, even though the issue was supposedly addressed -- or at least I paid for the service to have the issue resolved.",2.6
37,"January 12, 2020","We are so pleased with the service and the help Mr.Khalil Rahi did for us . He answered all the questions we had about our purchase and he even offered us something to drink ,Thank you for the great service you provided us with.🙏🏼",5.0
