,Date,Reviews,Ratings
0,"June 24, 2020",If you trade in a vehicle make sure to watch to see if they actually pay it off.  Deal has been funded for weeks but they are just playing games and still haven’t paid off trade.  Check is going out today lol we shall see....Already made 1 extra payment to trade in let see if they actually pay it off.  Vinny the salesman was great but obviously management is just trying to make a few extra $$$ (a bit crooked if you ask me). This is not just a one time deal as we have many friends and family members that have had the same issue with this dealership. Have bought many company vehicles without trade ins from this dealership and never had an issue.  If you try to reach management or finance department your emails and voicemails will just go unanswered.  We shall see if they make this right.,1.0
1,"June 21, 2020",Ben and the rest of the sales people and sales manager were great they got me approved that day and they listened to what I wanted ,5.0
2,"June 11, 2020","greeted immediately upon arrival with fast, curteous, proffered responses. I will definitely return to this dealership for my continuing maintenance needs. I am highly recommending this service department ",5.0
3,"May 28, 2020","Service department it terrible, I bought in my 2005 Chrysler PT Cruiser to have the convertible top checkout, because the top wasn't coming down. My service advisor Chase, a nice guy, he let me know that it would be a $185 charge to see what causing the problem, then I get a call from Chase saying they need a additional $400 to keep looking into the problem, which I never heard of this before charging someone to extra for looking for a problem. So, I told Chase to discontinue the service and I'll come pickup my car, when I get there the next morning Chase had my diagnose on the convertible top, which two motors stop working not letting the top down, and the cost to repair around $1200 which I'll wait later to repair, I'll take the car back home. When they drove up to the front service driveway, I notice the Left side back window was down, I with to try let it back up, the window wouldn't come up. So, I with back to Chase with this problem, and he with to talk with the tech that work on the  car, and he told me that the tech could not get the window back up, so he just left the window down without telling the advisor and just give the back to me that way. Then, the service mgr. came up to me and told me that I have to pay for it to have it repaired, and blame me for having the window down, which wasn't true, all windows were up, and then he told me I had a unreasonable attitude about me trying to see if they could get the window back up, no they wanted to charge me for a problem  I didn't bring the car for repair. Be careful at this Dealership, the service department are Con Artist.",1.0
4,"May 21, 2020","The amount of unprofessional repairs, advice & lack of communication with this department is UNREAL. I have no idea how this place is still in business with how they treat customers & your vehicle. We bought a car here a few months ago without ANY issues. The sales staff are awesome! If you ever need repairs, service, or diagnosis, GOOD LUCK. The operating manager takes no accountability for his advisors or ""techs"". These people are hourly workers who couldn't care less about your vehicle or concerns. You might have better luck going to the Walmart auto shop. I have run into issue after issue with these clowns. Not worth the headache!",1.2
5,"May 14, 2020","As always, a dealer is only as good as their service....and service is only as good as the service advisor. I pass by another Ram dealer to go to Frisco Ram for Robbie. Robbie is the only person I will go to for the past 4 years. He is the best and as a business owner, makes me feel like I am his only customer. ",5.0
6,"May 08, 2020","Quick & friendly service. Found salesman Jaylon online, and he did an awesome job of communicating with us and finding a deal that was spot-on the car of my wife’s dreams. We flew from the Amarillo area just to buy from this car lot; that’s how great they were & how well they treated us!",5.0
7,"May 05, 2020","Cody took the time to explain what was currently needed and upcoming care for my Jeep, the benefits of choices and great options for prices and payments.  Outstanding customer service.  This is definitely the place to buy and service your vehicle.",5.0
8,"May 04, 2020","Whenever I come in for service here, I'm always treated as a VIP. It was great seeing and working with Cody. He is phenomenal and goes way beyond the cal of duty in terms of customer service. While you're vehicle is being serviced, Cody keeps you abreast of the status and asks if there is anything else that you need during the interim.  They're always running some savings deal that he will inform you of as well. Once your service is done, Cody makes sure that his customers get the VIP exit by having your vehicle parked just outside the Service Department. If it's cool outside your AC is cold and if its cold outside your heat is running for you. Please do what y'all have to do to keep Cody there (BIG BONUS) and happy.

I also enjoyed meeting and talking with Brad (the head Service ""Boss""). He meets, greets and talks with customers  who are getting their car serviced. He definitely has a knack for customer service. He is also a keeper.",5.0
9,"April 28, 2020",Frisco’s new service manager from Atlanta will not honor any commitments made by the previous service manager.  Good luck to others.  We won’t be going back and I even have a prepaid service plan.,1.0
10,"April 12, 2020","I received absolutely stellar service from Augustine Flores and Sales Manager Stephen Bruneau! I’ve been coming to this dealership for several years, but this was by far the best sales experience I’ve had, and not just with Jeep dealerships. They were knowledgeable, courteous, personable and genuine, with absolutely no sales gimmicks or pressure. I’ve shopped around for months, but received the best deal that was possible from these gentlemen, for the vehicle that I wanted. Cannot recommend them highly enough. Sales process was smooth and easy from start to finish, and I could not be happier with a sales crew or the vehicle I got! ",5.0
11,"April 11, 2020",Always had exceptional service from this dealer. I will drive the 30-40 minutes to get to this location as opposed to the one around the corner from us.,5.0
12,"April 10, 2020",Happy with our service. Vinnie was very responsive and helpful. He knows cars and really worked hard to earn our business. Thanks for a great experience.,5.0
13,"April 03, 2020",Customer service excellent. Knowledge of my vehicle coupled with a willingness to investigate or confirm an issue is a winning formula. Have a relationship with this dealer over 3 Jeep vehicles and highly recommend it. I trust them to be truthful and straightforward. All personnel are friendly and courteous. ,5.0
