,Date,Reviews,Ratings
0,"February 20, 2020","I bought a $50,000 Jeep three weeks ago. It typically, from other dealers, takes 2-3 weeks for license plates to arrive. since I have not received the plates after three weeks I called to check on them. I was told that it takes 8-10 weeks, and sometimes longer “depending on the model”. Both statements are total lies! The degrading laughter from the salesman was an insult. ",1.0
1,"September 13, 2019","This was the best experience I have ever had in a dealership !!!! I don’t trust anyone else with my truck. Charles, in the service department is amazing! Treats me like family. I don’t go any where else.",5.0
2,"July 06, 2019","This was the best experience I have ever had in a dealership !!!! I would give 15 stars if I could.  Charles,  in the service department is amazing! ",5.0
3,"June 25, 2019","Worst service department ever!!! 2nd time coming in for a recall and the first time you took my vehicle in and after making me wait over an hour you came and told me you don't have the part in stock. 

Last week I made another service appointment specified I was coming in for the recall, I called yesterday at 4:37 to verify that you had the part and was told yes. I showed up today and you took my vehicle in for the recall and then after an hour and half you come out and tell me you again don't have the part??

Really? Your service people are not competent enough to check parts status before taking a vehicle in twice now?

I called to ask for Allan McBain as I was given his names the service manager and I was transferred to a number that rang then went back to the same call taker and explained that I would like to leave a message for Allan and she hung up on me!!!


Avoid this dealership and service department!!",1.0
4,"February 04, 2019","They told me that I have to wait 3 to 4 hours to get my car fixed, and they take more than five hours, the problem is that they make me wait that time because they lied to me",2.0
5,"October 27, 2018","We had a really bad experience at this dealership. First, their Floor Sales Manager wouldn’t honor their own internet discount that was offered to me in-writing by their Internet Sales Manager. He tried to tell me it was already rolled into the sales price of the vehicle, then when he couldn't make the math work in their favor, it was quickly decided he “had already cut too deep into the price of the vehicle to allow the use of this discount.” Also, be careful of the $1,495.00 package they will tack onto your vehicle for interior Scotchgarde, paint sealant, tire locks, and VIN etching. This is not listed on their website and is added on when you are doing your final invoicing and it will not be optional. The same Sales Manager handling our deal told us “the car could not leave the lot without it.” Then, when I asked for him to provide, in-writing, what was a part of this package he told my wife and myself that “ALL new cars get it” and that “his Finance department was too busy to be bothered with providing it.” Once the deal was finally hammered out and I was given the aforementioned package for $700.00, which by the way was only VIN etching, there was no true delivery of the car; the make ready was so lackluster I had the local car wash down the street finish it a few days later and none of the car’s features were explained to me. Furthermore, when I asked for the spare keys and owner’s manuals, I was told I had to wait until my plates came in and at that time I would be given those items, per dealership policy. When I emailed the salesman about this he said he would check with his GM to see what he could do. I was allowed to drop by a couple days later and pick them up. Do not sign the delivery paperwork until you have truly taken delivery of the vehicle, thoroughly inspected your new purchase and are given a proper run through of all the vehicles features, even though they will try and have you do it beforehand. Dodge was notified during my customer satisfaction survey of these problems as I have them all documented.",1.0
6,"October 05, 2018","I bought two trucks in 2010 from North Star and got a GREAT deal and their service dept is far superior to any other I have used in the city. I have had Ford and Jordan Ford was good but nothing like North Stars caring attitude. The service dept has offered many discounts and has always got me home when I had to leave it and picked me up when it was ready from their porters to their service advisors they are the best in the city. Their caring attitude alone puts them over the top!! I highly recommend them even if you do not buy from them their mechanics and service center is the best!! As the man says ""TRY IT YOU WILL LIKE IT! Leo Charvez the GM prides himself on hiring the best and putting them in the right job. I have known Leo since 2010 and he prides himself on being trustworthy, and people oriented person. JUST A GREAT GUY! Give them a try you will never get it serviced anywhere else.
",5.0
7,"September 29, 2018","I came into this dealership set on just looking. My decision to buy was not changed bye the salesman but by his knowledge of every question I had about the vehicle. Any questions he did not have an answer to he searched out that answer and came back and informed me. Coming into the dealership I analyze in my own mind how the place looks the demeanor of the salesman and the condition of the service facility. There are two types of service facilities one that you pay for through the price of the vehicle and another one that is functional and is actually a service facility. This service facility at this dealership is a very functional one, it actually looks like a shop. Jared libhart was my salesman and I do recommend him to anyone who may go to this dealership. As far as the finance manager Max answered every question and concern I had in detail and also through working with him was able to even lower the percentage rate from what he originally had. They will take care of you and be straightforward with you which meant a lot to me.",5.0
8,"September 22, 2018","I don't know where to even begin with this review but all i have to say DO NOT I MEAN DO NOT PURCHASE A VEHICLE HERE!!! Worst customer service I've  ever received especially coming from the General Manager Leo Chairez!! He has no remorse,no care or no compassion what so ever for his customers!! Even after I told him what had happened to me with my ""NEW 2019 JEEP CHEROKEE"" on the freeway. He had the audacity to tell me oh that is a easily fixable issue. I was on the freeway when my brand new vehicle just stalled on me!! Luckily it was a Sunday and not much traffic on the freeway because if not i probably wouldn't even be here to be able to write this review but again the General Manager Leo Chairez made it seem like there was really no big Issue!!! I bought this vehicle In the end of June and barely have at the moment over 2000 miles on it and I already encountered not just one but two issues with it and no its not just a small issue. This issue could've clearly taken my life or others if it would've been a week day with a lot of traffic. I never write reviews but buyers please be aware!!! AND BUY ELSEWHERE!!! Because if your brand new car were to break down on you trust me this Dealership does not care and will do nothing to help you out!! All they care about is making the sale and getting paid!! And once they have their money if anything happens to your vehicle they do not want to take any responsibility on that piece of xxxx they just sold you!! Cause that is exactly what i bought from them!! A BRAND NEW PIECE OF xxxx!!!",1.0
9,"January 10, 2018",I’ve been to other dealership to buy vehicles but by far North Star Dodge has the best customer service dealership I’ve bought from . ,5.0
