,Date,Reviews,Ratings
0,"June 05, 2020","My experience was with the service department, Andres was great, he really was concerned about making sure I was satisfied with my service.  He is an asset to Mid County.",5.0
1,"June 04, 2020",People were polite service went as planned and offered me a ride as well satisfied!!!I don’t need that 15 to 25 words to give you the information you need if you need more information that I won’t complete this review,5.0
2,"May 30, 2020","Arrived early for service, took me right in, was out the door in under a hour, great staff and keep you updated on progress, will use the dealers service dept in the future ",5.0
3,"May 28, 2020",The dealership is great. They asked you what you need and they check the car and make sure that you get the right parts and service to go with it. The service is quick and efficient ,5.0
4,"May 06, 2020",Took jeep in for service. Staff was pleasant. Had to order me a new tire so I will need to go back next week.T,4.0
5,"May 06, 2020",Great customer service. All needs were taken care of in service department. Would highly recommend family and friends to Mid County Dodge in Port Arthur.,5.0
6,"April 27, 2020",They got me in and out as quickly as possible problem identified and problem fixed.  Customer service was good I go every time there is an issue. ,5.0
7,"February 17, 2020","Had my appointment with Mrs. Baker she's great. I have been dealing with Mrs Chelsea now I am confused on who is the best
",5.0
8,"February 09, 2020",I am very impressed with Mid County Dodge. No pressure tactics used. Neil took time with us and on our fourth visit to the dealer we decided to buy. Neil did a great job explaining the vehicle features to us after the sale and stayed in touch. Even after we decided to buy when the Manager found out I am retired military he gave us $500 more off the vehicle even though we did not ask. Thanks for a better buying experience. Sean,5.0
9,"February 09, 2020",Neil Walker was a pleasure to work with. Mid County Dodge has professional service and a friendly staff. The car buying experience was painless. Thank you Neil for my new Ram Rebel!,5.0
10,"January 15, 2020","Great service.   Very professional, polite and clean.   Highly recommend this place for all of your car or truck services.    Answered all my questions up front and was ready to go.  ",5.0
11,"November 15, 2019","Service is always great, usually my quoted service is accurate, but this round my service writer left off the cost of fluids. There was a huge difference in the quoted price. Otjerwise I'm happy with midcounty dodge. ",3.0
12,"November 14, 2019",The people were very nice and helpful . But the only con was I had the car for three days and the battery died . I think that the car should of been check a lot better before you sale it to the customer . But I call and they  help me and replace my battery . Other then that I  have bought two cars from this dealer  cause of the great help I have received !,4.8
13,"November 12, 2019",Chelsea in customer service was excellent and got all my vehicle needs accomplished. They really care about the customer. Glad she helps me every time I go up there with a problem.,5.0
14,"November 09, 2019","This was my second time purchasing a vehicle from this dealership. Both times, Mike Coleman went above and beyond to get me in a vehicle. I cannot thank him enough. ",5.0
15,"November 08, 2019",Great help...they are very understanding and patient with you and also great prices to match with very reliable and top rated cars. I would recommend you give them a call,5.0
16,"October 31, 2019",Very happy with the service I received with the purchase of new truck and With the very helpful and pleasant salesperson. The experience was all around very hassle free.,5.0
17,"October 08, 2019",I like the way the Mid County Chrysler dodge help the customer to understand all the process of getting a new vehicle and the service after you buy it. I been on a others dealers that after you buy you are on you own with any problems you can have with the vehicle that you buy. ,4.8
18,"April 22, 2019",The seller was very pacient with us. Give us the best discription and deals. Help us to learn how our new truck works. I recomend this deler!,4.8
19,"April 11, 2019",We had an excellent & the perfect salesman. The sales man made sure that we were taken care of. Mid County makes you feel at home.,5.0
20,"April 03, 2019",The process took only 3hrs from picking out the truck and doing paper work and out on the road. Great sales person! Going to buy a Jeep for the wife here.,4.5
21,"March 22, 2019",I am grateful and bless to get my dream car which is a Dodge Charger. It’s was all because of Neil Walker who I thankful  for the help that he gave me on March 4. His personality was everything that I car dealership needs in there company. I recommend people to go at mid county for there cars they wish to purchase. ,5.0
22,"March 09, 2019",Great quick and friendly service and the price was right. If you are in the market for a vehicle go see Vince at Mid County Chrysler Dodge Jeep!,5.0
23,"January 20, 2019","They helped me get the car I want, not what they wanted. They looked online, showed me all of my options and helped me get my car",5.0
24,"November 26, 2018",So happy to have worked with this dealership & Sales Rep Betty Chadrin made sure that all my needs & concerns were addressed. She stuck with me as I waited for the right time to buy. Another reason to choose this dealership is it is one of only a few that offer the WARRANTY FOREVER. Was not going to buy without it. I’m looking forward to some good road trips in our new RAM!,4.8
25,"October 27, 2018",Staff is very friendly and knowledgeable of service to be done. Continually informed me each step of the way on work being done.  Definitely the best place for me and my JEEP to have service performed ,5.0
26,"October 02, 2018","I'm working out of state, but was searching for a specific Ram 3500.  Found the vehicle on the MCCDJR website which is also clearly designed and easy to navigate.  I made the call, asked to speak directly with a sales manager since I had an urgent need to purchase.
After only 5 or 10 minutes, the GM and Sales Rep conducted a conference call to confirm the truck met all needs.  We found the truck was only lacking the cold weather package so they added at no cost.  The GM gave me his bottom dollar drive out price,  I agreed, and the dealer began the prep and vehicle delivery process prior to receiving my finance approval based solely on my word.  This ""down to Earth"" and trusting attitude reminded me of the past generations where  a hand shake on an agreement was better than a contract.  I consider this transaction to be the most efficient, easy, and comfortable out of all my previous vehicle buying experiences.  I highly recommend this dealership and will use them again for any future purchases.   This is how customer service across all industries should be modeled.  Thanks again for  the team effort and quick responses to my urgent needs.  Sincerely,  James Tittle.  US Army Retired and happy Ram Owner.     ",5.0
27,"October 02, 2018","Mid County Dodge did a great job servicing my Ram 1500 recently. Set it up to have a couple of recalls taken care of and during the  scheduling call they informed me that it would take about 3 hours, so at least I knew going into it that I would be sitting that long (I don’t mind the wait if I have an idea ahead of time as to the length of the wait). When I arrived I opted to have an oil change and tire rotation as well as long as it wasn’t going to add a tremendous amount of time to accomplish. I was assured that it wouldn’t. As it turns out, my air filter was almost black because it was so dirty; I appreciate that they found that issue. With all I had done, my total time in and out was just a bit shy of three hours . . very happy about that. Everyone I encountered was extremely courteous and helpful. I WILL be going back for service in the future based on this first experience. Kudos to the Mid County Dodge service Department.",5.0
28,"September 29, 2018","Dropped off my truck for repairs and advised them of my Mopar ectended warranty. They called back with estimate which was quite. They told me I did not have any warrant besides power train. Drove back to desler and showed service mgr my contract, ha said they would take care of it. They called back with another estimate 5 days later saying my warranty covered none of the repairs except exhaust. Drove back to the dealer for the 3rd time. Mgr was at lunch. Went up front and spoke to the guy who sells the warranties. He found the service mgr and finally got my problem resolved. Hats off to that guy, he cares about the customer. Mechanics did a great job. Took 8 days due to the Mgr and warranty person in service incompetence. Truck was fixed properly and returned clean and repaired as I requested. Only took 2 days to repair once they got the go ahead. ",3.4
29,"August 10, 2018",Mid County Dodge has the best customer service ever the sales team is very friendly and knows what they're doing when it comes down  selling cars .I have referred 4 friends and all of them  have vehicles from here you need to come as well Awesome team......,5.0
30,"July 26, 2018",My experiences with mid county Chrysler Dodge Jeep Ram were very pleasant. Nice people great customer service and speedy results. I would recommend them to friends and family.,5.0
31,"July 17, 2018",Have been doing business with this dealership for 9 years. Have always had a great experience with everyone at the dealership. The service dept. Always does their best to to the job right the first time. Always with a smile toi. That means a lot. ,5.0
32,"July 09, 2018","Website doesn't work, no one answers phone or returns phone calls. Customers were not acknowledged immediately. Service center was a little difficult to locate due to improper or few signs indicating the direction. ",2.6
33,"July 03, 2018",Mike is excellent in his profession. He sold us my truck and then helped me in the service dept by keeping me informed on the time length of getting my vehicle serviced. ,5.0
34,"July 03, 2018",Michael Coleman was very helpful in my selection and in my financing of my 2018 Ram 1500 Quad Cab.. Looking forward to my next purchase.,4.8
35,"June 23, 2018","I was traveling when I had problems with my Jeep Grand Cherokee EcoDiesel. April in the service department went Above ,  and beyond the Call of Duty. I received prompt and wonderful service with the most friendly atmosphere anyone could ever expect.
I thank April and the entire service department.
             Sincerely Don Wells",5.0
36,"June 19, 2018","The have gone above and beyond to take care of me and my wife. 

I would tow my truck past the Beaumont dealership to go to Mid-County. Thats a fact. ",5.0
