,Date,Reviews,Ratings
0,"June 23, 2020","DO NOT BUY FROM THIS DEALERSHIP! I bought a used F-450 that was low mileage from the salesman “Big Ben”. We test drove the truck together and I heard a slight whine noise from underneath. I asked “Big Ben” if the truck was throughly inspected? And he went to brag on how good “Rockwall Dodge” shop is and how they do there inspections. I didn’t think anything of it. The truck ran great on the test drive. I bought it. While it was getting detailed I noticed that it was low on coolant and I said something about it to “Big Ben” and again he assured me that the truck was serviced and nothing to worry about! I didn’t think anything of it it’s a BIG DEALERSHIP! They wouldn’t sell a vehicle with problems or not serviced! I drove 2hrs home to Chico Tx and the next morning I checked over the truck and admiring my purchase. I had to put 2 gallons of coolant in it! Checked the oil, it was BLACK! And none of the grease points were touched! It was never serviced or inspected! So 30 days later “I haven’t even made my first payment yet” the TURBO BLOWS UP! I called there “SERVICE DEPARTMENT” got the run around and they sent me to my salesman “BIG BEN”. NO ANSWER! NOT EVEN A CALL BACK! But he did respond to my txt and said “I’m sorry to hear about the truck it’s as is where is”! I understand that. I do completely! but if you ain’t got the common curtesy to even call back or even offer any kind of help with this pickup. That’s BAD CUSTOMER SERVICE! Do not believe anything they tell you about a vehicle! They are crooks! They don’t inspect anything! They just put it on the line and sell it! And also..,I still haven’t got a call back from ANYONE from that dealership ",1.0
1,"November 30, 2019","This dealership is a complete joke when it comes to actually getting a good deal especially if you're disabled combat veteran. I wasted a complete hour just to be insulted by the new car staff trying to take advantage of me. They were trying to double their profits on my trade-in and the new vehicle I was looking at. It was so bad that not even a manager would take the time to try and help me out. The ownership and management team, I can personally say are the worst I've ever seen. I thought they would go the extra mile to help out I disabled combat veteran but that was the complete opposite. what really irritates me and is completely disrespectful is when a business establishment falsely claims they go the extra mile for combat veterans. this dealership did what they can to see how much money they can take away from a disabled combat veteran. I wasn't even welcomed when I arrived at their dealership I had to go and look for a staff member. When I told them I was going to write bad reviews they gave me a very evil look and that's the type of treatment that a disabled combat veteran receives in today's world. ",1.0
2,"September 02, 2019","They will not care for you, all they will care is to earn a commission. Go to hyundai or toyota. They will give you options and free oil change and even tire rotation. When you bought a car, it should be offered. They have like 60000 miles warranty. Whats the purpose of that if every 5k mileage you are worry what they gonna charge you next? It is okay to earn money, but if you can be honest and lay down what else is not inlcuded during the first day is much kinder.",2.2
3,"January 05, 2019","I used to love bringing my vehicles here, but now that Corey is gone, this place has gone to crap. Service advisors are clueless. Megan was okay to work with, and she can’t control what the jackwagons do in the back, but a little more communication would have been great. Phone rings off the hook while people stand around talking. Brought my truck in for a tire sensor issue and a new key fob programming and it’s still not done. 5 hours later, not done. Had an 8 o’clock appointment, first in line! What’s the sense in getting an appointment? Probably the two easiest things they had to do today! Just shameful!!!!!!!",1.8
4,"November 27, 2018","Dishonest Dealership should be their title.  $70.00 to install their battery?  Really. 
So much more.  Just awful.  Hidden charges, over all bad service.  Mark tried.  All new team there again.  Horrible management. 
Service sucks",1.0
5,"November 15, 2018","I am very disappointed in rockwall dodges customer service.  My wife bought a grand Cherokee this past Saturday,  traded in her Yukon.   She was excited about the car, loved it.  But once she got home, she didn't take into consideration, car seat and 6ft teenager.  The room in the grand Cherokee was not a fit for my family and we weren't comfortable with the car.  We humbly tried to get our Yukon back,  offered to pay any service fees etc.  The gsm is a joke (Justin) He kept dodging me and wouldn't face me,  had his salesman do all the talking.   Stated vehicle has already funded.  Which was a lie.   We called and checked.  And I have been in the car business before,  and they can let you have of the deal if they want to.  We admitted fault and basically begged for help.   Chris (salesman) was slick,  professional and knew his stuff.   He was gonna give the GM my number to call me.  Well..... I wasn't surprised.. I didn't get a call back.   Feel like they just wrote me off.

I have personally been a valued customer with Dallas dodge.  Which is a sister store of rockwall dodge.  I have bought many trucks for my company from John Winesapple (past gm),  and just recently this past year my business partner and I just spent 140k for 2 new 2500 3/4 ton truck.  Phillip was the gm at the time.  

Like I said I have been a valued costumer for dodge for many years.  And they just ruined that relationship.  I had friend from Dallas dodge reach out to the gm of rockwall dodge and his response was I can put them in a VAN!!  I just laughed at the response when my buddy told me that.    That was his only solution.   We have been in the car for 3 days!!!!!!

I have a call into Ric Moreno who is the regional manager over these dealerships.  Just to let him know he has just lost a valued loyal customer over rockwall dodge customer service.  I would also like to fill him in on how his GSM and GM wouldn't talk or call me back.  That's not how you do business.  If I did business like that my company wouldn't be in business.  

I would highly recommend, if your in the market for a dodge.  I would seek better service else where.  

Best Regards 
Matt",1.0
6,"September 27, 2018","I bought a 2014 ram 1500 here online the truck was 16,100 but when I went to sign paper work they bumped the sales price up to 17,900 and said they did a bunch of work to it and it was too late to back our since I already signed everything and had full cash in hand. they promised to fix the windsheild help pay for the console and all that but it took them a month to replace the windshield. Also a day after owning the truck it didn’t start and I was 40 miles from home luckily I have good friends that took me home. Then they “fixed” it and a week late it did it again. Then they “fixed” it again. A month late they had to replace something on the steering wheel and had to fix A GAS LEAK IN THE ENGINE. They never fixed the arm rest or anything. Every time I call they say my salesman has “gone home” every time I call. Will not buy a vehicle here again and disappointed I wasted my money here.",1.4
7,"September 19, 2018","I test drove a used vehicle with salesperson.  The vehicle showed low on gas but he insisted no need to stop...2 blocks from returning it ran out of gas!  When we got back he told me he would call me ""the next day.""  One week passed, I called him back, he was ""out of town...call the other salesperson.""  I called and left a message but no return call.  Because I was interested in the car I called one more time to person who is associated with my credit union.  She assured me she could help.  I went with her to test drive AGAIN, and I pulled over to put the top down (convertible).  The top wouldn't come down, and had to drive back with whining of broken convertible.  She apologized, and told me it would be fixed and she would call me back.  Its been almost a week and no call back.  The same car is still on their lot for sale.  I've purchased over 50 vehicles in my life, but my next one will NOT be from Rockwall Chrysler Jeep Dodge!",1.0
8,"February 07, 2018","Rockwall Dodge bought my truck November 3, 2017 they paid it off and 46 days after purchase which resulted in my credit score being negatively impacted. They agreed to pay more than what we owed and have not resolved the issue till this day.",1.0
9,"January 30, 2018",Amazing experience from purchase to routine services. We have purchased 4 Dodge Ram trucks from this dealership and we will not go anywhere else.  Salesman Chris Miles knows his stuff and keeps us happy and coming back! The service dept. goes above and beyond!,5.0
10,"January 10, 2018","So everything was going well until I got to the last person who was going to offer me the gap insurance. This person whose first name was ron (caucasian guy)  seemed to get upset because I declined his offer on the gap insurance. Im very familiar with insurance offering but I respectfully declined. While telling him I was not interested he basically pushed me into a corner to say yes. (Which i didnt) I felt disrespected and felt uncomfortable. He then proceeded to ask why I couldnt answer his question on why I was denying his offer. After making it clear to him that I simply didnt want to pay more a month for his offer he procceeded to insult my reasoning...and claimed I was disrespecting him...( you have to respect others and their choice to earn it, boi) after this conversation went wayyy left, he then folded my papers into envelope size and stapled the papers in the middle. To make it difficult for me to view any information once i try to open it...( funny actually)  Anywho, I feel sorry for the next person who denies his offer and dosen’t stand by their choice. 

Advice: Stand up for yourself. Don’t let anyone talk you into something you don’t want. 


Other than this incident, everyone else was quite nice and helpfull. RON messed it up for the whole team and the dealership as a whole. (For me)... personally.. I’ll definately think twice about stepping into the dealership. Maybe this lengthy message makes him better at speaking to his customers and taking “no” for an answer.",2.8
11,"January 10, 2018",Dropped  off my Truck for its 130k  services and it had a few recalls. Busy place but I was taken care  pretty quick even got a loaner car. Great prompt service! ,5.0
12,"January 06, 2018",Outstanding Service Adviser Cory Prevost has always stayed on top of issue or reason I brought my car in for service. He makes sure it is done in a timely manner and ensures it is done correctly. Cory is the primary reason I consistently use only Rockwall Dodge to service my Challenger Hellcat. ,5.0
13,"December 26, 2017","Very helpful and friendly towards customers, worked diligently to find specific truck for my towing needs. Kept in contact with me while vehicle was in transport to dealership. ",5.0
14,"December 25, 2017",The sales manager was rude didn’t seem like they wanted business gave me the run around a lot the salesmen were nice but I won’t be back again not worth the hassle,1.0
