,Date,Reviews,Ratings
0,"February 14, 2020",Just a bunch of robbers in the guise of salesmen and finance people..just watch what you are signing up for..they say something and sell you something..no ethics..no values..no customer care..just stay away..,1.0
1,"July 23, 2019","1st off this is NOT A FAKE REVIEW...this actually happened this past weekend & yesterday. And trust me they are def going to take this down but its gonna come right bck to WARN OTHERS...BUYER BEWARE GO TO OTHER Kia dealers cause this place WILL SCREW UR CREDIT & U STILL WONT GET A CAR. My story.
Contacted them because they insisted they could work with my credit...they insisted they could i can not stress this enough...a week b4 i came...yes we can, yes ma'am definitely. I insisted that they be sure B4 i came, well i come in on Friday, 7/19/19 around 2:30 ish & start the process with Faisel Hossain (that should hv been my 1st clue the name because) who pretends to be above board, honest & up front but it's a big front, he's a liar & a cheat not to be trusted...come to find out this is a family run franchised dealership the brother same last name Hossain is the Finance Director & the mama Hossain is some kind of director there also.

After being there well over 7 hrs on 7/19/19 they tell me we got a deal done now catch this...HERE ARE THE KEYS just come bck on Monday 7/22/19 to get it detailed & a fillup on gas...now u would think if u r letting the customer drive off in the vehicle...its truly a done deal...so i leave my job early enough to do this missing 3 hrs of work only to be told after i get there ""sorry we cant get u financed & hv 2 take the car bck"". Excuse me what, i've had the car for a whole weekend...do u hv a ride home"", ""excuse me what again...the bald headed black guy Mark Jackson whose title in name only is 1 of the supposed business managers walks around like he owns the place, the other salesmen were down low telling me he is a butt hole & i found it to be true. David, 1 of the so called sales mgrs finally comes out looking stupid apologizing now mind u I DROVE OFF IN THE VEHICLE at their insistence that i was approved! Of course, now my credit is really shot to xxxx because they ran it for 2 xxxx days & I STILL DONT HV A CAR...Do not go here! BUYER BEWARE! As i walked around nobody pulled off in anything...a couple with a newborn baby informed they had been there since 1 pm yesterday & was also getting the run around (a clue), the husband was pissed because they took them thru BS as well. This dealership runs a sleazy business & their reviews are fake & BS. Faisel Hossain DO NOT TRUST THIS GUY, u hear his name RUN!!! Josh, a salesman DO NOT TRUST HIM, RUN! he just works there. David, Sales Mgr is a dumb butt & knows nothing!! they attempt to take your money & WILL screw up ur credit & DO NOT DELIVER. BUYER BEWARE. Remember I drove off in the vehicle I didnt hv 2 return 4 the free gas & car wash. Being an honest person being upfront will get u taken advantage of here. Tidbit...they kept asking for my pay stub saying they couldnt find it in my file but whn they BS'd me all of a sudden i got ALL MY PAPERWORK (check stubs etc) BACK funny that. Faisel Hossain & family will be reported to the proper authorities 4 DECEPTIVE TRADE PRACTICES & ima tell everyone DO NOT GO THERE U WILL NOT LEAVE WITH A CAR..TRUST THAT!! They are gonna take this post down & ima put another 1 right bck up.
• BUYER BEWARE. They know they did me wrong because I live in Plano Tx, they sent an UBERX to take me from Arlington to Plano & yes I did tell the driver who was flabbergasted & will pass it on word of mouth advertising. Remember the name Faisel Hossain & family (they run this place) John Gollie Internet Sales Mgr (never saw him), David, Sales Mgr, Jeremy Wiggains, General Manager.
• They just want the foot traffic no cars are being sold here.
• Suffice it say, I travel lots & always rent a KIA SOUL. I WILL NVR RENT nor PURCHASE this vehicle or any KIA again. I NOW HATE KIAS & EVERYTHING THEY REPRESENT BAR NONE. BUYER BEWARE. Now on to reporting these fools to the authorities because these guys are from the middle east & are infiltrating the country doing their style of business. LIARS & CHEATS THE WHOLE LOT.",1.0
2,"July 20, 2019","This past Tuesday I purchased my second Kia from your dealership. Chris Vinson is an old friend of mine and he's been my salesman both times. Both experiences I've had were hassle free. I went from a Soul to a Cadenza (talk about an upgrade!). I was in-and-out of finance in under 10 minutes. Not only am I a Kia fan for life, I am a Patterson customer for life. I highly recommend this dealership even if you don't want a used Kia. they have a nice used inventory of different brands to suit your needs. 

",5.0
3,"July 08, 2019","If I could give zero stars I would. Before I get out of my car I check to make sure certain items are still there before locking my vehicle and walking away.
Everything went great up until it was time to get my car. I went in for a scheduled oil change appointment at 2pm on 7/5. I was told it would take an hour to an hour and a half for them to complete my car. I requested for a ride back to work since I was on my lunch. 4pm comes around and I have not received an update on my vehicle. So I reach out to the advisor Tim Barnes that was working with me. He tells me they ended up having to do a warranty reprogram to my ECM software on my car and then gives me a list of items that also need to be done to my car. I end up getting my car back at 4:45 pm. I get into my vehicle and before driving off I check my center console and my personal item is no longer where it was left at drop off! Now again I went in for an oil change nothing else, there was no reason for anyone to look or get into my center console. I addressed the issue with the service advisor Tim and the first thing he says to me is ""well we don't have any theft issues around here"" and that the gentleman who worked on my car was already gone for the day, imagine that! Well obviously they do have a theft issue otherwise my personal item wouldn't be missing from my vehicle! He requests that I wait here, while waiting for him to return I go through my vehicle just to make sure they didn't put it somewhere else. He comes back with the Service Department Director Jason Conley, who was very unfriendly and tried to make it seem like I was lying. He and another gentleman start searching through my car even after I told him I had already checked the vehicle, once again making me seem like a liar. 
The director Jason tells me he will be back. I sit there waiting for at least 20 minutes before I just go inside looking for him (Jason). The director Jason comes around the corner in the office and tells me ""we have searched all the techs tools boxes and the detail bay, your item is not here."" I tell him it doesn't just get up and walk away or vanish like that. I remind him that I was told the guy who worked on my car is already gone for the day, so what about him? He states that he checked his tool box as well and called him about it then says ""he doesn't have it"". He also proceeded to tell me that he knows this guy very well and his father is a priest. I don't care who his dad is or how good of a person he is, someone stole this personal items from my car and it needs to be handled accordingly. Then once again he tells me the item is not there and he doesn't know what to tell me, this will be the 3rd time he has tried to make it seem like I was lying.
I informed him I would be making police report that this is a very serious matter. I went back to my car made a report and waited for the police to arrive. The investigation is still on going with the police. ",1.0
4,"July 07, 2019","My wife and I were looking for a specific preowned pick-up online. We found it at Patterson Kia in Arlington. Debbie took our call and set us up to test drive the pristine condition loaded GMC Denali truck with our sales rep Brandy. She gave us a deal on our trade-in and sent us to Kyle to set up financing. He set us up with a 100k GMC bumper to bumper warranty extension and oil changes. Now I have the excellent lumbar support for my bad back and the truck of my dreams. Thanks for a most positive and rewarding car buying experience Patterson Kia! (Mike G - Midlothian, TX 7/4/19)",5.0
5,"July 06, 2019","My wife purchased a Kia Optima from here years ago.   She was so happy with this dealership!  I am self employed and working seven days a week.   I went to a local dealer and explained my situation.   They were very nice.   I told them I wanted their best deal and I did not have time for back and forth.   I told them about my wife's purchase from Patterson Kia and would give them a chance again.   I called Patterson and spoke with Clinton,  he beat the local dealers 2019 with a 2020.  Then when Clinton realized that I was buying the new Kia for my Mum,  who is 72 years old he told me he would personally deliver the vehicle to her to keep her from driving several hours.   I can not say enough about Clinton and Patterson Kia!  Thank you Clinton and Patterson,  Griff ",5.0
6,"June 07, 2019", Inquired about a Kia soul and got a callback from Frank Ivans He basically said anything he could to get me in to the dealership and then was pushy and aggressive with his sales tactics. Avoid this Dealership and Frank at all costs,1.6
7,"May 06, 2019","This is my third purchase from this dealership and by far it was the most pleasant.  They presented me with some disturbing news about my 2018 Optima trade in, but worked with me to get the best outcome I could.  The service was great from my salesman, Rafael Gaona, the floor manager and the Finance officer.  Very fast and efficient.
Will definitely recommend this dealership to others. ",5.0
8,"May 02, 2019","I was so glad to go to Patterson Kia. They have always seem to have my best interest in mind when helping me. .I was surprised that they were all so professional and courteous. I felt fortunate when I left because to be working with such good people. Iwould and will recommend to other people that I know that if they have car needs to go to Patterson Kia because they provide super service with Professionalism, Competence, and above all Courtesy that you know is real.",5.0
9,"April 14, 2019","I did not read any of the reviews about this dealership before driving from Conroe, Texas to Arlington, Texas to see about purchasing a used 2018 Kia Candenza and trading in my 2016 Kia Sedona.  It was probably one of my better experiences in buying a used vehicle - and I'm 74 years old so I have experience at buying used cars.  Of course, after the test drive we sat down to discuss price.  Yes, there were a few hiccups in the beginning but time worked everything out and over all I was pleasantly surprised at how friendly and understanding and willing to work with me they all were.  My salesman, Faisel Hossain and all the managers did a great job making sure that all went well.  Yes the almost 300 mile drive was worth it.",5.0
10,"April 12, 2019","Wasn't sure how the day would go but Mr. Rafael Gaona and Mr. LaMarcus England calmed me down and explained the difference between cars and the process of buying a new car.  These gentleman help my daughter and I so very much. Took there time and made the process easy.  I am so grateful to them.  I truly recommend talking to these gentleman when in need of a quality good car and experienced professional persons to help with the process. Mr Mark Jackson made the paperwork so easy, we thank him so very much.   Customer Debbie R.",5.0
11,"April 12, 2019",just call them on used cars start talking to sales guy about car he dont understand what i am asking and then i call again the guy told me his name is brian and i am director same issue no customer respect no customer service sorry for  PATTERSON KIA OF ARLINGTON .. ,1.0
12,"April 01, 2019",After making a deal by phone we took the five hundred mile trip and made the trade. Everyone was courteous and professional. This was the least complicated deal for a car I ever made (I'm 71} and it was worth the trip. ,5.0
13,"March 23, 2019",I was stressing about buying a new car but once I started talking with Anthony I felt like I was in good hands. It went as quickly as car buying can go and I would recommend visiting Patterson. Ask for Anthony!,5.0
14,"November 02, 2018",The managers weren't bad. The recptionists were kind and cordial. The mechanics are happy to leave a job half finished. Pete the service advisor was terrible. You better know your car before taking it in for service. Use anyone but him.,2.8
15,"October 27, 2018","Purchased new 2019 Kia Soul had preapproved financing with set rate. Found car I wanted online my sales consultant Anthony has been awesome but here the story takes a different turn. Financing paperwork noticed they had found a different lender than I requested supposedly to give me a better rate. Signed all documentation in good faith. No where did it state upon lender approval signed dated done deal. Received call one week later to resign my paperwork because lender “came back with different terms?!?! Not only did I now have terms from my original lender but at 72 instead of 78 months. The financing officer assured that it was only x $ more per month but he had to beg my original preapproved provider to get the interest rate. Funny it was the same rate they sent from day one???? I have never heard of anything like this!!! After purchase VIP care nooooooo! I am trying to find running boards to assist entry due to my age and health status. SOL. When searching I found item for up to 2016 model. Trying to confirm if these could be used and/or adapted to the 2019 model. One would think since these are Kia manufactured products I could get a reasonable answer from Kia no.
Contacted Kia customer service what little information obtained useless incorrect. Buyer beware when it looks to good it probably it probably isn’t. Sad I like the car but am so disappointed. Not finished yet still searching someone is going to give me approximate answers even if I have to contact Kia in Korea",2.0
16,"September 27, 2018","Jim Shuemake was my salesman  was very informative, polite and explained everything.  I had submitted a credit app online and was approved until I was ready for  F&I  then it all changed

Salespeople 5 stars  

other  no

",5.0
17,"February 20, 2018","Bought a new KIA yesterday and had the best experience ever. Our sales guy, was so awesome.  Best customer service ever !  Thanks Cef !! 
Tina Gerner",5.0
18,"January 30, 2018","I bought a used car from Patterson Kia of Arlington, and they had put new tires on it.  Later on, I discovered they had put the wrong size tires on it, and so now when I have an issue with just one tire, I am being forced to purchase an entire new set.  Patterson will not make it right either.  If they really cared about their customers like ""family"" so they claim, they would do what is right and put the correct size on my car. Besides the replacement issue, since I have tires on my car that are smaller than the manufacturer specification, my speedometer and my odometer are incorrect.  Shame on you, Patterson Kia!!!",1.0
19,"November 14, 2017",My family and I have been Patterson Kia customers for years. We've always had excellent service there and have bought several vehicles from there because of that. We have also often referred friends because of the service. ,5.0
20,"August 31, 2017","READ this before you even step foot on this dealer lot!! My daughter who is a single mom of a 4 year old boy had been looking for a used car for a few weeks and we chose a Saturday that we were both free which is very rare these days. So on Saturday February 25th we hit the road to look at cars. We visited 2 other dealerships before we landed at Patterson Kia in Arlington, TX. We looked at 3 different small SUV’s that were in her budget and she narrowed it down to two. We pulled them side by side and compared them and in my mind it was a no brainer. Pick the one with the lower mileage and the 10yr/100k warranty. She agreed and we went inside with the salesman to start the paperwork. As we are sitting down filling out all of the paperwork the salesman is called over to the manager’s office. He walks back and says “I’m sorry but the couple that was here looking at the car before you CALLED back and said they want the car. Mind you, we are already doing the paperwork to purchase it and they “called” and said they wanted it. I was not happy and ready to walk out. My daughter on the other hand was tired of looking and it was late so she opted to go with the other SUV that she had been looking at earlier. At this point, I ask the salesman if they would match the warranty that was on the Kia to the Hyundai that we purchased. He spoke with the manager and came back and said they would do that since they sold the other car out from under us. Needless to say we go through the rest of the buying process and while we are sitting with the finance person I ask about the warranty and he said they do not have a “free” warranty but they will sell us one. He then proceeds to put on the pressure to sale the warranty which would push the payments above her budget. Again, I’m ready to walk out but my daughter says no. This is when the fatherly side of me should have taken control but didn’t. This was around 9:30pm on Saturday and I had a flight to catch the next morning so we finish the paperwork and we leave. The next day I thought more about what had happened and felt anger just take over. I felt taken advantage of and cheated and lied to and we let it happen. I could have easily got up and walked out but she needed the car. They knew this and they also knew they were not selling just one car but two so why do anything for us. First of all, why would they choose to sell to someone that “called back” when I’m right there doing the paperwork to purchase? Then, why lie to me and say they will match the warranty and then pretend like they had no idea what I was talking about? I’ve purchased many cars and have never been treated like this before. I will say that RJ the salesman was no part of this and was very pleasant to work with. He even bought us dinner. But unfortunately, after this experience I will never purchase another car from this dealership. I wish we had walked out and taken our money somewhere else but it’s too late at this point. ",1.0
21,"August 04, 2017",We have purchased three vehicles from Patterson Kia. The last one we purchased for our 18 year old daughter. We worked with Cody Reyna. And he went above and beyond looking for just the right car for our daughter. I would highly recommend him to anyone! He was a delight to work with! D. LaFond,4.8
22,"July 16, 2017","I purchased a car from them 2 years ago and yesterday I saw a car that was advertised on their website that I was interested in.  However, when I got there, there was a big mix up and misunderstanding.  The long story short is that to make up for the misunderstanding they went above and beyond, took a loss on another car, just to make sure we were happy.  Hats off to them, because you never see businesses bend over backward for their customers anymore.  Enough to say that I will always be returning to them when I need a new car. Thank you Patterson (Kevin and his team!!)",5.0
