,Date,Reviews,Ratings
0,"June 04, 2020",Joe Payan and his team were wonderful! He came to get us in the car we wanted to buy so my husband could test drive it back to Killeen. We live in Temple. They worked with us and got payments to what we wanted. They went through the finance process with us step by step even though we were pre approved. They showed us all the car features step by step as well. They are so friendly and go above and beyond to make you feel important. Thank you for taking care of us so wel!,5.0
1,"May 03, 2020","Scheduled a test drive for 12:30. I was on the road at 11. Arrived at 12:35 and the car was sold. Marisa emailed at 11:15 confirming my appointment. We all know the car buying process does not last 20 or 30 minutes. She should have emailed informing me someone else was purchasing the vehicle.
They offered to ""fill up"" up my car. Yes, putting $5 in my car makes up for your lack of professionalism, the 150 miles I drove, and the 3 hours out of my day.
It is evident they only care about the sale and not people. They didn't offer to help me find another vehicle or anything. ",1.0
2,"January 19, 2020","From the beginning, I have been advised to stay away from any dealer in Killeen. I can say I am extremely happy that I was able to go down the street to Dennis Eakin Kia and have such an amazing buying experience. I came in on Monday with my 20 month old and was greeted by Jeff right away. I told him that I was interested in the Kia Telluride and he drove it right up so I can see the interior and mentioned some of the safety features that came included in the EX. Within 30 minutes we were on the road to test drive the Telluride and I was sold! I came in knowing what I wanted but had to wait till Wednesday to buy and he did not pressure me into buying throughout the process and very understanding as to why I waited an extra day. The inside of the dealer was super neat and clean and everyone was friendly and it felt very welcoming to come in! I am so happy with my Telluride and am glad I had Jeff assisting me through the whole process!! I 10/10 recommend especially if you are not wanting to drive hours away for the exact same vehicle when you can have a great experience right here at home.",5.0
3,"December 25, 2019","Joshua,Jeff and Joe San Nicolas were truly professionals. They took the time to help me get a newer
Kia. Financing was easy great experience I love my new Kia.
Thanks everybody ",5.0
4,"November 23, 2019",They suck they tell you one thing than don't do what they say they will.  Terrible service and dealer and place. The place lies.,1.0
5,"November 10, 2019",Billy was excellent!!!  He thorougly explained what maintenance needed to be done & kept me informed of what was being done to my vehicle. Great service!!@,5.0
6,"November 05, 2019","The facility is always clean, the staff is always friendly and helpful. Service is quick and complete. This is my first Kia product, but it will not be the last.",5.0
7,"October 31, 2019",Billie was very attentive.  Kept me in formed on the progress of my car.  Car was READY at exact time he said it would be. ,5.0
8,"October 31, 2019","Took my car in and within 12 hours was back on the road again.  Thank you  Everything was explained before they did anything.  Very Happy

",5.0
9,"October 27, 2019","I set my appointment for 11 am , arrived early and within 5 minutes was registered for my 37,000 mile check up.  My service advisor Billy was very informative as to what was needed for my car.  I also asked him to inspect my exhaust system because I had a possible leak.  My car was ready within two hours and Billy came to the waiting room to get us.  Walked to the car with us and verbally informed us what services were completed to our car. I have been to two dealerships in Austin and none of the service advisors have given us personal service like this.  I bought my car in Killeen from another excellent salesperson (Jeff San Nicolas) and have returned for service there because of the outstanding Excellent service and friendliness I have received at Dennis Eakin Kia. Great feeling of comfort knowing my car will be serviced expertly.  ",5.0
10,"October 19, 2019",I COULD NOT BELIEVE THAT IN 2 HOURS I COULD LEAVE YOUR DEALERSHIP WITH A NEW CAR.MY SALES PERSON SHAWN WAS GREAT.NO BACK & FORTH WITH THE MANAGER.SHE WAS VERY PROFESSIONAL & NEW EVERYTHING ABOUT MY PURCHASE.WILL BE BACK FOR MY NEXT NEW CAR.,5.0
11,"October 18, 2019","Good dealerships with great sales
Person,, good to work with them , and also good price on my trade in , the car I purchase was as new it was , it was great in shape and everything was brand new ",4.8
12,"October 18, 2019","Billy was very helpful during my service visit. He also educated me on what my KIA needed, what had already been done and what will need to be done on my next service that day as well in the future, and got me in and out cheaper than the original quote! Thanks Billy!",5.0
13,"October 17, 2019",The problems on my car were taking care of with no issues! They also provided a complimentary ride to and from the dealership while my car was being worked on!,5.0
14,"October 15, 2019",The Kia Dealership Team is very conscious of people entering the dealership and service department. You are acknowledged by a service member immediately. When making an appointment for service you are taken in right a way and given updates as to where your vehicle stands in getting completed. If it's going to be serviced for a lengthy time they will shuttle you wherever you need to go. The take pride in caring for current and potential customers.,5.0
15,"October 14, 2019","In sharing a bad experience at another location 
Dennis Eakin Kia went above and beyond to make our visit exceptional in all areas. Would definitely highly recommend to friends. ",5.0
16,"October 13, 2019","I needed to get my vehicle serviced between road trips.  They worked with me to get the vehicle in, serviced , and checked before the next trip. ",5.0
17,"October 13, 2019","Our salesman Clint and Debi Fox are wonderful people and make the buying process a whole lot of fun.  This is the third vehicle we have purchased/traded for in the last two years.  I think we have it right this time with our Telluride!
",4.8
18,"October 07, 2019","A satisfying experience from end to end. Probably the best buying process I’ve ever had. 
Thanks to everyone involved from sales to finance to management ",5.0
19,"October 07, 2019",I was pleasently surprised on the speed and efficiency of not only the service writer but the technician tat worked on my car. They were 100% transparent with me and absolutely treated me like I was the only customer there even though I wasn't. Great customer service! ,5.0
20,"September 28, 2019","CAME IN FOR AN OIL CHANGE, WAS IN AND OUT IN NO TIME, SERVICE ADVISERS KNOW ME BY NAME, I LIKE THAT, ALWAYS TAKE GOOD CARE OF MY CAR.
",5.0
21,"September 25, 2019","My least favorite thing in the world... buying a new car. Oddly enough that changed last week. My son purchased a new Telluride with the help of  salesman Jamie John.  I wasn’t in the market for a new vehicle as I had a wonderful 2015 Tahoe. I fell in love with the look of his and thought it won’t hurt to go look. Again, Jamie John met me and took extra good care of my desires for the hard to find Telluride. Debbie in finance made me feel like we were long lost friends. She was precious ??. Long story short I traded in my Tahoe and have a beautiful new dark moss Telluride in my garage. ",5.0
22,"September 19, 2019",The process was easy to understand and the employees were very professional and very knowledgeable.  We were kept informed every step of way.  Shawn Whitaker kept us informed througout the whole sales process.,5.0
23,"September 16, 2019","Clint was a fantastic salesman, he showed us any vehicle we wanted to look at with a smile on his face. He helped us figure out what exactly we wanted and even sold me on some features we never even thought of. Thank you for helping our family get a new car!",5.0
24,"September 15, 2019",I received a letter from KIA stating they were conducting checks of a low pressure fuel line connection to ensure that it was properly connected and there was no chance of fire.  I called Dennis Aiken and was given an appointment for today at 7:30.  I arrived a few minutes early and at 7:30 I was greeted and brought inside to sign the appropriate papers and was told the inspection would be complete in approximately 30 minutes.  Everything went as planned and within 30 minutes I was on my way home.  Everyone I encountered were professional and friendly.  I had an enjoyable experience.,5.0
25,"September 15, 2019","Every time I visit, my service is timely. I get a satisfactory answer to my questions, every thing is explained. Good overall. Good good good",4.6
26,"September 14, 2019","After I bought my 2015 Soul from another dealership, I began bringing it to Dennis Eakin for servicing. Chris and the rest of the service department are all very knowledgeable, friendly, and very helpful. They have always been straight forward with me, and I have NEVER felt taken advantage of. Service is so good that I bought my 2020 Soul from Jeff at Dennis Eakin Kia! Highly recommend both Service and Sales at Dennis Eakin Kia!!!",4.8
27,"September 13, 2019",I am horrible with names but the gentleman jumped through hoops to find the car we wanted to see and was very patient with us. We ended up with the car we wanted in the price range we wanted. It was a used car but I am so happy with the car and the Kia dealership for all their help and kindness. If you need a new or used car see the people at Kia in Killeen. They are the best and nicest people to buy from.,5.0
28,"September 04, 2019","I got great customer service today. 
The service guy today was very  nice and he explained everything to me. He answered all of my questions. ",5.0
29,"September 01, 2019","I would like to thank Clint, Jamie and especially Debi for the help purchasing of our Kia Optima. Debi did everything in her power to make sure we got the financing we were comfortable with. Everyone was so friendly. I would totally recommend Dennis Eakin Kia to anyone looking to buy a new car.",4.4
30,"August 28, 2019",I always get good service here when I take my Kia Sportage in maintenance. They have nice amenities and they keep you updated on your time spent there. Very friendly and consumer oriented.,5.0
31,"August 24, 2019",Josh and Mario were fantastic to work with. They both made things so easy and the process was flawless. Everything was explained to me in a way that they knew I would understand and they both checked on me after my purchase. They even got my daughter into a vehicle 4 days later!,5.0
32,"August 24, 2019","The employees at Dennis Eakin they're very friendly, out going felt like a family.

They truly worked with me. I appreciate their, time, kindness, patience and understandings when it came to purchasing my new vehicle.

This is the second vehicle I have purchased from Dennis Eakin Kia.

Good customer service for me. You guys made me feel at home like I was an employee.
Thanks, Patrice Gayle",4.6
33,"August 14, 2019","Aaron help us purchase the car with ease. He helped us find the vehicle we were wanting and walked us through the buying process. He was very attentive, very friendly and knowledgeable about the vehicles that Kia sales.",5.0
34,"August 06, 2019",Was able to schedule a service appointment online.  Maintenance was performed while I waited and I was updated on the mechanics findings.  Everything went quickly & accurately.,5.0
35,"August 05, 2019",Dennis Kia is an excellent car dealership to get vehicle serviced because the staff is very friendly and excellent work is being done to my vehicles. The dealership is very clean and provides a relaxing environment whole waiting for your vehicle. ,4.8
36,"August 03, 2019",Michael Rodriguez was an outstanding sales representative. He was very quick with responses to any questions or information that we needed. The total process was completed in a reasonable amount of time. Thank you Dennis Eakin Kia! ,5.0
37,"August 01, 2019",Desi is so friendly and helpful. She makes the process so easy and keeps me updated. I like using Kia in Killeen because of her. ,5.0
38,"July 28, 2019","I got taking care of my service in a good time as a walking. The lady at the service told me; ""they will take three to three and half hours to take care of my kia"", but they were done in two hours. Great place, complementary snack, coffee, beverages, wireless internet, etc when you wait. ",5.0
39,"July 26, 2019",I can always rely on Dennis Eakin Kia to take care of my vehicle. It's the only place I take my vehicle for service. I know that I will be taken care of and they will go out of their way for their customers. ,4.8
40,"July 26, 2019",This place is amazing! They really help you out and make sure you’re taken care of! They are super friendly and honest! Will Return for future purchases.,5.0
41,"July 23, 2019",Billy was great from the beginning of my service to the end.  He made sure I understood the service that was being performed on my car.,5.0
42,"July 06, 2019","Great honest reliable service and a great atmosphere , every one was open and helpful, my third vehicle with them each experience better than the last.",5.0
43,"June 30, 2019","So very friendly, helpful, knowledgeable, courteous, organized and service was completed ahead of schedule. Blue Ribbon Dealer. Chris and service staff are genuine individuals whom enjoy their jobs and run a top notch service department. I have and will continue to do so,  recommend them to everyone.  Nikki Walsh",5.0
44,"June 28, 2019","Excellent job again of Mr Chris Curry and his staff (Billy Baker) and the KIA Mechanic who fixed my 2005 KIA Sorrento AC Unit.  Been without AC for almost 5 yrs and although the repairs/labor were pricey I was given alternatives to assist in paying for the repairs and the quality of work done and the information on future repair work was given to me as well, so appreciative of the advice.",4.8
45,"May 26, 2019","Quick service, even though I did not have an appointment! Service people were very friendly, and took care of me right away. Total of about 45 minutes!",5.0
46,"May 25, 2019","My Kia Rio  fuel pump was going out,  repaired promptly and correctly.  Staff was friendly and keep me informed as my vehicle was repaired. Thanks ",5.0
47,"May 21, 2019",My A/C wasn't working and they found and fixed the problem.  It now freezes me out! They were excellent about keeping me updated with what was going on with the service.,4.8
48,"May 18, 2019","I was the proud owner of a 2015 Kia Soul. I brought it into the service department for a recall repair, and ended up walking out with a BRAND NEW 2020 Kia Soul! The wonderful folks at Kia bought my used Kia, even though I was upside down in equity! Always reliable,  great service. Would definitely recommend Dennis Eakin Kia!",5.0
49,"May 18, 2019","This is my second purchase through Dennis Eakin Kia. My first vehicle was 2014 Cadenza which which received phenomenal customer service, ideally why not return. So we did to purchase the 2020 SX Telluride. The sales representative Shawn started the initial process and Clint followed through to complete yet another phenomenal experience! ",5.0
50,"May 16, 2019","I bought my vehicles here, get all my services done here too. No other place like it! everybody is great to deal with. No regrets!",4.8
51,"May 13, 2019","The service department was excellent, timely schedule, I was kept informed during my repair. All parts and materials were in stock, vehicle was complete as reported",5.0
52,"May 12, 2019","Great service in a timely manner. Desi is always fantastic and upbeat. Spoke to my salesman, Anthony and finance lady Debi. They are always friendly.",4.8
53,"May 12, 2019","From the moment that I began to look into owning a mini van, Dennis Eakins KIA were on top of there game.  They found me what I was looking for.  As well in the price range I needed.  
Billy has been there the whole step of the way, helping me with some warranty issues. 
Thank you Billy for all your help.",5.0
54,"May 04, 2019","Quick and friendly service, after test driving the vehicle I liked, my sales and finance representative, helped me get in the vehicle within a few hours; making the process very smooth. ",4.8
55,"May 01, 2019","Called for a recall on my vehicle. They were able to see me right away, the time expected for the fix was 1 hr I was only there for 35 minutes before it was completed. They also provided me with a complementary multi point inspection. The receptions was great and very friendly even walked me to my car.",5.0
56,"May 01, 2019",I was in and out in the time frame I was told.  Very pleased with the service. Made an appointment to have oil change done,5.0
57,"May 01, 2019","My person had such an excellent attitude toward helping me,  I hope I get him all the time.  I can't think of his name . But I will remember his face! ",5.0
58,"April 26, 2019","I purchased a 2014 Kia Sorento on April 13, 2019 from this dealership. Drove from TX to TN and noticed the brakes were weird. Took the car to the Kia dealership in Kingsport, TN for them to tell me that it's too dangerous for me to even drive and it's going to cost me about $1000 for all new brakes, caliper  and roters (sp?) & an alignment. Thanks Dennis Eakin Kia for putting my life in danger. This car should have been been inspected. I even told the salesperson Karl that it needed an alignment and nothing was done. All he cared about was making the sale, not the safety and welfare of the customer Thanks a lot!!",1.6
59,"April 18, 2019","I enjoy the customer service which is what keeps me bringing my Ford back,. Desi Prosser is an excellent person and always makes me and my wife feel like not only as valued customers but as good friends. To me that speaks volumes over other companies. ",5.0
60,"April 15, 2019",Anthony and Chris made the buying painless and transparent. Explained what I wanted and they took care of all the details. Only had to sign and drive away. Thank you Kimberly for have a great crew with excellent customer service.,5.0
61,"April 14, 2019",I came in to have my oil change and was advised there was a recall on my car. Everything was explained to me perfectly. Staff in the service area are always pleasant and fun to talk too.,5.0
62,"April 13, 2019",I have been in the Killeen area for a year now and have been using the service department at Dennis Eakin Kia during this time. The customer service is amazing!! They always check for recalls each time I call for service. The waiting area is super comfortable and they offer refreshments while you wait. I am going to miss this place when I leave next week!,4.8
63,"April 07, 2019",Love my KIA!!!!! It was a pleasure to work with James Mills. The process was fast and easy thank you for the great experience at Kia,5.0
64,"April 05, 2019","It was nice to be able to schedule my service on line - drop off my vehicle - get a phone call when it was done. Picked it up......  Liked that it was just easy.  My Service Advisor Billy was so very nice and listened to my concerns.  He also made my visit ""easy"".  ",5.0
65,"April 02, 2019","Dennis Eakin Kia is the only place that I take my vehicle for service. Always friendly, professional and efficient service. The showroom and service areas are always clean.",5.0
66,"March 27, 2019","The customer care received by James was outstanding. Very nice, polite, helps, and courteous. There were questions that he didn’t know the answer but he went to seek an answer to fully assist myself better. ",4.8
67,"March 22, 2019",The service team always receives me with a smile and provides prompt service. I live in Temple but make the drive to Killeen because it's worth it!,5.0
68,"March 21, 2019","Service experience was excellent, employees were very friendly. The service and customer care areas were very clean and organized. The wait time was minimal which I love.",5.0
