,Date,Reviews,Ratings
0,"June 27, 2020","Much better than my last visit.  I have been a customer for years, oil changes, routine maintenance on 2 Mazdas. Glad Sean was available this time he is always professional, courteous and efficient.  ",5.0
1,"June 24, 2020",I purchased and have had all service performed here.  I appreciated Chris keeping me updated on service status and cost as well as sending me a text so that I could check with him while outside.,5.0
2,"June 22, 2020",Very prompt and informative. Have been taking my Mazda here for about a year now. I can generally get an appointment that works with my schedule. ,5.0
3,"June 16, 2020","Great dealership, all who waited on me were more than helpful   A little pricey but I expect that from a dealership.  Will go back the next time I need service.",5.0
4,"June 13, 2020","Recently had Kia in...as always, efficient, thorough and friendly throughout!! Keep up the good work!! The team knows our vehicle and doesn’t “reach” for unneeded work...just take it in and do their jobs!!!",5.0
5,"June 10, 2020",Not my best experience- told me an hour and 7+ hours my car was ready. They don’t give realistic wait times so can be frustrating when it’s this badly off. Typically it’s 2+ hours if they say an hour but this was ridiculous. Just set realistic expectations and stay on it to update.,2.0
6,"June 08, 2020",Sean in service took wonderful care of me!  Love Joe Myers Mazda!  They always take great care of me and keep me updated with progress!,5.0
7,"March 25, 2020","
Justin in sales will confuse the terms of negotiation and back out of numbers previously agreed by including down payment into O/D pricing in the middle of a negotiation.  Understandable, if negotiations start this way, but you cant pull back from numbers by factoring new variables (down payment) to make the negotiation numbers look better.  Really sneaky and a waste of time.  I do not recommend.",1.4
8,"February 05, 2020",I like getting my Kia serviced at Joe Myers Kia they explain what is needed. I always have a good experience. They make you feel like you matter.,5.0
9,"February 02, 2020",Lovely people and fantastic finance man.  The salesman went beyond the necessary to meet my requests - the car is beautiful and will have all required features,5.0
10,"January 31, 2020","Joe Myers Kia Dealership is very friendly.
We were greeted at their parking lot. The sales representative was friendly and knowledgeable about what he is doing.  We are completely satisfied with the sales representative and the dealership.",5.0
11,"January 30, 2020",Very professional staff. No games! Quote a price and deliver.  I got a text quote and drive out within an hour. 100% better than the 5 other dealerships I shopped at. Thanks Hung. ,5.0
12,"January 30, 2020",This was my first time using them and they did a great job. Even performed a few things I needed at no charge.  I will definitely use them again.,5.0
13,"January 29, 2020",Great customer experience from beginning to end.  Less than an hour and they did everything possible to get the best rate and price on the loan . ,5.0
14,"January 28, 2020","Outstanding team!! They are professional and courteous, and they are willing to go beyond what is required to serve the customer with integrity as well. I would highly recommend this dealership. ",5.0
15,"January 22, 2020",Excellent service center. Serviced my Kia Sorento two times in the same place. Staffs are very friendly. There is no wait time. Service is very good.,5.0
16,"January 20, 2020","This was my first visit to Joe Myers Mazda in Houston, but I am a loyal Mazda owner. I just drove from Columbus, Ohio, and I feel I received the same quality care on my vehicle here.",5.0
17,"January 13, 2020","Joe Meyers Mazda service department always does s great job with my Mazda CX-5.  Always ready for my car at appointment time. Great service
",5.0
18,"January 02, 2020",The service people are always polite and professional. They are very good at giving the right diagnostic and have plenty of skills to do great work in a timely manner. ,5.0
19,"December 30, 2019","This dealership has very professional and excellent staff. 
Everyone was very friendly and welcoming . We can't say enough about our sales person,  Hung. He is above other sales persons.",5.0
20,"December 26, 2019",Always great service. I enjoy coming to this location because the staff go above and beyond to help you. I've been to other dealerships however this location is the best,5.0
21,"December 24, 2019",Very polite and efficient did not have to wait long also when I bought the vehicle the sales department was great to definitely will keep taking my car here for service ,5.0
22,"December 24, 2019","JM Kia dealership helped me with my car buying meeds. From beginning to end it was a great. fast, courteous buying experience. I received all the vehicle I wanted. Thanks, I will refer them to anyone looking for a great experience ",5.0
23,"December 22, 2019",Great location and everyone is super nice and they take good care of your car and they are fast.. we need more dealerships like them..keep up the good work.,5.0
24,"December 20, 2019","Awesome, Sales Rep stopped his work and drove me to oil change area!  Service Rep was courteous even showing me where to get coffee while waiting if I wanted!",5.0
25,"December 17, 2019",Rolando Rocha went above and beyond with supplying every answer to my questions and was patient during the entire process. He made me feel comfortable and feel like I was talking with family. No pressure at all to make a purchase.,5.0
26,"December 15, 2019","Great experience, made us feel very comfortable. Mr. Pham ask allot of questions and we felt like he was really interested in our needs and we felt like he listened to us.",5.0
27,"December 11, 2019","Very happy with my service, explained what he was going to do and how long it would take
And he was right on the time.p
I liked that he addressed me by
Mrs, Fitzgerald as he talked to me.",5.0
28,"December 06, 2019",I was very happy with my experience at Joe Myers Mazda Kia. Hung Pham was wonderful to work with! I was DREADING  buying a new car but he made the process very easy and pain free. He wasn’t pushy at all and I never felt uncomfortable. I feel like I got a great deal on a great car! ,5.0
29,"December 01, 2019",Hung was very knowledgeable and personable. That made me feel welcome and respected.  He was able to answer my questions made the entire process very smooth.  I recommend asking for him when looking for a vehicle.,5.0
30,"November 29, 2019",I trust the mechanics at Joe Myers Kia Service.  I don't feel pressured to make unnecessary repairs.  This dealership is over 25 miles from my house but this is where I will always get my routine maintenance done.,4.0
31,"November 29, 2019",Took my car in for unscheduled oil change  Mike was very courteous and told me he’d work it in. I wasn’t in a hurry so it was fine he told me of a recall that needed to be done and assured me everything would get taken care of. I left my car And he called when it was done. ,5.0
32,"November 25, 2019",Very friendly and understanding staff.  They took care of my car and made sure everything worked. I would recommend them to anyone getting their Kia serviced. ,5.0
33,"November 23, 2019","I have always received great service from Joe Myers Mazda.  The service team does a great job communicating and they take their time to address any issues I have, including extra checks on a tire when i mentioned that i had to add air more often than usual.",5.0
34,"November 20, 2019",It was a quick and easy visit! They had me in and out quickly. The bathroom was clean the waiting room was spacious and had a lot leg room..,5.0
35,"November 19, 2019",The service staff was very knowledgeable and professional.  They were very focused on providing top customer service. We will continue to see Joe Myers Mazda for all our sevice needs.,5.0
36,"November 13, 2019","Juan was exceptional from the time he greeted me at my car,he kept me updated on parts that needed to be replaced.He brought the parts to me to show me they needed replacing.Great service",5.0
37,"November 11, 2019","Wonderful experience, top notch!!
Thank you, Carlos and co-worker (sorry I cannot remember his name)! Everyone was super nice and made us feel welcome.",5.0
38,"November 08, 2019","Your representative, Sean was very professional, informative, helpful and respectful. Thank you, and we are truly pleased with your services from Mazda. We would recommend anyone to this dealership! Walter",5.0
39,"October 31, 2019",We had an appointment and were greeted promptly. We added a concern upon arrival that was acknowledged and addressed along with  the initial reason for our visit. Service man was courteous and professional. ,5.0
40,"October 27, 2019",What a dealer!!! Best that i have dealt with. Very proffesional and fast with car serces. I would be back forsure.  No waiting long for oil change ,5.0
41,"October 23, 2019","Sean was absolutely amazing!! Me and my wife can't thank him enough for the consistency of time and work!!! The entire Joe Myers Service Team is the absolute best, I truly can not thank you all enough! You all have been life savers and I am forever grateful!! 

- ❤️Mrs. Collins ",5.0
42,"October 23, 2019","The service people was nice. Everything they did to your car the
Y let you know. When my car was not ready they had a loaner car waiting.alike them will be back",4.6
43,"October 18, 2019","Carlos my sales representative was courteous, pleasant, listened to me and made me feel at home. Finance was also a pleasant experience and very friendly atmosphere ",5.0
44,"October 18, 2019",Everyone involved should get a raise!!! I'm thoroughly satisfied with the customer service! Juan Segura was the rep I really with and two other guys in the department whose names I fine know were very helpful and informative. Excellent job Kia/Mazda team!,5.0
45,"October 17, 2019","My service advisor, Mike Jarboe, was courteous, informative and provided useful suggestions for the ongoing maintenance of our car.  He was about to explain things in layman’s terms.",4.8
46,"October 16, 2019","This has to be one of the most antiquated dealerships I have been to lately.  I went in on 10/12/2020 and had an appointment with Hung Pham.  After searching and finding a parking spot I arrived and was directed to his office area and that he would be in shortly.  I was not offered any insight as to how long Hung was going to be.  After waiting 20 minutes I decided that perhaps this was not the level of customer service I was seeking and I left.  I received a call on Monday from Hung asking, since I did not make it in on Saturday would like to reschedule.  I proceeded to tell him I had in fact been there on Saturday during my appointment time and that I did not care how good his vehicles were because his customer service was severely lacking.

The good news is on this trip we found Superior Subaru and my new Outback just a couple blocks away.  Superior Subaru does have a clean organized dealership and outstanding customer service.   

Bottom line, if you want a dirty, antiquated dealership with chaotic parking with poor customer service this is your place.",1.0
47,"October 13, 2019","I rated this dealership as a 10 because they really tried to do everything they could to get me in the car I wanted. They lowered my Apr and made a great deal with me on the overall price. This was my first time buying a car and I'm a young girl so I was terrified they would try to take advantage of my lack of mechanical knowledge, bargaining skills and inexperience with these things! Tyler (my salesman) and Nick (sales manager) answered every single question I had with more detail than I needed but it was appreciated! Seriously, go see Tyler for a car. He won't screw you over and will literally help you call different insurance companies to make sure you get a good deal on insurance too!",5.0
