,Date,Reviews,Ratings
0,"May 01, 2020","I have a Kia Telluride 2020, there has been an on going issue with it, I’ve taken it in 5 times from the start of February, it only has 27,000 miles on it. I dealt with Roy the service manager he made me feel like I didn’t know what I was talking about, they were constantly out of loaner cars, so they couldn’t keep my car longer than a day at time, he admitted my car shouldn’t have issues, and he hasn’t seen issues with the gas gage, or distance to empty, it was a compete run around. Until the 4th time I took it in, that problem was fixed for the time being, it’s happening again. There was supposed to be a tech that works for Kia coming out, and never did. He (Roy) makes you feel like your problem isn’t important, now I have to contact consumer relations because he refuses to fix the issue with my car or acknowledge their is still one. When it comes down to Kia, he doesn’t want the blame, but it will fall on him because he isn’t very knowledgeable, fair, and he is very arrogant to problems that he “can’t fix” he tries to say “I’ve never seen this” “do you fill your car up?” “ Did you reset the MPG setting?” “I’ve gotten up to 29 miles” “you shouldn’t drive so fast, maybe try driving like a grandma” my point is my car goes through gas so quickly and it shouldn’t and he claims it’s the way I drive it, please keep in mind I have children I don’t drive recklessly, so please avoid spending your money there. You’ll eventually regret it if you do.",1.0
1,"February 07, 2020",If they’ve done your oil change and you have a under engine cover you better check it. They cut corners removing it and don’t replace all the bolts. Then won’t admit they did it.,1.8
2,"December 31, 2019","DO NOT BUY HERE!!!My wife and I came in to see a vehicle  that was published online as certified for $7,000 for our kids.  We dealt with a salesman who showed us the vehicle and allowed us to test drive it. Once we sat down to discuss the final price of the vehicle, we were advised by the salesman that the vehicle price was misprinted and the price was higher, but they would honor what was printed online.  Once the total numbers were put together, it was also advised that although the vehicle is described as certified it was an additional cost of $1,290 that I would be responsible for.  The total drive out on a $7,000 vehicle  was over $9,200.  This did not make sense.  I spoke with a manager and at advised him that the internet ad website for Beck & Masten Kia showed the vehicle at $7,000 certified. The manager stated that there are disclaimers on the website, and that they were not going to negotiate any further on the vehicle.  I then spoke with a general manager Mr. A. Khan.  He advised the same. at this point I explained that I would pay $8,000 drive out for the vehicle. Mr. Khan went and put some numbers together for me and the total was still over $9,200. He admitted that this is the mistake of the dealership and explained the dealership felt they were being fair since they were honoring the $7,000 price. Again, the price showed $7,000 and stated that the vehicle is certified pre-owned. I asked mr. Khan how he would feel if he was in my shoes, he attempted to work his way around a question and advised that advised that this is fair. Beck & Masten has been around for years.  My family has purchased a vehicle from them before many many years ago. This is a horrible way to conduct business. Please beware if you go to this dealership, they have no sense of Customer Loyalty nor do they care about maintaining a positive reputation.",1.0
3,"August 10, 2019","This was an absolutely seamless transaction. We drove quite a way to check out this particular new Soul, since we have an aversion to black vehicles, inside and out, and none of our local Houston dealers had one that would work for us. We'd contacted the dealership prior to arriving, and were greeted by Javier Perez, a polite and knowledgeable individual, who had the car ready for us to view. The test drive went well, and we were set to bang heads over price and trade. While we did go back and forth for a time, the process was hardly the intimidating experience that many dealers choreograph. We're experienced negotiators, having spent decades in real estate, and found both Javier and Willie, his sales manager, highly professional throughout ... no pricey additions or hidden charges,  Our trade was fairly valued, and the Soul EX was attractively priced, due both to the manufacturer's incentives and B&M's discounts. While the F&I process could use some technological updating, Drey Smith, the finance manager, was excellent ... courteous, with no pressure to buy those dealer add-ons. He was able to structure the details, so that we could take advantage of the rebate for financing through Kia, and still pay off the note when the first installment is due ... a much better deal than a straight cash sale. We drove away confident that we'd purchased a great vehicle from an ethical dealer. Go see Javier ... you'll be pleased.",5.0
4,"July 31, 2019","Astonishment mixed with disappointment 
Like most of us over the years we have had our vehicles serviced by great dealerships and not so great.
Having been the owner Chevy, BMX, Audi, Infinity, VW and now Kia I’ve seen a few and to be fair I’m not high maintenance or over fussy! I generally schedule the work and get it done without any issue and certainly have never felt the need to give a dealership any scathing review.

When it comes to Beck and Masten Service center, Tomball I must admit I’m disappointed and confused regarding the definition of customer service.
First my car had an issue a few months back, I made an appointment with them dropped the car off waited almost 10 days only to find not everything had been completed. 

Came back at a different time to have the work completed in addition to a 30k mile service. only to find it couldn’t be done due wrong part ordered so had to come back at anther time again for that., during the oil change full synthetic had been requested twice as per the Kia owner’s manual. Upon completion of the service I was informed a blend had been used and told to come back in under 5k miles for the next oil change as quote “Kia motors are not that great, so you shouldn’t go too long without us checking it” They refused to change the oil to full synthetic, so I obviously have found an alternative dealership that wants to do so.

I have a few other minor issues with the car that need addressed but will not ever waste another minute with Beck and Masten as I have no real confidence it will get done when scheduled and or it gets done correctly. 

",1.6
5,"February 27, 2019","I cannot describe how disappointed I am with the staff and business practices at Beck & Masten Kia. 

I purchased my pre-owned Fiat 500 in March of 2018. I was told the car was barely driven and was in great condition. During the paperwork process, I noticed two different errors on the contract that would have cost me  $2,000. This was corrected and I drove my car home. Four months later my car broke down on the highway. It was taken to a Fiat dealership for repairs and I was told the clutch and the transmission were both completely worn down and needed to be replaced. The repair technicians agreed that there was no way I could have caused such substantial damage in just a few months, especially with prior experience driving a manual car. It was sold to me with extensive damage. I contacted Beck & Masten Kia's service department who pulled up my warranty and assured me multiple times that these repairs would be covered by the warranty. This was not the case under a ""wear and tear"" clause. I was responsible for a portion of the repairs, which cost almost $3,000 in total. The dealership where I got repairs also informed me the vehicle's airbags had also deployed, which was never mentioned when I asked about the status of the vehicle at purchase. 

Throughout this process, I called and emailed my salesman, Carlos Barrera, multiple times with no response. I also emailed the head of service department, and called and emailed the General Manager. No response from everyone. 

I would not recommend purchasing a vehicle from Beck & Masten Kia. Stay far, far away.
",1.4
6,"November 28, 2018",Scheduled oil change with service manager Roy and once I got on location I was greeted at the door by a new guy nme Matt very personable & polite.    Shortly after I left I was impressed in had gotten an update by text on my phone .   Then when I picked it up my father and I were surprised to see not only was the oil changed it was all nice & shiney and cleaned up..,4.8
7,"March 16, 2018",Bought my new Sorento in 2016 and LOVE it!  Chris Briggs in the service department has been exceptional in helping me by going above and beyond in taking care of me and my needs!  I feel confident every time I get in my car since it's been so dependable.  I would recommend to all!,5.0
8,"June 13, 2017","Our family has trusted this dealership four times, no regrets! Great tradein values, fast finance department, excellent vehicles, and Drey Smith has sold them all to us. We love his personality and professional demeanor, he is knowledgable and zero pressure, which is a refreshing change from what we are used to experiencing at a dealership.  He will be who we seek for the next round of vehicles as well.  ",5.0
9,"November 17, 2016","Agreed to purchase a used car.  They requested funds by cashiers check by FedEx overnight, which was done.  They received the check the next day, as scheduled, then called to say the car was sold to someone else.  ""Sorry.""  My check was returned, but they have not been forthcoming or prompt in covering expenses incurred as part of a transaction they botched.  I cannot recommended doing business with Beck and Masten Kia.",1.0
10,"August 10, 2016","Though I have leased 1 car and purchased 1 and my son on my recommendation purchased one, NEVER AGAIN.  We turned in our lease car and purchased another one, YET, they still have not grounded the car I turned in.  Kia finance continues to call me for payment though i was returned 2 months ago.  I have called and email repeatedly yet no help.  IT IS WITHOUT A DOUBT THE WORSE EXPERIENCE EVER.  I will never recommend or purchase another car from this horribly run dealership again",1.0
11,"July 21, 2016",Len Worsham is the best sales representative I have ever had the pleasure of working with. It is the first new car I have purchased that after getting home I didn't feel like we were taken advantage of.  I will buy from Len and this dealership again. ,5.0
12,"July 14, 2015","Called Amanda because their website has a virus.  Was told they had a lot of new 2015 Sorento's.  Got there was told they don't have any.  I had an Edmunds print out for a new 2015 Sorento.
I purchased a new 2015 Sportster from Drey Smith.  Was totally ripped off.  Charged the suggested retail price.  I had asked for an Edmunds report on the sportster.
It took them 4 hours to get the papers ready to sign and they just let me sit while they ran their mouths with each other.
Finance guy said the 100,000 mile policy cost less than the 50,000 policy.  I regret every going to this place.  Sent Drey Smith an email to get scratches taken care of.  He never answered my email nor took my phone calls.  Sean Samuel, Manager told me they have someone to do their body work on Tuesdays and  he would call me Monday, July 13, 2015 when he got to work and I could bring my sportster in to get scratches & smudges taken care of and he would have a loan car ready for me.  HE NEVER CALLED!!!
Don't be stupid like I was.  Go to another dealership.",1.4
