,Date,Reviews,Ratings
0,"October 04, 2017","Was nervous at first since it was my first purchase, but Manny definitely built my confidence and was patient with me and extremely helpful during the whole process. ",5.0
1,"July 03, 2017","I was bullied by Mike Smith to purchase an extended warranty at 2900. For my 3 or the deal wouldn't go through..
..I was also bamboozled into 18 percent interest. In Feb 16 Gillman Honda got me 8 percent and no high pressure bull. ",3.0
2,"January 18, 2017","From my first interaction, the customer service representatives have been so personable and helpful. Complications with my bank forced me to arrange all my loan and purchase paperwork over the phone and the managers led me through every step. I was able to test drive, review all warranty and benefits I was covered for, sign for the car, and drive away within 2 hours. I had requested the maintenance/service history of the car and it was promptly delivered to me the next day without any questions. Unfortunately through the next few weeks, I had my engine light come on and every person made sure that I was well taken care of. They gave me a loaner car to, ensured I was well informed about what they were working on, and happily reminded me that everything was under warranty and paid for. They take care of their customers to the best of their ability and it will always be appreciated.  ",5.0
3,"October 29, 2016","My experience with Legend Kia was the BEST. Maria Garza was great, so patient ! I have been in sales for 25 years so I know when someone is a good salesperson and Legend Kia is lucky to have her. Victor in finance was also wonderful and very helpful.
    It is great being apart of the Legend Kia family..
        P,Holt
",5.0
4,"September 21, 2016","i would like to thank Jeffrey and Legend Mazda for the best car buying experience I've ever had! From the moment we got there, Jeffrey was friendly and extremely helpful in answering all our questions about the Mazdas (we had never owned one before). I now own a new Mazda 6 and couldn't be any happier! Thank you Jeffrey, for all your help and Mike for giving us the best deal! I will be sending anyone I know in search of a new car your way!!!!
Cheryl T",5.0
5,"August 30, 2016",I received excellent service from Terry and all of the management. I received the vehicle and payment which I wanted! Thank you all for such great service.,5.0
6,"August 26, 2016",This is my second time using this dealership. Everyone is very friendly and the waiting area was fantastic. My sales person was very helpful and great about following up with me while I was attempting to get a loan through my bank. I ended up using Kia Motors Finance. The interest rate was great and the bonus services along with my purchase made me extremely satisfied. ,5.0
7,"August 25, 2016","These guys are awesome.  I had a slight rip in my backseat, probably caused by an exacto knife when they took the plastic off, which we didn't notice until the week after we bought our new Sportage.  I reached out to Terry Roberts, our outstanding salesman, who promptly made arrangements to help us out.  

Along the way, I reached out to the GM, Mike Trevigno, to bring to his attention the care, respect, and patience his sales and financing staff showed us as we negotiated until close to 11:00 the night before.  I mentioned to him that we'd had the hiccup with the seat and he insisted that we have a loaner brought to our home which we stayed driving during the ordering and installation of the replacement seat cover.  Mike made sure we were very satisfied customers and Terry drove the vehicles both ways each time.  

My wife and I would like to sincerely thank the Legend KIA team for their outstanding service and for going well above the call of duty to ensure customer service expectations were exceeded.  It's nice to know that service still matters to some companies!
",5.0
8,"August 16, 2016","We had a great experience buying a care with Keith Wells at Legend Mazda. He was pleasant, accommodating, and an all around pleasure to work with. Thanks for making our experience smooth and pleasant!",5.0
9,"August 04, 2016","I walked in the dealership not getting my hopes up, as I was a fist time new car buyer. That totally changed when Jeffrey Barajas, my Sales Consultant went above and beyond to get me the right price and right vehicle that I needed. He was the most helpful and understanding sales person I've met. I would recommend this dealership and sales consultant to all my friends and family. Thanks Jeffery and Legend Mazda, you guys are the best! Sincerely a really happy and satisfied customer. ",5.0
10,"August 03, 2016",I met with noel morales the sales person like 2 weeks ago. She was a very kind young lady. She was very knowledgeable as far as explaining to me about all the benefits kia legend offers you when you are about to purchase a new vehicle. She was a great person. My blessings to her.,5.0
11,"August 02, 2016",My experience with Gracie and Legend Kia was the best experience I have ever had in buying a car. They were very honest and everyone seemed to be very warm and caring. The entire team was very forthcoming in answering my questions. Everyone bent over backwards for us and made this whole experience painless. When time to purchase again I will come back to Legend. I am telling all my family and friends that they need to go to Legend.,5.0
12,"August 01, 2016","Our initial visit to the store was to see a used car that I had seen on the internet. As the car was already sold, she showed me a new vehicle and I test drove it. My immediate response was that I was so happy with it and I asked where I needed to sign? She worked with me until the end. I personally, feel like I gained a new friend. Her friendly demeanor and knowledge of the cars on the lot, showed me that I would welcome doing business with her anytime. I will recommend her to any of my friends or co-workers.",4.6
13,"July 24, 2016","My son just graduated from high school, starting a new job and going to college.  We were seeking a ""starter"" car.  We never anticipated the wonderful outcome.  Gracie helped us on a Saturday and she was so kind and helpful that we returned the next Saturday to find the perfect car.  Gracie was busy when we returned so Terry helped us out in the meantime.  He was great.  When Gracie returned she helped us with a sporty Kia Rio, one owner, super low mileage and still with 2 years warranty.  To top it off, the price is exactly what we were looking for.  Gracie has been no stranger after the transaction as my experience with other car dealers.  They just do not care about you after they get their money...unless you want to buy another car!  Gracie has been in contact me to ensure everything is fine and most of all, to make sure we are happy.  We couldn't be more satisfied.  Love this place and Love Gracie!!  Roberta Cruz",5.0
14,"July 23, 2016","I am giving a second review because I went back to get a window tint and wanted to do it through Kia.
I walked into the dealership and the employees greeted me like family, who does that? From the front desk to my salesperson Graciela, even though she was with a customer, she took the time to come and say hello. I have been through several dealerships and have never encountered one that treats customers (I had already purchased, no need to show interest) as if they are coming in for the first time.  My Sportage came out looking so nice and not only did the young man Giovanni, who I had made arrangements for the tint walk me out to check out the vehicle, but one of the managers, Marcos, came out as well.  My son wound up talking to Giovanni about a part that is aftermarket that goes in the back to cover luggage and other things you may want to keep covered.  He ordered it.  Overall, I really like my Kia, the employees at Kia and the service department. Had been thinking of a Honda and now wouldn't trade for a Honda.  Great driving car, sporty, economical and just great.  Thanks Kia and superior employees.  They go the extra mile when you don't expect it.  Esther Herrera",5.0
15,"July 22, 2016","I went to the dealership intending to purchase a new car. Gracie was very eager to help me, my only stipulation being ""not a Soul"". After test driving 2 or 3 and really listening to my feedback Gracie convinced me to try a Soul...I loved it. I am so glad I met Gracie. She knew her product she understood my needs and she facilitated a perfect match. I couldn""t be happier with my choice and the experience at Legend Kia.   Sincerely,  Tammi Coomes ",5.0
16,"July 18, 2016","Came in just to look and after browsing  a few used cars, Gracie moved my attention to new vehicles and I wound up buying a new one.  No pressure sales, easy to talk to managers.  Happy people and very professional. 
Loved them all, specifically remember Marco, Gracie and Giovanni.  
Was actually shopping for a Honda and went to Kia just to look around. Just looked at list below and I was under the impression that Marco was the name of a manager not sales. If he isn't a manager,  he should be  because he has all the makings of a very good manager. 
Thanks for your employees. ",5.0
17,"July 18, 2016","I feel like everyone I worked with, especially Noel, made every effort for me to leave with a car. They are the best dealership I have ever worked with. Noel wanted me to be happy and stayed with me until the very end making sure every question I had was answered. I could not ask for more in a dealership and a sales person. I felt like I was a VIP customer and yet it was my very first time I walked in there.This is the first car I have ever qualified for.",5.0
18,"July 13, 2016","We had some unfortunate misunderstandings, for lack of a better term, and our buying experience was less than enjoyable.  After about a month of discussions between us and the manager, Michael Trivigno, things have been taken care of, we're happy with the dealership and know they went out of their way to make things better.  We loved our sales representative, Graciela Cantu, and recommend her very highly.  ",4.2
19,"July 08, 2016",Gracie is the best sales person I have come across threw Manny years of buying cars. She got me exactly what I wanted !!!! And fast too !!!!!! WOW GREAT JOB GRACIE,5.0
20,"July 06, 2016","Graciela is very knowledgeable & has a very out going personality. She made my visit very pleasant! She made conservation, which made the wait not as long. I feel I made a new friend & wish her well in her career with Kia.                  Yolanda Tavarez  (your new friend)",4.8
21,"July 02, 2016",Although we decided not to puechase a new car we were extremely pleased with the service we received.  Graciela Cantu was friendly amd knowledgeable.  By the end of the night i felt like we had known each other for more than just a few hours.  When we do decide to.make a new purchase we will definitely return to see Graciela.  Thank  you Gracie for ALL your help and time! ,4.8
22,"July 01, 2016","Graciela Cantu was great to work with!  Very professional, knew her product well, and was very patient.  She showed us several Optima's and discussed each one; what a great person to work with!  While we decided not to purchase at this time, we will definitely return to Legend Kia and ask for Graciela by name when we are ready later this year -- hoping they have some awesome year end sales at that time.

Bret and Susan Phillips",4.8
23,"July 01, 2016","From the moment I walked into the dealership until I drove off with a new car everything went smoothly and professionally. The people were all friendly, especially my sales rep Graciela Cantu and my finance manager Nancy Hinojosa, and they were knowledgeable as well. Graciela stayed with me to make sure everything went well, even after the completion of the paperwork and the delivery of the car. She showed me where to check in for service and introduced me to the service department personnel. Nancy presented me with warranty options (almost all of which I took) and generally made me feel welcome. It was the best car buying experience I've ever had.",5.0
24,"June 25, 2016",I have never bought a car before...this is my first one....I didn't know where to start or what dealership to go...but I came to legend Kia because I saw the cute puppy (Bear) in the commercials...I'm definitely glad I came to legend Kia...the staff is so friendly and nice...they are willing to go the extra mile for everyone...I'm very satisfied with my Kia soul!!! Graciela was my sales associate and she is so humble and kind and just overall a sweetheart....I truly appreciate everything and everyone at legend Kia :) ,5.0
25,"June 24, 2016",Osh has been helpful with all my needs and Mike Smith gone the extra mile to please me when I thought that I was not going to meet my payment. Thank you guys.,5.0
26,"June 23, 2016","Bought a Kia soul from you on June 17th, we appreciate Maria who went out her way for us. Great service. Will recommend your dealership and your wonderful staff to others.",5.0
27,"June 16, 2016",I was texting a sales man at legend Kia and recived a price in writing . When I got to dealership to buy car the manager said he could not sell car for that price. So I drove an hour and a half for nothing. I was paying cash for car and the difference was $1800. But if you give a price in writing to a customer that should be your word.. Not the case at legend Kia. I've bought a lot of cars and this by far is my worst experience . Just know the price they give you in writing is not what they say.,1.0
28,"June 13, 2016","This is the second time the I have purchased a vehicle from Legend Mazda. Both times they gave me outstanding trade-in value, and worked to get me into the car that I wanted. The sales team understood what I wanted, where I wanted to be for trade-in and financing. No ""hard sales"" from the sales team. The financing team was quick with the paperwork and I think I was in/out in about 3 hrs.",4.8
