,Date,Reviews,Ratings
0,"March 12, 2020","Came for headlight issue as it was a bulb out, they replaced as they vacuumed out my car, was a good day with no issues,  thankyou",4.0
1,"March 05, 2019","Five stars because they are awesome! I had been looking for a car for 2 months and we went in and left with a car. Great monthly payments and great customer service. I love my new car, I would recommend anyone to them! ",5.0
2,"March 01, 2019","These people take care of you! My mother purchased a car from them, had some hiccups with the deal, Andy Lawson from the Tyler store and Wayne from the Longview store really stepped up and took care of the issues! If your looking to buy, buy here!",5.0
3,"January 31, 2019","Shannon Joe and Wes were very helpful.  I got the car I wanted , they worked very hard to complete this deal
They are replacing the windshield, getting me an additional key and  filling my tank",4.2
4,"January 29, 2019",Came in to get an oil change and list of next services. Very friendly and helpful service. Thanks so much! Would definitely recommend to others. ,5.0
5,"January 28, 2019",Great service every time I get my car done friendly staff and very informative on what my car needs done..I highly recomend crown kia of longview to anyone that needs their car serviced and done with knowing it was done with pride..Thank you crown kia of longview for selling me a great car and doing awesome service every time..,5.0
6,"January 26, 2019",Thankful of Kia personnel this far God bless y’all thank you for setting us up with our Kia Forte as it gave us a credit buildup we were in need of as so economical to drive hope to have continued positive rapore with y’all ,4.2
7,"January 26, 2019",We needed a low beam headlight. Cody said how soon can you get here? I was there in 10 minutes and then it only took 10 minutes to fix. Great service!,5.0
8,"January 25, 2019",They were quick to help me with anything I needed and very friendly.I would recommend Kia to anyone looking to buy a new car.,4.6
9,"January 22, 2019",I wanted to get into a new car. They did 99 % of the legwork and refused to stop working until I got what I wanted. Great dealership and fantastic sales team. 10/10,5.0
10,"January 22, 2019","I took my car in for the first time go be fixed. Staff was helpful, polite, efficient, and communicated well throughout the process. I dealt with a few different service personnel and all were polite and informative. ",5.0
11,"January 22, 2019",I was able to get what I was looking for in the first place I looked... You help me make the love of my life and best friend so very happy...,5.0
12,"January 19, 2019","The people at Crown KIA in Longview are very friendly, helpful, courteous, and efficient! Very pleased with everything so far with my purchase! They always ask if I would like my car vacuumed, and do great job!",5.0
