,Date,Reviews,Ratings
0,"June 13, 2020","Very good experience I cannot say enough good words. My sales person Randy Jackson was super, honest & trustworthy. The manager worked with me so so well. I got a deal that could not have been better. Thank you both for making me a happy customer 

Glenn Owens ",5.0
1,"April 12, 2020",Wonderful Dealership With NO Pressure. The Salesman Stuck To His Word Of Having Low Down Payment && Low Monthly Payments. THANK YOU GUYS FOR MY NEW CAR 😊,5.0
2,"February 16, 2020",We came here to purchase a truck that would meet our needs. We only had 1000.00 for downpayment which wasn't enough to satisfy the lender. Sue and others worked very hard to make this deal happen for us and they did it. I received several calls and texts from them during the process so that we were always informed of what was happening. I appreciate the customer service and the great truck that we were able to purchase.,4.8
3,"February 14, 2020",Very pleased with the service I received with Mr. Muhammed! He listened to all my needs I was looking for and I left with a brand new Sorento.  ,5.0
4,"February 05, 2020","Great service, Mr. Mohammad was very helpful and friendly. It was a great experience and we bought two cars from Fredy kia and we worked with Mr. Mohammad. ",5.0
5,"February 05, 2020","OMG!!!!  Best time purchasing a vehicle ever.  Leslie was awesome.  I'm recommending her to all my friends.  I didn't spend all day at the dealership, I didn't hear a pack of lies.  Just pure honest.  LESLIE you ROCK!!!! ",5.0
6,"February 04, 2020","Horrible Service!
The service writer and manager lie in what seems like an effort to avoid warranty work when KIA’s are sold in large part based on the warranty. They also don’t meet promised schedules, don’t keep the customer promptly informed about status and they constantly try to up sell unnecessary high mark up services. 
They don’t seem to want My current or future service or sales business. ",1.0
7,"February 02, 2020",Where do u begin I do an online application and received a call the next day from Alisson Hernandez she says “ I received your loan application and you were approved just bring $500 two pay stubs and a form of id. I drove from humble to 45 south I get there and it’s the most unprofessional place I walk in and they said oh we are sorry the lady who told you that it’s $500 is a lie she works for “BDC” and that’s a catch to get you in the door we still have to get all your info and then run your credit again because we need it on paper.  I called before I drove there and asked was the vehicle there I requested which was a 2019 GMC Terrain they told me yes so I came. Once I get there this when more foolishness starts he brings me keys for a 2017 GMC Terrain at this point I’m telling my wife let’s leave but we really needed a car so we allowed them to run the credit then I was asked to put $2500 down I’m like nope I’m good they are scam artist at its finest the short Hispanic finance guy comes and sits down and ask me did I have that amount I said no y’all said $500 he then ask me what happened to my credit it used to be good at that point I felt disrespected and didn’t want to make a scene I decided to leave with my family. We went to Ron Carter purchased a car no money down and I’m happy that my business was taken elsewhere. I wish I could give a negative 5 stars ,1.0
8,"January 18, 2020","1/18/2020
Fredy Kia was an unexpected find in Houston, Mr. Patrick  ""a genuine old school soul"" greeted me the moment I stepped out of my old mini-van. The atmosphere inside the store was warm, friendly and productive. Felt like I stumbled into the right place at the right time. Patrick got me good deal on a brand new Kia Rio. Good vibes from Fredy Kia !",4.4
9,"October 28, 2019",Everyone was very helpful and knowledgeable about the vehicles. They gave us a good price on our trade in and we got a fantastic deal on a 2019 mini van! Thanks!!,5.0
10,"October 16, 2019","Everyone from the person that greeted me, the salesman to the financial manager was really good to me. I’ve already recommended some friends to Fredy Kia.  Thank y’all.",4.8
11,"October 01, 2019","I had a wonderful experience at Fredy Kia, purchasing my first vehicle. Elmer,Eli,And Daniel were amazing! Highly recommended! Very professional! Above and beyond! ",5.0
12,"September 28, 2019","The best attention and the best service... I highly recommend them! If you go to the service, ask for Mr. Alfonzo, is the best! I’m happy 😊 with Kia and with Fredy Kia...",5.0
13,"September 24, 2019","Went in to look at a vehicle that we called about that morning at 9. At the dealer at 7pm and the car is still in the ""bull pin"". Finally we go over the the lot where it is at and I will be surprised if I don't get Malaria from all of the mosquitos that swarm us. Went back to the dealership and waited for about 45 minutes for them to figure out where the porter was and how to get the keys to unlock the gate. All this time there is no less than five or more employees just standing around and not doing anything. So after test driving and deciding to buy the vehicle with cash no financing involved. They add in almost $1000 of extras, etching, windshield protection for 1 year and the ""elite package"" to protect the paint. This is a 2013 model used car to begin with. So total price with TT&L and some other bogus fees that they could not break down it was $10,456. Starting price was $8500. So a increase of 2K with add on items that we stated that we did not want the best they would offer was $10,000. So the ""manager goes on and on about how they make money by financing, and we have told him two times already we will pay cash. Needless to say no deal.

Bait and Switch at its best. 
Incompetent salespeople who cannot even explain all the items that are being paid for, just generic answers.

DON'T WASTE YOUR TIME AT FREEDY KIA!",1.0
14,"September 11, 2019",Had a great experience.  Went in to buy one car and ended up buying two!!  Eli was our salesman and he was awesome.  Dealt with Mike and Mike in financing and in general.  Would recommend them to my friends.  It was a long process but they were very patient with all of my questions.,5.0
15,"September 09, 2019",After a disappointing experience at another Kia dealer we decided to try out Fredy Kia.  I am so glad we did.  Eli was an outstanding salesman letting us test drive anything we needed and explaining the differences I finally decided on a Kia Optima for me and a Kia Sorento for my fiancé.  Did the paperwork for my car and got me squared away and then began the process for her vehicle.  They had to secure it at a different dealer so we had to go back on Labor day to pick it up.  Both Mike's in financing were awesome and had an overall great experience!  I would recommend giving them a try!,5.0
16,"August 16, 2019",Went get a car they got approved and went to finance to sign the paper.this they needed my wife id .got that and went on Wednesday to the car .then keep us for 2 hours and didn't tell us anything.we needed a cosigner . the manager was dishonest.the salemen didn't know why.?,1.0
17,"August 10, 2019","I attended my appointment in time and after a few minutes they informed me that they did not have the part offering me a car wash for the inconvenience and that they would call me when they had it, so I suggest you call another dealer to see if they had the part in stock when they answer that they are not my secretary, then I had no choice but to speak with the general manager and have the part brought from another dealer as I had suggested ,the service is a real disaster",1.0
