,Date,Reviews,Ratings
0,"June 24, 2020","I had started looking into getting a new car around the 4th of July. I had looked at a Honda Accord which I was quite fond of and a Nissan Altima hat I was also fond of. My mother wanted to look at a Kia Optima so we drove out to Westside Kia and met Jalen Hopkins he was the most polite young man I had met while looking at new cars, so basically he is  the reason Westside Kia received my business having him explain all 3 Optimas that I looked at with true knowledge, understanding, and overall great attitude made me decide to go ahead and get the Optima immediately instead of waiting until my birthday. The rest of your staff was as polite and understanding as he (Jalen) was. If you have manners and you are polite you will win my business every time, so I thank the entire crew that I delt with at Westside Kia and not only will I gladly recommend you to friends and family, I will be a repeat customer.",5.0
1,"June 18, 2020",Thank you so much for getting me into my vehicles. I've purchased 3 vehicles and I'm satisfied from sales to maintenance. Thank You ,5.0
2,"June 17, 2020",Turn in of lease car and subsequent purchase was easy. It was a pleasure to work with Mr. Rye Jolla. He is an asset to westside kia.,5.0
3,"June 05, 2020","No problems with service
No problems with sales
No problems with Leasing
No problems with Finance

No more to say, no more to say
No more",5.0
4,"June 03, 2020",Kevin assist’s me with my vehicle service. He and his staff are always very nice and thorough. They do a fantastic job in keeping the good condition of my car. ,5.0
5,"May 28, 2020",A pleasure to work with and always professional and through in there services. Justin kept me informed every day they were working on my car. And when the service was complete Justin called to let me know all the work that was done.  ,5.0
6,"May 14, 2020","They gave us excellent attention, explained everything about the vehicle in detail, we got the car we wanted at an excellent price, we bought the guarantees because they are excellent and very good price, the vehicle was not delivered super clean and full of gasoline",5.0
7,"May 04, 2020","The process of making an appointment could be better.  I've tried the online appointment before, but they told me to call in because it wasn't working.  When you call in, you have to get the maintenance guy himself on the phone to make the appointment.  It would be better if someone simply handled the appointments so you didn't have to keep calling back.  Chuck was my service guy, and he was very good.  It was getting to him that could use improvement.",4.8
8,"April 26, 2020",This dealership was excellent and provided excellent service and made sure I got the car I wanted. I am very happy with my purchase Thank you,5.0
9,"April 16, 2020","Amazing process from my initial phone call to delivering my car. Antonio Page explained the process very clearly. He was honest and treated me and my wife with respect. Great sales person. Our finance process was also amazing, painless and our finance guy was very professional and made us feel at ease",5.0
