,Date,Reviews,Ratings
0,"May 31, 2020","I had great customer service when I came into the dealership from the get-go, my salesman name was Mikeal and he was very professional and made sure I was satisfied with my new 2020 Kia Soul! He is a good salesman. I also have to give props to the Sales Manager and the Finance Manager, both great guys who kept up with me with my new car and my trade in. ",4.4
1,"March 17, 2020","Had an appointment that I went in for.  Online appointment indicated that have issue with tire pressure notice that would not go off.  I got there and they didn't have extended warranty info so they couldn't tell me if it was covered under warranty or not but I would have to pay for $150 diagnostic fee no matter what.  Had I have known this I would not have driven 1.5 hours to have it serviced since this is the closest Kia to my home.  I went ahead and got oil changed and my mileage at the time was 60,450 but the paper work indicated that my mileage is 47,048.  They of course tried to tell me that I needed about $700 more in work to have brake fluid, cabin filter, etc...changed.  I will never return to this dealership and will go somewhere else to have my Kia worked on.",2.2
2,"January 21, 2020",Got a vehicle there and they did not give me a payment back that they said they would and got my address wrong even when they asked me 3 times what it was. I will never buy anything from them again. They were very incompetent.,1.0
3,"October 11, 2019",They found us the perfect car and the manager Desmond Stirgus is the best😊Our saleman Mike was very helpful and got us the perfect car😀We are in🖤,4.8
4,"August 08, 2019","Hi Efran
I am writing in reference to my recent purchase (6 months) now of 2019 KIA SOUL. It is with great regret of becoming a customer of Kia that this is in reference to. I purchased my car through your salesman Valerie that was employed by you during the sale. After working with Valerie she truly sold herself through the misinformation that she shared with me, WOW GREAT BENEFITS of becoming a new car owner for PARKWAY FAMILY KIA. After giving her my information, she called me back a couple of days later and asked when can I come in, I made an appointment with her, got there late, almost dark. I sat in her office we immediately began paper work, well I am thinking that we are going to walk the parking lot and browse vehicles, at that time be allowed to choose what I like. That didn’t happen.  The car that I am driving is what she chose, it was already parked in the front of the dealership in a handicap parking spot, she stated let’s go for a test drive. At that time I said to myself well maybe this is a test drive car, lol.  When we returned, she showed me while sitting in the car how to connect my phone through Bluetooth ‘WOW” after that we proceeded inside to complete paper work. I asked what else was available she did not answer me DUH your car is outside that was chosen for you OKAY!!  I was walked to finance to sign papers, and instructed to go back over to the sales department for KIA. At that time my car was parked in front with the driver door opened.  I returned for my first oil change and service, realized that you all had the 2020 KIA so I asked about it, spoke with a couple of people didn’t get any clarity, and I wanted to know if I could choose the basic model of the 2020 which is what I really liked and had the color that I wanted. I left, called back during the week and spoke with someone in internet sales and was assured that I could switch out of what I did not want into what I really wanted. Well that didn’t happen, she made it sound so easy. ? If it were explained I would not have traveled back down there. Moving forward I was introduced to another salesman that was very rude, unprofessional, and only asked you have money, how much money do you have for a down payment? Not ma’am can I offer to show you the 2020’s and what is available? Hmmm too much like right? Were sales down? There was nothing offered complimentary offered while I sat there. It took forever, I decided to walk outside and browse the parking lot, he then showed up and handed me some papers and told me I needed to work on my credit and come back in 2 years. WOW  Is said that’s it after I was assured that I would be able to  switch my vehicle/ he said no one will finance you. I am aware of my credit for sure, that’s why I wanted to finance to help build my score. I returned to get a 2nd oil change, and inquired about the same vehicle with Stacey she was helpful and promising as well HIT me with another application that dropped my score once again, ok now I’m a 3 time looser with this denial thing lol, I had other obligations so I left and just asked her to call me, unfortunately I had to call her/well text her. She responded through all text messages.  I do have an increase in income that was the only change from the previous application. LONG STORY SHORT my note is paid on time, I am very disappointed in the way that I was treated and feel as though….. the salesman here is what you get, nothing else, take it or leave it!!! Not a good feeling! Just wanted to feel that my investment is worth me coming back of referring someone else to the dealership. Very unfortunate but true.  
Sincerely,
Unhappy Disgusted Customer 

",1.0
5,"July 26, 2019"," Sales guy would not let us test drive a vehicle on their lot. Guy said the vehicle is paid for by another customer, but if we were able to out bid that person then we could test drive. Sales guy pretty much stated, my fiancee and I didn't have the money to afford the vehicle, which is not the case at all. We walked away and sales manager came up and wanted to try and make up for it.. negative ghost rider.  Poor experience,  sales guy can't sell cars.. they're definitely biased. Do not go there for business!!",1.0
6,"July 24, 2019",My husband Calvin and I had been all around Humble and wasn't happy until we went to Oarkway Kia. Very nice very honest very clean very professional.  The best Saleman in history is Shaun Collins .Thanks for my 2019 Kia Optima,5.0
7,"July 18, 2019"," Daughter brought car in for recall. Letter stated there would be no charge. David the service advisor told her she needed throttle body cleaning in order to properly do recall. Cost was $120. Local mechanics will do it for $65  he also stated they recommend cleaning every  15,000 to 30,000 miles. Spoke with mechanics and looked online. Most recommend 60,000 or more miles unless having problem. Parkway Kia service is a rip off. Will never come back again.",1.0
8,"May 16, 2019",Very patient and understanding for what I was looking for..Thank you Mr.Dan and Tiffany for helping me out with my 2020 Telluride Kia🤗,5.0
9,"April 30, 2019","I HAVE BEEN GIVEN BAD SERVICE FOR OVER AWHILE  UNTIL MR. MICAH, WHICH HANDLED MY ISSUE AND PROBLEM RIGHT AWAY.  NEED MORE PEOPLE LIKE HIM.  THANKS SO MUCH",4.0
