,Date,Reviews,Ratings
0,"April 16, 2020",The salesman and staff went above and beyond to help me get the car I wanted at a good price. It was very easy going,5.0
1,"March 23, 2020","Outstanding job by the salesman Emil, worked a deal with the sales manager that all parties were ok with.  Both listened and I drove home in a used 2019 Forte.  A special shout out to finance manager Mike Ogaz took the time to not pressure and explain the additional coverages offered to me.  Thanks to all the staff at the dealership.  ",5.0
2,"February 20, 2020","I stopped by service Monday 2/17/20. I didn't have an appointment and I was having a very weird issue. Without missing a beat Donnie and Gary jumped into action to figure out what could be causing this issue. I didn't have time to drink the complimentary TINY bottle of water (they used to be regular size) before Gary was telling me that I was ready to go. I went back inside their lair and they explained the situation to me in terms that I could easily understand. They were both very professional and I truly appreciate the job they did for me. I have to wait for the part to arrive, but that's not a big deal. Premier customer service. Thanks",5.0
3,"January 03, 2020",We just bought a used 2019 Kia Rio. Ryan was an excellent sales person! He was knowledgeable about the vehicle we were looking for! The transition went very smooth. I would definitely recommend him again. ,5.0
4,"July 22, 2019","The salesman, Al Crisco, was extremely professional in trying to help me find the best available options for the type of vehicle I wanted to lease. Al was very courteous and patient, helping me find a lower price on the vehicle I wanted. Definitely recommend his service!",5.0
5,"July 20, 2019","Salesman worked really hard to make sure I was getting the best car for my money. I like buying cars from cowboy Kia, I’m on car number 2 thanks to your great salesmanship. ",5.0
6,"July 12, 2019","We went try to get a new car,it took us maybe an hour and a half,to drive out with the best deal for us,with the assistance of the sale person and the help of the receptionist,we got it and are HAPPY we went to Cowboy Kia,Thanks",5.0
7,"June 08, 2019","I have been waiting to put this review in hopes that they would make things right; however, it has been a month and they have not. Three months ago, I went to Cowboy Kia to purchase a vehicle. After signing my documents, and taking my new truck home, the next day I traded in my other car for my mom to get a new car. Two weeks later, Brian Wilson informed me that I needed to take the truck back or they would file it as a stolen truck. Obviously, I returned the truck. Already extremely upset with Cowboy Kia, I didn't think it could POSSIBLY get worse! .. IT DID!! 3 months later, I get an email from Capital One, that my ""trade in"" was REPOSSESSED!! Tommy Mueller & Brian Wilson did not file the paperwork correctly! I am truly OUTRAGED by this outcome. Let me tell you how it got worse... The car that was supposed to be traded in, before they decided not to do their job correctly, is also in my father's name, so he has been in contact with Mark Compton, the General Manager. After being called a xxxx, and being told that my dad is too poor to file a civil suit, we are sick of their games. So you're wondering WHY we don't take them. Silly for them, you don't have to be RICH to file, it's only $125 and we will be. KHOU has also decided to write a story on this. They had their last chance to make it right, and instead played ""phone tag"" with us instead. THEN played stupid saying they never even took our car. It's okay though, Capital One provided me with documentation on how they TOWED THE CAR FROM COWBOY KIA CONROE! So to you, Brian Wilson, Mark Compton, & Tommy Mueller, YOU HAD YOUR CHANCE.",1.0
8,"June 04, 2019","I had an excellent experience at cowboy Kia thanks to Jonathan, he got me in what I wanted!! He was an awesome sales man I would recommend him to talk to about getting a car!!",5.0
9,"June 01, 2019",This is the second auto I have purchased from the dealership and with Mr. Jonathan Hartsfield . He is always pleasant and always has my best interest . It is assuring to be able to purchase a car without any issues and deal with a salesman who is honest and cares about his customers. I highly recommend the dealer ship and Mr. Barnes. I know that this will be the place where I purchase my next car. The service department is friendly and attentive to what I may need. Overall you cannot go wrong doing business here ,5.0
