,Date,Reviews,Ratings
0,"May 18, 2020","What a joke of a dealership. SALES Manager texted that the new Defender would be in the showroom in 30 minutes. We came to the showroom an hour and a half later, no Defender and the sales Mangler would not show his face. Left word for the General Manager to contact us. No response. Trust me, we will spend our dollars elsewhere. ",2.0
1,"April 06, 2020",Excellent service from Jason Lacher and Donna Watkins at Land Rover Houston North. Door to door VIP service from test driving several cars to servicing our other car. We have purchased many Range Rovers and I would definitely go back to this dealership to purchase my next Range Rover. ,5.0
2,"February 19, 2020","We purchased our 2012 Range Rover Sport from this dealership and have had excellent service each and every time the vehicle has had to go in for a service or repairs.  Al is our service coordinator and he has always been courteous, efficient and gone above and beyond to help with any issues we have had with the vehicle.  We fully intend purchasing another Land Rover.   Present vehicle now at 110,000 miles and running well.",5.0
3,"May 28, 2018","My husband and I just left this dealership. Not only did we not purchase the vehicle we went looking for, no one even acknowledged us. We sat in 3 different vehicles and not one salesperson asked if we were being helped. I  was so disappointed that I told my husband that I was ready to leave. Customer service is terrible!!! I received better service at Car Max. As a matter of fact, 'VIC', a young man that works in the back, offered more assistance than the salesperson. ",1.6
4,"March 20, 2018","Immediately after purchase a used Volvo, my air conditioner did not work.  This was repaired after 4 to 5 visits, and only after taking to Volvo for service.  Now, after less than 9,000 miles driven, the brakes squeak and must be replaced.  Why?  Because the dealership installed ""off market"" brake pads and rotors, not Volvo parts.  The dealership has refused to credit for either parts or labor by Volvo service.  I suggest anyone who is considering service for a car, not Jaguar or Land Rover, go to another dealership service department.   ",2.2
5,"May 12, 2017",We have bought 3 range rovers from this dealership. Sales side is good to work with. The service side is the absolute worst. We will not be buying or servicing another vehicle from them again. We were made to feel like it was our fault that there were recalls. Every one is extremely rude and has no idea how to treat a customer that has spent well over 300k ,1.0
6,"September 23, 2014","On the sales side they were friendly and did go out of their way to sell us the car we wanted.  But that is when the nightmare started.
We have not had a single service visit that didn't take at least one follow up visit.  A good example is the last one about 3 weeks ago. We took our Evoque in for an $800 service.  Within 3 days the service engine light comes on.  To get that fixed it has to be at the dealerships convenience. We are waiting on a call back from the service manager.  But from previous experience he will never call back.  Not the first time this has happened.
On a previous problem, I was even on a conference call with the Service Manager, Sale Manager, etc.  They promised to look into the problem.  I sent them the service records and never heard back. This bad experience goes on and on.
Do not by your Jag or Land Rover from this dealership. ",1.4
7,"July 26, 2014","Went in to purchase a new RRS HSE.  They tried to convince me my trade-in was worth $7K less than Kelly Blue Book trade in value.  Would not negotiate at all on either the new Range Rover Sport (I understand, the RRS's are hot sellers right now) or the trade in, saying it would take $7000 to make my 5 year old car ""like new"".   Sold my car to CarMax the next day outright for $6,000 more than their offer.   That's right.....$6,000 (25%) more! Their explanations were completely nonsensical (""well, we have to buy new wheels for over $1000 each"", etc.).  Guess they never heard about reconditioning wheels.  Most dealers would buy the car, then wholesale it if they did not want to sell it, Surprised they can stay in business.  Since I felt they were trying to rip me off, they won't get any of mine.",1.3
8,"March 12, 2014",What a treat. Even with the construction we felt well taken care of. Sorry BMW. Definitely top recommendation. We will be back for future purchases,4.5
9,"October 31, 2013","I ordered 2 Full size Range Rover HSE a couple of months back with $5K total deposit paid on the spot. Today I got a phone call from a manger at Land Rover Houston North accusing me of exporting the Rovers overseas. He started by asking me how much I make, what kind of car I am driving and talked to me like I couldn’t afford one. I felt very insulted! They treated me like I was a second class citizen! Despite my waiting time and my $5k being held for several months with no interest paid, they just have no right to treat anyone like this! 
 If Land Rover does not want my money, I am glad to take my hard earned money somewhere else. It is that simple. I will never return to any Land Rover dealership, nor spend a dime on Land Rover product. They are just Horrible! 
",1.0
