,Date,Reviews,Ratings
0,"June 10, 2020","This was my 30,000 mile service and I'm on my second Land Rover. Joe Quanguan in the service department always does an outstanding job. He is the main reason I keep coming back!",5.0
1,"May 22, 2020",They always have a great service department with friendly staff Willing to help. I always do my service at this dealership.  Will come back again. ,5.0
2,"May 09, 2020",Great dealership.  My family has bought our last four cars here.  Always great service with great staff.  Would recommend it to anyone looking for a new car. ,5.0
3,"April 26, 2020","Great Sales Person, Finance and young lady setting up the car with me... difficult times, and they are true professionals.  Thank you for all the assistance.  ",5.0
4,"April 22, 2020",I shop at Autobahn Land Rover because of the great service that I have received the last 4 1/2 years from Joe in Service. Joe introduced me to Cody who made the sale of my new 2020 Land Rover Range Rover LWB vehicle the best buying experience thus far. ,5.0
5,"April 12, 2020",Staff was very attentive and responsive through the purchase process.  They conducted a nationwide search to locate the extract vehicle I was searching for.  Highly recommend Autobahn Land Rover.,5.0
6,"March 15, 2020","Cody was responsive and very easy to work with.  He is smart, creative and motivated to work with his customers.  We will start with him every time we need to purchase a vehicle.",4.8
7,"March 13, 2020","Friendly, straightforward service. This was my first visit to a Land Rover dealership. I wasn’t rushed with my service. I would recommend to friends and family! ",5.0
8,"February 12, 2020",Super nice people to deal with. Quick and easy. Cody did a great job explain g vehicle and finding us the one we wanted. Thanks ,5.0
9,"January 30, 2020",Joe Q. always is very professional and very accomodating.  He communicates clearly along the way and makse the overall experience of getting your car serviced as easy and timely as possible.,5.0
10,"January 23, 2020","Made my purchase so easy and great to work with made Everything really delightful . Buying a new car is usually difficult but they made it easy and a place that you want to do business with. 
Called us back every time we had a question and communicated with us had everything ready and were fair with us and made everything ",5.0
11,"January 22, 2020",I really enjoy working with the team at Autobahn Land Rover Service.  They are thorough and communicate throughout the service process.  I continue to use their department over going to other dealerships or mechanics.,5.0
12,"January 12, 2020","My car was scheduled for routine maintenance.  The service advisor (Joe Q) was friendly, knowledgeable and helpful in explaining what to expect and what was repaired; always feel that the team is fair and helpful.",5.0
13,"January 09, 2020","When a dealer has nearly no employee turnover and you buy a car there because you love the feel you get when you walk in, they have accomplished something most dealers don’t even comprehend! I drove from Dallas to buy my car. ",5.0
14,"January 03, 2020",On a whim I stopped by looking for a Velar. I had been to Land Rover of Grapevine but wasn't impressed. Jason Blay promptly found the vehicle I wanted and worked out the details promptly. Everyone I dealt with at Autobahn was knowledgeable and professional.,4.8
15,"December 29, 2019","Had made contact via Jerry Reynolds CarPro vip service.  Damon and I exchanged a few emails regarding leases on Rang Rover Sport an Velar. My wife found what she wanted,  I signed paperwork that night and my wife picked it up next day. Will be bringing a friend back for deal on jaguar. ",5.0
16,"December 16, 2019",Cody was very proficient and informative. Did a good job in finding a vehicle for me. Lise was very professional and helped make the set-up easy. Both good people!,4.8
17,"December 16, 2019","From the moment you arrive the team make you feel welcome, I took a loaner car and the handover was very quick. Through the day and received an update call on progress and was asked about changes to planned work before it was done. The whole team very friendly and helpful, the cost of the service is a little high but you get what you pay for here and the service and quality of work is excellent",4.4
18,"December 12, 2019","As usual the crew at Autobahn Land Rover was great.  My advisor Rick had a loan car ready for me and kept me updated throughout.  I just went in for the 90K service but ended up needing a repair.  I got my car back the next day and checked out with no problem.

Joe Q. is stupendous as always.  I'm not sure if he is service manager but he should be!
",4.6
19,"December 06, 2019",This dealership makes everything so easy! They don’t play games and are fair. This is my 3rd Range Rover bought from this dealership and each time has been a great experience.,5.0
20,"November 13, 2019","The people at the Autobahn Land Rover Service Dept. are very efficient and courteous.  While waiting for my Range Rover to be serviced, I was able to use a very nice loaner vehicle.  Turnaround was very good and I was satisfied in every way with the manner in which my vehicle was taken care of.",5.0
21,"November 04, 2019","This is my 5th Land Rover. I have also had 2 Volvo, 1 BMW & 1 Porsche, all from Autobahn. Of all brands, Land Rover is my choice.",4.8
22,"October 30, 2019",The service advisors are all wonderful to work with and communicate every step of the way! They work hard to please the client and ensure total satisfaction. ,5.0
23,"October 27, 2019","Offered a loaned in exchange for my trade in while waiting for my ""delayed ""delivery of my Evoque. Cant thank Cody jones enough for orchestrating that.",5.0
24,"October 26, 2019","Everything was handled to PERFECTION AND TIMELY!!!!! From the moment I pulled up on the Service Drive until the moment I picked up my car there was flawless communication between me and my Service Representative, Joe Ouanguan. ",5.0
