,Date,Reviews,Ratings
0,"June 27, 2020","Two years later...UPDATE...I was initially pleased with my purchase and the salesman.  Now I want to sell my Landrover Discovery Sport and never purchase one again. Landrover San Antonio lacks repair support for their own vehicle brand. When I purchased my vehicle I wanted a black edition. There were none in stock. The Landrover Service department doesn't paint rims and grills. They use an individual (not a company) that comes to their site and does it for them. I paid Landrover direct for this upgrade. Two years later the paint job started peeling. Landrover said it was not covered under my warranty because they didn't do the work themselves.  An individual they hired did the work and the 2 year warranty he provides is up. Now my panoramic glass roof is cracked. Once again, I'm told that they don't do this work. That they don't work on glass at their service center. They have an individual (not a company) that does this for them. That I would need to get with him to get an estimate to provide to my insurance company.  I had also contacted glass replacement companies (Safelite etc.) in San Antonio.  All but one will replace the panoramic roof but I'd have to purchase it first and have it sent to their shop. This is way to much of a hassle to deal with.  I have a great insurance company (USAA) and purchased a ""Luxury "" brand vehicle but I am the one that is stressed out and doing all the leg work. I've worked in auto insurance and know glass roofs can be problematic.  I'm guessing this is why Landrover doesn't do their own because they do not want to warrant the work.  If I have this individual (not a company) do the work am I going to have the same problem 2 years from now like the paint job?! Extremely unhappy and went from 5 stars to 1 star.",1.0
1,"June 19, 2020",Excellent customer service. They went out of their way to help me and my family get what we needed. I would recommend to everyone and anyone.,5.0
2,"June 15, 2020","We waited over 5 months for a second key?! No staff member ever kept us up to date on the status or reason for the delay, until we called in asking for it on 5 separate occasions?! Each time stating 2 weeks more...but we finally received it! On the other hand, we took the vehicle in for tire service and the staff was outstanding! Greeted us, made us feel welcomed and appreciated, offered us something to drink, and kept us posted and completed our service in a timely manner, without a lengthy stay. The waiting room seating, however, is not reflective of the exclusive branding of Land Rover, the quality nor professional image. It is quite frankly pathetic and insulting! The  sales staff and service staff appeared well dressed and professional, but the care and quality of the waiting area was poorly decorated and poorly furnished with seating that was carelessly considered! We've sat in waiting rooms at a low grade hospital or clinic that looked and felt better?! If customers are sitting around in a waiting room for a dealership that sells Premium Quality Vehicles, expects reasonable consideration to providing a generously honest survey, I would expect that same feeling while waiting for my vehicle to be serviced. Not asking for Margaritas or Wine while you wait, but rather an atmosphere that provides comfortable luxurious seating, at the very least. If the inside of a Land Rover is luxurious with new leather lumbar seating, great surround stereo system, acclimated cooling and or heating and smooth quiet ride, I would expect for that same feeling to be transferred and felt throughout my every experience while visiting the showroom, regardless of waiting to purchase or waiting for service!! Otherwise, you begin the process of a false promise, and focus interest on just selling and moving on...The ""Product"" Sells itself, but the ""Service"" controls the demand!",3.0
3,"April 16, 2020",I stop by after work looking for an LR4 I was told they did have nay in stock but I was shown a a ford explorer. My wife and I both liked the vehicle and while we were considering the purchase we were told it was the lowest priced it town and shown other listings of similar vehicles. We were given the Car fax. The one thing we were not told is that the vehicle had hail damage and that is why the price was so low. it was late in the evening and the vehicle was not all the clean so I never noticed it. The dealer obviously knew about it and that it why it was priced the way it was. I didn't notice the extent of the hail damage until my brother in law who owns a car detail business detailed the car and started pointing all of the damage out. Do not trust this dealership!,2.8
4,"February 24, 2020","Our Sales Rep Jonathan was absolutely amazing and extremely knowledgable about their vehicles and their capabilities. What started off with a simple visit, ended up with my wife and I driving a new car off the lot! We didn't anticipate any purchases prior to our visit, but our vision of owning this luxurious vehicle, with the friendly and respectful character of Jonathan, truly convinced us that our time had arrived after waiting a whole year!!! The Test Drive through the lot obstacle course blew us away and truly sold us on the off road capabilities of the vehicle!!",5.0
5,"February 12, 2020","My ""journey"" with this dealership lasted over thirty days , I know them well ! My sales person was Steven Likens, he was patient with me and of great help in my purchase of this car. I flew into San Antonio to pick the car up, Steven met me at the airport, drove me to the dealership where he had most all the paper work completed. Minimum time required before I was driving off the lot, nice experience. ",5.0
6,"January 24, 2020","Best experience with my Sales Guide, DANA NAPIER! He made sure the process ran smoothly from beginning to end. I recommend Land Rover San Antonio!",5.0
7,"January 19, 2020","I couldn’t have asked for a better buying experience. From the very first text to signing the papers, to a few days after delivery, I’ve been surprised at how much this dealer seems to care about it’s customers. Will definitely be back again even though it’s a 4 hr drive from where I live. I guess the dealers in my area don’t care about the experience as long as they sell cars. Thanks Amanda and the team at LR San Antonio! ",5.0
8,"December 28, 2019",I just finished doing some business with these guys. Nothing but professional. Steve was very courteous and very knowledgeable about our vehicles to choose from. Was a very smooth transaction and highly recommend these guys!,5.0
9,"December 27, 2019","Service department is TERRIBLE! They never pick up the vehicle as scheduled and when you call, nobody knows who did the “scheduling error”. The first time they scheduled my service, they did not show up to pick up my vehicle as scheduled. It took them TWO WEEKS to get the scheduling error straightened out. This time, again they don’t have my vehicle on their schedule. When we advised the service manager, Skyler, that we received a confirmation text, he stated that it was from the Boerne location. I advised him that the text included their dealership address. He had no answer to this “error” since he is “new into the brand”. My vehicle has been unusable for two weeks now and it will most likely take them another two weeks to get the scheduling error fixed. I’m heading elsewhere for my next Range Rover HSE long wheel base. ",1.0
10,"November 17, 2019","Selected vehicle, signed buyers order, filled out credit application as well as disclosures on vehicle's condition. We waited approximately 2hrs and a sales manager came to visit us stating that we couldn't complete the sale due to the time of the afternoon and not being able to get a hold of our bank for a validated payoff of trade in our vehicle. Also preceded to say that if we wanted to accept their higher rate interest we could buy the car that evening. We declined, he then stated that they couldn't hold our vehicle and that they had other appointments. I had already filled out paper work as stated earlier; to include a document that stating that if my payoff was higher that I would be responsible for any delta in dollar amount. We received a call on the way home from Mr. Ed Noriega attempting to apologize for the tactics and then later restating that if the car was there Monday he would sell it to us. I got a video message from the sales rep Dana, stating the car was sold later that evening. My complaint is that because they couldn't sell me at a higher interest rate they sold the car underneath me even after I provided my social security and personal information.  Stay away from this dealer. ",1.0
