,Date,Reviews,Ratings
0,"October 26, 2019",Rusty Vaughn was my sales person and he was awesome! He was very patient with me when I couldn’t decide on colors for the car. I actually had a little hiccup and changed my mind after the vehicle was purchased and Rusty and Zac Hale went above and beyond to make sure I was happy and got what I wanted. Everyone at the dealership is very friendly and the services offered are like no other I’ve experienced at a dealership. Definitely recommend! ,5.0
1,"November 28, 2018","Mike Hagee assisted me with my vehicle.  He is outstanding!  See Mike, he will take care of you.  He stayed in touch via text and there was never a delay.  He’s on top of it, giving you 100%!  Chris Beal got me a better interest rate than my own bank and did it FAST!  No long drawn ou process with Chris.
",5.0
2,"November 18, 2018","Went in to look at leasing a NX300 at the Dominion location. The original salesperson we dealt was great, but when I went in with my wife, he had left the dealership. The next sales person was simply not interested to talk to us about different features available and was very quiet during our entire time. Even the pricing given to us was excruciatingly high. We left with a bad taste and decided to go to the San Pedro location. Incidentally we found a contact as a reference but were told that this location really did not want to deal with INDIANS. This attitude really sucks...such that it made us contact a dealership outside the San Antonio area to lease our next Lexus.  ",1.8
3,"October 14, 2018","We took a look at a vehicle for my daughter, We didn't spend hours for a deal, The great deal was given right off the bat, Jerry our sales person was amazing, understanding, helpful and never pushy, simply the best experience!! thank you for the best service!!",5.0
4,"October 06, 2018","I made my first purchase without my husband. James Garza and Laura Kirby were excellent teachers who mentored me through the process with patience, knowledge and kindness.  I got a car 😊.  The transaction educated me but I acquired two new trustworthy friends!!!  I will ALWAYS return. ",5.0
5,"May 26, 2018","“This dealership is outstanding.  Their main goal is to take care of the customer and make sure the experience is unparalleled.  M. James Garza is an outstanding professional and person.  Took care of everything making for a great buying experience.  Ms. Kirby on financing made wonders.  Even found me a lower rate than my bank.  I was literary out of there in less than one hour. An by the way, James took the car to my workplace to show it to me and drove it home after I purchased it.  Look him out.  He will take care of you”.",5.0
6,"February 11, 2018","WE WERE VERY PLEASED WITH THE EXCELLENT SERVICE WE RECEIVED WITH FRANK JIANG! WE FOUND A CAR, AND THEN CHANGED OUR MINDS ABOUT WHAT WE WANTED. FRANK JIANG WAS VERY PATIENT WITH US AND HELPED US GET A GREAT DEAL ON OUR LEXUS RX350. THE USED CAR SALES MANAGER WAS VERY FRIENDLY AS WELL. I HAVE NEVER EXPERIENCED THIS OUTSTANDING SERVICE AT ANY OTHER DEALERSHIP!! GO SEE FRANK JIANG....EVEN IF IT IS NOT ON THEIR LOT, THEY WILL FIND YOU YOUR NEXT DREAM CAR AT A GREAT PRICE!!",5.0
7,"August 05, 2017",Have purchased 5 Lexus vehicles in 15 years. Vehicle delivered to Lexus Dominion at 7:00 AM. Could not receive response from service advisor until 4:00 PM. Be prepared to wait on them.,1.0
8,"July 06, 2017","I bought 3 cars from a gentleman named Rusty when he was at north park Toyota. To my surprise, when I was shopping for a vehicle for my elderly mother, I found out rusty had moved over to north park Lexus. I bought an RX from him without ever setting foot into the dealership (I'm from Louisiana). Rusty's negotiated price was $2k less than all negotiated prices in Louisiana so I had the car shipped to me. Thanks Rusty! ",5.0
9,"May 29, 2017","Great place, great people, great service!  Bought our last  Lexus from their 'sister' location, and enjoyed it for many years- really sold on the Lexus brand. ",4.8
10,"May 26, 2017","James Garza was extremely helpful, personable and knowledgeable during my buying experience! I highly recommend asking for him I you're interested in purchasing a vehicle at North Park Dominion. ",5.0
11,"May 19, 2017","This dealership is by far the best facility I have visited. Very friendly staff, great atmosphere and great prices on vehicles. Would like to give a special thank you to my salesman Fernando Maldonado for sending me great information and answering any questions I had. I found exactly what I was looking for and I'll be sure to buy my next vehicle from North Park Lexus Dominion.",5.0
12,"May 12, 2017","I do have some concerns that will prevent me from doing business with them and recommending them to friends and family.  Salesman was going to have a red Lexus transferred from the San Pedro location to dominion and said it was ""secured"" for my wife to look at the next day as she wanted to buy that one.  Got a text at 8 pm the night before saying ""sorry, it was sold."" I'm sure dealership's position is that car is fair game with no deposit.  I got that. But, I think it also speaks volumes to customer service and integrity.  Dealer had another car we were interested in. Vehicle was listed as non-smoking. There was an obvious cigarette burn in the headliner and the car smelled like smoke. It's funny how companies that cater to more affluent consumers confuse free Starbucks and snacks as excellent customer service.  Regardless, we ended up buying our car at Austin of Lexus and had a really good experience.
Dr. Moore ",2.0
13,"January 10, 2017",Salesman James and Used car Sales Manager Tre met my every need and beyond. They really did have my back and made sure I was 100% satisfied when I left those doors. Highly recommend!!!      -Isaac R,5.0
14,"December 07, 2016","I purchased a brand new Lexus and discovered it did not fit my needs within a couple of days.     My salesperson Alex Navarrete had the patience of a saint dealing with me!  He spent several hours driving multiple cars until we found the perfect one for me- which was a new GS 350.  I love it!!!  The entire team from Justin, the new car sales manager and Oscar Elizondo in finance was the best experience I have ever had purchasing a car.  I was able to visit with the General Manager, Jesus Rodriguez and he was very helpful in resolving my situation!  I have owned several Mercedes Benz that I purchased in Boerne.  I don't know how that store can survive when you have the staff, service and amazing facility that Lexus at Dominion have to offer!!!",5.0
