,Date,Reviews,Ratings
0,"April 04, 2020","I purchased an ES 350 at the Fort Worth Location.  I presented my auto insurance at the time of purchase and my salesman took the copy of my card and the full policy that I sent to him.  It was documented thoroughly,  My insurance was accepted by them as well as my bank, EECU.  Today I scheduled my service, that is required to maintain my warranty, and was told that I could not have a loaner car because ""they did not work with my insurance carrier"".  My carrier is Old America Casualty Mutual and is a fine and thorough plan.  My salesman had my policy and knew who the carrier was.  Today in conversation with him he was well acquainted with their policy.  I explained that he withheld information from me which truly would have stopped me from purchasing the car.  His knowledge of my carrier and their policy is proof positive that he withheld.  

After speaking to two people a higher person in the company called me, a Kurt something who is the Group Vice President.  He regurgitated the policy and said he wanted a solution,  Here are the inconveniences:  the customer waiting area t the dealership is closed due to CO-VID 9.  I could not get a loaner car. They offered an UBER.  They offered to drive me home and pick me up.  Here is the deal....my father and mother are 80 years old and they both have cancer, my father is one week out of the hospital after having a portion of his lung removed and I am their caregiver.  I cannot risk exposure to this hideous virus.  My parents who surely die if I gave this to them.  Riding in an uninitialized car with an unknown person is too great of a risk.  I was offered an opportunity to sit in a car outside of the service area for 3 hours to wait on my car....no keys though and it is 40* outside.  

So you tell me...is the Sewell pledge of amazing service real?  I know there are many wonderful aspects of this dealership and I appreciate them.  But, I am now faced with having a car for 3-4 years that is not accompanied with the one long term benefit of purchasing from Sewell Lexus.  My work schedule is always hectic and I drive from location to location...I cannot be stymied with pick up, deliver, waiting in parked cars, not going to work, etc.  I am furious and let down.  If my salesman had just tole me about their policy I would have not purchased.  The business manager who I sat with had the same opportunity yet he did not convey that information either.  I will not ever recommend this dealership and I will never buy there again nor from Lexus as they blamed Lexus for this policy.  

Now, my insurance company said that there is no validity to what Sewell claims is the issue.  I have a top level policy and the coverage does convey to rental cars and loaner cars, I verified this with the insurance carrier today and read my entire policy.  I contacted my loan officer at EECU and she said that this was the first they had heard. I asked that they make a complaint to the dealership as they are a preferred lender with Sewell.  She agreed, they cannot be a preferred loan vendor if their customers are not  given the service and allowances that they purchase based on the Sewell Customer Pledge.  

I have driven Mercedes for over 20 years and bought all of them at Park Place Mercedes.  Same insurance and always had extremely excellent service with loaner cars every time.  This is my first and last Lexus and I will go back to Park Place as soon as I am able to trade this car off.  If Sewell had a bone of integrity in them they would buy back this car so I can go elsewhere but that is absolutely not an option from them.

I read the other reviews on this page and up to today I would have agreed 100% with the positive reviews.  My experience was excellent up to the point that I needed and relied on what I was given.

Dean Vinyard
",3.0
1,"November 18, 2019",Doug Have gone above and beyond to make sure the car was up to Lexus Certification Standards. Definitely will be back doing business with this dealership,5.0
2,"December 08, 2018","Today I was treated to the finest experience a customer could ask for. First I telephoned and was happy that a live operator took my call who then transferred me to Derek in parts. I was never placed on hold. Derek was polite, knowledgeable & courteous. Although my request was only for wiper refills, he acted as if I were the most important sale of the day. He had what I needed and set them aside for me. Upon arrival, Derek quickly took my money and even offered to assist me with installing the wiper refills I needed for my sister's 2001 Toyota Highlander. I declined at first saying I could manage, but Derek politely re-insisted on keeping me safe and dry on the service drive. It was bitterly cold and rainy today. I only spent a few dollars but was treated as though I were royalty. Thank you for that. 

",5.0
3,"November 19, 2018","My salesman was ANDREW FLYNN and he was very knowledgeable about the products, courteous, and is still helping me when I need to ask information.  He seems very concerned to get me to the right person  even after the sale.  I have never bought a car before where I felt treated so well.  You have a great person on your staff.  I will probably buy from your company when the need arises and also when some of my friends have a need I will let them know how I feel.  Thanks, Jim Floyd ",5.0
4,"May 29, 2018","I have lived from Chicago to Los Angeles and I have bought many cars during my career. Never have I received the royal treatment I received from Internet sales associate Trong Huynh at Sewell Lexus of Fort Worth. I am currently retired in Tucson, Arizona and found the car of our dreams, a Lexus RC350 F Sport, Infrared in color, at Sewell Lexus of Fort Worth on the internet. I immediately contacted Trong Huynh. Price negotiations were handled professionally and Trong started my pleasurable process toward purchasing the car. I asked him for many additional pictures of the interior & exterior of the car. His response was lightning fast and the pictures were sent via my phone in a matter of a few minutes. The certification summary and carfax for the vehicle were furnished promptly and the financials were secured without delay. Since I live in Tucson, I needed Trong to store the car at the dealership for 2 weeks until we could arrange to fly there and pick it up. Trong said ""No Problem"" and we finalized everything. When we arrived to take delivery, the process was smooth & simple. All aspects of the vehicle were exactly as Trong described. Trong had all of the papers in order and all we had to do was basically sign and drive away! This was the best buying experience I have had from any dealership and sales person since I bought my first new car in 1970! If you are in the market for a new or used Lexus, don't hesitate! Call Trong today! ",5.0
5,"December 27, 2017","This was our first Infiniti QX60 buying experience and we had a wonderful experience with Sewell Fort worth. The salesperson Adam was very helpful and was always quick in responding to our queries. The process was so smooth and straightforward, mostly done over phone/text and no pressure to visit the dealership. We visited only once when we felt like. Adam answered all our questions regarding the feature details of various packages. They did their best to make sure that we get the brand new car at a great price.I would definitely refer them to someone who is looking to buy Infiniti. I hope they do the same if I need their help in services and post sale issues, if any.",5.0
6,"February 12, 2017","The fact that they were willing to go out of their way to make the customer happy even after the purchase was completed made my new 2016 GS 200T purchase a 5-star experience. Special thanks to their New Car Director Corey Hawkins for this. This kind of behavior will make everyone in my family go back to Lexus, and Sewell Lexus at Fort Worth in particular, when they will look for their next car. It was also a pleasure dealing with Brad Coker, Shane Nelson and Courtney Jones during the car buying process. Lexus Customer Service was also very cooperative and willing to help in every way they could. Love my new car!",5.0
7,"February 02, 2017",My first experience at Sewell Lexus Dallas was so positive that I've continued to purchase all my vehicles there and have brought at least 17 friends and family who have also purchased there.  The vehicles are reliable and the service is superior.  I've dealt with Greg Ziemer in sales form more than 15 years now.  Buying a Lexus from Sewell is a positive and enjoyable experience.  ,5.0
8,"November 10, 2016","To be fair, I think that my experience could be the exception to the rule, as everyone I've known who has gone to Sewell (at least the one in Dallas, I cannot speak for Fort Worth) has had nothing but positive things to say.  However, I think my Lexus will be my first and my last vehicle to be purchased from Sewell based on my experience.  
I recently purchased a certified pre-owned lexus from Sewell in Dallas, and after a few weeks the maintenance light came on so I brought it in to the Sewell in Fort Worth since I was in the area for a tune up and car wash.  I dropped off my vehicle and we did a brief walk around, all looked well.  I had some bugs on the windshield, but all in all my new lexus was in good shape.  Part of the tune-up included having their tech drive my car, which is perfectly fine.  That afternoon I came back and picked up my vehicle and as they pulled in from about 40 feet away I saw a deep gash in the hood and my heart sunk.  I pointed it out to the young lady who brought my car around and at first she pretended not to see it, and then she tried to buff it out with a towel.  The gash is about an inch or so long and goes down to the metal.  I spoke to my service manager and he said he felt bad, but there was nothing they could do since it likely occurred when I was driving...which is a bold position to take considering we looked over the vehicle that morning.  He asked if I'd like to have the branch service manager call me in the morning and I said YES.
The next day I did not get a call, and that in and of itself really pissed me off.  It was just a total lack of decency and respect.  So, I called my Insurance and told them what happened to see what they could do for me.  They said they would call the dealership to see if they could come up with some sort of resolution.  My insurance carrier called me 4 times over the course of the next week to let me know that they had been attempting to reach the branch manager with no success.  I decided to call and had more or less the same results.
I ended up emailing my salesman who sold me the car to tell him what happened and see if he could help me out, which he could not.  I also submitted an email via their company website which did the trick.  The manager finally called me and claimed he did not know I wanted him to call me nor had he received any of my insurance company's nor my messages.    The least unkind adjective I could use to describe the manager would be smarmy.  The conversation was smug, condescending, and extraordinarily frustrating.  He did say sorry...but did not apologize, and by that I mean he just ended the conversation with a really insulting and unnecessary ""I'm sorry this didn't go your way"".  I might understand signing off like that if we had a heated argument or I cussed him up and down, but we had a conversation.  I wanted to know how they were going to make this right, and he informed me they had done nothing wrong.  
In my eyes, the onus is on the dealership to spot any damage that is on the vehicle when I drop off the car (which there was none), and then repair any damage which occurs while the vehicle is in their possession.  Then again, I'm just a simple cave man.
Interesting way to do business, considering I'm good for a new car every 2 years, but after this experience I'll do the only thing I can do, shop somewhere else and relay my experience.",1.0
9,"September 27, 2016",So I emailed the store looking for my second Lexus from this location. I get a call within minutes from the GSM by the name of Gina Collins. She not only made sure my second experience was better than the first she walked me and my wife through the entire process to make it extremely easy and seamless! Kudos to Kenny for a great job not only doing a Delivery with my wife but then arranging a follow up visit to answer her addition questions.,5.0
