,Date,Reviews,Ratings
0,"May 19, 2020","Brandon Wiederholt has amazing customer service , we are so thankful we worked with him! Thank you so much for helping us find our new family car!!  
",5.0
1,"May 07, 2020","I recently bought my daughter a Jeep from David Keilson at Sewell Lexus of Dallas.  This was by far the easiest car purchase of my life.  I found the car on the sewell.com site and at that point there were no pictures.  Not to worry,.. When I called... i was fortunate enough to get David on the phone.  When I inquired about the Jeep, I let him know that it was on the site but there were no photos.  Within a few seconds he was in front of the car and I had is smiling face on FaceTime.  David had me thinking I was actually at the dealership looking at the car in person.  I have always heard that Sewell has some of the nicest cars... and boy was it nice.

At a time during this pandemic... I was a little worried to go into the dealership, but that was not a problem.  we had the deal done in no time and signed documents electronically.  Then within a few hours the car was delivered to my house (and they were very cautious with face masks and gloves).

I never really believed that you could actually buy a car without leaving your couch.  But this was actually exactly how it happened.  Who would ever trust a car salesman???  Everything David told me was accurate and the car was nicer than he made it seem.  

Upon David calling me to thank me for the purchase, I could not help but notice the number of awards in his office.  I would imagine there were 75 - 100 awards showing that he was the #1 sales person and he only told me about them after I mentioned how amazing my experience was.  

Well... needless to say, I would highly recommend David for the purchase of any Pre owned vehicle.  His honesty, sincerely and true commitment to making my purchase as easy as possible shows that there really are good people in the car business that you can trust.  

David... I am a customer for Life.

WIlliam",5.0
2,"March 09, 2020","Sewell Lexus offers high-quality services paired with great pricing. All of their sales associates go above and beyond, but I specifically worked with Brookes McIlhenny. He was patient with me during my first time and worked with me to make sure I understood what the options were and what was best for me. He has continued to provide exceptional service even weeks after my purchase, making me feel more confident in the decision I made to go to Sewell. HIGHLY RECOMMEND!",4.8
3,"January 22, 2020","My dad, who was 84, leased and purchased vehicles from this firm for several years. He passed away in early January 2020. I tried calling his representative, the woman that leased him his vehicle to ask her how to proceed. She never returned at least 4 of my phone calls. Finally I spoke to the receptionist and  she was GREAT, she gave me the number to the Lexus Financial  Office. I then called them and they refused to give meany information regarding my dads account.  I sent them my dads death certificate, the VIN# and other documents they requested. The Financial office is being totally ridiculous. They do not return calls and wont give me or any others in my family any information regarding our account.  I found documents that shows my dad paid up front the full payment.  So now I have a vehicle at a residence that we had to vacate all of his possessions, but NO one in The Lexus Dallas office & NO one in the Lexus Financial office will give me any guidance as what to do with this vehicle. we have submitted every document they asked for but they still refuse to acknowledge us!!!! UGH!!!!",1.7
4,"September 03, 2019","These guys are greedy and dishonest people. Literally will try to upsell you every time. First time I took my car there for oil change they did an inspection on my brakes and said they were good but my tires had a nail in it and it needed to be replaced, second time I took my car in 5k miles later at 30k miles for the brake pads to be changed, they said my rotors needed to be replaced if not my car would have to be towed out the dealership. Wouldn’t use this dealership ever again. ",1.6
5,"August 21, 2019","Spent two hours at the dealership, negotiated the sales prices, negotiated trade, agreed on finance rate with the sales person.  Then was told the finance rate is not advertised anywhere and for me to find it.  I walked away, went to Park Place Grapevine same deal, and the same finance rate that was agreed upon that is being advertised by Lexus at the lower rate no issues closed the deal and walked out with a new 2020 NX within an hour.  Having been a Sewell customer for the past 7 years was extremely disappointed with this experience, and being lied to.  If they didn't like the deal that was negotiated they should have just said so rather than lying.  Will never be doing business with a Sewell dealership again.  ",1.0
6,"August 05, 2019","The people at this dealership have to be the most dishonest and greedy people in all of North Texas. I have been trying to assist my 57 year old mother in negotiating a price on a 2019 ES350 Luxury for over two weeks now. Sewell Lexus has made the experience excruciatingly difficult and unfulfilling. They will lie to you and tell you a vehicle is not available for purchase if they cannot expect to rob you blind in broad daylight on the price. For example, a gentleman by the name of Kelvin Newton will ignore every reasonable request, if it doesn't increase his bottom line. I bought my mother on her only day off to test drive a vehicle that actually doesn't exist. Instead of alerting us to this, Mr. Newton went to collude with his manager Ms. Melissa Lauck on how they can extract as many dollars as they can from my mother. 

He then went to goof off in the dealership for an hour and showed us a car with less features for more money. We decided to leave at that point and give another dealer a chance as they were highly unhelpful and thirsting for profit. I decided another day to give Mr. Newton another chance to sell us the correct vehicle. He wonderfully fails to do so and offers to sell us a vehicle with body damage fresh off of the carrier truck. He lies and says he's at the dealership and has viewed the car, when he had just told me he was not working that day moments before. So, I then had some choice words for him about his conduct. He then decided to separate from me and the transaction in an elaborate sob story worthy of an Academy award. Do note that he will still benefit from the transaction if we ever do get to purchase a vehicle.

 His manager Ms. Melissa Lauck is just as much as an actress as he is an actor. She has sat in her gilded office and barked at me for days over the phone and email like she is the district attorney of Dallas. She has delighted in being smarmy, making me and my mother, who’s a pharmacist, feel like idiots. She has said repeatedly with confidence that she can no longer price the vehicle competitively. Just to let people know, dealership salespeople and their managers etc. receive immense monthly bonuses, quarterly bonuses and secret incentives from Lexus to encourage them to make as much money as possible no matter what .They also get a bonus called holdback they receive purely for selling the car. So, they can surely keep the excuses for their greed.

 Don't believe the hype they have created on television with their commercials. Those free car washes, cookies and marble floors in their dealerships are costing you thousands. The people I described are complacent in their ways and they are getting cosigned by their superior Mr. Ross Taylor, who was also very smarmy on the phone explaining this issue. I asked for accessories for the vehicle worth less than $200 to finish the deal, and Mr. Ross Taylor made no concerted effort to be helpful. It explains well how trifling they can be at Sewell Lexus.
",1.5
7,"March 22, 2019","I just leased my second RX350 from Sewell.  When I leased my first one in 2016, I leased it with Daniel Martinez.  I returned in 2019 and again leased it from Daniel Martinez.  Daniel is a very efficient and effective sales agent.  I am impressed with his professionalism, his compassion and his humor.  He makes a highly stressful decision comfortable and easy.  I love the Sewell service!  ",5.0
8,"February 26, 2019","I purchased my first Lexus from Sewell Lexus of Dallas back in 1996 and several more since then. Sewell’s service levels have dropped dramatically over the past 23 years. Our sales person lacked the attention to detail and service level that we’ve received in the past. It was almost as if we were an inconvenience to them??? Sloppy follow up, poor attention to detail, rushed process, missing information etc... Sometimes a dealership can just get too big for their britches!

After my purchase at Sewell I called and left several messages along with e-mails to the General Manager to share my concerns but he couldn’t of cared less. No response or acknowledgement from him whatsoever.

But on a positive note, yesterday I purchased a brand new Lexus from Park Place Lexus in Grapevine, TX (my first time being there) and received the attention and service level expected from a Lexus Dealership.",1.0
9,"December 04, 2018","I bought a used Lexus from the Used Sewell Lexus in Dallas.  It was supposed to have been inspected by their service department and they ensured that I should buy with confidence. After 3000 miles of driving, the car's head gasket blew and this was after I took it in for its routine maintenance at their service department.   Since I didn't buy a warranty, I was out of luck and was quoted 9K for the fix.  They could not do anything for me.   Moral of my story, I will not trust their service department and I should have bought a warranty.  I will not buy another car from them.   ",3.2
