,Date,Reviews,Ratings
0,"May 06, 2020","I was hoping for a great experience. I worked with my salesman over the phone before arriving. We came to an agreement on the price of a new pickup, I confirmed this with him twice. When I arrived I heard “simple mistake” and the price was $5,000 more than discussed. Additionally, there was an $1,100 accessories fee they added to the already inflated price. The last thing, and I knew it would be different (lower), is their online trade in calculator. It is based on Kelly Blue Book values. The salesman stated they don’t use KBB but rather the current auction rates. Fine, but don’t have it on YOUR website as a customer resource if it doesn’t matter. The total price discrepancy was over $10,000. I was prepared to walk out with a new truck. They did not uphold their end of the deal. When I let the sales manager know what happened he just stared at me, zero response. Pretty unethical sales tactics. I do not recommend this dealership",1.2
1,"February 24, 2020","My husband, Mike, and I had fallen in love with an Expedition Max from one of BB’s sister lots, however the sales rep there didn’t seem to have time to talk to us about it, so when we were in the market to by the expedition and a commuter car, we ended up at BB. Matt Mooney and Joe Deleon were great, ended up working out a deal to trade in our 2012 sienna for a ’14 Fusion and the Expedition that we loved. Well after a few days, my husband got the alarm that the engine was hot in the fusion. He put coolant in it and hoped for the best, keeping an eye on it. After 500 miles of driving the new to us Fusion, we had complete engine failure… your worst nightmare buying a used car. We took to it to an auto shop who told us that the coolant was leaking into the engine. We bought this car as is, so we thought we were screwed. My husband decided to take a chance and call Joe at BB and tell him what was going on. Joe immediately asked if he could get the car there and was SO willing to make it right, even tho it had been weeks and we purchased as is. We got it there and put they immediately put it in service, even gave us a loaner car. After my husband and I talked about, we told Matt and Joe that we were just not confident with this car anymore and they completely understood. They ended up swapping out the fusion for a nice ’15 Mazda6 that was an even better value than the fusion. We are SO happy with how they handled everything, they could’ve said ‘sorry, as is!’ but they DIDN’T and worked hard to make us happy and they DID. I will recommend them to everyone I know and will definitely go back in the future for our kids and ourselves. ",4.6
2,"February 13, 2020","Purchased a Ford Transit van from Bluebonnet Used in New Braunfels Tx.  The process was fluid from start to finish. The sales person we worked with was Jerome Richard and our Finance Provider was “Too Tall”.  Customer service is a dying breed in today’s society but this team has it down pat (if your old enough to have heard that before).  

I’m happy.  Easy process.  I highly recommend them. ",5.0
3,"June 19, 2018",Went to buy a car the Carfax was clean! After purchasing noticed inperfections in paint after closer look the whole side had been repaired. I took the car back only then blue bonnet says they found paperwork showing there body shop had done body work and paint. So I returned the car and went to Jordan Ford. I do not recommend blue bonnet! They wouldn’t even come off the price after finding out it had been wrecked and knowingly  tried to cover it up .,1.0
4,"April 12, 2018","I want to personally thank Mr. Eddie Rodriguez for his professional, courteous and patience.  Bought a Used 2006 Ford F150 and the vechicle was spotless, clean and excellent. Mr Rodriguez gave me the run down on used vechicles and as soon as I saw the Truck, I knew it was mine. Eddie  delivered on the promises he made, Car Washes, cover for Bed etc.  It's a good feeling to know that Sales people like Eddie still exist.  On a further note, I live in San Antonio and this is the second vechicle I have bought from BlueBonnet Motors, seems San Antonio still does not match up to the hospitality that strives in New Braunfels, Texas.     Thank you Mr. Eddie Rodriguez ",5.0
5,"April 09, 2018","In the rush to get the next new customer, it's refreshing to see a dealership that values their existing customer as well!  A special thanks to Bill Farris, who always goes out of his way to ensure my wife is taken such great care of when she brings her MKT in for service!",5.0
6,"April 08, 2018",Excellent service on my Ford truck..........thanks for doing such a good job on my truck and I’ll be there the next time I need service,4.6
7,"April 07, 2018","Could not have asked for a more friendly, courteous and knowledgeable sales person as Mr. Eddie Rodriguez.  Excellent service department and waiting area is very comfortable.",4.8
8,"April 07, 2018","My only suggestion is to have cars washed after servicing.  I used North Park for years, and my car was always washed.  I bought my new Lincoln from BB and now use your service for it and my 2008 Sable because BB dealership is closer to my home.


",4.6
9,"April 06, 2018","We took our 2015 Explorer in for recent recall work that needed to be done.. Work was done and car
was ready the next day.",5.0
10,"April 06, 2018","Bill Turner is a very nice and cordial person. The thing that stands out the most, is his immediate response to my emails and text. For me that is HUGE! 
I am proud to be a Bluebonnet customer and a Kalig Auto group supporter. 
You guys to the right thing!!!",5.0
11,"April 06, 2018","Staff was friendly and personable. In-and-out quickly this time around. Not always the case. Ergo, they exceeded my expectations. Under promise and over delivery!",4.6
12,"April 06, 2018","Bob in parts dept is a less than enthusiastic employee. He barely acknowledged his female coworker from service when she needed his assistance on my behalf. He never looked at me. He was in charge of ordering a keyfob since mine no longer worked on my Grand Cherokee. He quoted a price and then was adamant about getting a P.O. from service before ordering, 
It turns out Bob failed to give an estimate for the price of programming the keyfob which brought the quoted price of $165 to $308 instead. 
I explained to service dept what I was quoted and that had I known the real price I would’ve looked into alternatives. Service: female (Michelle?)-the only female in service write ups was wonderful and explained the situation to Danny-service manager. My fee was changed to what I was quoted $165.  I only hope the money comes out of parts NOT service dept. I told Michelle? That I did not want to have to deal with parts again as they have been less than satisfactory while service dept goes out of its way to help.
It’s a shame that parts is not up to par with service dept. Thank you so much to the service team, Michelle, Danny and Manny, they’ve got my back!",5.0
13,"April 06, 2018","After an issue surfaced with my first purchase, Jerome and the folks at Blue Bonnet preowned lot worked hard to find a vehicle that would fit my needs and satify all my request. Honestly, I didn’t know dealers with this level of honestly, true care and concern for their customer even existed. Thanks again, for stepping up and taking care of me.",5.0
14,"April 06, 2018","
A Five Star rating for Excellent Customer Service. Their Sales Team, Service Team and Showroom Manners are Awesome!  Buying a car should be a pleasant experience, and when you are offered every incentive available, besides a dealer discount, then you know you are at the right place to purchase your car. Thanks to the Bluebonnet Team of Antonio, Johan , Kate we found the Explorer my wife wanted and got a Fantastic Deal!  Thank You All , See you again soon!",5.0
15,"April 06, 2018",These people really work at get me a car back on the road and get new taking care of . I always take my car there to get worked on.,5.0
16,"April 06, 2018","The folks at bluebonnet are always in a good mood, and very helpful. I will never trust any other dealership with any future new cars.",5.0
17,"April 06, 2018","After doing some research online for a used truck, I drove to the used truck lot to have a look. I pulled in to the lot and could not find the truck in question, so I asked the only sales agent in sight, Alan Brucks, and he checked the inventory for me. He informed me that it was at the the main lot and offered to show me the truck. After a test drive we headed back to the first lot to discuss purchase. Alan was very courteous and knowledgeable. During our conversation, we discovered that our wives know each other. I did purchase a new (used) truck and am very happy with it. Alan was great and patient when showing my wife how to operate the command center. I would definitely recommend BlueBonnet Ford to everyone. The whole experience was great, fast, friendly, and hassle free. ",4.8
18,"April 05, 2018","The truck should have come with  a jack!  I'm totally disappointed that we had to buy it   That is not right!!!
I will probably look elsewhere for my next  vehicle. ",4.0
19,"April 05, 2018","I have a 2005 F-150 with 288493.4 miles. BBM are the only people who have ever worked on this truck, with out their outstanding maintenance practices i doubt that this truck would have accumulated this many miles and be in the great condition that it is in.",5.0
20,"April 05, 2018","We had purchased prior from Mr Rutherford and he has always been a gentleman, patient, and knowledgeable of his product. Very happy with product and glad we had Mr Rutherford as a salesman.",5.0
21,"April 05, 2018",Susan Startz was amazing!  She listened to what I wanted in a new vehicle; got the exterior color and interior color I wanted within days of my first visit.  I love my new MKX!,5.0
22,"April 05, 2018","Hopefully you have received the review I submitted to Ford shortly after purchasing my Ford F-150. Here is a recap: My wife and I were shopping at the Creekside Shopping Center in New Braunfels.  We stopped at Bluebonnet Ford on the way home to Universal City to look at the new Ford F-150 trucks.  Antonio Martinez approached us within minutes after we arrived to look at the line of F-150's.  I had no intentions about actually buying a F-150 that day and only once before back in 1989 did we buy a vehicle the first day. We were just going to look.  Antonio showed us a number of F-150's but we remained interested in the gold/white F-150 we first looked at.  About 30 minutes later, we were in the office completing the paperwork for our beautiful F-150.  Antonio drove the F-150 to our house in Universal City so my wife would not have to drive in the heavy traffic on Interstate 35.  He then briefed me on al the features of the new truck.  Afterwards, he drove our trade in Expedition back to Bluebonnet.  A few days later, we drove to Gear Stop to have accessoriness we ordered installed, cargo tie downs, sprayed in bed liner, Roll-N-Lock bed cover and chrome fender trim.  We then ordered a fold out step to gain entry into the bed easier.  Antonio accompanied us to Gear Stop.  He provided a truck for us to drive so we would not have to wait for all the accessories to be installed.  We ate lunch and shopped at the Creekside Shopping Center until called to pick up our F-150.  This is our first time at Bluebonnet and we were very pleased with the sales staff and also Chris and his team at Gear Stop.,  Two days after the accessories were installed and after listening to my buying experience, one of my friends bought a Ford Escape at Bluebonnet.  We are very pleased with our Ford F-150 and you would not believe the compliments we have received! ",5.0
23,"April 05, 2018","Our BLUE BONNET FORD experience purchasing a new Commerial vechical for our company was achieved with up most customer servce by Mike Mcquire in sales & Donna in finance.
The Dept was well staffed & the inventory was very selective.
I find Mike to be well rehearsed in answering all our questions & eager to satisfy our wants & needs.
Adding the BLUE BONNET FORD Truck to our fleet was just want our company needed.
Richard Johnson (owner)
Capital Property Mangement  Austin,TX",5.0
24,"April 02, 2018",Got the worst service ever can't call and get an answer bought an extended service contact that covers nothing and nothing but one bad experience after another with this dealership ,1.0
25,"April 01, 2018",Would f150 I wanted on Bluebonnet website. Called and gave stock number to salesman. I was told truck was available. Even though price was listed on there ad they would not honor it. DON'T FOOL YOURSELF INTO THINKING THEY VALUE THE CUSTOMERS,1.0
26,"October 25, 2017","Our Salesman is Bill Turner and we have purchased vehicles from him in the past and will continue to do so in the future.  He is professional, courteous and not at all a high pressure salesman but instead goes the extra mile to make sure YOU are sure this is what you want.  Before deciding on a vehicle he arranged for me to take a loaner for a day to really test out the vehicle.  After eliminating all that I thought I wanted and numerous swap outs we made our purchase.  
I WOULD HIGHLY RECOMMEND NOT ONLY THIS DEALERSHIP BUT PLEASE ASK FOR BILL TURNER!
THANK YOU AGAIN BILL",5.0
27,"October 20, 2017","Very pleasant purchasing, financing, additions, and repair of minor issues on my new Raptor. I have found everyone at Bluebonnet Ford to be courteous, professional and above all willing to help and handle any issue that arises. I will definitely be a return customer!",5.0
28,"June 08, 2017","My sales consultants name was Jeff McCullough, who came highly recommended from a good friend of mine at a sister dealership. I had a great experience working with Jeff. Like many buyers I'm sure, I came into the dealership expecting to buy a used pickup at an affordable price. Jeff mentioned that we should at least take a look at the new trucks and consider the rebates available. I was a bit nervous about buying a new vehicle, and after a couple hours of searching we didn't find one I believed would be in my price range. Jeff was not pushy, he told me to take the day off and he would contact me the following day with more options. The next morning he sent me a link to a brand new F-150 right around my price range that I could not pass up after the rebate. He had it transferred to his dealership immediately so that I could take it for a test drive. I was so happy with the price, the sales professionalism, and the vehicle that I bought it right then, and even added on a few upgrades. I highly recommend Jeff as Ford sales consultant, and greatly appreciated his strong family values. This is my second vehicle to buy from Bluebonnet, and I will definitely take my wife there to buy her next new vehicle when the time comes.",5.0
29,"April 17, 2017","After finding a great deal on a new 2016 Focus Titanium on Bluebonnet's lot, my wife and I pre-qualed ourselves through Capital One. We don't like haggling, or negotiating...and we definitely don't like wasting anyone's time. We visited to the dealer with the intent of buying *only* the specific car we found, *only* at the quoted price, *only* financed through Capital 1, at *only* their terms. The only circumstances under which we would bend would be if a lower rate was found elsewhere, or if we were offered a lower price (no way that was happening, as the car's price was well, well below MSRP). We would not have purchased a vehicle if any of the conditions were not met. Bluebonnet's sales structure, with their no-haggle pricing, and their reasonable fees, accommodated all of our requirements, and made our couple of hours there pleasant.

From the beginning stages of us online shopping, to the end when we drove off the lot, we were helped by Lee Agnello. He was professional, personal, honest, and clear. He wasn't all about the fake smiles, or the fake pleasantries, or the general fake sales attitude that many sales people have. He was exactly what car sales people should be.

When we arrived, he immediately walked us out to the Focus (he had it pulled out up front for us) and gave us a 3 minute sort of walk around. There was a mechanic tinkering with it when we walked out. Because the car had been on the lot for a while (hence the ridiculously low price), he asked the service folks to drop a new battery in it, which was a nice touch. After he was done walking us around it, he offered to take us on a test-drive. We declined, as we wanted to go through numbers first. If the numbers didn't work, there was no sense in us moving any further.

He put together numbers, which were exactly what we wanted. He collected our credit application, and per my instruction, told the finance crew that we were insistent on financing through Cap 1. While they did their work, we went out on a test-drive. When we test drive cars, I prefer just...quiet. I prefer to listen to the car...the engine, the wind noise, the brakes, etc. I try to remove distractions to really ""feel"" the car. Some sales people will yammer on about whatever while on a test-drive. Lee just sat back and let us do our thing. It was great.

When we returned, another gal (I can't recall her name) sat with us for a few minutes while Lee checked on financing. She pitched us some car protection packages...paint sealants, interior sealants, and car detailing. We declined. Based on our past car buying experiences, we expected a bit of pushiness. Nope, the gal just thanked us and called Lee back over. No pressure what-so-ever.

Lee walked us over to finance, where we waited maybe 10 minutes. Our finance rep (Cody) walked us into his office and started going through the final steps. He asked us questions about what we do for a living, other general small talk, and about our driving habits. He was personable, and like Lee, straight-forward. Like I figured, his driving habit questions were leading into pitching us an extended warranty. Before he began, I essentially cut him off (I may have been a bit rude...if any Bluebonnet staff are reading this...sorry about that) and mentioned that we didn't want any additional warranties. He was fine with it, but explained that he was required to talk to us about them. He did, we declined, and Cody moved on.

When Cody mentioned that he final numbers we were given matched what we were pre-qualed for through Cap 1, we were elated. We signed some paperwork, and went on our way. I should mention that our credit application was run through 3 lenders. We would have preferred to stick to only Capital 1, but per Cody, they were required to try at least 3. Anyone reading this should note that this means that there *will be multiple hard pulls of your credit report*...but don't fret. The pulls will all be flagged as auto loan related, and will be identified as a ""cluster pull"" (I believe that's what it's called), which, for scoring purposes, will only count against you as if it was a single pull.

A few extra things to note. 
- On our test drive, I noted a slight steering wheel vibration. When we were done, Lee had the service dept look into it. It turns out that there was a small ""flat spot"" in one of the tires. Like the battery replacement, this was directly related to the fact that the car had been parked on the lot so long. The service crew re-balanced the tires, and did what they could to work out as much of the flat spot as possible. The vibration is about 95% gone, and will hopefully be completely gone the more we drive the car. Lee noted a free tire rotation in our file, which will accompany our complimentary 5,000 mile oil change.
- Make sure you ask them about their 1 year of free car washes (interior and exterior). The offer a year of free washes on every new vehicle they sell. The free washes are from a car wash chain with plenty of convenient locations in San Antonio and the surrounding areas. You could literally get your car washed every day for a year if you like.
- Don't expect to walk into this dealership and negotiate their bottom-line prices. Maybe there is wiggle room, but the way I understand it, their vehicles pricing is what it is. In looking at several other cars online, their pricing is very, very competitive.
- Don't be afraid to say no. No one that we dealt with was even remotely pushy. A simple ""no, thank you"" from me was enough for them to carry on. These folks are not about high-pressure sales tactics.

Overall, it was a SOLID 5 star experience. Everyone at Bluebonnet was great. Big thank yous to the team that helped us make our short day-trip to New Braunfels fruitful. We're looking forward to having our new car serviced at Bluebonnet.",5.0
30,"April 12, 2017","This was the most straightforward and honest dealership of the many that we visited in shopping for a new car. Keith took excellent care of us from beginning to end. The facility is beautifully maintained and was a comfortable place to spend a few hours while finishing up our purchase. We would consider driving from San Antonio for service to enjoy their waiting area- pastries, coffee, oversized leather chairs- world's above the offerings of our closest Ford. We would wholeheartedly recommend Bluebonnet Ford.",5.0
31,"April 12, 2017","Blue Bonnets service is by far the best to date,from Keith the salesman who recognized me and greeted me.Joe the service rep who was very helpful and Joe the body-man who described in detail how he wad going to repair my truck.Jeff the car rental man was very kind,and finally the people who guide you into the service line and kindly greet you.very nice!",5.0
32,"March 29, 2017","The salesmen who help me (Oscar and Josh) were both extremely helpful, friendly, and professional.  They were able to make a great deal on both my trade in and my new purchase, as well as some additional incentives (the price they offered me was actually $800 less than what I was expecting to pay).  Cody, the finance guy, was also very respectful and did not try shove any additional warranties down my throat; he told me about them and their benefits, and that was it.  This is in stark contrast to the borderline extortion that goes on at other dealerships.

I would highly recommend this dealership to anyone out to buy a new car.",5.0
33,"January 23, 2017","We had the pleasure of dealing with an excellent salesman, John Starr.  He clearly represents Bluebonnet Motors.  Highly recommend him for all your sales needs.",5.0
34,"October 29, 2016","Our salesman was NOT pushy and fast talking. He compared vehicle options, price and genuinely helped us find the best truck for our family. It felt like talking to a trusted friend. Our financing was seamless and they gave us a rate of HALF what our credit union offered. Customer service was excellent from the minute we walked in the door. They even have a play area and gaming system for the kids. I loved the whole experience and will buy every vehicle from Bluebonnet Ford.",5.0
