,Date,Reviews,Ratings
0,"November 10, 2019","Excelent service by Jose Juarez, very profesional help me a lot so i can get my 2020 Telluride thanks Jose, if you stop by casa kia ask for Jose Juarez excelent person.",5.0
1,"November 04, 2019",Great experience! I got exactly what I wanted.  Experienced friendly and extremely helpful service all around. Highly recommend this dealer. Extremely happy with my new vehicle.,5.0
2,"October 29, 2019",I had a great experience when I went to casa Kia . My dealer Mr. Pedro worked with me and helped me find a car within my budget. He made sure I was happy with the car and made sure everything went smoothly.,5.0
3,"October 07, 2019","I had never heard of Casa Kia until Saturday when I went looking for a Telluride.  Fortunately for me there was only 1 left.  My sales person Mr. Juan Rivera was the most courteous and knowledgeable person I have met. In addition, I have to acknowledge the finance adviser that finished my contract.  He was also very friendly and courteous.  I give both of your employees a 100.  Keep up the great work and great personality.",5.0
4,"October 04, 2019",Recently purchased a 2019 optima Kia w Marlene and she was amazing. She did wonderful customer service as well as going as far as making sure to close the deal. ,5.0
5,"May 03, 2019","Purchased a 2020 Kia Telluride. The whole process was very professional, low pressure, and very straight forward.  I got what I think was a very fair deal that I feel good about (have definitely had some opposite experiences. All the employees very friendly (and not in a creepy car dealership kind of way) helpful and presently the options clearly and openly. Whole process was easy and straight forward.  Only negative i can present was it took about an hour to get car washed and filled up.",5.0
6,"February 18, 2019",They are liars the finance manager made a deal then came back and said that I never told him about my pay off after the deal was done so overall they tried they tried to take 10K less than the original offer,1.0
7,"January 19, 2019",Billy Gutierrez and Walter went above and beyond to help me get what I needed for my lifestyle and budget! I am forever grateful to you both. ,5.0
8,"January 07, 2019","Andres Molina was very helpful & showed a great knowledge of the car that we bought.  Mr.Molina was very professional and worked with our schedule.

Thank You ",5.0
9,"December 03, 2018",Eugene Perez at Casa Kia offered a great customer service and really a friendly person. Made the car buying experience a great one. Thank You.,5.0
10,"May 08, 2018","I've been a service customer of Casa Ford for many years but, not real impressed by my last visit.  Took my F-350 because the a/c started blowing hot air.  Told the service writer it was working fine when I shut off the truck but when I started it, it was hot air.  So it was something sudden.  They called and said the Freon was low and they serviced that and some other minor incidental repair.  Cost was going to be a little of $300.  Then later, they called and said when they went for a test drive the a/c was blowing hot air again.  Then they found the problem; a bad switch/contact.  The $300 was for nothing; it wasn't low on Freon because it was working fine when I shut off the truck the night before!  People are very friendly and helpful but, I was a little disappointed.",2.8
11,"March 10, 2018",Danny Tercero at Casa Kia helped us get a good deal plus gave us excellent customer service. He really made us feel we were priority .  ,5.0
12,"December 04, 2017","Danny and AngelTercero from Casa Kia, El Paso provided us with an excellent customer service.  They both made car buying experience a present one.  With their great service, we decided to made the purchase that same day.  We'll definitely come back to Danny and Angel for our next vehicle in the future. ",5.0
13,"July 26, 2017","Mike Rivera:  is awesome he takes care of us every time.  This was our 3rd car from Casa Ford.  When I just got off bankruptcy and had no credit for the last 7 years he was able to get us a truck it wasn't a Ford but it met my demands.  I wanted a crew cab and a bed liner and RWD + a small V-8. and white. Also got the wife a Ford Focus.  We kept it for a while but wanted something different and he found it a 2017 Ford Escape.  Now in truck month 2018.  I plan to trade my truck off for the Ford Truck I always wanted.  Plus I found out since I'm a life member of the DAV I also get a Xplan discount also.  So God Bless Mike is one of the Best.  My Dad said once a salesman almost his whole life.  To sell something with a good result, 1. you have to believe in your product, and 2. treat all customers with the same respect you would give yourself.  So I will see Casa Ford in February 2018",5.0
14,"June 26, 2017",Today we had to have our Electric throttle body replaced on our transit. Well Casa Ford in El Paso tried to pull a fast one on us by saying the job takes 2 hours. Needless to say when we were in California we had taken it to a mechanic and the man there removed it cleaned it off really good and did an oil change in less then 45 mins. My husband told the man at Ford that it only takes at the most 20 mins to replace ( 4 screws and very easy to get to) So he was like ok I'll charge you for only 1 hour of labor... I hate the feeling that a business is trying to screw you. Infact the last time we went to this Ford they forgot to put our oil cap back on. Needless to say never again will I ever go to Casa Ford again.,1.8
15,"February 18, 2017","There was an issue in service that spiraled into another issue, they were completely dishonest, do not buy a car from any Casa dealership unsatisfied ",1.2
16,"October 10, 2016",My salesperson was Lisa grafton and she was so awesome and took care of me throughout the whole process. I would definitely send friends directly to her. I'm so glad I meet her and that she got me into my new truck! ,4.8
17,"October 10, 2016","So blessed to do business in sales, Lisa Grafton, and finance, Lucas Grendahl, both Christians, to purchase an MKZ at a price I could afford.  
",5.0
18,"October 03, 2016",Alex helped us out with the purchase of a new 2017 Explorer. We originally went in to see the Lincoln MKX and the Edge. Alex was very patient and allowed me to explore many options. He also got me a no hassle deal once I had decided to go with the explorer. He was thorough and explained all details about the vehicle without pushing. I know I got a great deal at Casa!,5.0
19,"September 30, 2016","Thank You for all the work you have done for me. Yesterday you reminded me why I have always come back to Casa Ford, Great Service and sales agents willing to go above and beyond to help the customer. The financing officer is genuinely looking out for my best interest. We could have closed the deal last night but instead he is waiting for the best offer. 
",5.0
20,"September 29, 2016",Once again Omar Herrera delivered  exceptional service! From the moment we called him looking for the vehicle we wanted up until we decided to purchase. ,5.0
21,"September 28, 2016",Casa Ford with Omar Herrera helped me on getting a new car (Escape 2017) with the color that i was looking for and on the side they helped me with my credit score plus my interest was real low. I am so glad with Casa Ford and Omar Herrera that i being with them since 2003. ,5.0
22,"September 06, 2016","I was in and out in less time that expected.  Eladio was excellent in answering all questions about the vehicle that I was looking for without the added ""fluff"" that other dealers usually throw at customers. This provided a pleasant experience.",5.0
23,"August 29, 2016",Finally a dealership that didn't make me feel uncomfortable about buying a vehicle. Mr. De la Torre is by far one of the best sales reps that I've had the opportunity to encounter. Whatever information I need or test drive he was able to answer every question I had. I would totally recommend casa ford and definitely go find Mr. Onesimo De la Torre. ,5.0
24,"August 27, 2016","my NADA guides book value was $39,000.00 they offered me 29,000.00. I asked if they follow the NADA guides the guy got upset got un and left.
went to shamaley and got $38,000.00 for my trade in.
be aware they will scam you",1.0
25,"August 13, 2016","Our salesman, Michael Brucker, was fantastic. He was very patient and thorough. I never would have considered a Ford, but my husband drives them at work and suggested it. There is a disconnect with what one is promised online and on commercials in regards to monthly payments and the reality of the dealership. All was great except we left after 10:00 pm. Saturday night. The finances were the weakest link. By then, we were exhausted and the explanation of the finances were rushed. Michael Brucker was a 5 in all areas. The manager and finance department were 4s.",4.2
26,"July 31, 2016","I rarely write reviews, but I feel others need to be aware of this business and their unethical business tactics. Me and my wife stopped by Casa Ford on July 9th, 2016. The first salesman that approached me was a guy by the name of Roberto. He was friendly, which we admired, however, I got straight to the point. I told him what specific vehicle I wanted and gave him the VIN number which I got from the website. We haggled with the manager and finally told him I would agree with a higher payment.  In addition, we had a good trade-in and I was giving them a $1,000 down payment. Make a long story short, the deal didn't go through and we walked out without getting a new car. Upon looking at the salesman's paperwork where he started crunching numbers, it turns out they were trying to give us way below what our trade-in vehicle was worth. This was very upsetting, however, I gave them a chance.. The manager would not budge on the specific payment I wanted or the amount I wanted for my trade, even after I agreed to go with a higher payment. Big deal, me and my wife agreed to wait a little bit before looking at another dealership. Here's the main reason for writing this review and the reason I believe, in my opinion, that the dealership screwed up. Less than a week later, guess what? Roberto called my cell phone and asked if I had found a vehicle. I told him no. He said he had good news and to come in the dealership because they had new incentives. He called me my cell phone over the next several days, for a total of 4 times. I finally spoke to him and told him that the manager SHOULD HAVE settled for the specific monthly payment I was asking for. He said, ""I know,"" and said he had new promotions, incentives and discounts. I sounded too good to be true. He continued by saying he was close to closing the deal and getting me into my new car at the right price and payment. In the end, the manager finally contacted me and said he would look into it. I explained to him our current financial situation. He said he would have Roberto call me back. Roberto did not call me back. I figured if he has already harassed me several times, they must be willing to sell me the vehicle on my terms. Instead, Roberto sent me a lame text message which included a high monthly payment I couldn't afford. It was worse than before. First I must say, this is very unprofessional on his part and on the part of Casa Ford. Why not call me back and discuss this matter over the phone? I contacted the dealership and looked at their website and realized that there is NO new incentives or promotions. It was a lie. This dealership should re-train their salesmen and teach them to NOT give customers false hope, empty promises and lie about new incentives and promotions being available and telling customers, ""I have good news"", when in fact they do not. This is misleading and false advertisement. This guy was just desperate to make a sale. The point is, DON'T LIE to customers! Even after I walked out that first day, they called me several times, but never made an effort to get me into the vehicle I wanted. Once a customer walks out, don’t call them back unless you truly have good news and are willing to make a sale on that customer’s terms. If you can't do it, drop it, move on to the next customer. Very disappointing to say the least. Buyer beware.",1.3
27,"July 27, 2016","It was a good experience. Joe Colon is a good guy and it comes across in his dealings. He is the reason I have been doing business with Casa Ford for the past 9 years. While he does use Sales Techniques, I do not feel he is trying to out maneuver me.  Joe and Alex help me accomplish what I needed with the truck deal. Very good and professional TEAM!",5.0
28,"July 27, 2016","This dealership went above and beyond to make sure that I was taken care of. Joe ""Rocky"" Colõn did any and everything that he could to make sure that my wife and I got a truck that would suit our needs. Once my wife and I found the truck we wanted we were turned down for the loan for it by every bank. Mr. Alex Aguirre the F and I manager had to personally call the banks and finally after 5 days got me approved for a loan. Words can not express the hard work of these two individuals. Without them I would have had to get a used truck in mediocre condition and who knows when it would've gave out, but because of them I am now in a brand new Ford F150 with everything under warranty
 I can not thank these gentle man enough. Definitly recommend this dealership with special regards towards Joe and Mr. Alex.",5.0
