,Date,Reviews,Ratings
0,"June 23, 2020",Everyone was very attentive and friendly and helpful during my recent service. The car wash is always a plus. The waiting area is very comfortable and accommodating ,5.0
1,"April 28, 2020","Class Act!!! This dealership, Barrett Jaguar, is clean, from the service department to the front door.  Exceptional in every way! You definitely feel like family at Barrett.",5.0
2,"February 04, 2020","I always receive exceptional service with Barrett motor cars. They go out of they’re way to ensure the best available appointment times with loaners. My car is always taken care of, comes back washes, and the staff is the most professional around. 5 roaring cats of 5 ",5.0
3,"January 31, 2020",First service on my F-Pace and first time visiting this dealership.  Everyone was courteous and friendly and service was exceptionally fast.  They even took a few minutes to walk me through some feature on my vehicle I hadn't used before and updated the software to boot!  Excited for the next 15k mile visit!,5.0
4,"January 27, 2020","Thanks to Bobby Cruz! The entire service department is great...I just have to get used to the new location!
But at least I have a beautiful car to take me there! ",5.0
5,"January 27, 2020","Beautiful new location near Boerne.  Very attentive.  No issues whatsoever after several purchases over the years.  The Jaguar product is now one of the finest ever, with great attention to interior details and high mileage very fast engines.  The V-6 turbo is amazing.  The V-8 even more so, I've had both.  They've captured the past and made it bulletproof under the investment of Tata.  A lesson for all to learn, you can have luxury and power and drive like a spots car in any model.  I would have to move to a Bentley to top my XJL, and then bang for the buck would come in to p[ay.  The SUV model F-Pace runs and handles like an F type, and may be the best looking in its class.  I've had people stop and stare in parking lots and ask about it. 
",4.8
6,"January 27, 2020",I have own my F-Pace now for three years each year I get it serviced. Really like driving this SUV and now planning to trade for a new one. The service department has always been excellent for me.   ,5.0
7,"January 27, 2020","Excellent service, timely and fixed my car issue with no problems.  Had Scheduled appointment and got my car into service area before my allotted time and took very little time to repair my issue",5.0
8,"November 03, 2019",Excellent service over the phone to get internet working in my F-pace. I hadn’t requested previous help and almost gave up hope till I had my car serviced and the tech said he’d have their expert come to my house or call me. The phone call was all I needed. Very helpful. ,5.0
9,"October 26, 2019","Our 2012 Jaguar XF has been at Barrett Jaguar Boerne, Texas for over two weeks now.
The service advisor states they are waiting on a part.for the gas tank. A week earlier the car was repaired
due to gas fumes in the car. The cost was $900.00. Now, (a eek later) we have a problem with the gas guage not reading appropriately. The part on order is a gas tank assembly with a part in it to fix the gas gauage. The cost to us is now $1800.00 when the gas gauge is repaired. Our concern is, will this fix the problem and why was this not identified when the issue with the gas fumes was being repaired? Please advise. 

 ",3.0
10,"September 06, 2019","Excellent Service and Great customer service!!! Everyone in the department were very professional, liked how they greeted 
me  once I pulled up. Fast and easy to find my advisor!",5.0
11,"September 03, 2019",Timo and the finance guy rocked it! I was very pleased with the deal and service. They are great guys!!!!Awesome dealership and service. I loved it all.,5.0
12,"August 17, 2019",The salesman was knowledgeable and listed to watch I was looking for in a Jaguar. He suggested the perfect one!   Then the finance department didn’t haggle. it will as a great experience all the way around. ,5.0
13,"July 30, 2019"," The professionals at Boerne Jaguar take “The Experience “ of purchasing a luxury automobile to a new level.
Jeff Harrel and Dale Haines continue to set the bar of excellence to a level rarely seen in today’s world!",5.0
14,"July 26, 2019",Always impressed!! They exceed service every time!! My service experience was perfect! Thanks to Bobby and his team!! That's why I drive a Jaguar!!,5.0
15,"July 22, 2019","I cannot say enough about Barrett generally and Jason and Rafael in particular. They made my purchase absolutely seamless. I bought a pre-owned entry-level domestic trade-in, but they treated me as if I were there to buy one of their top of the line luxury cars. This is the 6th car I've purchased over the past 25 years and it was the single best experience I've had.",5.0
16,"July 19, 2019",The new location is spectacular and the service department and advisors are very good. They are knowledgeable and responsive and do a great job of keeping you informed of progress on your vehicle. I highly recommend this dealership ,5.0
17,"July 16, 2019","I came back to Land Rover for my third Land Rover.
I chose Boerne because I had excellent, friendly and respectful communication with Land Rover of Boerne’s  sales Manager Dale Haynes from when I bought the third of my five Porsches. 
What I discovered was that Land Rover of Boerne has the most friendly, efficient and without doubt 
EXPERT in the Land  Rover product this side of the Pond, Barry Davis. 
Barrett Motors  should put him out front on their Marketing Program. 
Additionally, the salesman who first greeted me and followed through to the close Andy Osorno
was exceptionally able and was a pleasure with whom to work. 
The paperwork was a breeze in part because of the F&I guy Albert. 
I look forward to a long mutually enjoyable relationship with LAND ROVER  OF BOERNE.  ",5.0
18,"July 15, 2019",Wanted to test drive/ check out the Alfa Romeo and dropped by after a long day of car shopping. Our lease on a Mercedes GLC is up soon and we wanted to see what else was out there. They have an amazing selection of Maserati and Alfa Romeo cars. Maserati is nice if you can afford it but the Alfa Romeo was more our speed. The atmosphere at the dealership was relaxed and welcoming. No high pressure but not snooty either. Jerry met us and asked what we were in looking for. In no time at all we found a car we liked and took a test drive. We didn't buy that day or buy that car but when we came back a few days latter they had one that ticked all out boxes. We had a wonderful experience and love the car.,4.8
19,"July 07, 2019","My wife owns a jaguar fpace and has worked with Bobby for years.  His team is always friendly, professional and courteous.  Always works with you to give a fair price.",5.0
20,"May 28, 2019",The entire service experience was perfect.  My loaner car was ready and the vehicle was serviced on time.  Thanks for a job well done.  I would recommend this dealership to anyone.,5.0
21,"May 19, 2019","I have had continued problems with my 2017 FPace.  The majority of the problems stem from the diesel engine,.  I have had to have the car towed back from Ft Stockton due to broken motor mounts and the last time in was in I was told the turbo charger was not working.  The turbo charger was replaced but I had the check engine light come on before I had gone 30 miles.  I was on my way out of town for an extended road trip so I continued, but was worried the entire time.  I brought the car in again May 7th, and I am currently waiting to see what is the statue of my car as it is still in your facility.",3.2
22,"May 13, 2019","We have bought 1 F-Pace and 2 F-Types from Barrett Motor Cars.  Our salesperson, Jeff Harrel, is super and we could not be happier with our 2020 F-Type R that we just purchased.  What a fun car to drive and it certainly stands out!",5.0
23,"May 06, 2019","Everything was as expected. The only detail that I noticed was that they didn’t put too much attention to the detail when it comes to clean the car. I can get a lot better service at any of the regular car washers. 
Thank you.
Noey",5.0
24,"April 04, 2019","Everybody was great to work with. Very professional and friendly before, during, and after the sale. We will continue to deal with Barrett even though we have a Jaguar Dealer here in Austin.",5.0
25,"March 11, 2019",Service staff at Barrett Jaguar go above and beyond! I love that they have tech people that work on Saturdays! Most dealers only do this type work on weekdays which makes it impossible to get car work done! ,5.0
26,"February 22, 2019","The sales staff and management at Barrett are very friendly, helpful, and professional.  They worked very hard to get me the deal I was looking for.  My Sales Person (Chris Powers) was very sincere and honest.  ",5.0
27,"February 12, 2019","The Barrett team is a great group of people. From the moment I walked in, I felt comfortable. I did not feel pressured into buying anything or being upsold into something I did not want. I also was given an honest price for my car.  Definitely recommend this team for your next car purchase. ",5.0
28,"December 12, 2018",Great service! Honest and reliable. Full auto evaluation and option to select which work you authorize to be done before it’s done.  Than you!!!,5.0
29,"November 09, 2018","I have a crazy schedule, Bobby Cruz works with me every time I need to bring in the Jaguar... he is especially good at scheduling the paint guy to fix my frequent scrapes! Thanks much! Kimberly Gardner",5.0
30,"October 20, 2018",I purchased a 2016 Jaguar type F and brought it in to have the condition checked out. They were very efficient and did a great job providing me a summary and an estimate of what they found.,4.4
31,"August 29, 2018","Even with months of advance notice, Barrett Motors San Antonio was still unable to provide loaner?!?.  Given the high traffic location near I-10, this has got to be a priority customer service concern.  Consequently, the Staff appeared to be overwhelmed and unresponsive. Once I arrived, no one knew anything about my appointment that had been made 2 months ago!  Finally, they agreed to fit me in sometime during the day.  The reason for the confusion?  ""The person who made my appointment no longer worked there.""  How is that MY PROBLEM?!?!  Upon completion of the work on my 2017 F-Pace, I waited for hours without interaction or feedback from the staff.  While walking around the dealership, I spotted my vehicle in the parking lot...with my licence plates and inquired whether it was mine.  After asking 4 different customer service personnel , someone finally agreed that was indeed my car! (in the parking lot out front)  If you have a Jaguar that needs to be serviced, seriously evaluate how far you are from Austin.
Bottom Line:  Barrett Motors San Antonio...Top-Notch Cars / Customer Service...Bottom Shelf",2.6
32,"July 23, 2018","My vehicle was at your shop for almost a month, apparently it was very difficult to determine the problem. My bill was about $9000.00 which was a little difficult for me to believe that a car of that quality and only 88000 miles would require such a major issue. I have other vehicles that have a 100,000miles plus some over 200,000 miles and never had such a major problem.
My wife and I love this vehicle for its comfort and its driving as well as its appearance.
Bobby helped me as much as he could with the cost.
J D  Owen",4.0
