,Date,Reviews,Ratings
0,"December 04, 2019","Our family has bought many cars from World Car, New Braunfels and they have always come through for us. Kelsey Heath helped us today and she was friendly, helpful, and attentive. Also, the gentleman who handled the financial information was very clear and thorough in his explanations. I am sorry that I cannot remember his name. Thanks so much!",5.0
1,"June 20, 2019","I have taken my RX 8 to World Car several times since moving to New Braunfels. Their rotary engine mechanic is first rate, and the service personnel have always been professional and courteous. I would not go anywhere else. ",5.0
2,"May 20, 2019","My car has been in their shop since April 12, in need of a new engine! It took five days before we found out that we needed to approve breakdown process of the old engine and we didn't find this out until my wife called and asked for an update. ON APRIL 30 they began the breakdown process of the engine. The new engine arrived to the dealership last Tuesday and after we have been told repeatedly that we are being prioritize found out today that they needed to order replacement parts!!! No one offered us a rental, we were only ever told ""Kia does not have a loaner program sorry"". It will still be another week and a half before we can get our car back and that's if we are lucky! 

I am tired of all the broken promises of ""We'll call you right back, you're a priority, we want to get you back in your car ASAP."" etc. I am not blind or dumb. I know what is going on here. The dealership is stalling because it is warranty work and the worst case for them is that my wife and I are without car for however long they want to make us. WE DO NOT FEEL LIKE WE ARE CONSIDERED CUSTOMERS OR CARED FOR ONLY THAT WE ARE AN INCONVENIENCE TO THEM!!!!",1.0
3,"July 03, 2017",Worst customer service!  If I didn't love the car I purchased I would have walked away.  The employees were cocky and not helpful.  They were supposed to clean my car all they did was vacuum and wash cup holders were dirty seats had stains on it i for sure thought they would have cleaned it.  I've called several times for copies of our paperwork and never received it they wouldn't give us copies they day of.  They took forevever for everything to be done it should never take 5 hours to buy a car. I wouldn't shop here again.,2.0
4,"May 06, 2017","I purchased a car from this dealership, it was the WORST experience ever! I had a 2014 Mazda3. They called and have me the spiel about getting a new car for the same payments. When i arrived, I looked at some of the new models. I wasn't offered a test drive. I wasn't given any deals, incentives, rebates, or loyalty deals. They have me a higher interest rate and a longer term for my loan. Granted, I was tired from working all day, but I was not treated well at all. When I went back to get car washed because it hasn't been cleaned because it was 10pm when I finished, the sales manager asked how I liked the car. I said I didn't. He didn't know what to say. I explained all the issues I had with the car. He still had nothing to say. I tried to get my old car back but couldn't. The dealership manger was also not helpful. He basically said it's buyers remorse and too bad. 
The only reason I went here was because when I bought my 2014, I was treated with respect, and all my questions were answered, and I felt good about my purchase. I was happy. Apparently, the change in personnel is all about treating people like cattle going to slaughter. Get everything you can while you can. There's no relationship development. 
I would NOT recommend this dealership to ANYONE!",1.0
5,"April 22, 2017","Routine maintenance takes way too long.  Our last visit for oil change and tire rotation took more than three hours.   How long would it take if we had a serious mechanical problem?  I did make an appointment.

We bought the car new last year and they promise free oil and filter changes for I think two years.  That small benefit is not worth dealing with the service department.  If you show them required maintenance in the owners manual they argue about doing the work.  If they do agree to the work you will be waiting a LONG time.

I will pay for oil changes myself and get it done at Legend KIA which is about 10 miles south on IH 35.

The brakes seemed to be grabbing and I took it to Legend KIA.  Very professional, friendly staff and it was finished before the projected time.  

Guess where I will be taking my KIA in the future for maintenance and buying my next KIA?",2.0
6,"March 04, 2017","The most unprofessional car dealership I have ever dealt with. Fake rip off bait & switch style with undertrained younger salesmen  followed by an unbelievably rude attitude demonstrated by sloppy, disheveled, upper level ""manager"" Ronnie Kyle. AVOID THIS PLACE! Just buy online from Costco...hassle free and MUCH better prices.",1.0
7,"March 10, 2016",Sales person was incompetent. We were promised replacement parts that were not ordered. We had them ordered finally. We were informed to come in for a 2nd key we were promise. Who knew it would be a tortuous 2 hour event? I guess our time wasted is of no consequence to them. The incompetence continues. Avoid this dealer. Not worth the hassle.,2.0
8,"May 04, 2015","I bought my Nissan at World Car and had no issues so I thought this would be the same. Went there after Rudy Martinez called me to tell me the car I was interested in had arrived. Went there with the intention to buy but the first thing he said it had not been checked in and prepared for sale so they didn't even let us test drive it. Ok, we started talking price and after they showed me the MSRP I told them I was looking for a better price. They asked me what I wanted to pay and after he presented it to their manager, he came back to let me NO. No counter, no manager, didn't even come out tower with us, so we left. ",1.0
9,"July 28, 2014",We have never had such a bad experience at a dealer!  It's pretty sad that a small car dealer I went to jumped through hoops to get me in the car I wanted. But we went to this place and our salesman didn't even try to help us. Chris just wanted to try to put us in the junk they can't get rid of!  We will never be back!  ,1.0
