,Date,Reviews,Ratings
0,"June 22, 2020","I have been calling to speak to the service department all morning. Every time I call to speak to them, the secretary asked me what my specific problem is. I don’t call the service department to talk to the secretary, I called to talk to service manager. I get asks if my car is in there or getting set up for service, but all I have is a question. The last time I called the woman said something that sounded like,”enjoy holding,” and then put me on hold. Your service department people suck.",1.0
1,"December 11, 2019",I saw a vehicle online and Mo was so helpful to my needs. He waited for me to arrive and let me do a test rive. He was open to other options as well. I highly recommend anybody looking for a new SUV.,5.0
2,"December 11, 2019","I was gifted a Certified Preowned, 2015 Mazda 5.  The Service Department have been wonderful professionals!  They send maintenance reminders email and text.  When my car is there being serviced they send me an video/audio text update on what they are doing to my car and what their assessments  are that I might not know about.  My certified preowned vehicle warranty was worth every penny.  They gave me quality service the entire time.  When my warranty finally expired this year they continued to treat me life a valued customer and offer me affordable prices on repairs.   As a retiree on a fixed income I really appreciate that.  They have taken such good maintenance repair carevon my M5 that it continues to drive like a brand new car! You should buy a Mazda from them and see that I am telling the truth.  Honest, prompt, reliable, affordable  maintenance done by experienced professionals!",5.0
3,"December 08, 2019",My experience with Mazda South was excellent throughout my new car buying experience. Thank you Carlos for going above and beyond while working with me. I am very happy with the service and with my new car! ,5.0
4,"December 06, 2019",New service advisor (Nathan) a great help diagnosing a windshield washer issue and overall great regular service. In and out in less than 3 hours...,5.0
5,"December 03, 2019","Juan Bernal was our salesman, and he was great! I'd recommend this dealership and the Mazda South location to anyone interested in vehicles in Mazda's price range.",5.0
6,"December 02, 2019","An oxymoron, I know. 

Originally from Houston, I drove from Houston to buy from the same salesman. Obviously, I am a repeat customer. I bought a car with Carlos 2 years ago after a wreck that totaled my car. He helped me walk through the process without being pushy and really worked to help me meet my goals. 

I recently came back 2 years later to lease a newer version of my CX-5. Again, he worked to meet my goals in a friendly and kind way. 

Everyone there cares about customer service and really works for you, not just to get your business but to help you make the best possible choice! 

5 stars. Highly recommend.
",5.0
7,"November 25, 2019","As usual, it was all smooth as silk.  I was in and out quickly, and the wait was pleasant with coffee and snacks provided, as well as television.",5.0
8,"November 15, 2019",I took my car to the dealership for its first regular scheduled maintenance.  The dealership makes appointments so a time slot is waiting for you.  The service folks were very courteous.  The dealership has a nice waiting area (not spectacular) but clean with a large choice of coffee and snacks.  Wifi is free and without a password so working while you wait is easy.  ,4.8
9,"November 13, 2019","We looked online first to read model reviews and compare amenities.  Then we visited a few dealers to look at cars in this particular class.  I test-drove the vehicle with the sales specialist at your dealership and liked the car - particularly the interior.  We then talked money, and ultimately I purchased the car.  I wanted more for my BMW trade-in than offered, but overall I suppose the deal we reached is competitive.  Vince was helpful and informative, as was the closing and financing staff at the dealership.  I do not live in Austin, but may have occasional service performed there when visiting my son.",4.8
10,"November 13, 2019","With my less than desirable credit I was hoping the friendly staff at Roger Beasly Mazda could get me into a less expensive used car... unsuccessful. However, Moe & Alfredo got me approved for a 2019 CX3! With no money down- just my trade-in! (which, by the way, they offered me $1000.00 more for than Carmax)! The staff @Roger Beasly are patient and courteous. Never pushing you to buy what they want to sell. They recognize their job is to sell you what you want to buy. The ONLY thing Moe tried to push on me was a glass of water.... which I finally took him up on. lol😂 Thanks for the new ride Moe! 
Dennis Shaffer",5.0
11,"November 06, 2019","They gave me a good price from the start, and with minimal negotiation I drove away completely satisfied with my purchase.  I'll definitely be buying future vehicles from them.",4.8
12,"October 27, 2019","This is the first time I have bought a new car. My last car was a used Mercury (Ford) and I hated how pushy they were. The folks at Mazda were a refreshing experience. There weren't any pushy salesman, and every decision there was to make they let me make on my own terms. Everything was explained in detail. They also worked around my schedule. I thoroughly enjoyed working with the people at Mazda and I can see why three of my closest friends recommended them. I'm so, so very happy with my new car! Best decision I've ever made. I was incredibly nervous going into this because ""you know how car shopping can be"" but this was a painless, enjoyable experience that made me feel good about my decision. I'll be recommending Mazda to anyone shopping for a new car!",5.0
13,"October 22, 2019","From the moment we walked into the dealership door until I drove off the lot the staff was professional, friendly and responsive to our every need. Our salesman, Alfredo greeted us immediately and listened carefully to every thing my husband and I had to say about buying a new car. I am so very happy with my new CX-5 and thankful we decided to stop in yesterday. This is my second Mazda. I was so happy with my first Mazda I knew I wanted another one. All of the staff at Mazda South made it an easy and enjoyable experience. ",5.0
