,Date,Reviews,Ratings
0,"June 22, 2020",I purchased a c x 5 20 17 and January and when I went back thinking that I would buy a 2020 as an update for months later they would only give me less than 6000 for my original used car I find this very disheartening that they would do business this way I will probably never buy another Mazda from this dealership!,2.0
1,"January 18, 2020",The staff here at Hiley Mazda of Hurst is really helpful. Rich Longworth the sales manager who worked with us and helped us finalize our car is a real gem and treats hiss customer both personally and professionally. A real soft spoken person. Service department is courteous. I highly recommend this dealeship.,5.0
2,"May 18, 2019","Emailed every dealer in the area for pricing on a new CX5. Todd at Hiley Hurst beat everyone. We knew exactly what spec and color we wanted and Todd confirmed they had it on the lot. We made an appointment, showed up with our own financing, looked over the car and signed the bill of sale based on the price he had given me over email. No back and forth on the pricing or any games, the price they emailed me was the price I paid. The entire thing couldn't have taken more than an hour, hands down the easiest car buying experience I've ever had.",5.0
3,"April 22, 2019","Best service experience I’ve ever had!  Mark and Gabe made the whole process easy, gave me a fair price, and treated me with outstanding customer service.  I bought my Silverado from this dealership and they have always treated me well.  Will continue to recommend them to friends and family.  Thank you guys!",5.0
4,"January 02, 2019",Criminals worst car buying experience ever. Never again. They lied to me. Insulted. Felt like used car salesman from 1970. Worst car buying experience and I’m 65 yearsol.,1.0
5,"November 14, 2018","Hiley's customer service is radically unstable. Leadership is lax and unethical. Bought a used car from Hiley Mazda Hurst. Before the purchase, I inspected the car and noted the condition of items like new tires and battery. After the car was service I noticed the tires and battery were different and had been replaced with used items. Additionally, I later discovered they did not change the fluids I paid for. This was reported to Mazda USA and I was reimbursed. Following this awful experience, I've found Hiley has loads of social media and Better Business Bureau complaints about similar issues. BEWARE and be on your A-Game if you have to deal with them. Best advice: Go somewhere else- anywhere else. 
",1.2
6,"September 04, 2018","I inquired about a car that was listed online at a GREAT price. Todd informed me the price was a mistake but to stop in to see if we could still work out a deal. I thought the price was too good to be true so I should have known better. Mistakes happen. I wasn’t upset. I still went in, test drove the car and sat down with Todd to talk about numbers. I was up front on what I wanted to pay for the car. He first came with an astronomical number like most sales associates do. But when I began to negotiate Todd became rude and acted as if I was the dumb one for wanting a fair price. He told me I wasn’t serious about purchasing a car and he would get my keys. He not once tried to counter my offer. I spent a total of 10 mins talking to him. Now I do appreciate him not wasting my time but I don’t appreciate him questioning my intent. I would not go to a dealership to waste my own time. Long story short, I purchased the vehicle I wanted from another dealership. And I later found out the vechile I was looking at at Hiley had hail damage. Which they did not inform me of. ",1.0
7,"August 12, 2018","With no appointment, I brought my recently purchased (used) '06 Tribute in for service on a Saturday morning.  Having little service history available, I wanted to have the transmission fluid replaced and have the mechanic check all-around & recommend other-needed services (pro-active preventive maintenance for an older high mileage used vehicle).  My Service Advisor (Gabriel Rodriguez) recommended their 99-point full-circle inspection (great value!), after the inspection was completed, I received both text & email reports on my phone, showing all recommended PM maintenance items with prices!  I was able to select (pick & choose) only the items I wanted performed during the visit, with the updated total cost at the end (makes it so easy!).  Very roomy and comfortable customer waiting area (nice coffee machine), and my Service Advisor provided frequent progress updates.  I selected to have multiple maintenance items performed (Rudy was my Mechanic that day - Excellent Work!).  The Parts Dept was very helpful (along with service) in cutting & programming a new key for my vehicle.  I can't say enough good things about my experience with Hiley Mazda or Hurst/Service Dept!  I now have a verifiable maintenance history for my vehicle, which is always beneficial for warranty & future resale value on any vehicle - from a dealer who will stand behind their work and values their customers!  5-Stars all the way!!!! Excellent!!!!",5.0
8,"May 20, 2018","Coming in from another dealership with a negative experience. Being upfront with the details and being told that he would not treat my experience as that and that he would be transparent. Unfortunately he used my age, gender, and his personal opinion of my credit score as a means to disrespect me. He was later of fact but not on a way that is appreciated, more of a way that he has being rude. Would not recommend.",1.2
9,"May 11, 2018",Clayton and the team at Hiley helped me get the perfect car I was looking for. He made an extra effort to make sure I had all my questions answered and was able to get all the info I needed to make a good decision! Would definitely go back to Hiley if I'm buying or selling!,4.8
