,Date,Reviews,Ratings
0,"February 28, 2020",Will waste your time...  Couldn't find key or car.  Turned out it was a different location. Scheduled appt while they get the car and turns out they sold it while still posting on line its availability at the wrong location.  Incompetence while wasting your time...  ,1.0
1,"February 06, 2020","If you want to buy a car that last more than TWO years ,  DONT buy one from the Roger Beasley Mazda Dealership !!!! You have been WARNED!!I bought a vehicle from the company in late 2017.  I needed to get it service for some work since my engine light came only to find out that went back on the 5 year extended insurance plan that they promise me!!! I even had a contract for it. When I bought the vehicle the dealer (that there SUPPOSE to train)told me I had 5 years from 2017 for the warranty on my car. I told the Roger dealership that and even provided a CONTRACT for it. They told me that they will not honor it and it was five years from the in-service date that they LISTED on the contact. The company FAILED to put a In-service date on my contract, so me (listening to this “trained” dealer) took his word from saying that the warranty last 5 years from the day I purchase the car. Now a Customer who has never been late or missed a payment since I bought the car is now forced to find a different car. Please STAY AWAY from this company. They do not train people properly and lie just to get your money..I would give them zero stars if I could. I will also to post to other sites to warn other customers about their DECEITFUL behavior!!!!",1.0
2,"January 20, 2020","I recently had rodent damaged repaired by Roger Beasley Mazda. The repairs were excellent and the follow up to a few minor issues afterwards were remedied. 

My family has owned Mazdas for a long time and I’m glad to say that I will be carrying on the tradition.",5.0
3,"October 24, 2019","We bought a used 2018 cx3. Car has 30000+ miles. The car is off white color. Bought car for wife. I have driven it 2 times. We bought car on a sunny day. I was in the hanger and happened to notice the car has hail damage all over the roof and a few small dents on the hood. Dents are not noticeable in the sun unless viewed at a certain angle. We went back  to Beasley. Used car mgr met with us. Goes to look at car with several other people. Pics were taken. Another mgr comes in and told us it would be illegal to sell hail damage without disclosure. Car had a car fax and dealer inspection. Said the “master tech” that checked the no damage box was an expert. After saying this he accused us of trying to scam  the dealership. Point blank accused us of lying. Went home and looked for hailstorms in the area in the time span from car bought date and noticed damage date, none anywhere close to us. We have bought 5 vehicles from Beasley. I bought a rx7 in 1982 shortly after I got out of hospital for burn injuries incurred in a helicopter accident while in the Marines. Met Roger Beasley at that time. Nice short visit with him. I also have a rx 7 race car. In summary a teacher and retired disabled vet were called liars by management at Beasley. Yes, I should have looked harder at time of purchase.  I put to much faith in Beasley, carfax, and dealer inspection. Learned big lesson and will not go back or recommend beasley any more. Mike Krizan ",1.0
4,"June 20, 2019","Great auto (CX-5)  Great sales & service staff.  Special kudos to Bob Amerzeen. Very knowledgeable & enormously Helpful.  Simply put,  absolutely the best car buying experience I have ever had.  

",5.0
5,"April 18, 2019","Best car experience that I ever had, thanks to Rusty Stines, Rick Tygret and Josh Settersten, Thank. You for your excellent customer service, great job",5.0
6,"April 10, 2018","Have 3 visits to the service department. Well organized, reasonable wait time, good work and fair prices. I’m on my 3rd Mazda, and have found them to be well made, and reasonably priced. ",4.8
7,"February 24, 2018","It's been almost 2 months since we bought cars for my daughter and I. We worked with Shaun, JC and Brandon in Georgetown. I am so pleased with the top of the line customer service! I will be returning for my next vehicle. Thank You so much guys for the extra hard work! I'm sorry I let my link expire for the survey. Please make sure these guys get credit for the excellent service they provided to us! I've been telling everyone that I've talk to about my new car how awesome you guys are!!!! ",5.0
8,"July 03, 2017","Wally, the salesman, was so knowledgeable about the products and answered all my questions. He made feel comfortable and not like I was being ""sold"" a car. Brian and Taylor helped me in the financial and paperwork portions. This experience was worth my 45 minute drive. Roger Beasley earned my business and I'll very likely return next time I'm in the market. I'm happy with my beautiful new Mazda 6 in the driveway.",5.0
9,"June 07, 2017","I am very value conscious and say CX-5 Sport Automatic advertised for Under $20K. That was Saturday and made it to dealer on Monday.  All gone. However Jason and especially Brian explained extra safety features on the Touring model, and gave me a very good deal that I was comfortable with taking. We both understood neither had time to waste, and the negotiations went smoothly and quickly.  No pressure tactics.  But most pleasant of all was after the sale, there were a couple minor items that Brian took the appropriate actions to make me feel completely satisfied.  Would gladly recommend him to anyone interested in a new vehicle.
",5.0
