,Date,Reviews,Ratings
0,"June 27, 2020",Mona Diaz and financial team make the car-buying experience stress-free and it's done in a short period of time.  Their knowledge and professionalism are exceptional and they treat you much care.    ,5.0
1,"June 25, 2020",We have always had excellent service there. Rafael Leonardi went above taking care of us and finding just what we wanted. will definitely come back.,5.0
2,"June 17, 2020","Monte Ebeling was prompt, courteous and professional.  I was very pleased with the service experience provided.  He was very thorough in explaining the service that was to be conducted and the time it would take to complete it.",5.0
3,"June 01, 2020","Professional, knowledgeable, courteous, compassionate, sincere, family oriented, ability to go outside the box to make it happen, ingenuity, honesty, humility, good real people, genuine smiles",5.0
4,"April 23, 2020","Great service provide a car friendly service.
The service was done in 3 hours which is a short time everything was done perfectly and the car was clean",5.0
5,"April 12, 2020","This is my second car from Alderson and my second one from Aaron. If you are looking for quick, easy, and timely experience go see Aaron Valdez",5.0
6,"March 28, 2020","In this times were social distance is too important I want to share that I had a great experience buying my new car at Alderson European Motors with Mr. Rafael Romay-Leonardi. Friendly, Great Communication and Fast Experience while keeping the distance. ",5.0
7,"February 20, 2020","Monte Ebeling is the MB service advisor.  I had a sticky electrical issue in a 2007 ML320 in a rear SAM.  In a very quick turn around, the technician found the various problems and got me down the road.  All the while, Monte kept me appraised of the situation by text and calls.  Excellent experience with Alderson’s MB!",5.0
8,"February 04, 2020","we would like to give a big thanks to Mona for the fast response on selling us our car. she was helpful sweet and very professional. I know this is a start of a great relationship. We will be purchasing our next vehicle from Alderson and Mona.  Finance mgr was a great help also. he helped us buy all the warranties that were good for us and our budget.  Thank you TEAM ALDERSON.

                                                                                   Rodriguez Family
",5.0
9,"January 28, 2020",I visited the dealership in June and spoke with Daylan Flowers.We were building a house and not ready to make the purchase. He was never pushy but he was happy to help when I was ready to buy.,4.8
10,"January 23, 2020",Rafael was very patient and took very good care of us.  Answered alll our questions fully.   Spent time with us to be sure we understood. I would recommend him to everyone,5.0
11,"January 11, 2020",Monte Ebeling was courteous and proffessional. The service and report were thorough and professionally done. I was given an excellent vehicle to drive. Great experience.,5.0
12,"January 10, 2020","All personnel were courteous and eager to be of assistance. The physical plant was clean and comfortable for the short wait involved. The location is easily accessed for the out-of-towner.Thank you.

Luther C. Martin, D.O.",5.0
13,"December 19, 2019","The service department was knowledgeable , helpful and very friendly. Monte Ebeling showed my wife and I great customer service! We would like to thank your company for superb customer service!!",5.0
14,"November 26, 2019","The Lubbock location has been a pleasure to work with.. 
Professional , experienced and courteous staff in every department..
Went outside the norm to make sure we were satisfied!",5.0
15,"November 12, 2019","Monte Ebeling and his crew were prompt, polite, and professional when I took our GLC 300 in for it’s first maintenance check and oil change. ",5.0
16,"November 03, 2019",Mona help me secure the pick up I was warning. Steve help me Get a good deal on the pick up. Caleb help me understand the financing and got me a great deal. This was the best experience I have ever head by a vehicle.,5.0
17,"November 02, 2019","Monte Ebling provided outstanding service, he was kind, and professional. Great service and an excellent loaner car while service was being performed. Top-notch facilities and customer service!!",5.0
18,"November 01, 2019","As always, Monte Ebling was very kind and professional.  He explained clearly what was wrong with my car and what needed to be repaired.  There was a 38000 mile check up that needed to be done and he explained what that consisted of and how much it would cost.  He helped  me understand clearly so that I could justify it to my husband and to my knowledge everything was done perfectly.  ",5.0
19,"October 25, 2019",Monte Ebeling has been my point of contact for the last 9years and has always been professional and kind in all my dealings with him.  He has been very attentive to any and all my issues or problems until there is a resolution.  ,5.0
