,Date,Reviews,Ratings
0,"June 20, 2020","Alex Adams, service advisor in the service department is amazing!  He always goes above and beyond the call of duty to make sure I'm taken care of.  ",5.0
1,"March 22, 2020",I recently purchased a new GLE 350 at this dealership.  Linda was my sales consultant and she was great!  Very personable but professional.  She spent a lot of time with me and dealt with all my questions and indecision with patience and honesty.  Several other employees and Ali were vey diligent in addressing me and following up. Kristin was my finance manager and she was also a pleasure to work with. I'm very pleased with the overall experience and love my vehicle!,5.0
2,"December 31, 2018","I called ahead to pick up some accessory/ parts for my new vehicle, and was encouraged to come in bc they had them in stock instead of waiting for them to ship.  I drive out there and the dealership is an absolute mess due to their remodeling;  They really should have temporarily shut down or set up someone else because there is no one where to park and the lot is an absolute mess.   Despite calling ahead, my parts were not pulled and ready for my pick up AND, more importantly, I couldn't get anyone to help me at all.  I stood there for 20 minutes without as much as an acknowledgement;  Understandable if they were working with customers but these guys were shooting the breeze & gossiping with each other.  When I told a salesman on my way out that I was angry with the lack of customer service, he shrugged it off but it prompted no other response from him.  Thank you for showing me who you really are Mercedes of Georgetown, I know where I won't be spending even a penny of my money.  ",1.0
3,"December 17, 2018",As of today my car have been in service for 31days was given a loaner car . The loaner car was stolen . I have been out of a car for 6 days .Mercedes is now trying to keep my car in service for ransom stating I need to pay my deductible before they release my car Daniel Riechter stated his manager Dan Warren advised him not to release my car.,1.0
4,"October 28, 2018",We had an issue and Montie the sales manager resolved the issue and helped us get into an amazing Mercedes. We are extremely happy with the Mercedes group in Georgetown. Linda is a great sales person - give them a call!!,5.0
5,"August 12, 2018",It was really great working with Tim Ewald on our new car purchase of the 2018 GLA. We love our new car and appreciate that Tim really worked with us to make this deal happen! ,5.0
6,"March 21, 2018","Amazing, He was the only one that help us, Made our day go by smother with his ability of getting information & removing weight of us. Thanks again. See you soon. I rate his service a 10 star! 
Steve Ziegler. ",5.0
7,"January 15, 2018","Can’t find any auto services better than Mercedes Benz Of Georgetown.  Extremely courteous and professional with all personnels from leaving your car with the attendance, All the way up to the service manager. 
I rate the MB service department as five star",5.0
8,"January 14, 2018","I am very pleased at the professionalism of the team and the organization of the company. I would recommend the company to everyone
I have taken my car to this dealership many times and I am always pleased when I leave.


",5.0
9,"January 13, 2018","I’ve been going to Mercedes Georgetown for nine years, and am always very pleased with the vehicle, and customer services. Thank you, Mercedes Georgetown!!!",4.8
10,"January 08, 2018",It’s always pleasant having my vehicle serviced here. Thanks to all staff at mb Georgetown service department  for great service. keep up the good work!,5.0
11,"January 07, 2018","salesman carlos fuentas was very knowledgeable and informative and went out of his way to make me feel comfortable with things

financing was made easy as well very proffesional",5.0
12,"January 06, 2018",Linda Davis was the best sales woman we have worked with ever. She made the purchase of our new Mercedes so easy. She is a true professional and we highly recommend her to others. ,5.0
13,"January 05, 2018","Adam and Kevin are great people , very nice and fast servic. They are very helpful with any problem and hepedbwith solutions with my suv service",5.0
14,"January 04, 2018","The experience was great. I spent my time making this decision and my sales person was very patient. Actually ""sat a spell"" with the financial advisor and got to know him on a more personal level. Shared growing up stories.",5.0
15,"December 28, 2017","Arron Black- sales consultant who assisted us is been very helpful. He had assisted me and my daughter in every step on purchasing my daughter’s first car. 
I will recommend him as a sales consultant. ",5.0
16,"December 23, 2017","This was my FIRST experience buying a Mercedes. Eric was great! We love car! It’s truly a joyful driving experience! It may be the LAST brand change we make for cars (previous Chevy and Lexus owners). Eric was very accommodating and even gave me EVERYTHING I asked for (including the pen from his desk)!

Thank you Eric! Thank you MBOG! Looking forward to the next time.

",5.0
17,"December 19, 2017",These Guys are Amazing!!! Super professional and just overall awesome individuals!!! Traded in my GLC300 for a G 550.  Love  my new G Wagon as I bought it for my dogs to take back and forth from the city to the country.... I am serous dog lover as well as loving Mercedes Benz! I also have a SL550 that I drive without the dogs.  Thank you Guys for a super experience!,5.0
18,"December 18, 2017","Our sales person Jacob Steger was outstanding. Professional, thorough and caring. He took time to work with us to make sure everything was agreeable and deliverd to our utmost satisfaction. ",5.0
19,"December 17, 2017",We enjoyed  a fair friendly purchasing experience!!! Both the Sales and Finance team exceeded our expectations. I highly recommend Mercedes-Benz of Georgetown for your next vehicle purchase!!,5.0
20,"December 04, 2017",Live the service and sales person. TimEwald was the best. Kept me informed all throughout the delivery process.  Called me several times to make sure everything was running well.,5.0
21,"December 02, 2017","Great service from Wendy completed ahead of schedule and no pressure on getting the loaner back before agreed even though completed ahead of time.
Bought my ML 350 and my son recently bought his C300 from you guys as well....two happy clients.  I travel from Lakeway to have my service work done...that's how good the whole team are!!! ",5.0
22,"November 30, 2017","Great service, on time, professional and my car was spotless. The service team from arrival to departure is friendly. I used a loaner car and it was easy, convenient and ready.",5.0
