,Date,Reviews,Ratings
0,"June 05, 2020","I’ve been dreading buying a car for years. The idea of been bullied all day long, shuffled around to different departments like a ping pong ball to eventually end up furiously signing page after page of documents full of legal jargon without bothering to read the fine print or caring, because I just want to get the xxxx out of there! I dreaded it so much that by the time my trusty Tahoe limped into the dealership, it simply collapsed like a marathon runner after crossing the finish line and whispered, “it’s time, Lisa. I can see the light... Let me go for god’s sake!” 😵😂
I was nervous, hesitant and not looking forward to the day, but I had done my homework and was ready for battle. I knew what vehicle I wanted, was already approved for financing, wrangled up a down payment to show them I was serious and alerted the sales manager I was coming. I had even brought my father with me. A no-nonsense retired Naval Officer. As soon as I entered the Mercedes showroom, an Angel named Elizabeth Speers, welcomed us into her office. She took my hand and gently guided me throughout the process. I kept waiting for something to dampen my day; an evil Mercedes associate to pop out and ruin this pleasant experience, but IT NEVER HAPPENED! 

I stated my case to Elizabeth. She handed me and my father the keys to the Mercedes and told us to go test drive it, while she tried to meet my requests. When we returned a short time later she was ready to do business. Thirty minutes later I was on my way to lunch while the paperwork was being prepared. I next found myself in the finance department. I thought, “this is it. This is going to suck.” I was wrong.
We signed paperwork with movie star gorgeous and very dapper, Jabin Smythe. I signed paperwork and we shared Seinfeld anecdotes and cracked up. It was quick and painless and the icing on the cake was a lower interest rate compared to what I managed with my bank.
I finished my day with my new friend, Elizabeth Speers, whom took the time to show me what all of the buttons and dials did in my beautiful new Mercedes-Benz. That’s when I meet Todd, the Mercedes guru, whom made me feel confident that he’d have my back when issues arise in the future. 
Look, I did my homework prior to setting foot in the dealership. I could’ve gone to OKC, Tulsa, Dallas, but the biggest lure for me is the service they provide after the sale. Whenever I need maintenance, an associate will drive to my home, pick up my car, provide me with a loaner and deliver my serviced vehicle back to my home. I don’t even live in the same state! 🤯🤯🤯 
Patterson has almost every brand of vehicle you could ever want. It’s like a Disney World for car buyers. Do your homework, put some comfortable shoes on and head to Patterson for your next vehicle purchase. And if you see Elizabeth, tell her the Naval Captain and Lisa sent ya! 😊",5.0
1,"March 04, 2020",Chris was extremely knowledgeable and attentive to every detail. The staff was friendly and welcoming. All our expectations were met. The vehicles to choose from were plentiful and the quality was outstanding. ,5.0
2,"May 14, 2019",I recently purchased a Mercedes Benz from Bobby Nunn. He was very kind and was with me through the entire process. No pressure at all. He is honest and did everything he stated prior to the sale. He is the ultimate professional. I would purchase a vehicle from him whenever I need one. I highly recommend this dealership and Bobby Nunn. Ask for him. He will provide you a very positive buying experience. ,5.0
3,"December 29, 2018",Sherman Ray and the entire Patterson team were outstanding helping me through the purchase. I highly recommend them. Very professional and courteous. We drove all the way from Mississippi to pick up my dream car and they couldn't have been more helpful or friendly. Thanks!,5.0
4,"October 29, 2018","Picked up a C-Class from here...

It was painless, simple, straightforward and no B.S.

Was already planning on and getting ready to have a Lexus shipped here from Arizona... (just had to sign the papers)

My ‘lady found this Merc here locally by a chance look to see what was here.

Kinda glad she looked now.

Tyler Fritze is the gentleman whom we dealt with.

A+++ experience!!! Everything about it all...

Have no hesitation saying, if you land on this review and this MB dealership, ask for Tyler.",5.0
5,"May 09, 2017","Elizabeth Speer is still a Star at Mercedes and Patterson auto center.  It was so pleasant to see most of the same people that were there in 2007 when my last Mercedes purschase was. Both Todds I have known for over 20+ years. Everyone was professional  and very friendly with nice smiles. The process was exceptional from start to drive out. Mr Patterson you should be proud of your staff. Thank you all,
Will see you in 3 years or sooner. Glad to buy from local dealer again. ",4.8
6,"March 31, 2017","Bought a new car from Patterson's and they did an excellent job getting the car, financing, and explaining the new car features.  They did a great job!",4.8
7,"March 29, 2017",Elizabeth S. was so helpful and informative! First time leasing a car and we really appreciated her making this an easy experience!  I would recommend driving to Wichita Falls for a great experience!,5.0
8,"March 26, 2017","Elizabeth Speer with Mercedes-Benz was outstanding for us!  We are enjoying our new Mercedes.  It is comfortable, and first class product.  Ms Speer was attentive and informative and guided us through t selection to purchase and lease options.  There was no pressure sales which my wife and I appreciated.  Patterson Mercedes is fortunate to have quality employees to sell such well built cars.",5.0
9,"March 17, 2017","Cameron Moore greeted me, asked a few questions, and went right to work to find what I was looking for. He was personable and very professional. Cameron made my experience very pleasant. I appreciate feeling as though my time is as important to the person I am dealing with as it is to me.  ",4.8
10,"March 13, 2017","First time buying a car and everything went absolutely perfect. I live in Dallas and drove to Wichita Falls due to the great service that Patterson Mercedes provides.  Elizabeth made the car buying experience easy and enjoyable.  I was able to work out the details over the phone and when I showed up to finalize the paperwork, the car was on the showroom floor detailed and ready to go. Whole process took about 30 minutes and everything we discussed was already correctly in the contract.  Couldn't imagine buying a car from another dealer, and would be glad to make the 2 hour drive to work with Elizabeth again. Highly recommend Patterson Mercedes.",5.0
11,"January 29, 2017","Since 1991, I have always been happy with the care and service I have received.  Working with Elizabeth, Todd and Jerry is always fun, educational and exciting.  Elizabeth knows my taste and works hard to find a match for my vehicle needs. Batting 100 so far. Todd is always nice and gracious when showing me new technologies and conveniences in vehicles.  He also makes sure I have comfortable loaners when my car is serviced with no complaint or long wait.  Jerry is the bees knees when it comes to making sure I am always provided timely and excellent service.  He personally sees to my needs and makes sure I am happy with servicing results. Excellent service from Roger and all the technicians.  I have been very happy to continue to work with this team in my car buying experiences.  And it is always nice to see Chris Emory's smile!",4.8
