,Date,Reviews,Ratings
0,"June 08, 2020","Had such a great experience with Kenneth! I can’t recommend him enough! We originally looked into shopping at Clear Lake and after a poor experience, we decided to go out to MB of Sugarland. We walked in with no appointment and ended up purchasing a GLC that day. Kenneth was so helpful and patient during the entire process. He’s so friendly and was excited about the process and was never once pushy. I was nervous for my first buying experience but thanks to Kenneth, it was such a breeze. Highly recommend!",5.0
1,"June 08, 2020","Tammy Stafford the best of the best , 
The best service advisor ever 
She is always kind and polite, very thank you for work with her.",5.0
2,"January 26, 2020","All of  the employees were considerate and offered help at every turn. Pete Sanchez was the salesperson we dealt with. He keeps his word. If he promises you something, he delivers. He knows the mercedes line like the back of his hand and listens to what the customer has to say -- pretty rare at a car dealership. Overall, a very enjoyable experience and we wound up purchasing a certified pre-owned vehicle on the first visit.",5.0
3,"October 06, 2019","Mercedes Benz Sugarland provided me with a great first experience. Pete Sanchez was very kind, encouraging, and patient. He guided me through every step and helped me with the purchase of my first Mercedes. Meeting him was a blessing. ",5.0
4,"July 18, 2019","Approximately four months ago I took my 2013 S550 4Matic (60K miles) into this dealership for a hard jerking during acceleration which caused it to go into ""limp"" mode. Once there the service advisor Cedric Milton proceeded to sell me on other service products other than being concern about the main malfunctioning issue. 

Proving my observation and seemingly rolling the dice for diagnostics Mr. Milton call me to pick up my automobile. When I arrive I paid $2k for regular service maintenance and my warranty company paid for the alleged repair in the amount of $4874.00. Not to my surprise, I had to return to the dealership three days later for the same jerking issue. My vehicle was kept again for over a week while they continued to roll the dice on diagnostics. This time they charged my warranty company $7814.78 I picked my automobile and was only able to drive it for only two months before it started doing the same jerking and stalling. So, after they allowed my warranty to expire without fixing my problem and to prevent them from having to warranty their previous repairs, Mr. Milton now informs me that my original jerking  issue was not what they repaired, but a separate issue which now cost over $9300.00 
 
 It's amazing how they expect me to pay for their incompetence. This is the worst dealership I've ever visited. A clear case of extortion! I'm actually embarrassed to own a mercedes-Benz ",1.2
5,"April 17, 2019",Terra Kurtz went far and beyond with the customer service . She really fought for us to get us the best deal. She is a fighter !! Effective and productive !!,5.0
6,"April 01, 2019","One of the BEST car buying experiences ever. I went in on a Monday at 1:40 pm and was done signing my deal by 3:02 pm!  The sales team consisting of VP Sales Sean S., Sales Assoc. Pete S. Delivery Specialist Sara A. , and Finance Mgr. Anil S.  were the most professional TEAM assembled. After being told by Sandy at MB-Greenway, I was disliked by PJ their Sales Manager, this sales experience was refreshing. They were HONEST, FAIR, PATIENT, and ATTENTIVE of my needs. The Team, answered all questions, explained the process, and kept the buying experience professional. I love my new 2019 vehicle and I would highly recommend MB Sugarland! I was treated with respect and dignity just as the “guys” purchasing their vehicles were treated. As a female, your car buying experience shouldn’t be intimidating or overwhelming; this is the store where all Females are afforded the same car buying experience as Males. Clients won’t endure high-pressure sales tactics, falsehoods about pricing, and condescending dialogue; what you will receive is the type of car shopping experience you deserve. I highly recommend the MB Sugarland Store for all your vehicle purchase needs. For “inner loopers” like me the drive to Sugarland MAY seem like a world away but I can assure you it’s worth the drive. The Store has more of a FAMILY feel to it as opposed to a major corporate car dealership only interested in moving units. Save yourself the hassle and stress of “wondering if you’ll receive a fair deal” at other dealerships and make the drive to Sugarland, it’s worth it. You will be greeted with a smile and you’ll drive away in your new vehicle with an even bigger smile! ",5.0
7,"March 27, 2019","I had a awesome experience here at Mercedes Sugar land. 

Terra Kurtz (Superb Sales Agent)- Very kind patient and understanding. I felt really relax through out the process and making a deal with her.  She's a very professional sales agent!  Thanks again Terra!  

David Lefkowitz (Sales Supervisor)
-Really awesome! I should say very straight forward and willing to understand clients! 

Dawn Villareal  (Finance Dept) 
-She has a positive vibe when you talk to her. She'll explain things very thoroughly  and she wont force you on things that the client doesn't like.
-She's really nice! 

Chris Mazloomi (Delivery Specialist)
-Very detailed when explaining gadgets and  how to use items inside the car.

Before I had a bad experience with car dealerships  but when I met this team in Mercedes-Benz of Sugarland it was a fast relaxing process. 

Again thank you  for the experience!

To all future clients 
Hope you look for these guys!",5.0
8,"March 16, 2019","Today we purchased a GLC from MBSL. The experience was very comfortable and pleasant. The sales rep Pete Sanchez was very professional, friendly and helpful. Most importantly, he was able to apply the incentives to our purchase. Overall, we are very happy about the new car purchase. Thank you Pete.
",5.0
9,"March 05, 2019","Went in for an oil change of my 2016 Sprinter 2500. I believe the name of the service rep was Craig, and, he was an outstanding individual and took care of everything and gave me a discount.

Thank you",5.0
