,Date,Reviews,Ratings
0,"June 25, 2020",Daniel was awesome!!! I’ve bought from Plano dealership as well and I must say Daniel raised the bar for sure ! Great service all around. ,5.0
1,"June 23, 2020",Daniel was great as was the entire team Mercedes McKinney! They went out of  their way to make sure we got the exact car we were looking for with every we wanted!! A great experience ,5.0
2,"June 20, 2020","Daniel has treated us like family. I am on my 2nd new 2020 G Wagon and my son has bought 2 AMG’s including a G 63 along with Sprinter Vans. We would not go to anyone but Daniel. He has a customer for life. Ask for Daniel when you go in. His level of respect, attitude and knowledge is like no other and much appreciated.",5.0
3,"June 20, 2020",Excellent place to do business. Daniel was very helpful and patient with us. He's not at all pushy and gave us all the necessary information and helped us make our decision easier. Rest of the staff was very pleasant and helpful as well. Will definitely buy my next vehicle from Daniel. ,5.0
4,"June 18, 2020","D. ALI, and the staff was amazing from beginning to the end! Im so happy to have found a dealership I can grown with. If you're in the market I encourage you to go check them out! Tell the Ali Sent you.",5.0
5,"June 16, 2020",If you decide to go to Mercedes of Mckinney I highly suggest Moises Perez. 11/10 great service! Went the extra mile for my 16th birthday! ,5.0
6,"June 14, 2020",Daniel has been great and professional throughout the car buying process. He is very knowledgeable and helped us select the right features for our custom build and kept us updated on the build and delivery dates. We loved the car when it finally came out. Thanks to Daniel and the team for helping with the contact less closing of the deal and delivery of the car.,5.0
7,"June 14, 2020",Daniel & Ermin were beyond knowledgeable & honest!  This was my third vehicle I purchased from Mercedes McKinney & this transaction was super smooth!  I highly recommend them!,5.0
8,"June 12, 2020","Let,s be honest, buying a car is not a fun experience.  At least for me.  I absolutely hate it. I spent several days and weekends trying to find a good, reliable, and affordable car for my oldest son.   I was not very confident I was going to be able to accomplish this task without enlisting the help of my husband.  And then, I met Daniel Ali.  Daniel was honest and knowledgable when answering my questions, and put me first over other customers.  Daniel made our experience pleasant, seamless, and quick.  No games or slick talk.   If you need to purchase a car, call Daniel!  We are so pleased and definitely recommend working with him.  Daniel, I look forward to buying my next car from you!",5.0
9,"June 12, 2020","Sadly, I didn’t buy my Mercedes from MB of McKinney, but I sure wish I did!!! 

I went in with my fiancé to purchase her MB and immediately I felt the vibes and warm waves from the extremely friendly crew. I made my way to and through every vehicle on the showroom floor. I knew after a short discussion with Daniel Ali that my fiancé would take care of her on this purchase. We enjoyed the time at the dealer so much that we are making it a mission to refer friends and family to your dealership. And on to my friend Tarah Land who I enjoyed talking to so much that I had to... I mean had to buy something. I purchased a service warranty plan for my Mercedes. Thanks Daniel!! Thanks Tarah!! We now have matching Mercedes and we own you all a great deal of appreciation! Thank you!!",5.0
