,Date,Reviews,Ratings
0,"April 24, 2020","I recently had a very good experience car shopping with the ed hicks dealership.  Specifically, CF Ebelt was a wonderful representative and coordinator for my shopping.  I went through a long process and he was there at every step to answer my questions honestly and guide me the right direction.  He was honest and forthright and I never felt pushed or deceived.

The dealership in general was helpful in every step of a previous purchase and in my recent experiences.  I would go back there in a second and particularly deal with CF.

",5.0
1,"April 12, 2020",In my 60+ years of buying vshicles--CF was the best I've worked with.  A real asset to your dealership.  The fact I  didn't have to leave my property during this time of crisis was a real plus.,4.2
2,"February 25, 2020","CF was excellent to work with.  He was professional, courteous and creative in helping me with my trade-in and new vehicle purchase.  He’s not a pushy salesman, and listens to your needs.  I would recommend CF if you are interested in buying a Mercedes.  ",5.0
3,"February 19, 2020","It's bad enough to have to pay $349.44 for a B service  (oil, filter. change brake fluid) then good old Ed Hicks has to stick it to you with $6.00 windshield washer fluid and $71.60 wiper blade replacement charges. How does a dealer justify $71.60 for wiper blades and replacement on top of a $250.00 B service  labor charge ??",2.0
4,"December 17, 2019","CF was amazing to work with.  He listened to what I wanted and made it happen.  There was never any pressure to make a purchase.  Also, every single person that I encountered during my visits to the dealership were friendly.  Before I drove off in my new vehicle, CF made sure I knew how to work all of the features and that I could call him anytime for help.  ",5.0
5,"October 11, 2019"," Excellent sales team! CF was easily accessible, professional, friendly, knowledgeable and expedited the service to purchase a vehicle in a timely manner. I would definitely purchase a vehicle through this team again.",5.0
6,"June 24, 2019",CF Ebelt provided Excellent service my daughter and I have both bought Mercedes from CF. His attention to detail is exemplary. Thanks CF will be back,5.0
7,"June 07, 2019","By far, the best experience I’ve had purchasing a vehicle. Every department will treat the purchase as if they were the ones purchasing the vehicle and will give you all the information you will need. However, One of the best part of the experience was my salesman C.F Ebelt. He made me feel like I was part of his family. He ensured that I not only picked my vehicle based on looks and my budget but also the one with the most safety features since I have young children. In addition, he was able to ensured I stayed within my budget and didn’t pressure me to look outside that. Prior to me leaving the dealership, he helped me completed all my vehicles settings such as apple car play and Bluetooth. After leaving he followed up with a text to not hesitate to reach out to him if I need help with anything regarding my new vehicle. Which, reassured me that I had made the right purchase from the right person. Once again, thank you C.F. 😊",5.0
8,"March 25, 2019","My experience with Ed Hicks was a very pleasant one. Upon arriving I was greeted courteously. Sales person Mason Gist allowed time for me to really weigh my options without being pushy. We even went for a second test drive where I requested a bumpy road and he knew just where to take us. Mason was also very straight forward about answering my questions about the vehicle itself as well as the finance part. His patience throughout the entire sale helped to not have the feeling of a pushy salesman.  One concern I had was the cleanliness of the vehicle since I did purchase a used one so Mason took it upon himself to speak for me with Art, the detailing guy at Ed Hicks to remind him a few times of what I the customer was expecting. As far as the paper work is concerned it was fairly easy as well. P. Mathisen showed her professionalism throughout my time there.  My experience with Ed Hicks and staff was awesome and their facilitiy was clean and well organized . I wish sales men were more like Mason Gist.  Not pushy and caring.",5.0
9,"December 16, 2018",I felt no pressure to purchase a vehicle right then and there. Everyone was super friendly and patient and worked every deal possible to make me comfortable into trading in my vehicle. This is one of the first times I didn’t feel rushed or even uneasy about purchasing a vehicle. I will definitely refer anyone who’s looking for a Vehicle to CF. ,5.0
10,"October 18, 2018","C. F. Ebelt is a Great Sales Person. He was
Very Patient and Knowledgeable. 
I will recommend EdHicks to my friends and
Family...
Hank Ellsworth ",5.0
11,"September 22, 2018","Great guy. Went in thinking  the deal wasn’t going to happen. Thanks to CF he made it all happen. I would definitely recommend him to my friends, family, and other customers.",5.0
12,"September 05, 2018","Great guy. Very patient and honest. Explained every detail to the T. CF made it fun. Even checked up on me later by phone .                    
                      THANKS",4.8
13,"August 20, 2018",C.F EBelt is the best! Made my experience at Mercedes stress free and so easy!! He will  definitely be referred to all my friends and family!!,5.0
14,"May 21, 2018","I never look forward to buying a car, CF and Gerald both went out of their way to allow me the opportunity to explore all my options.  It was a pleasure to work with them both and I will highly recommend them to others.",4.8
15,"May 11, 2018",The service was great! It truly felt like the dealer wanted us to feel 100% sure on what we were getting (a 2018 GLC 300). I absolutely love this car and will not be hesitant to purchase another Mercedes in the future!,5.0
16,"April 14, 2018","I Have had experiences buying cars with this dealership and others, But have never had such a fast, pleasant experience getting this car with C.F. 
C.F. went above and beyond and got us just what we needed. Would recommend him 100%",5.0
17,"April 03, 2018",This has been the easiest experience in purchasing a vehicle.there was never any pressure from the sale person( CF Ebelt ). On the contrary C F was very instrumental in helping us make that final decision of  purchasing the  the SUV  after driving a sedan all these years.  Especially in making the decision between the GLA and the GLC  by allowing us to test drive the two several times  as well as explaining the features between the two.  The greatest PLUS for CF was the challenge we placed on him in locating the  color and the safety package  Dorothy requested. CF hit  a HOME RUN for us.  Thanks to the Hicks Family for having   such a great professional sales person on your team.Dorothy and  Henry,5.0
18,"February 16, 2018","Best experience I have ever had buying a car!  Mr. Ebelt made it a great experience!  We root for the same high school and pro football teams!!!!  I had no intentions of buying a Mercedes but after he let me drive it I was hooked!  Also, Mr Enelt has been a great help to me in learning how all the gadgets!!  Thank you, Mercedes and Mr Ebelt for making my 70th Birthday one to remember!!!!!",5.0
