,Date,Reviews,Ratings
0,"June 27, 2020",This dealership has earned the trust of William and Shirley Hornfeck. We have used this Service Department on several occasions and each time we have been thoroughly satisfied.,4.6
1,"June 26, 2020",We worked with Kevin Sawyer. He did a Great job. Attentive and responsive. Enjoyed working with him.  Everything went smoothly. We had a great experience. ,5.0
2,"June 26, 2020","have been a customer for over 17 yrs.  so disappointed with mb.  first purchase in '03, was 2000 c280.  i actually spent more on repairs than the price of the car.  once totally lost brakes on mopac.  bought second c230 10 yrs ago.  this place so overpriced for repairs.  simply unjustifiable.   spent $2080 yesterday --- did not even wash/clean my car---its a pandemic folks. 

have some compassion ---- give folks a break sometimes.   it'll pay off for you to keep customers, even ones that are not wealthy",2.0
3,"June 23, 2020","Wade is the best!  When your Mercedes needs serviced or repaired, go see Wade.  He thorough when explaining what your car needs, but really easy going. ",5.0
4,"June 21, 2020","The team was very responsive, helpful and thorough when I had to drop by on my way to Fredericksburg from Houston.  Unfortunately the a/c wasn’t working on my brand new vehicle (purchased in Houston) and 90 degree outside temperatures made it a very uncomfortable trip.   They gave me a loaner and we were able to continue our journey in comfort while my car was inspected and fixed.  Thank you to Wade and the team. ",5.0
5,"June 20, 2020",Completely satisfied with the service department. Wade was so patient with us and kept us updated along the way. Really appreciate all of his assistance. ,5.0
6,"June 19, 2020",Luis is great! Service at this dealership is always comprehensive and hassle free. The employees communicate clearly and respectuflly and conduct themselves with the utmost professionalism. ,5.0
7,"June 18, 2020","The customer service from Eddie Aguilar is always excellent and above all others. However, the parts that were replaced in my car (hitch of my tailgate) were ridiculously expensive and came with no warranty.",4.0
8,"June 18, 2020",Service was handled very safely and efficiently and all was taken care of quickly. I appreciated having my car ready for pick up when I arrived.,5.0
9,"June 13, 2020",CJ is great! He fixed my sunroof quickly and it is working like it is brand new. Very professional and very good at communicating the status.,5.0
10,"June 11, 2020","Generally speaking, purchasing a new car, is a stressful experience, taking many hours.  I must say, at 79 years old, and buying countless vehicles, this was the most fun-filled experience, of all.  It was cordial, professional, informative, kind, and filled with laughter.  The associates, with which were concerned, with the sale, treated me like ""family"" and made my buying experience, enjoyable.  I have never felt so happy, spending so  many thousands of dollars.  ",4.8
11,"June 10, 2020",Just great communication and appreciate the fast in-and-out experience with regard to the service.  And as always I love Rob Burge - will never buy from anyone but him.,5.0
12,"June 09, 2020",Home pickup and delivery for annual service is very important and valuable to me because of my age and the pandemic. Completely consistent with “The best or nothing!”,5.0
13,"June 06, 2020","It is simply a nice experience. Brian, in service could not be better! He is always super friendly, professional and beyond accommodating. I felt safe in regards to Covid-19 as well. The entire team is going above and beyond to insure their customers health and safety. Highly recommended! A solid 10",5.0
14,"June 06, 2020","It is a pleasure bringing my car here to be serviced. On line appointment is easy to use, great communication, drop off and pick up is a breeze. No where else I will bring my car.  I have been taking it here for five years for general check ups and oil change. ",5.0
15,"June 05, 2020","As always excelent service, my battery was acting up and they had that fixed in under one hour
I got a brand new  baterry,!!!
Thank You!!!!

",5.0
16,"June 05, 2020","Mercedes-Benz of Austin is the best car dealership.  Every time I have visited, from sales to maintenance, the staff are professional, courteous and knowledgeable.  I will buy my next vehicle from Mercedes-Benz of Austin.",5.0
17,"June 05, 2020","Overall, the service was good.  Wish the Service Manager reached out to provide the status of the service which lasted over several dates.  Staff is busy, yet customer concerns should be addressed above and beyond the call of duty!    ",4.6
18,"June 04, 2020",Quality service with excellent explanation of services performed and the recommendations for future service.  Greatly appreciate my car being detailed and cleaned after the service.  ,5.0
19,"June 04, 2020",I love this dealership. Every person I speak with is always so helpful and nice. I have taken my car for every service or issue and wouldn't think of taking it anywhere else. ,5.0
20,"June 03, 2020",Nolan took very good care of me.   I waited for my car and it was the right amount of time that was initially said.  Replaced wiper blades at no charge which was a plus!  Thank you,5.0
21,"June 02, 2020",Stacey is friendly and knowledgeable. She provided excellent customer service. We were pleased with our demonstration of product on the floor and the research to find just the right fit for us.,5.0
22,"June 02, 2020",Every individual I encountered was friendly and professional.  The facility was clean and a wonderful site ( with the exception of the on going construction across the street).,5.0
23,"June 02, 2020",Easiest buying experience I’ve ever had. I worked with Chris and was in and out within two hours. I’ll definitely buy there again. ,5.0
24,"May 31, 2020",Amazing customer service.  My sales representative was fabulous at understanding my needs and getting me the right car. This is the place to buy   Very happy customer.   ,5.0
25,"May 29, 2020","Service is mediocre. This dealership is not as good as Mercedes of Boerne.
For the brand offered the service doesn’t match.
I doubt I will buy here again ",4.0
26,"May 28, 2020","This is our fifth auto we have purchased in this dealership.  WC has not let us down and with Nick their Service Director, it is a win-win!  Highly recommend this team!",4.8
27,"May 27, 2020","I would recommend Wade Wells because he is so professional and a very good service advisor always nice and polite with a friendly attitude...,! Awesome guy !",5.0
28,"May 27, 2020","Very efficient and professional service was rendered. I appreciate the way in which my vehicle was taken punctually, the explanation of what was done, and the quality of the loaner l was given.",5.0
29,"May 25, 2020","Mercedes of Austin has consistently provided me with excellent customer service over several years, in both sales and service. They are professional, honest and straightforward. ",5.0
30,"May 21, 2020","The salesperson and staff were very helpful, and the overall experience made our purchasing a vehicle very easy.  I would definitely recommend Mercedes Benz to others for buying a vehicle.  ",4.8
31,"May 21, 2020",Just needed an inspection. I received an appointment very quickly and took care of replacing a needed battery as well that I didn't realize was needed.,4.6
32,"May 20, 2020",The valet pickup and drop off worked great. I asked for a quote on a trade in but haven’t received yet. Jesse was great. ,5.0
33,"May 10, 2020",My car was in for its 9 year regular service.  Someone in the shop did me a huge solid without being asked and pushed out 2 dimples in the front lower facia (right and left) on my C300.  Kudos to all.,5.0
34,"May 10, 2020",CJ and his team at MB of Austin did a fantastic job. Class act. Responsive and knowledgeable. Very quick and top notch service. Many thanks!,5.0
35,"May 10, 2020","Service always friendly, professional, and honest. Quality, timely work, and willing to go the extra mile. 25 word minimum? I haven’t coffee yet. I can’t see. ",5.0
36,"May 07, 2020","Found the car I wanted on line.  Called the dealership and talked with Stephen Susnar, he was professional and helpful.  I made the trip to Austin from Odessa, we worked out the terms in a mater of 30 minutes and I drove home with my dream car",5.0
37,"May 07, 2020",Jesse has always been very professional. I really liked the new experience of staying in my car and everyone coming to my car. I would have liked to seen more employees wearing mask though. ,5.0
38,"May 06, 2020","As usual, Wade did a great job on my car.  He communicates great and the work was completed in a very timely manner.  Thanks, Wade!",5.0
39,"May 04, 2020",The Mercedes Team is very professional and friendly. Best Team.  Will certainly come back for future business.  Recommend both WC and Scott for best service,5.0
