,Date,Reviews,Ratings
0,"November 03, 2019","Bought my Mercedes in Austin, first service was done (service a&B) at Austin, went to San Antonio Mercedes on Friday with an appointment and waited for 4.25 hours for an oil change and a tire replacement.. it would of been 10 x faster if I was just going to buy a new car. Got put on hold till they could wash everyone’s car in SA I think.Was looking at a new Mercedes for the wife and needless to say I’ll buy it in Austin...",1.0
1,"June 28, 2019","After numerous new owners took over Boerne Benz the service began to be pathetic. Started San Antonio Benz after they recently had new ownership change & started to have decent service but then Service advisor Jeff Sauceda stopped providing preliminary estimates of repairs only simply doing verbals over the phone which wasn’t good at all. Advised I needed preliminary estimates so I could at least double check repairs details along with checking my extended service warranty through Endurance as I had discovered the Benz reps previous verbal details were wrong on coverage as the door actuator that Benz rep said “wasn't covered” WAS actually “covered” when I verified Benz’s mistake myself through Endurance. Advised the new Service Director Daniel of the service advisor failing to provide normal written estimate details & the mistakes I had to get involved & confirmed along with Benz Dealers new owners now limiting service discounts at $200. Daniel simply passed my issues over to an assistant Ryan who called me & I again repeated my issues now for the third time. Ryan said he would inquire & said further discounts can always be adjusted leaving me the impression something would be followed up on but instead never heard back from anyone. After service as usual there were service surveys sent in which I filled out the same above details emphasizing the service managers lacking follow through or follow up. Sent a follow up email to Ryan & never heard back. Also sent a follow up email to Daniel who also never followed up. Happened to stop by the dealership helping my parents Benz in the shop & passed by Daniel & mentioned the lacking follow up in which he acted as if Ryan had handled everything which he hadn’t not returning my call or email. Needless to say it’s been months & nobody ever followed up from my initial concerns & the last survey I noted nobody followed up with me & yet still nobody cares at Benz to remedy any issues that a customer brings to their attention. Also just discovered while my parents Benz was still in for repairs that the deficient Service advisor had suddenly quit the dealership adding to the poor service experience I had already been going through. Now anyone should be able to conclude from my above experiences that the San Antonio Dealership is having some heavy staff turnover including the fact the newly hired service director Daniel is simply worthless when it comes to handling a terrible service experience considering the proper remedy would have been to allow a small amount of credit to the $18,000 dollars I just paid for their service in the last 2 recent visits this past quarter. Service Managers are not concerned about customer retention & literally ignore customers issues even though multiple surveys reported issues outstanding. Looks like San Antonio Benz is quickly trying to return to the once pathetic service they used to have with their past very bad reputation & it’s because of the current individuals who could simply care less. Congratulations new owners for destroying customers trust in wanting to depend on good repair & customer service. It would appear after new owner/operators take over these dealerships the customer service experience seems to steadily diminish. Bunch of pretenders trying to run a very expensive service shop. Would recommend for others to search elsewhere for repairs.

PS.
Since Benz San Antonio hired a new Service Director Daniel aprox 2 months ago it seems their interest on replies regarding any of these recent customer service reviews doesn’t seem to get any attention either kinda like the lack of attention the service manager exemplifies during a reported service issue while your cars in the SA dealership.",1.0
2,"July 30, 2018",Ricky Barrow as always was comprehensive in taking care of our needs on our new Mercedes.  We love the service we are getting!  Strongly recommend.,5.0
3,"June 21, 2018","Same-ole, Same ole Great service from the shop and my Service Professional, Gary Sauter.  Brian Fowler runs a tight ship in the M-B of SA.  I keep going back for service on my cars even though there are cheaper places that service Mercedes cars in San Antonio.",5.0
4,"June 21, 2018",Dropped off my vehicle for a factory recall & was treated very professional & treated like I was royalty. I would highly recommend this dealership to anyone ,5.0
5,"June 14, 2018","I travel to SA for my car services from Laredo, Texas. (CLS 550). I only allow MB of SA to work on my car, due to my trust I have developed over the years. My wife’s car (C-300) goes through the same rule. Thanks you MB if SA for all the other extras you have provide to our family, like free pick up transportation and car wash after my car service. This type of service make us the MB owners feel very special. Thanks again and see you all soon. JP from Laredo, Texas. ",5.0
6,"June 13, 2018",Jeffery Sauceda did his usual fine service in our ML. Everyone was very professional and the car came back quicker than expected. Thanks for the loaner!,5.0
7,"June 08, 2018","The sales team were great. They answered all of our questions, made sure that we got a great deal on our CLA, & their customer service was fantastic.
They were personable and not pitchy. Being at a car dealership can be drawn out and just a long process, but that team kept us in the best of spirits. They joked around with us and treated us like we were family and not just another sale! I was asked what I wanted and they put the perfect package together for me.  Highly recommend!!! ",5.0
8,"June 07, 2018","Service Department at this dealership is professional, I will highly recommend the service department to all the MB owners.  
Special Service adviser Chrissy Schroeder is second to none, and top notch, thank you Chrissy for taking care of my vehicle. 
Edgar Morales",5.0
9,"June 04, 2018","Have just bought a new 2018 model and I have to commend the sales representative who assisted me: Tami Cline. She was not only professional, but extremely helpful in assisting me to find the model that best suited my needs, following up with after-purchase requests and all in all contributing to make this experience a very pleasant and satisfying one. ",5.0
10,"June 02, 2018","service and sales at this dealership are professional , and not ""pushy"" I would highly recommend ;SALES and SERVICE at this dealership . the best I have dealt with so far .  ",5.0
11,"May 04, 2018","When its time for car service, Mr. Tyler Jordan is fantastic. Very professional and high class. Thank you very much and highly recommended him. You’re STAR !!!",4.2
12,"April 19, 2018","My service advisor is excellent. Adresses questions and concerns immediately. 
They promised my car in 2 hours and called promptly when it was finished and in the allotted time frame. ",5.0
13,"April 19, 2018",If you want the best of the best I would ask for Gary Sauter. The members of his team are incredible and the attention to details are exceeded. A special thanks to Mingo (Team Member) who always keep my cars in superb condition. Continuity of care is very important to me so I always ask for Mingo to perform my service needs on all of my cars.,5.0
14,"April 09, 2018","Ryan Lyssy is always helpful and his always excellent in communicating with us. I drop my car calls when ready to be picked up no hassle at all. Keep up the good work.
Maria Reyes",4.6
15,"April 05, 2018",I cannot say enough of the top rate service of Jaime Barrera from Benson Mercedes-Benz dealership. He was very prompt and courteous and informative ,4.6
16,"March 29, 2018","Taking the vehicles to service is always a good experience at this dealership, and our service representative is always helpful. The service and level of attention is always great!",5.0
17,"March 27, 2018","My service writer, Jeffrey Sauceda, did a great job getting my car in and out.  Excellent communication. That's all I have to say today.",5.0
18,"March 19, 2018","
March 14, 2018
SERVICE VISIT
Check Engine Light GL550

Chrissy greeted me within minutes of my arrival and invited me to go to waiting area where there were refreshments and snacks, comfortable chairs, tv, and internet. Only waited 5 minutes before Jared had my loaner car readied and waiting.  Within 4 hours, I had a text outlining the service and advising the time that my car service would be completed, car washed and ready for pickup.  Thorough, personable and efficient!",5.0
19,"March 19, 2018","Very helpful and did an awesome job!!!!!!!!!!!!!
Would highly recommended and will definitely be back! Very professional and responsive! 
They even picked my car up and brought it back to me washed! ",5.0
20,"March 14, 2018",Great service. Completed on deadline; recommended service package that I found to be an economical solution - good use of capital! Thanks to Tyler Jordan for always looking ahead to the next service interval and planning ahead! Convenience shuttle took me to work on time and picked me up at the end of the day - couldn't have asked for more friendly service.,4.8
21,"March 08, 2018","Visited MB-SA for vehicle recall service. John Cantellop was excellent. He kept me aware of service that was scheduled to take ~5 hours. The support staff arranged A loaner car which was extremely helpful in keeping my day on schedule. All went well on pickup next morning. Thanks to John, Jeremy, Jessie for great service. ",5.0
22,"February 26, 2018","Was initially coming in for an oil change when my ""ESP Malfunction. Visit Workshop"" light came on. Josh was welcoming, professional, knowledgeable, and had excellent customer service/ communication/ interpersonal skills that made my overall experience better than it could have been. I would recommend bringing your car to Mercedes-Benz of SA. ",4.8
23,"February 24, 2018",I always appreciate Louis Garcia helping me. I feel like he always has my best interests at heart and cares for my safety. He has helped my family for years and I will always trust him. ,5.0
24,"February 19, 2018",Service guy Jesse n josh rice were awesome very professional at what they do treated n answered all my questions I would recommend any Mercedes Benz owner to come here for service ,5.0
25,"February 17, 2018","Trevor Anderson took care of us and he made sure that we find the car that met our needs and budget. I really appreciate the whole team at San Antonio Mercedes, they dont pressurise to buy but they guide you to make your own informed decision .Mike Hernandez was owesome and I will cherish their hospitality. Shame I won’t get to drive it , my wife won’t let me !!!!",5.0
26,"February 08, 2018","I've owned my Mercedes for 18 years. I have always used my dealer for all my service needs. They have always done a great job. I brought my car in on a very busy Wednesday morning was told the time it would take to do my inspection, which I found acceptable.. When my car was ready the inspection needed required no maintenance. They gave me a courtesy car wash and even cleaned the windows inside and out.  I was well pleased.",5.0
27,"February 01, 2018","I was greeted right away. Was told to go to waiting area where there was refreshments and snacks. Comfortable chairs, tv, internet. Only waited 5 minutes before service manager Chrissy called my name and confirmed what was to be done. 2 minutes later was met by the courtesy car guy who gave me keys to car. 5 hrs later i was called and car was ready and all washed.",5.0
28,"January 10, 2018",poor service. at some point i was told inspection and brakes will be done then later told i had to buy a new tire to get inspection done ,1.4
29,"January 08, 2018","Mychal Payne provided exceptional service with my purchase of a 2018 SLC 300!  I’ve driven a vette for over 30 years, but I’m extremely pleased with my new Mercedes!  Even after the purchase, Mychal has been available to help me appreciate all the bells and whistles of the vehicle.  Many thanks Mychal!!!",5.0
30,"January 04, 2018","I have leased and purchased many cars/trucks in my lifetime, and this is buy far the best experience I have ever had with a car dealership. Our salesman Francisco was absolutely fantastic! From top two bottom, I would highly recommend Mercedes-Benz of San Antonio.",5.0
